STATISTIC,Quarter,Nationality,ILO Economic Status,value
Persons aged 15 years and over,2010Q4,All nationalities,In employment,1896.6
Persons aged 15 years and over,2010Q4,All nationalities,Unemployed,335.7
Persons aged 15 years and over,2010Q4,All nationalities,Not in labour force,1366.8
Persons aged 15 years and over,2010Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,47.7
Persons aged 15 years and over,2010Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,35.6
Persons aged 15 years and over,2010Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,32.4
Persons aged 15 years and over,2010Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,2010Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,12.1
Persons aged 15 years and over,2010Q4,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,199.5
Persons aged 15 years and over,2010Q4,EU15 to EU27 (accession countries joined post 2004),In labour force,162.2
Persons aged 15 years and over,2010Q4,EU15 to EU27 (accession countries joined post 2004),In employment,127.0
Persons aged 15 years and over,2010Q4,EU15 to EU27 (accession countries joined post 2004),Unemployed,35.2
Persons aged 15 years and over,2010Q4,EU15 to EU27 (accession countries joined post 2004),Not in labour force,37.3
Persons aged 15 years and over,2010Q4,UK,All ILO economic status,103.4
Persons aged 15 years and over,2010Q4,UK,In labour force,60.7
Persons aged 15 years and over,2010Q4,UK,In employment,49.2
Persons aged 15 years and over,2010Q4,UK,Unemployed,11.5
Persons aged 15 years and over,2010Q4,UK,Not in labour force,42.7
Persons aged 15 years and over,2010Q4,Irish,All ILO economic status,3119.6
Persons aged 15 years and over,2010Q4,Irish,In labour force,1891.7
Persons aged 15 years and over,2010Q4,Irish,In employment,1620.3
Persons aged 15 years and over,2010Q4,Irish,Unemployed,271.4
Persons aged 15 years and over,2010Q4,Irish,Not in labour force,1227.9
Persons aged 15 years and over,2010Q4,Non-Irish,All ILO economic status,479.4
Persons aged 15 years and over,2010Q4,Non-Irish,In labour force,340.6
Persons aged 15 years and over,2010Q4,Non-Irish,In employment,276.3
Persons aged 15 years and over,2010Q4,Non-Irish,Unemployed,64.3
Persons aged 15 years and over,2010Q4,Non-Irish,Not in labour force,138.8
Persons aged 15 years and over,2010Q4,Other nationalities (7),All ILO economic status,128.9
Persons aged 15 years and over,2010Q4,Other nationalities (7),In labour force,82.1
Persons aged 15 years and over,2010Q4,Other nationalities (7),In employment,67.7
Persons aged 15 years and over,2010Q4,Other nationalities (7),Unemployed,14.4
Persons aged 15 years and over,2010Q4,Other nationalities (7),Not in labour force,46.8
Persons aged 15 years and over,2011Q1,All nationalities,All ILO economic status,3599.1
Persons aged 15 years and over,2011Q1,All nationalities,In labour force,2209.2
Persons aged 15 years and over,2011Q1,All nationalities,In employment,1878.1
Persons aged 15 years and over,2011Q1,All nationalities,Unemployed,331.1
Persons aged 15 years and over,2011Q1,All nationalities,Not in labour force,1389.9
Persons aged 15 years and over,2011Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,45.5
Persons aged 15 years and over,2011Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,33.7
Persons aged 15 years and over,2011Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,30.0
Persons aged 15 years and over,2011Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,2011Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,11.9
Persons aged 15 years and over,2011Q1,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,197.4
Persons aged 15 years and over,2011Q1,EU15 to EU27 (accession countries joined post 2004),In labour force,157.9
Persons aged 15 years and over,2011Q1,EU15 to EU27 (accession countries joined post 2004),In employment,124.1
Persons aged 15 years and over,2011Q1,EU15 to EU27 (accession countries joined post 2004),Unemployed,33.7
Persons aged 15 years and over,2011Q1,EU15 to EU27 (accession countries joined post 2004),Not in labour force,39.5
Persons aged 15 years and over,2011Q1,UK,All ILO economic status,103.4
Persons aged 15 years and over,2011Q1,UK,In labour force,62.1
Persons aged 15 years and over,2011Q1,UK,In employment,49.3
Persons aged 15 years and over,2011Q1,UK,Unemployed,12.7
Persons aged 15 years and over,2011Q1,UK,Not in labour force,41.4
Persons aged 15 years and over,2011Q1,Irish,All ILO economic status,3121.5
Persons aged 15 years and over,2011Q1,Irish,In labour force,1873.9
Persons aged 15 years and over,2011Q1,Irish,In employment,1604.9
Persons aged 15 years and over,2011Q1,Irish,Unemployed,269.0
Persons aged 15 years and over,2011Q1,Irish,Not in labour force,1247.6
Persons aged 15 years and over,2011Q1,Non-Irish,All ILO economic status,477.6
Persons aged 15 years and over,2011Q1,Non-Irish,In labour force,335.3
Persons aged 15 years and over,2011Q1,Non-Irish,In employment,273.2
Persons aged 15 years and over,2011Q1,Non-Irish,Unemployed,62.1
Persons aged 15 years and over,2011Q1,Non-Irish,Not in labour force,142.3
Persons aged 15 years and over,2011Q1,Other nationalities (7),All ILO economic status,131.2
Persons aged 15 years and over,2011Q1,Other nationalities (7),In labour force,81.7
Persons aged 15 years and over,2011Q1,Other nationalities (7),In employment,69.8
Persons aged 15 years and over,2011Q1,Other nationalities (7),Unemployed,11.9
Persons aged 15 years and over,2011Q1,Other nationalities (7),Not in labour force,49.6
Persons aged 15 years and over,2011Q2,All nationalities,All ILO economic status,3599.1
Persons aged 15 years and over,2011Q2,All nationalities,In labour force,2242.2
Persons aged 15 years and over,2011Q2,All nationalities,In employment,1899.6
Persons aged 15 years and over,2011Q2,All nationalities,Unemployed,342.6
Persons aged 15 years and over,2011Q2,All nationalities,Not in labour force,1356.9
Persons aged 15 years and over,2011Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,45.0
Persons aged 15 years and over,2011Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,34.1
Persons aged 15 years and over,2011Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,31.3
Persons aged 15 years and over,2011Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,2011Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,10.9
Persons aged 15 years and over,2011Q2,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,194.8
Persons aged 15 years and over,2011Q2,EU15 to EU27 (accession countries joined post 2004),In labour force,161.2
Persons aged 15 years and over,2011Q2,EU15 to EU27 (accession countries joined post 2004),In employment,128.4
Persons aged 15 years and over,2011Q2,EU15 to EU27 (accession countries joined post 2004),Unemployed,32.8
Persons aged 15 years and over,2011Q2,EU15 to EU27 (accession countries joined post 2004),Not in labour force,33.6
Persons aged 15 years and over,2011Q2,UK,All ILO economic status,103.5
Persons aged 15 years and over,2011Q2,UK,In labour force,61.2
Persons aged 15 years and over,2011Q2,UK,In employment,49.2
Persons aged 15 years and over,2011Q2,UK,Unemployed,11.9
Persons aged 15 years and over,2011Q2,UK,Not in labour force,42.4
Persons aged 15 years and over,2011Q2,Irish,All ILO economic status,3122.2
Persons aged 15 years and over,2011Q2,Irish,In labour force,1898.0
Persons aged 15 years and over,2011Q2,Irish,In employment,1617.1
Persons aged 15 years and over,2011Q2,Irish,Unemployed,280.9
Persons aged 15 years and over,2011Q2,Irish,Not in labour force,1224.1
Persons aged 15 years and over,2011Q2,Non-Irish,All ILO economic status,476.9
Persons aged 15 years and over,2011Q2,Non-Irish,In labour force,344.2
Persons aged 15 years and over,2011Q2,Non-Irish,In employment,282.4
Persons aged 15 years and over,2011Q2,Non-Irish,Unemployed,61.7
Persons aged 15 years and over,2011Q2,Non-Irish,Not in labour force,132.8
Persons aged 15 years and over,2011Q2,Other nationalities (7),All ILO economic status,133.5
Persons aged 15 years and over,2011Q2,Other nationalities (7),In labour force,87.7
Persons aged 15 years and over,2011Q2,Other nationalities (7),In employment,73.4
Persons aged 15 years and over,2011Q2,Other nationalities (7),Unemployed,14.2
Persons aged 15 years and over,2011Q2,Other nationalities (7),Not in labour force,45.9
Persons aged 15 years and over,2011Q3,All nationalities,All ILO economic status,3600.4
Persons aged 15 years and over,2011Q3,All nationalities,In labour force,2241.9
Persons aged 15 years and over,2011Q3,All nationalities,In employment,1885.7
Persons aged 15 years and over,2011Q3,All nationalities,Unemployed,356.2
Persons aged 15 years and over,2011Q3,All nationalities,Not in labour force,1358.5
Persons aged 15 years and over,2011Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,45.3
Persons aged 15 years and over,2011Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,34.2
Persons aged 15 years and over,2011Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,32.3
Persons aged 15 years and over,2011Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,2011Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,11.1
Persons aged 15 years and over,2011Q3,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,194.6
Persons aged 15 years and over,2011Q3,EU15 to EU27 (accession countries joined post 2004),In labour force,160.5
Persons aged 15 years and over,2011Q3,EU15 to EU27 (accession countries joined post 2004),In employment,129.5
Persons aged 15 years and over,2011Q3,EU15 to EU27 (accession countries joined post 2004),Unemployed,31.0
Persons aged 15 years and over,2011Q3,EU15 to EU27 (accession countries joined post 2004),Not in labour force,34.1
Persons aged 15 years and over,2011Q3,UK,All ILO economic status,103.1
Persons aged 15 years and over,2011Q3,UK,In labour force,60.7
Persons aged 15 years and over,2011Q3,UK,In employment,45.5
Persons aged 15 years and over,2011Q3,UK,Unemployed,15.2
Persons aged 15 years and over,2011Q3,UK,Not in labour force,42.4
Persons aged 15 years and over,2011Q3,Irish,All ILO economic status,3123.6
Persons aged 15 years and over,2011Q3,Irish,In labour force,1896.5
Persons aged 15 years and over,2011Q3,Irish,In employment,1602.5
Persons aged 15 years and over,2011Q3,Irish,Unemployed,293.9
Persons aged 15 years and over,2011Q3,Irish,Not in labour force,1227.1
Persons aged 15 years and over,2011Q3,Non-Irish,All ILO economic status,476.8
Persons aged 15 years and over,2011Q3,Non-Irish,In labour force,345.4
Persons aged 15 years and over,2011Q3,Non-Irish,In employment,283.2
Persons aged 15 years and over,2011Q3,Non-Irish,Unemployed,62.3
Persons aged 15 years and over,2011Q3,Non-Irish,Not in labour force,131.4
Persons aged 15 years and over,2011Q3,Other nationalities (7),All ILO economic status,133.9
Persons aged 15 years and over,2011Q3,Other nationalities (7),In labour force,90.0
Persons aged 15 years and over,2011Q3,Other nationalities (7),In employment,75.9
Persons aged 15 years and over,2011Q3,Other nationalities (7),Unemployed,14.1
Persons aged 15 years and over,2011Q3,Other nationalities (7),Not in labour force,43.9
Persons aged 15 years and over,2011Q4,All nationalities,All ILO economic status,3602.4
Persons aged 15 years and over,2011Q4,All nationalities,In labour force,2226.5
Persons aged 15 years and over,2011Q4,All nationalities,In employment,1886.4
Persons aged 15 years and over,2011Q4,All nationalities,Unemployed,340.1
Persons aged 15 years and over,2011Q4,All nationalities,Not in labour force,1375.9
Persons aged 15 years and over,2011Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,45.6
Persons aged 15 years and over,2011Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,34.6
Persons aged 15 years and over,2011Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,31.9
Persons aged 15 years and over,2011Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,2011Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,11.0
Persons aged 15 years and over,2011Q4,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,195.1
Persons aged 15 years and over,2011Q4,EU15 to EU27 (accession countries joined post 2004),In labour force,158.9
Persons aged 15 years and over,2011Q4,EU15 to EU27 (accession countries joined post 2004),In employment,127.1
Persons aged 15 years and over,2011Q4,EU15 to EU27 (accession countries joined post 2004),Unemployed,31.8
Persons aged 15 years and over,2011Q4,EU15 to EU27 (accession countries joined post 2004),Not in labour force,36.2
Persons aged 15 years and over,2011Q4,UK,All ILO economic status,102.7
Persons aged 15 years and over,2011Q4,UK,In labour force,58.2
Persons aged 15 years and over,2011Q4,UK,In employment,45.0
Persons aged 15 years and over,2011Q4,UK,Unemployed,13.2
Persons aged 15 years and over,2011Q4,UK,Not in labour force,44.5
Persons aged 15 years and over,2011Q4,Irish,All ILO economic status,3125.6
Persons aged 15 years and over,2011Q4,Irish,In labour force,1890.0
Persons aged 15 years and over,2011Q4,Irish,In employment,1609.8
Persons aged 15 years and over,2011Q4,Irish,Unemployed,280.2
Persons aged 15 years and over,2011Q4,Irish,Not in labour force,1235.7
Persons aged 15 years and over,2011Q4,Non-Irish,All ILO economic status,476.8
Persons aged 15 years and over,2011Q4,Non-Irish,In labour force,336.5
Persons aged 15 years and over,2011Q4,Non-Irish,In employment,276.6
Persons aged 15 years and over,2011Q4,Non-Irish,Unemployed,59.9
Persons aged 15 years and over,2011Q4,Non-Irish,Not in labour force,140.2
Persons aged 15 years and over,2011Q4,Other nationalities (7),All ILO economic status,133.3
Persons aged 15 years and over,2011Q4,Other nationalities (7),In labour force,84.8
Persons aged 15 years and over,2011Q4,Other nationalities (7),In employment,72.6
Persons aged 15 years and over,2011Q4,Other nationalities (7),Unemployed,12.2
Persons aged 15 years and over,2011Q4,Other nationalities (7),Not in labour force,48.5
Persons aged 15 years and over,2012Q1,All nationalities,All ILO economic status,3603.4
Persons aged 15 years and over,2012Q1,All nationalities,In labour force,2210.7
Persons aged 15 years and over,2012Q1,All nationalities,In employment,1862.6
Persons aged 15 years and over,2012Q1,All nationalities,Unemployed,348.1
Persons aged 15 years and over,2012Q1,All nationalities,Not in labour force,1392.8
Persons aged 15 years and over,2012Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,46.0
Persons aged 15 years and over,2012Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,34.5
Persons aged 15 years and over,2012Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,31.1
Persons aged 15 years and over,2012Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,2012Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,11.5
Persons aged 15 years and over,2012Q1,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,194.5
Persons aged 15 years and over,2012Q1,EU15 to EU27 (accession countries joined post 2004),In labour force,159.4
Persons aged 15 years and over,2012Q1,EU15 to EU27 (accession countries joined post 2004),In employment,128.2
Persons aged 15 years and over,2012Q1,EU15 to EU27 (accession countries joined post 2004),Unemployed,31.2
Persons aged 15 years and over,2012Q1,EU15 to EU27 (accession countries joined post 2004),Not in labour force,35.0
Persons aged 15 years and over,2012Q1,UK,All ILO economic status,102.3
Persons aged 15 years and over,2012Q1,UK,In labour force,58.7
Persons aged 15 years and over,2012Q1,UK,In employment,44.5
Persons aged 15 years and over,2012Q1,UK,Unemployed,14.1
Persons aged 15 years and over,2012Q1,UK,Not in labour force,43.6
Persons aged 15 years and over,2012Q1,Irish,All ILO economic status,3129.8
Persons aged 15 years and over,2012Q1,Irish,In labour force,1873.1
Persons aged 15 years and over,2012Q1,Irish,In employment,1589.2
Persons aged 15 years and over,2012Q1,Irish,Unemployed,283.9
Persons aged 15 years and over,2012Q1,Irish,Not in labour force,1256.7
Persons aged 15 years and over,2012Q1,Non-Irish,All ILO economic status,473.7
Persons aged 15 years and over,2012Q1,Non-Irish,In labour force,337.5
Persons aged 15 years and over,2012Q1,Non-Irish,In employment,273.4
Persons aged 15 years and over,2012Q1,Non-Irish,Unemployed,64.2
Persons aged 15 years and over,2012Q1,Non-Irish,Not in labour force,136.1
Persons aged 15 years and over,2012Q1,Other nationalities (7),All ILO economic status,130.9
Persons aged 15 years and over,2012Q1,Other nationalities (7),In labour force,84.9
Persons aged 15 years and over,2012Q1,Other nationalities (7),In employment,69.6
Persons aged 15 years and over,2012Q1,Other nationalities (7),Unemployed,15.4
Persons aged 15 years and over,2012Q1,Other nationalities (7),Not in labour force,46.0
Persons aged 15 years and over,2012Q2,All nationalities,All ILO economic status,3605.7
Persons aged 15 years and over,2012Q2,All nationalities,In labour force,2229.0
Persons aged 15 years and over,2012Q2,All nationalities,In employment,1876.8
Persons aged 15 years and over,2012Q2,All nationalities,Unemployed,352.2
Persons aged 15 years and over,2012Q2,All nationalities,Not in labour force,1376.7
Persons aged 15 years and over,2012Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,46.3
Persons aged 15 years and over,2012Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,37.3
Persons aged 15 years and over,2012Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,33.6
Persons aged 15 years and over,2012Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,3.7
Persons aged 15 years and over,2012Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,9.0
Persons aged 15 years and over,2012Q2,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,195.1
Persons aged 15 years and over,2012Q2,EU15 to EU27 (accession countries joined post 2004),In labour force,160.5
Persons aged 15 years and over,2012Q2,EU15 to EU27 (accession countries joined post 2004),In employment,128.7
Persons aged 15 years and over,2012Q2,EU15 to EU27 (accession countries joined post 2004),Unemployed,31.8
Persons aged 15 years and over,2012Q2,EU15 to EU27 (accession countries joined post 2004),Not in labour force,34.6
Persons aged 15 years and over,2012Q2,UK,All ILO economic status,101.9
Persons aged 15 years and over,2012Q2,UK,In labour force,58.7
Persons aged 15 years and over,2012Q2,UK,In employment,46.3
Persons aged 15 years and over,2012Q2,UK,Unemployed,12.4
Persons aged 15 years and over,2012Q2,UK,Not in labour force,43.2
Persons aged 15 years and over,2012Q2,Irish,All ILO economic status,3135.1
Persons aged 15 years and over,2012Q2,Irish,In labour force,1889.7
Persons aged 15 years and over,2012Q2,Irish,In employment,1599.2
Persons aged 15 years and over,2012Q2,Irish,Unemployed,290.5
Persons aged 15 years and over,2012Q2,Irish,Not in labour force,1245.3
Persons aged 15 years and over,2012Q2,Non-Irish,All ILO economic status,470.6
Persons aged 15 years and over,2012Q2,Non-Irish,In labour force,339.3
Persons aged 15 years and over,2012Q2,Non-Irish,In employment,277.7
Persons aged 15 years and over,2012Q2,Non-Irish,Unemployed,61.6
Persons aged 15 years and over,2012Q2,Non-Irish,Not in labour force,131.3
Persons aged 15 years and over,2012Q2,Other nationalities (7),All ILO economic status,127.3
Persons aged 15 years and over,2012Q2,Other nationalities (7),In labour force,82.8
Persons aged 15 years and over,2012Q2,Other nationalities (7),In employment,69.1
Persons aged 15 years and over,2012Q2,Other nationalities (7),Unemployed,13.7
Persons aged 15 years and over,2012Q2,Other nationalities (7),Not in labour force,44.5
Persons aged 15 years and over,2012Q3,All nationalities,All ILO economic status,3610.2
Persons aged 15 years and over,2012Q3,All nationalities,In labour force,2242.7
Persons aged 15 years and over,2012Q3,All nationalities,In employment,1888.5
Persons aged 15 years and over,2012Q3,All nationalities,Unemployed,354.3
Persons aged 15 years and over,2012Q3,All nationalities,Not in labour force,1367.5
Persons aged 15 years and over,2012Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,46.8
Persons aged 15 years and over,2012Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,37.1
Persons aged 15 years and over,2012Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,33.6
Persons aged 15 years and over,2012Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,2012Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,9.8
Persons aged 15 years and over,2012Q3,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,195.7
Persons aged 15 years and over,2012Q3,EU15 to EU27 (accession countries joined post 2004),In labour force,162.2
Persons aged 15 years and over,2012Q3,EU15 to EU27 (accession countries joined post 2004),In employment,131.4
Persons aged 15 years and over,2012Q3,EU15 to EU27 (accession countries joined post 2004),Unemployed,30.8
Persons aged 15 years and over,2012Q3,EU15 to EU27 (accession countries joined post 2004),Not in labour force,33.5
Persons aged 15 years and over,2012Q3,UK,All ILO economic status,101.5
Persons aged 15 years and over,2012Q3,UK,In labour force,58.7
Persons aged 15 years and over,2012Q3,UK,In employment,47.2
Persons aged 15 years and over,2012Q3,UK,Unemployed,11.5
Persons aged 15 years and over,2012Q3,UK,Not in labour force,42.8
Persons aged 15 years and over,2012Q3,Irish,All ILO economic status,3141.5
Persons aged 15 years and over,2012Q3,Irish,In labour force,1906.1
Persons aged 15 years and over,2012Q3,Irish,In employment,1613.1
Persons aged 15 years and over,2012Q3,Irish,Unemployed,293.0
Persons aged 15 years and over,2012Q3,Irish,Not in labour force,1235.4
Persons aged 15 years and over,2012Q3,Non-Irish,All ILO economic status,468.7
Persons aged 15 years and over,2012Q3,Non-Irish,In labour force,336.7
Persons aged 15 years and over,2012Q3,Non-Irish,In employment,275.4
Persons aged 15 years and over,2012Q3,Non-Irish,Unemployed,61.3
Persons aged 15 years and over,2012Q3,Non-Irish,Not in labour force,132.1
Persons aged 15 years and over,2012Q3,Other nationalities (7),All ILO economic status,124.7
Persons aged 15 years and over,2012Q3,Other nationalities (7),In labour force,78.6
Persons aged 15 years and over,2012Q3,Other nationalities (7),In employment,63.1
Persons aged 15 years and over,2012Q3,Other nationalities (7),Unemployed,15.5
Persons aged 15 years and over,2012Q3,Other nationalities (7),Not in labour force,46.1
Persons aged 15 years and over,2012Q4,All nationalities,All ILO economic status,3613.7
Persons aged 15 years and over,2012Q4,All nationalities,In labour force,2212.3
Persons aged 15 years and over,2012Q4,All nationalities,In employment,1892.9
Persons aged 15 years and over,2012Q4,All nationalities,Unemployed,319.4
Persons aged 15 years and over,2012Q4,All nationalities,Not in labour force,1401.5
Persons aged 15 years and over,2012Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,47.4
Persons aged 15 years and over,2012Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,36.2
Persons aged 15 years and over,2012Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,32.9
Persons aged 15 years and over,2012Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,2012Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,11.2
Persons aged 15 years and over,2012Q4,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,195.7
Persons aged 15 years and over,2012Q4,EU15 to EU27 (accession countries joined post 2004),In labour force,159.7
Persons aged 15 years and over,2012Q4,EU15 to EU27 (accession countries joined post 2004),In employment,131.6
Persons aged 15 years and over,2012Q4,EU15 to EU27 (accession countries joined post 2004),Unemployed,28.2
Persons aged 15 years and over,2012Q4,EU15 to EU27 (accession countries joined post 2004),Not in labour force,36.0
Persons aged 15 years and over,2012Q4,UK,All ILO economic status,101.0
Persons aged 15 years and over,2012Q4,UK,In labour force,57.9
Persons aged 15 years and over,2012Q4,UK,In employment,46.3
Persons aged 15 years and over,2012Q4,UK,Unemployed,11.6
Persons aged 15 years and over,2012Q4,UK,Not in labour force,43.1
Persons aged 15 years and over,2012Q4,Irish,All ILO economic status,3147.6
Persons aged 15 years and over,2012Q4,Irish,In labour force,1883.3
Persons aged 15 years and over,2012Q4,Irish,In employment,1620.1
Persons aged 15 years and over,2012Q4,Irish,Unemployed,263.3
Persons aged 15 years and over,2012Q4,Irish,Not in labour force,1264.2
Persons aged 15 years and over,2012Q4,Non-Irish,All ILO economic status,466.2
Persons aged 15 years and over,2012Q4,Non-Irish,In labour force,328.9
Persons aged 15 years and over,2012Q4,Non-Irish,In employment,272.9
Persons aged 15 years and over,2012Q4,Non-Irish,Unemployed,56.1
Persons aged 15 years and over,2012Q4,Non-Irish,Not in labour force,137.2
Persons aged 15 years and over,2012Q4,Other nationalities (7),All ILO economic status,122.1
Persons aged 15 years and over,2012Q4,Other nationalities (7),In labour force,75.0
Persons aged 15 years and over,2012Q4,Other nationalities (7),In employment,62.0
Persons aged 15 years and over,2012Q4,Other nationalities (7),Unemployed,13.0
Persons aged 15 years and over,2012Q4,Other nationalities (7),Not in labour force,47.0
Persons aged 15 years and over,2013Q1,All nationalities,All ILO economic status,3616.8
Persons aged 15 years and over,2013Q1,All nationalities,In labour force,2210.1
Persons aged 15 years and over,2013Q1,All nationalities,In employment,1893.2
Persons aged 15 years and over,2013Q1,All nationalities,Unemployed,316.9
Persons aged 15 years and over,2013Q1,All nationalities,Not in labour force,1406.8
Persons aged 15 years and over,2013Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,48.0
Persons aged 15 years and over,2013Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,36.5
Persons aged 15 years and over,2013Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,34.0
Persons aged 15 years and over,2013Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,2013Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,11.5
Persons aged 15 years and over,2013Q1,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,196.0
Persons aged 15 years and over,2013Q1,EU15 to EU27 (accession countries joined post 2004),In labour force,162.7
Persons aged 15 years and over,2013Q1,EU15 to EU27 (accession countries joined post 2004),In employment,129.2
Persons aged 15 years and over,2013Q1,EU15 to EU27 (accession countries joined post 2004),Unemployed,33.4
Persons aged 15 years and over,2013Q1,EU15 to EU27 (accession countries joined post 2004),Not in labour force,33.4
Persons aged 15 years and over,2013Q1,UK,All ILO economic status,100.7
Persons aged 15 years and over,2013Q1,UK,In labour force,57.4
Persons aged 15 years and over,2013Q1,UK,In employment,45.0
Persons aged 15 years and over,2013Q1,UK,Unemployed,12.4
Persons aged 15 years and over,2013Q1,UK,Not in labour force,43.3
Persons aged 15 years and over,2013Q1,Irish,All ILO economic status,3152.8
Persons aged 15 years and over,2013Q1,Irish,In labour force,1879.6
Persons aged 15 years and over,2013Q1,Irish,In employment,1624.2
Persons aged 15 years and over,2013Q1,Irish,Unemployed,255.4
Persons aged 15 years and over,2013Q1,Irish,Not in labour force,1273.2
Persons aged 15 years and over,2013Q1,Non-Irish,All ILO economic status,464.0
Persons aged 15 years and over,2013Q1,Non-Irish,In labour force,330.5
Persons aged 15 years and over,2013Q1,Non-Irish,In employment,269.1
Persons aged 15 years and over,2013Q1,Non-Irish,Unemployed,61.4
Persons aged 15 years and over,2013Q1,Non-Irish,Not in labour force,133.5
Persons aged 15 years and over,2013Q1,Other nationalities (7),All ILO economic status,119.3
Persons aged 15 years and over,2013Q1,Other nationalities (7),In labour force,73.9
Persons aged 15 years and over,2013Q1,Other nationalities (7),In employment,60.8
Persons aged 15 years and over,2013Q1,Other nationalities (7),Unemployed,13.1
Persons aged 15 years and over,2013Q1,Other nationalities (7),Not in labour force,45.3
Persons aged 15 years and over,2013Q2,All nationalities,All ILO economic status,3620.8
