Statistic,Quarter,NACE Rev 2 Economic Sector,value
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q3,Services (G to U),33.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q3,Not stated,28.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q4,All NACE economic sectors,35.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q4,"Agriculture, forestry and fishing (A)",46.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q4,Construction (F),37.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),32.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q4,Transportation and storage (H),38.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q4,Accommodation and food service activities (I),30.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q4,Information and communication (J),38.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q4,"Professional, scientific and technical activities (M)",38.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q4,Administrative and support service activities (N),33.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q4,Public administration and defence; compulsory social security (O),37.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q4,Education (P),29.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q4,Human health and social work activities (Q),32.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q4,Industry (B to E),38.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q4,"Financial, insurance and real estate activities (K, L)",37.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q4,Other NACE activities (R to U),30.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q4,Industry and Construction (B to F),38.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q4,Services (G to U),33.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q4,Not stated,25.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q1,All NACE economic sectors,35.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q1,"Agriculture, forestry and fishing (A)",46.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q1,Construction (F),37.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),32.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q1,Transportation and storage (H),38.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q1,Accommodation and food service activities (I),30.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q1,Information and communication (J),38.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q1,"Professional, scientific and technical activities (M)",38.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q1,Administrative and support service activities (N),32.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q1,Public administration and defence; compulsory social security (O),37.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q1,Education (P),28.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q1,Human health and social work activities (Q),32.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q1,Industry (B to E),38.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q1,"Financial, insurance and real estate activities (K, L)",38.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q1,Other NACE activities (R to U),30.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q1,Industry and Construction (B to F),38.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q1,Services (G to U),33.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q1,Not stated,27.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q2,All NACE economic sectors,35.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q2,"Agriculture, forestry and fishing (A)",48.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q2,Construction (F),37.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),33.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q2,Transportation and storage (H),38.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q2,Accommodation and food service activities (I),31.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q2,Information and communication (J),39.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q2,"Professional, scientific and technical activities (M)",38.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q2,Administrative and support service activities (N),32.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q2,Public administration and defence; compulsory social security (O),36.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q2,Education (P),29.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q2,Human health and social work activities (Q),32.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q2,Industry (B to E),38.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q2,"Financial, insurance and real estate activities (K, L)",38.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q2,Other NACE activities (R to U),31.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q2,Industry and Construction (B to F),38.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q2,Services (G to U),34.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q2,Not stated,25.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q3,All NACE economic sectors,35.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q3,"Agriculture, forestry and fishing (A)",48.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q3,Construction (F),37.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),33.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q3,Transportation and storage (H),39.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q3,Accommodation and food service activities (I),31.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q3,Information and communication (J),39.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q3,"Professional, scientific and technical activities (M)",38.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q3,Administrative and support service activities (N),33.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q3,Public administration and defence; compulsory social security (O),37.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q3,Education (P),29.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q3,Human health and social work activities (Q),33.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q3,Industry (B to E),38.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q3,"Financial, insurance and real estate activities (K, L)",37.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q3,Other NACE activities (R to U),31.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q3,Industry and Construction (B to F),38.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q3,Services (G to U),34.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q3,Not stated,24.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q4,All NACE economic sectors,35.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q4,"Agriculture, forestry and fishing (A)",44.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q4,Construction (F),37.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),33.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q4,Transportation and storage (H),38.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q4,Accommodation and food service activities (I),31.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q4,Information and communication (J),39.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q4,"Professional, scientific and technical activities (M)",38.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q4,Administrative and support service activities (N),34.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q4,Public administration and defence; compulsory social security (O),37.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q4,Education (P),29.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q4,Human health and social work activities (Q),32.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q4,Industry (B to E),38.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q4,"Financial, insurance and real estate activities (K, L)",37.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q4,Other NACE activities (R to U),31.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q4,Industry and Construction (B to F),38.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q4,Services (G to U),34.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q4,Not stated,31.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q1,All NACE economic sectors,35.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q1,"Agriculture, forestry and fishing (A)",45.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q1,Construction (F),37.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),33.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q1,Transportation and storage (H),38.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q1,Accommodation and food service activities (I),31.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q1,Information and communication (J),39.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q1,"Professional, scientific and technical activities (M)",38.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q1,Administrative and support service activities (N),33.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q1,Public administration and defence; compulsory social security (O),37.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q1,Education (P),29.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q1,Human health and social work activities (Q),32.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q1,Industry (B to E),38.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q1,"Financial, insurance and real estate activities (K, L)",38.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q1,Other NACE activities (R to U),31.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q1,Industry and Construction (B to F),38.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q1,Services (G to U),34.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q1,Not stated,22.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q2,All NACE economic sectors,35.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q2,"Agriculture, forestry and fishing (A)",47.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q2,Construction (F),37.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),33.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q2,Transportation and storage (H),38.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q2,Accommodation and food service activities (I),32.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q2,Information and communication (J),39.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q2,"Professional, scientific and technical activities (M)",38.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q2,Administrative and support service activities (N),33.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q2,Public administration and defence; compulsory social security (O),37.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q2,Education (P),30.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q2,Human health and social work activities (Q),33.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q2,Industry (B to E),38.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q2,"Financial, insurance and real estate activities (K, L)",38.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q2,Other NACE activities (R to U),31.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q2,Industry and Construction (B to F),38.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q2,Services (G to U),34.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q2,Not stated,39.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q3,All NACE economic sectors,35.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q3,"Agriculture, forestry and fishing (A)",48.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q3,Construction (F),37.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),33.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q3,Transportation and storage (H),38.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q3,Accommodation and food service activities (I),31.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q3,Information and communication (J),39.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q3,"Professional, scientific and technical activities (M)",38.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q3,Administrative and support service activities (N),33.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q3,Public administration and defence; compulsory social security (O),38.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q3,Education (P),30.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q3,Human health and social work activities (Q),33.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q3,Industry (B to E),39.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q3,"Financial, insurance and real estate activities (K, L)",37.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q3,Other NACE activities (R to U),30.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q3,Industry and Construction (B to F),38.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q3,Services (G to U),34.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q3,Not stated,38.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q4,All NACE economic sectors,35.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q4,"Agriculture, forestry and fishing (A)",48.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q4,Construction (F),38.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),32.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q4,Transportation and storage (H),38.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q4,Accommodation and food service activities (I),31.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q4,Information and communication (J),39.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q4,"Professional, scientific and technical activities (M)",38.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q4,Administrative and support service activities (N),33.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q4,Public administration and defence; compulsory social security (O),37.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q4,Education (P),30.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q4,Human health and social work activities (Q),33.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q4,Industry (B to E),38.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q4,"Financial, insurance and real estate activities (K, L)",38.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q4,Other NACE activities (R to U),30.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q4,Industry and Construction (B to F),38.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q4,Services (G to U),34.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q4,Not stated,37.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q1,All NACE economic sectors,35.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q1,"Agriculture, forestry and fishing (A)",49.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q1,Construction (F),38.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),32.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q1,Transportation and storage (H),38.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q1,Accommodation and food service activities (I),31.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q1,Information and communication (J),39.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q1,"Professional, scientific and technical activities (M)",38.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q1,Administrative and support service activities (N),33.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q1,Public administration and defence; compulsory social security (O),37.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q1,Education (P),29.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q1,Human health and social work activities (Q),33.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q1,Industry (B to E),39.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q1,"Financial, insurance and real estate activities (K, L)",38.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q1,Other NACE activities (R to U),30.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q1,Industry and Construction (B to F),38.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q1,Services (G to U),34.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q1,Not stated,35.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q2,All NACE economic sectors,35.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q2,"Agriculture, forestry and fishing (A)",49.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q2,Construction (F),38.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),33.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q2,Transportation and storage (H),38.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q2,Accommodation and food service activities (I),32.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q2,Information and communication (J),39.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q2,"Professional, scientific and technical activities (M)",39.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q2,Administrative and support service activities (N),33.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q2,Public administration and defence; compulsory social security (O),36.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q2,Education (P),29.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q2,Human health and social work activities (Q),33.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q2,Industry (B to E),38.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q2,"Financial, insurance and real estate activities (K, L)",38.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q2,Other NACE activities (R to U),30.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q2,Industry and Construction (B to F),38.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q2,Services (G to U),34.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q2,Not stated,38.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q3,All NACE economic sectors,36.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q3,"Agriculture, forestry and fishing (A)",48.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q3,Construction (F),38.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),33.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q3,Transportation and storage (H),38.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q3,Accommodation and food service activities (I),32.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q3,Information and communication (J),39.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q3,"Professional, scientific and technical activities (M)",39.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q3,Administrative and support service activities (N),33.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q3,Public administration and defence; compulsory social security (O),36.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q3,Education (P),30.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q3,Human health and social work activities (Q),33.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q3,Industry (B to E),39.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q3,"Financial, insurance and real estate activities (K, L)",38.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q3,Other NACE activities (R to U),30.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q3,Industry and Construction (B to F),39.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q3,Services (G to U),34.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q3,Not stated,34.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q4,All NACE economic sectors,35.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q4,"Agriculture, forestry and fishing (A)",48.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q4,Construction (F),38.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),33.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q4,Transportation and storage (H),39.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q4,Accommodation and food service activities (I),32.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q4,Information and communication (J),39.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q4,"Professional, scientific and technical activities (M)",39.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q4,Administrative and support service activities (N),32.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q4,Public administration and defence; compulsory social security (O),37.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q4,Education (P),29.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q4,Human health and social work activities (Q),33.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q4,Industry (B to E),38.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q4,"Financial, insurance and real estate activities (K, L)",38.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q4,Other NACE activities (R to U),30.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q4,Industry and Construction (B to F),38.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q4,Services (G to U),34.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q4,Not stated,34.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q1,All NACE economic sectors,35.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q1,"Agriculture, forestry and fishing (A)",48.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q1,Construction (F),38.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),33.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q1,Transportation and storage (H),39.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q1,Accommodation and food service activities (I),31.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q1,Information and communication (J),39.8
