Statistic,Quarter,NACE Rev 2 Economic Sector,value
Actual hours worked per week,2009Q4,Industry (B to E),8.4
Actual hours worked per week,2009Q4,Industry and Construction (B to F),12.1
Actual hours worked per week,2009Q4,Services (G to U),44.2
Actual hours worked per week,2009Q4,"Financial, insurance and real estate activities (K,L)",3.5
Actual hours worked per week,2009Q4,Other NACE activities (R to U),3.0
Actual hours worked per week,2009Q4,Not stated,0.2
Actual hours worked per week,2010Q1,All NACE economic sectors,63.3
Actual hours worked per week,2010Q1,"Agriculture, forestry and fishing (A)",5.0
Actual hours worked per week,2010Q1,Construction (F),3.6
Actual hours worked per week,2010Q1,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",8.7
Actual hours worked per week,2010Q1,Transportation and storage (H),3.2
Actual hours worked per week,2010Q1,Accommodation and food service activities (I),3.9
Actual hours worked per week,2010Q1,Information and communication (J),3.3
Actual hours worked per week,2010Q1,"Professional, scientific and technical activities (M)",3.9
Actual hours worked per week,2010Q1,Administrative and support service activities (N),2.3
Actual hours worked per week,2010Q1,"Public administration and defence, compulsory social security (O)",3.2
Actual hours worked per week,2010Q1,Education (P),3.5
Actual hours worked per week,2010Q1,Human health and social work activities (Q),7.1
Actual hours worked per week,2010Q1,Industry (B to E),8.9
Actual hours worked per week,2010Q1,Industry and Construction (B to F),12.5
Actual hours worked per week,2010Q1,Services (G to U),45.6
Actual hours worked per week,2010Q1,"Financial, insurance and real estate activities (K,L)",3.7
Actual hours worked per week,2010Q1,Other NACE activities (R to U),2.8
Actual hours worked per week,2010Q1,Not stated,0.3
Actual hours worked per week,2010Q2,All NACE economic sectors,63.5
Actual hours worked per week,2010Q2,"Agriculture, forestry and fishing (A)",5.4
Actual hours worked per week,2010Q2,Construction (F),3.5
Actual hours worked per week,2010Q2,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",8.7
Actual hours worked per week,2010Q2,Transportation and storage (H),3.1
Actual hours worked per week,2010Q2,Accommodation and food service activities (I),3.9
Actual hours worked per week,2010Q2,Information and communication (J),3.2
Actual hours worked per week,2010Q2,"Professional, scientific and technical activities (M)",3.9
Actual hours worked per week,2010Q2,Administrative and support service activities (N),2.4
Actual hours worked per week,2010Q2,"Public administration and defence, compulsory social security (O)",3.3
Actual hours worked per week,2010Q2,Education (P),3.4
Actual hours worked per week,2010Q2,Human health and social work activities (Q),7.2
Actual hours worked per week,2010Q2,Industry (B to E),8.8
Actual hours worked per week,2010Q2,Industry and Construction (B to F),12.3
Actual hours worked per week,2010Q2,Services (G to U),45.5
Actual hours worked per week,2010Q2,"Financial, insurance and real estate activities (K,L)",3.6
Actual hours worked per week,2010Q2,Other NACE activities (R to U),2.8
Actual hours worked per week,2010Q2,Not stated,0.3
Actual hours worked per week,2010Q3,All NACE economic sectors,60.9
Actual hours worked per week,2010Q3,"Agriculture, forestry and fishing (A)",5.4
Actual hours worked per week,2010Q3,Construction (F),3.2
Actual hours worked per week,2010Q3,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",8.5
Actual hours worked per week,2010Q3,Transportation and storage (H),3.1
Actual hours worked per week,2010Q3,Accommodation and food service activities (I),3.9
Actual hours worked per week,2010Q3,Information and communication (J),3.1
Actual hours worked per week,2010Q3,"Professional, scientific and technical activities (M)",3.6
Actual hours worked per week,2010Q3,Administrative and support service activities (N),2.2
Actual hours worked per week,2010Q3,"Public administration and defence, compulsory social security (O)",3.1
Actual hours worked per week,2010Q3,Education (P),2.6
Actual hours worked per week,2010Q3,Human health and social work activities (Q),7.1
Actual hours worked per week,2010Q3,Industry (B to E),8.6
Actual hours worked per week,2010Q3,Industry and Construction (B to F),11.8
Actual hours worked per week,2010Q3,Services (G to U),43.5
Actual hours worked per week,2010Q3,"Financial, insurance and real estate activities (K,L)",3.5
Actual hours worked per week,2010Q3,Other NACE activities (R to U),2.9
Actual hours worked per week,2010Q3,Not stated,0.3
Actual hours worked per week,2010Q4,All NACE economic sectors,58.6
Actual hours worked per week,2010Q4,"Agriculture, forestry and fishing (A)",5.0
Actual hours worked per week,2010Q4,Construction (F),2.7
Actual hours worked per week,2010Q4,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",8.2
Actual hours worked per week,2010Q4,Transportation and storage (H),3.1
Actual hours worked per week,2010Q4,Accommodation and food service activities (I),3.4
Actual hours worked per week,2010Q4,Information and communication (J),2.9
Actual hours worked per week,2010Q4,"Professional, scientific and technical activities (M)",3.5
Actual hours worked per week,2010Q4,Administrative and support service activities (N),2.1
Actual hours worked per week,2010Q4,"Public administration and defence, compulsory social security (O)",3.0
Actual hours worked per week,2010Q4,Education (P),3.2
Actual hours worked per week,2010Q4,Human health and social work activities (Q),7.0
Actual hours worked per week,2010Q4,Industry (B to E),8.2
Actual hours worked per week,2010Q4,Industry and Construction (B to F),11.0
Actual hours worked per week,2010Q4,Services (G to U),42.5
Actual hours worked per week,2010Q4,"Financial, insurance and real estate activities (K,L)",3.3
Actual hours worked per week,2010Q4,Other NACE activities (R to U),2.7
Actual hours worked per week,2010Q4,Not stated,0.2
Actual hours worked per week,2011Q1,All NACE economic sectors,61.6
Actual hours worked per week,2011Q1,"Agriculture, forestry and fishing (A)",5.1
Actual hours worked per week,2011Q1,Construction (F),3.0
Actual hours worked per week,2011Q1,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",8.4
Actual hours worked per week,2011Q1,Transportation and storage (H),3.2
Actual hours worked per week,2011Q1,Accommodation and food service activities (I),3.2
Actual hours worked per week,2011Q1,Information and communication (J),3.2
Actual hours worked per week,2011Q1,"Professional, scientific and technical activities (M)",3.9
Actual hours worked per week,2011Q1,Administrative and support service activities (N),2.3
Actual hours worked per week,2011Q1,"Public administration and defence, compulsory social security (O)",3.3
Actual hours worked per week,2011Q1,Education (P),3.5
Actual hours worked per week,2011Q1,Human health and social work activities (Q),7.2
Actual hours worked per week,2011Q1,Industry (B to E),8.6
Actual hours worked per week,2011Q1,Industry and Construction (B to F),11.6
Actual hours worked per week,2011Q1,Services (G to U),44.7
Actual hours worked per week,2011Q1,"Financial, insurance and real estate activities (K,L)",3.6
Actual hours worked per week,2011Q1,Other NACE activities (R to U),3.0
Actual hours worked per week,2011Q1,Not stated,0.2
Actual hours worked per week,2011Q2,All NACE economic sectors,61.8
Actual hours worked per week,2011Q2,"Agriculture, forestry and fishing (A)",5.5
Actual hours worked per week,2011Q2,Construction (F),2.9
Actual hours worked per week,2011Q2,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",8.5
Actual hours worked per week,2011Q2,Transportation and storage (H),3.2
Actual hours worked per week,2011Q2,Accommodation and food service activities (I),3.5
Actual hours worked per week,2011Q2,Information and communication (J),3.3
Actual hours worked per week,2011Q2,"Professional, scientific and technical activities (M)",3.8
Actual hours worked per week,2011Q2,Administrative and support service activities (N),2.5
Actual hours worked per week,2011Q2,"Public administration and defence, compulsory social security (O)",2.9
Actual hours worked per week,2011Q2,Education (P),3.1
Actual hours worked per week,2011Q2,Human health and social work activities (Q),7.5
Actual hours worked per week,2011Q2,Industry (B to E),8.5
Actual hours worked per week,2011Q2,Industry and Construction (B to F),11.4
Actual hours worked per week,2011Q2,Services (G to U),44.8
Actual hours worked per week,2011Q2,"Financial, insurance and real estate activities (K,L)",3.6
Actual hours worked per week,2011Q2,Other NACE activities (R to U),2.9
Actual hours worked per week,2011Q2,Not stated,0.1
Actual hours worked per week,2011Q3,All NACE economic sectors,59.4
Actual hours worked per week,2011Q3,"Agriculture, forestry and fishing (A)",5.2
Actual hours worked per week,2011Q3,Construction (F),3.0
Actual hours worked per week,2011Q3,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",8.4
Actual hours worked per week,2011Q3,Transportation and storage (H),3.2
Actual hours worked per week,2011Q3,Accommodation and food service activities (I),3.8
Actual hours worked per week,2011Q3,Information and communication (J),3.1
Actual hours worked per week,2011Q3,"Professional, scientific and technical activities (M)",3.5
Actual hours worked per week,2011Q3,Administrative and support service activities (N),2.4
Actual hours worked per week,2011Q3,"Public administration and defence, compulsory social security (O)",2.8
Actual hours worked per week,2011Q3,Education (P),2.2
Actual hours worked per week,2011Q3,Human health and social work activities (Q),7.2
Actual hours worked per week,2011Q3,Industry (B to E),8.4
Actual hours worked per week,2011Q3,Industry and Construction (B to F),11.4
Actual hours worked per week,2011Q3,Services (G to U),42.8
Actual hours worked per week,2011Q3,"Financial, insurance and real estate activities (K,L)",3.4
Actual hours worked per week,2011Q3,Other NACE activities (R to U),2.8
Actual hours worked per week,2011Q3,Not stated,0.1
Actual hours worked per week,2011Q4,All NACE economic sectors,59.3
Actual hours worked per week,2011Q4,"Agriculture, forestry and fishing (A)",4.5
Actual hours worked per week,2011Q4,Construction (F),2.8
Actual hours worked per week,2011Q4,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",8.3
Actual hours worked per week,2011Q4,Transportation and storage (H),3.1
Actual hours worked per week,2011Q4,Accommodation and food service activities (I),3.6
Actual hours worked per week,2011Q4,Information and communication (J),3.1
Actual hours worked per week,2011Q4,"Professional, scientific and technical activities (M)",3.4
Actual hours worked per week,2011Q4,Administrative and support service activities (N),2.3
Actual hours worked per week,2011Q4,"Public administration and defence, compulsory social security (O)",2.9
Actual hours worked per week,2011Q4,Education (P),3.3
Actual hours worked per week,2011Q4,Human health and social work activities (Q),7.2
Actual hours worked per week,2011Q4,Industry (B to E),8.5
Actual hours worked per week,2011Q4,Industry and Construction (B to F),11.3
Actual hours worked per week,2011Q4,Services (G to U),43.4
Actual hours worked per week,2011Q4,"Financial, insurance and real estate activities (K,L)",3.4
Actual hours worked per week,2011Q4,Other NACE activities (R to U),2.8
Actual hours worked per week,2011Q4,Not stated,0.1
Actual hours worked per week,2012Q1,All NACE economic sectors,60.5
Actual hours worked per week,2012Q1,"Agriculture, forestry and fishing (A)",4.9
Actual hours worked per week,2012Q1,Construction (F),2.8
Actual hours worked per week,2012Q1,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",8.4
Actual hours worked per week,2012Q1,Transportation and storage (H),3.0
Actual hours worked per week,2012Q1,Accommodation and food service activities (I),3.5
Actual hours worked per week,2012Q1,Information and communication (J),3.4
Actual hours worked per week,2012Q1,"Professional, scientific and technical activities (M)",3.6
Actual hours worked per week,2012Q1,Administrative and support service activities (N),2.3
Actual hours worked per week,2012Q1,"Public administration and defence, compulsory social security (O)",2.9
Actual hours worked per week,2012Q1,Education (P),3.5
Actual hours worked per week,2012Q1,Human health and social work activities (Q),7.2
Actual hours worked per week,2012Q1,Industry (B to E),8.5
Actual hours worked per week,2012Q1,Industry and Construction (B to F),11.3
Actual hours worked per week,2012Q1,Services (G to U),44.2
Actual hours worked per week,2012Q1,"Financial, insurance and real estate activities (K,L)",3.5
Actual hours worked per week,2012Q1,Other NACE activities (R to U),2.9
Actual hours worked per week,2012Q1,Not stated,0.1
Actual hours worked per week,2012Q2,All NACE economic sectors,60.4
Actual hours worked per week,2012Q2,"Agriculture, forestry and fishing (A)",5.4
Actual hours worked per week,2012Q2,Construction (F),2.7
Actual hours worked per week,2012Q2,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",8.2
Actual hours worked per week,2012Q2,Transportation and storage (H),3.0
Actual hours worked per week,2012Q2,Accommodation and food service activities (I),3.6
Actual hours worked per week,2012Q2,Information and communication (J),3.4
Actual hours worked per week,2012Q2,"Professional, scientific and technical activities (M)",3.7
Actual hours worked per week,2012Q2,Administrative and support service activities (N),2.3
Actual hours worked per week,2012Q2,"Public administration and defence, compulsory social security (O)",3.0
Actual hours worked per week,2012Q2,Education (P),3.2
Actual hours worked per week,2012Q2,Human health and social work activities (Q),7.4
Actual hours worked per week,2012Q2,Industry (B to E),8.2
Actual hours worked per week,2012Q2,Industry and Construction (B to F),10.9
Actual hours worked per week,2012Q2,Services (G to U),44.1
Actual hours worked per week,2012Q2,"Financial, insurance and real estate activities (K,L)",3.4
Actual hours worked per week,2012Q2,Other NACE activities (R to U),3.0
Actual hours worked per week,2012Q2,Not stated,0.0
Actual hours worked per week,2012Q3,All NACE economic sectors,59.5
Actual hours worked per week,2012Q3,"Agriculture, forestry and fishing (A)",5.1
Actual hours worked per week,2012Q3,Construction (F),2.7
Actual hours worked per week,2012Q3,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",8.4
Actual hours worked per week,2012Q3,Transportation and storage (H),2.9
Actual hours worked per week,2012Q3,Accommodation and food service activities (I),3.8
Actual hours worked per week,2012Q3,Information and communication (J),3.2
Actual hours worked per week,2012Q3,"Professional, scientific and technical activities (M)",3.7
Actual hours worked per week,2012Q3,Administrative and support service activities (N),2.4
Actual hours worked per week,2012Q3,"Public administration and defence, compulsory social security (O)",2.9
Actual hours worked per week,2012Q3,Education (P),2.3
Actual hours worked per week,2012Q3,Human health and social work activities (Q),7.4
Actual hours worked per week,2012Q3,Industry (B to E),8.1
Actual hours worked per week,2012Q3,Industry and Construction (B to F),10.8
Actual hours worked per week,2012Q3,Services (G to U),43.5
Actual hours worked per week,2012Q3,"Financial, insurance and real estate activities (K,L)",3.5
Actual hours worked per week,2012Q3,Other NACE activities (R to U),3.0
Actual hours worked per week,2012Q3,Not stated,0.1
Actual hours worked per week,2012Q4,All NACE economic sectors,60.1
Actual hours worked per week,2012Q4,"Agriculture, forestry and fishing (A)",4.8
Actual hours worked per week,2012Q4,Construction (F),2.7
Actual hours worked per week,2012Q4,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",8.4
Actual hours worked per week,2012Q4,Transportation and storage (H),2.9
Actual hours worked per week,2012Q4,Accommodation and food service activities (I),3.5
Actual hours worked per week,2012Q4,Information and communication (J),3.4
Actual hours worked per week,2012Q4,"Professional, scientific and technical activities (M)",3.7
Actual hours worked per week,2012Q4,Administrative and support service activities (N),2.3
Actual hours worked per week,2012Q4,"Public administration and defence, compulsory social security (O)",3.0
Actual hours worked per week,2012Q4,Education (P),3.4
Actual hours worked per week,2012Q4,Human health and social work activities (Q),7.4
Actual hours worked per week,2012Q4,Industry (B to E),8.3
Actual hours worked per week,2012Q4,Industry and Construction (B to F),11.0
Actual hours worked per week,2012Q4,Services (G to U),44.3
Actual hours worked per week,2012Q4,"Financial, insurance and real estate activities (K,L)",3.5
Actual hours worked per week,2012Q4,Other NACE activities (R to U),2.8
Actual hours worked per week,2012Q4,Not stated,0.1
Actual hours worked per week,2013Q1,All NACE economic sectors,61.0
Actual hours worked per week,2013Q1,"Agriculture, forestry and fishing (A)",4.9
Actual hours worked per week,2013Q1,Construction (F),2.5
Actual hours worked per week,2013Q1,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",8.6
Actual hours worked per week,2013Q1,Transportation and storage (H),3.0
Actual hours worked per week,2013Q1,Accommodation and food service activities (I),3.5
Actual hours worked per week,2013Q1,Information and communication (J),3.3
Actual hours worked per week,2013Q1,"Professional, scientific and technical activities (M)",3.9
Actual hours worked per week,2013Q1,Administrative and support service activities (N),2.1
Actual hours worked per week,2013Q1,"Public administration and defence, compulsory social security (O)",2.9
Actual hours worked per week,2013Q1,Education (P),3.5
Actual hours worked per week,2013Q1,Human health and social work activities (Q),7.6
Actual hours worked per week,2013Q1,Industry (B to E),8.6
Actual hours worked per week,2013Q1,Industry and Construction (B to F),11.0
Actual hours worked per week,2013Q1,Services (G to U),45.0
Actual hours worked per week,2013Q1,"Financial, insurance and real estate activities (K,L)",3.5
Actual hours worked per week,2013Q1,Other NACE activities (R to U),3.0
Actual hours worked per week,2013Q1,Not stated,0.0
Actual hours worked per week,2013Q2,All NACE economic sectors,63.0
Actual hours worked per week,2013Q2,"Agriculture, forestry and fishing (A)",5.5
Actual hours worked per week,2013Q2,Construction (F),2.9
Actual hours worked per week,2013Q2,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",8.6
Actual hours worked per week,2013Q2,Transportation and storage (H),2.9
Actual hours worked per week,2013Q2,Accommodation and food service activities (I),4.0
Actual hours worked per week,2013Q2,Information and communication (J),3.5
Actual hours worked per week,2013Q2,"Professional, scientific and technical activities (M)",4.1
Actual hours worked per week,2013Q2,Administrative and support service activities (N),2.1
Actual hours worked per week,2013Q2,"Public administration and defence, compulsory social security (O)",2.9
Actual hours worked per week,2013Q2,Education (P),3.6
Actual hours worked per week,2013Q2,Human health and social work activities (Q),7.6
Actual hours worked per week,2013Q2,Industry (B to E),8.6
Actual hours worked per week,2013Q2,Industry and Construction (B to F),11.5
Actual hours worked per week,2013Q2,Services (G to U),46.0
Actual hours worked per week,2013Q2,"Financial, insurance and real estate activities (K,L)",3.5
Actual hours worked per week,2013Q2,Other NACE activities (R to U),3.1
Actual hours worked per week,2013Q2,Not stated,0.0
Actual hours worked per week,2013Q3,All NACE economic sectors,62.6
Actual hours worked per week,2013Q3,"Agriculture, forestry and fishing (A)",5.4
Actual hours worked per week,2013Q3,Construction (F),3.0
Actual hours worked per week,2013Q3,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",8.6
Actual hours worked per week,2013Q3,Transportation and storage (H),3.0
Actual hours worked per week,2013Q3,Accommodation and food service activities (I),4.3
Actual hours worked per week,2013Q3,Information and communication (J),3.5
Actual hours worked per week,2013Q3,"Professional, scientific and technical activities (M)",4.2
Actual hours worked per week,2013Q3,Administrative and support service activities (N),2.3
Actual hours worked per week,2013Q3,"Public administration and defence, compulsory social security (O)",2.9
Actual hours worked per week,2013Q3,Education (P),2.3
Actual hours worked per week,2013Q3,Human health and social work activities (Q),7.6
Actual hours worked per week,2013Q3,Industry (B to E),8.7
Actual hours worked per week,2013Q3,Industry and Construction (B to F),11.7
Actual hours worked per week,2013Q3,Services (G to U),45.4
Actual hours worked per week,2013Q3,"Financial, insurance and real estate activities (K,L)",3.5
Actual hours worked per week,2013Q3,Other NACE activities (R to U),3.1
Actual hours worked per week,2013Q3,Not stated,0.1
Actual hours worked per week,2013Q4,All NACE economic sectors,63.3
Actual hours worked per week,2013Q4,"Agriculture, forestry and fishing (A)",4.9
Actual hours worked per week,2013Q4,Construction (F),2.9
Actual hours worked per week,2013Q4,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",8.6
Actual hours worked per week,2013Q4,Transportation and storage (H),3.0
Actual hours worked per week,2013Q4,Accommodation and food service activities (I),4.1
Actual hours worked per week,2013Q4,Information and communication (J),3.5
Actual hours worked per week,2013Q4,"Professional, scientific and technical activities (M)",4.3
Actual hours worked per week,2013Q4,Administrative and support service activities (N),2.5
Actual hours worked per week,2013Q4,"Public administration and defence, compulsory social security (O)",3.0
Actual hours worked per week,2013Q4,Education (P),3.6
Actual hours worked per week,2013Q4,Human health and social work activities (Q),7.6
Actual hours worked per week,2013Q4,Industry (B to E),8.8
Actual hours worked per week,2013Q4,Industry and Construction (B to F),11.7
Actual hours worked per week,2013Q4,Services (G to U),46.6
Actual hours worked per week,2013Q4,"Financial, insurance and real estate activities (K,L)",3.4
Actual hours worked per week,2013Q4,Other NACE activities (R to U),3.0
Actual hours worked per week,2013Q4,Not stated,0.0
Actual hours worked per week,2014Q1,All NACE economic sectors,63.5
Actual hours worked per week,2014Q1,"Agriculture, forestry and fishing (A)",4.9
Actual hours worked per week,2014Q1,Construction (F),2.9
Actual hours worked per week,2014Q1,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",8.6
Actual hours worked per week,2014Q1,Transportation and storage (H),3.1
Actual hours worked per week,2014Q1,Accommodation and food service activities (I),4.0
Actual hours worked per week,2014Q1,Information and communication (J),3.5
Actual hours worked per week,2014Q1,"Professional, scientific and technical activities (M)",4.4
Actual hours worked per week,2014Q1,Administrative and support service activities (N),2.3
Actual hours worked per week,2014Q1,"Public administration and defence, compulsory social security (O)",3.1
Actual hours worked per week,2014Q1,Education (P),3.8
Actual hours worked per week,2014Q1,Human health and social work activities (Q),7.6
Actual hours worked per week,2014Q1,Industry (B to E),8.7
Actual hours worked per week,2014Q1,Industry and Construction (B to F),11.6
Actual hours worked per week,2014Q1,Services (G to U),47.0
Actual hours worked per week,2014Q1,"Financial, insurance and real estate activities (K,L)",3.5
Actual hours worked per week,2014Q1,Other NACE activities (R to U),3.1
Actual hours worked per week,2014Q1,Not stated,0.0
Actual hours worked per week,2014Q2,All NACE economic sectors,64.6
Actual hours worked per week,2014Q2,"Agriculture, forestry and fishing (A)",5.2
Actual hours worked per week,2014Q2,Construction (F),3.1
Actual hours worked per week,2014Q2,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",8.7
Actual hours worked per week,2014Q2,Transportation and storage (H),3.1
Actual hours worked per week,2014Q2,Accommodation and food service activities (I),4.4
Actual hours worked per week,2014Q2,Information and communication (J),3.6
Actual hours worked per week,2014Q2,"Professional, scientific and technical activities (M)",4.4
Actual hours worked per week,2014Q2,Administrative and support service activities (N),2.5
Actual hours worked per week,2014Q2,"Public administration and defence, compulsory social security (O)",3.0
Actual hours worked per week,2014Q2,Education (P),3.5
Actual hours worked per week,2014Q2,Human health and social work activities (Q),7.8
Actual hours worked per week,2014Q2,Industry (B to E),8.8
Actual hours worked per week,2014Q2,Industry and Construction (B to F),11.9
Actual hours worked per week,2014Q2,Services (G to U),47.5
Actual hours worked per week,2014Q2,"Financial, insurance and real estate activities (K,L)",3.4
Actual hours worked per week,2014Q2,Other NACE activities (R to U),3.1
Actual hours worked per week,2014Q2,Not stated,0.1
Actual hours worked per week,2014Q3,All NACE economic sectors,64.3
Actual hours worked per week,2014Q3,"Agriculture, forestry and fishing (A)",5.2
Actual hours worked per week,2014Q3,Construction (F),3.3
Actual hours worked per week,2014Q3,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",8.9
Actual hours worked per week,2014Q3,Transportation and storage (H),2.9
Actual hours worked per week,2014Q3,Accommodation and food service activities (I),4.5
Actual hours worked per week,2014Q3,Information and communication (J),3.4
Actual hours worked per week,2014Q3,"Professional, scientific and technical activities (M)",4.5
Actual hours worked per week,2014Q3,Administrative and support service activities (N),2.5
Actual hours worked per week,2014Q3,"Public administration and defence, compulsory social security (O)",3.0
Actual hours worked per week,2014Q3,Education (P),2.5
Actual hours worked per week,2014Q3,Human health and social work activities (Q),7.8
Actual hours worked per week,2014Q3,Industry (B to E),8.9
Actual hours worked per week,2014Q3,Industry and Construction (B to F),12.2
Actual hours worked per week,2014Q3,Services (G to U),46.7
Actual hours worked per week,2014Q3,"Financial, insurance and real estate activities (K,L)",3.6
Actual hours worked per week,2014Q3,Other NACE activities (R to U),3.1
Actual hours worked per week,2014Q3,Not stated,0.2
Actual hours worked per week,2014Q4,All NACE economic sectors,65.9
Actual hours worked per week,2014Q4,"Agriculture, forestry and fishing (A)",4.9
Actual hours worked per week,2014Q4,Construction (F),3.4
Actual hours worked per week,2014Q4,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",8.9
Actual hours worked per week,2014Q4,Transportation and storage (H),3.1
Actual hours worked per week,2014Q4,Accommodation and food service activities (I),4.3
Actual hours worked per week,2014Q4,Information and communication (J),3.5
Actual hours worked per week,2014Q4,"Professional, scientific and technical activities (M)",4.6
Actual hours worked per week,2014Q4,Administrative and support service activities (N),2.5
Actual hours worked per week,2014Q4,"Public administration and defence, compulsory social security (O)",3.0
Actual hours worked per week,2014Q4,Education (P),3.9
Actual hours worked per week,2014Q4,Human health and social work activities (Q),7.8
Actual hours worked per week,2014Q4,Industry (B to E),9.1
Actual hours worked per week,2014Q4,Industry and Construction (B to F),12.5
Actual hours worked per week,2014Q4,Services (G to U),48.3
Actual hours worked per week,2014Q4,"Financial, insurance and real estate activities (K,L)",3.7
Actual hours worked per week,2014Q4,Other NACE activities (R to U),3.0
Actual hours worked per week,2014Q4,Not stated,0.1
Actual hours worked per week,2015Q1,All NACE economic sectors,65.6
Actual hours worked per week,2015Q1,"Agriculture, forestry and fishing (A)",5.2
Actual hours worked per week,2015Q1,Construction (F),3.6
Actual hours worked per week,2015Q1,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",8.7
Actual hours worked per week,2015Q1,Transportation and storage (H),3.1
Actual hours worked per week,2015Q1,Accommodation and food service activities (I),4.1
Actual hours worked per week,2015Q1,Information and communication (J),3.7
Actual hours worked per week,2015Q1,"Professional, scientific and technical activities (M)",4.2
Actual hours worked per week,2015Q1,Administrative and support service activities (N),2.3
Actual hours worked per week,2015Q1,"Public administration and defence, compulsory social security (O)",3.1
Actual hours worked per week,2015Q1,Education (P),3.8
Actual hours worked per week,2015Q1,Human health and social work activities (Q),7.8
Actual hours worked per week,2015Q1,Industry (B to E),9.2
Actual hours worked per week,2015Q1,Industry and Construction (B to F),12.8
Actual hours worked per week,2015Q1,Services (G to U),47.5
Actual hours worked per week,2015Q1,"Financial, insurance and real estate activities (K,L)",3.7
Actual hours worked per week,2015Q1,Other NACE activities (R to U),3.1
Actual hours worked per week,2015Q1,Not stated,0.1
Actual hours worked per week,2015Q2,All NACE economic sectors,67.5
Actual hours worked per week,2015Q2,"Agriculture, forestry and fishing (A)",5.5
Actual hours worked per week,2015Q2,Construction (F),3.8
Actual hours worked per week,2015Q2,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",8.8
Actual hours worked per week,2015Q2,Transportation and storage (H),3.2
Actual hours worked per week,2015Q2,Accommodation and food service activities (I),4.5
Actual hours worked per week,2015Q2,Information and communication (J),3.7
Actual hours worked per week,2015Q2,"Professional, scientific and technical activities (M)",4.6
Actual hours worked per week,2015Q2,Administrative and support service activities (N),2.5
Actual hours worked per week,2015Q2,"Public administration and defence, compulsory social security (O)",3.1
Actual hours worked per week,2015Q2,Education (P),3.5
Actual hours worked per week,2015Q2,Human health and social work activities (Q),7.9
Actual hours worked per week,2015Q2,Industry (B to E),9.3
Actual hours worked per week,2015Q2,Industry and Construction (B to F),13.2
Actual hours worked per week,2015Q2,Services (G to U),48.6
Actual hours worked per week,2015Q2,"Financial, insurance and real estate activities (K,L)",3.7
Actual hours worked per week,2015Q2,Other NACE activities (R to U),3.1
Actual hours worked per week,2015Q2,Not stated,0.2
Actual hours worked per week,2015Q3,All NACE economic sectors,66.7
Actual hours worked per week,2015Q3,"Agriculture, forestry and fishing (A)",5.2
Actual hours worked per week,2015Q3,Construction (F),4.0
Actual hours worked per week,2015Q3,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",8.9
Actual hours worked per week,2015Q3,Transportation and storage (H),3.1
Actual hours worked per week,2015Q3,Accommodation and food service activities (I),4.5
Actual hours worked per week,2015Q3,Information and communication (J),3.7
Actual hours worked per week,2015Q3,"Professional, scientific and technical activities (M)",4.8
Actual hours worked per week,2015Q3,Administrative and support service activities (N),2.6
Actual hours worked per week,2015Q3,"Public administration and defence, compulsory social security (O)",2.9
Actual hours worked per week,2015Q3,Education (P),2.5
Actual hours worked per week,2015Q3,Human health and social work activities (Q),7.8
Actual hours worked per week,2015Q3,Industry (B to E),9.5
Actual hours worked per week,2015Q3,Industry and Construction (B to F),13.5
Actual hours worked per week,2015Q3,Services (G to U),47.7
Actual hours worked per week,2015Q3,"Financial, insurance and real estate activities (K,L)",3.6
Actual hours worked per week,2015Q3,Other NACE activities (R to U),3.2
Actual hours worked per week,2015Q3,Not stated,0.3
Actual hours worked per week,2015Q4,All NACE economic sectors,66.1
Actual hours worked per week,2015Q4,"Agriculture, forestry and fishing (A)",4.7
Actual hours worked per week,2015Q4,Construction (F),3.7
Actual hours worked per week,2015Q4,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",9.0
Actual hours worked per week,2015Q4,Transportation and storage (H),3.2
Actual hours worked per week,2015Q4,Accommodation and food service activities (I),4.6
Actual hours worked per week,2015Q4,Information and communication (J),3.6
Actual hours worked per week,2015Q4,"Professional, scientific and technical activities (M)",4.5
Actual hours worked per week,2015Q4,Administrative and support service activities (N),2.5
