Statistic,Quarter,Full and Part Time Status,Sex,value
Persons in employment (ILO),2023Q3,All employment status,Both sexes,2696.2
Persons in employment (ILO),2023Q3,All employment status,Male,1426.4
Persons in employment (ILO),2023Q3,All employment status,Female,1269.9
Persons in employment (ILO),2023Q3,Full-time,Both sexes,2114.3
Persons in employment (ILO),2023Q3,Full-time,Male,1246.3
Persons in employment (ILO),2023Q3,Full-time,Female,868.0
Persons in employment (ILO),2023Q3,Part-time,Both sexes,581.9
Persons in employment (ILO),2023Q3,Part-time,Male,180.0
Persons in employment (ILO),2023Q3,Part-time,Female,401.9
Persons in employment (ILO),2023Q4,All employment status,Both sexes,2706.4
Persons in employment (ILO),2023Q4,All employment status,Male,1433.8
Persons in employment (ILO),2023Q4,All employment status,Female,1272.6
Persons in employment (ILO),2023Q4,Full-time,Both sexes,2114.0
Persons in employment (ILO),2023Q4,Full-time,Male,1235.8
Persons in employment (ILO),2023Q4,Full-time,Female,878.2
Persons in employment (ILO),2023Q4,Part-time,Both sexes,592.4
Persons in employment (ILO),2023Q4,Part-time,Male,198.0
Persons in employment (ILO),2023Q4,Part-time,Female,394.4
Persons in employment (ILO),2024Q1,All employment status,Both sexes,2704.2
Persons in employment (ILO),2024Q1,All employment status,Male,1431.9
Persons in employment (ILO),2024Q1,All employment status,Female,1272.3
Persons in employment (ILO),2024Q1,Full-time,Both sexes,2130.8
Persons in employment (ILO),2024Q1,Full-time,Male,1233.6
Persons in employment (ILO),2024Q1,Full-time,Female,897.2
Persons in employment (ILO),2024Q1,Part-time,Both sexes,573.4
Persons in employment (ILO),2024Q1,Part-time,Male,198.3
Persons in employment (ILO),2024Q1,Part-time,Female,375.1
Persons in employment (ILO),2024Q2,All employment status,Both sexes,2754.2
Persons in employment (ILO),2024Q2,All employment status,Male,1448.2
Persons in employment (ILO),2024Q2,All employment status,Female,1306.0
Persons in employment (ILO),2024Q2,Full-time,Both sexes,2182.5
Persons in employment (ILO),2024Q2,Full-time,Male,1260.4
Persons in employment (ILO),2024Q2,Full-time,Female,922.1
Persons in employment (ILO),2024Q2,Part-time,Both sexes,571.6
Persons in employment (ILO),2024Q2,Part-time,Male,187.8
Persons in employment (ILO),2024Q2,Part-time,Female,383.8
Persons in employment (ILO),2024Q3,All employment status,Both sexes,2794.8
Persons in employment (ILO),2024Q3,All employment status,Male,1477.8
Persons in employment (ILO),2024Q3,All employment status,Female,1317.0
Persons in employment (ILO),2024Q3,Full-time,Both sexes,2209.1
Persons in employment (ILO),2024Q3,Full-time,Male,1284.5
Persons in employment (ILO),2024Q3,Full-time,Female,924.6
Persons in employment (ILO),2024Q3,Part-time,Both sexes,585.7
Persons in employment (ILO),2024Q3,Part-time,Male,193.3
Persons in employment (ILO),2024Q3,Part-time,Female,392.4
Persons in employment (ILO),2024Q4,All employment status,Both sexes,2776.4
Persons in employment (ILO),2024Q4,All employment status,Male,1465.8
Persons in employment (ILO),2024Q4,All employment status,Female,1310.6
Persons in employment (ILO),2024Q4,Full-time,Both sexes,2195.7
Persons in employment (ILO),2024Q4,Full-time,Male,1276.1
Persons in employment (ILO),2024Q4,Full-time,Female,919.6
Persons in employment (ILO),2024Q4,Part-time,Both sexes,580.7
Persons in employment (ILO),2024Q4,Part-time,Male,189.6
Persons in employment (ILO),2024Q4,Part-time,Female,391.1
Persons in employment (ILO),2025Q1,All employment status,Both sexes,2794.1
Persons in employment (ILO),2025Q1,All employment status,Male,1470.2
Persons in employment (ILO),2025Q1,All employment status,Female,1323.9
Persons in employment (ILO),2025Q1,Full-time,Both sexes,2200.8
Persons in employment (ILO),2025Q1,Full-time,Male,1280.9
Persons in employment (ILO),2025Q1,Full-time,Female,919.9
Persons in employment (ILO),2025Q1,Part-time,Both sexes,593.4
Persons in employment (ILO),2025Q1,Part-time,Male,189.4
Persons in employment (ILO),2025Q1,Part-time,Female,404.0
