Statistic,Quarter,Full and Part Time Status,Detailed Occupational Group,value
Persons aged 15 years and over in Employment (ILO),2011Q1,All employment status,4 Administrative and secreterial,206.2
Persons aged 15 years and over in Employment (ILO),2011Q1,All employment status,5 Skilled trades,257.0
Persons aged 15 years and over in Employment (ILO),2011Q1,All employment status,"6 Caring, leisure and other services",142.8
Persons aged 15 years and over in Employment (ILO),2011Q1,All employment status,7 Sales and customer service,153.5
Persons aged 15 years and over in Employment (ILO),2011Q1,All employment status,"8 Process, plant and machine operatives",151.3
Persons aged 15 years and over in Employment (ILO),2011Q1,All employment status,9 Elementary,211.3
Persons aged 15 years and over in Employment (ILO),2011Q1,All employment status,X1 Other/Not stated,6.8
Persons aged 15 years and over in Employment (ILO),2011Q1,Full-time,All occupational groups,1426.1
Persons aged 15 years and over in Employment (ILO),2011Q1,Full-time,"1 Managers, directors and senior officials",138.0
Persons aged 15 years and over in Employment (ILO),2011Q1,Full-time,2 Professional,323.5
Persons aged 15 years and over in Employment (ILO),2011Q1,Full-time,3 Associate professional and technical,187.7
Persons aged 15 years and over in Employment (ILO),2011Q1,Full-time,4 Administrative and secreterial,142.4
Persons aged 15 years and over in Employment (ILO),2011Q1,Full-time,5 Skilled trades,222.1
Persons aged 15 years and over in Employment (ILO),2011Q1,Full-time,"6 Caring, leisure and other services",76.6
Persons aged 15 years and over in Employment (ILO),2011Q1,Full-time,7 Sales and customer service,72.6
Persons aged 15 years and over in Employment (ILO),2011Q1,Full-time,"8 Process, plant and machine operatives",130.9
Persons aged 15 years and over in Employment (ILO),2011Q1,Full-time,9 Elementary,126.3
Persons aged 15 years and over in Employment (ILO),2011Q1,Full-time,X1 Other/Not stated,5.8
Persons aged 15 years and over in Employment (ILO),2011Q1,Part-time,All occupational groups,451.9
Persons aged 15 years and over in Employment (ILO),2011Q1,Part-time,"1 Managers, directors and senior officials",13.2
Persons aged 15 years and over in Employment (ILO),2011Q1,Part-time,2 Professional,53.1
Persons aged 15 years and over in Employment (ILO),2011Q1,Part-time,3 Associate professional and technical,33.7
Persons aged 15 years and over in Employment (ILO),2011Q1,Part-time,4 Administrative and secreterial,63.8
Persons aged 15 years and over in Employment (ILO),2011Q1,Part-time,5 Skilled trades,34.9
Persons aged 15 years and over in Employment (ILO),2011Q1,Part-time,"6 Caring, leisure and other services",66.2
Persons aged 15 years and over in Employment (ILO),2011Q1,Part-time,7 Sales and customer service,80.9
Persons aged 15 years and over in Employment (ILO),2011Q1,Part-time,"8 Process, plant and machine operatives",20.3
Persons aged 15 years and over in Employment (ILO),2011Q1,Part-time,9 Elementary,85.0
Persons aged 15 years and over in Employment (ILO),2011Q1,Part-time,X1 Other/Not stated,
Persons aged 15 years and over in Employment (ILO),2011Q2,All employment status,All occupational groups,1899.6
Persons aged 15 years and over in Employment (ILO),2011Q2,All employment status,"1 Managers, directors and senior officials",149.3
Persons aged 15 years and over in Employment (ILO),2011Q2,All employment status,2 Professional,390.7
Persons aged 15 years and over in Employment (ILO),2011Q2,All employment status,3 Associate professional and technical,222.3
Persons aged 15 years and over in Employment (ILO),2011Q2,All employment status,4 Administrative and secreterial,206.6
Persons aged 15 years and over in Employment (ILO),2011Q2,All employment status,5 Skilled trades,257.9
Persons aged 15 years and over in Employment (ILO),2011Q2,All employment status,"6 Caring, leisure and other services",139.4
Persons aged 15 years and over in Employment (ILO),2011Q2,All employment status,7 Sales and customer service,154.1
Persons aged 15 years and over in Employment (ILO),2011Q2,All employment status,"8 Process, plant and machine operatives",153.7
Persons aged 15 years and over in Employment (ILO),2011Q2,All employment status,9 Elementary,221.2
Persons aged 15 years and over in Employment (ILO),2011Q2,All employment status,X1 Other/Not stated,4.5
Persons aged 15 years and over in Employment (ILO),2011Q2,Full-time,All occupational groups,1450.4
Persons aged 15 years and over in Employment (ILO),2011Q2,Full-time,"1 Managers, directors and senior officials",136.5
Persons aged 15 years and over in Employment (ILO),2011Q2,Full-time,2 Professional,337.4
Persons aged 15 years and over in Employment (ILO),2011Q2,Full-time,3 Associate professional and technical,189.0
Persons aged 15 years and over in Employment (ILO),2011Q2,Full-time,4 Administrative and secreterial,143.2
Persons aged 15 years and over in Employment (ILO),2011Q2,Full-time,5 Skilled trades,221.8
Persons aged 15 years and over in Employment (ILO),2011Q2,Full-time,"6 Caring, leisure and other services",77.5
Persons aged 15 years and over in Employment (ILO),2011Q2,Full-time,7 Sales and customer service,76.6
Persons aged 15 years and over in Employment (ILO),2011Q2,Full-time,"8 Process, plant and machine operatives",132.2
Persons aged 15 years and over in Employment (ILO),2011Q2,Full-time,9 Elementary,132.0
Persons aged 15 years and over in Employment (ILO),2011Q2,Full-time,X1 Other/Not stated,4.2
Persons aged 15 years and over in Employment (ILO),2011Q2,Part-time,All occupational groups,449.2
Persons aged 15 years and over in Employment (ILO),2011Q2,Part-time,"1 Managers, directors and senior officials",12.8
Persons aged 15 years and over in Employment (ILO),2011Q2,Part-time,2 Professional,53.3
Persons aged 15 years and over in Employment (ILO),2011Q2,Part-time,3 Associate professional and technical,33.3
Persons aged 15 years and over in Employment (ILO),2011Q2,Part-time,4 Administrative and secreterial,63.4
Persons aged 15 years and over in Employment (ILO),2011Q2,Part-time,5 Skilled trades,36.0
Persons aged 15 years and over in Employment (ILO),2011Q2,Part-time,"6 Caring, leisure and other services",61.9
Persons aged 15 years and over in Employment (ILO),2011Q2,Part-time,7 Sales and customer service,77.5
Persons aged 15 years and over in Employment (ILO),2011Q2,Part-time,"8 Process, plant and machine operatives",21.4
Persons aged 15 years and over in Employment (ILO),2011Q2,Part-time,9 Elementary,89.2
Persons aged 15 years and over in Employment (ILO),2011Q2,Part-time,X1 Other/Not stated,
Persons aged 15 years and over in Employment (ILO),2011Q3,All employment status,All occupational groups,1885.7
Persons aged 15 years and over in Employment (ILO),2011Q3,All employment status,"1 Managers, directors and senior officials",149.0
Persons aged 15 years and over in Employment (ILO),2011Q3,All employment status,2 Professional,369.9
Persons aged 15 years and over in Employment (ILO),2011Q3,All employment status,3 Associate professional and technical,215.1
Persons aged 15 years and over in Employment (ILO),2011Q3,All employment status,4 Administrative and secreterial,198.4
Persons aged 15 years and over in Employment (ILO),2011Q3,All employment status,5 Skilled trades,262.9
Persons aged 15 years and over in Employment (ILO),2011Q3,All employment status,"6 Caring, leisure and other services",144.0
Persons aged 15 years and over in Employment (ILO),2011Q3,All employment status,7 Sales and customer service,159.3
Persons aged 15 years and over in Employment (ILO),2011Q3,All employment status,"8 Process, plant and machine operatives",155.1
Persons aged 15 years and over in Employment (ILO),2011Q3,All employment status,9 Elementary,225.5
Persons aged 15 years and over in Employment (ILO),2011Q3,All employment status,X1 Other/Not stated,6.2
Persons aged 15 years and over in Employment (ILO),2011Q3,Full-time,All occupational groups,1438.8
Persons aged 15 years and over in Employment (ILO),2011Q3,Full-time,"1 Managers, directors and senior officials",136.6
Persons aged 15 years and over in Employment (ILO),2011Q3,Full-time,2 Professional,322.6
Persons aged 15 years and over in Employment (ILO),2011Q3,Full-time,3 Associate professional and technical,182.6
Persons aged 15 years and over in Employment (ILO),2011Q3,Full-time,4 Administrative and secreterial,138.5
Persons aged 15 years and over in Employment (ILO),2011Q3,Full-time,5 Skilled trades,225.8
Persons aged 15 years and over in Employment (ILO),2011Q3,Full-time,"6 Caring, leisure and other services",82.3
Persons aged 15 years and over in Employment (ILO),2011Q3,Full-time,7 Sales and customer service,78.6
Persons aged 15 years and over in Employment (ILO),2011Q3,Full-time,"8 Process, plant and machine operatives",133.7
Persons aged 15 years and over in Employment (ILO),2011Q3,Full-time,9 Elementary,132.6
Persons aged 15 years and over in Employment (ILO),2011Q3,Full-time,X1 Other/Not stated,5.4
Persons aged 15 years and over in Employment (ILO),2011Q3,Part-time,All occupational groups,446.8
Persons aged 15 years and over in Employment (ILO),2011Q3,Part-time,"1 Managers, directors and senior officials",12.5
Persons aged 15 years and over in Employment (ILO),2011Q3,Part-time,2 Professional,47.3
Persons aged 15 years and over in Employment (ILO),2011Q3,Part-time,3 Associate professional and technical,32.5
Persons aged 15 years and over in Employment (ILO),2011Q3,Part-time,4 Administrative and secreterial,59.9
Persons aged 15 years and over in Employment (ILO),2011Q3,Part-time,5 Skilled trades,37.1
Persons aged 15 years and over in Employment (ILO),2011Q3,Part-time,"6 Caring, leisure and other services",61.7
Persons aged 15 years and over in Employment (ILO),2011Q3,Part-time,7 Sales and customer service,80.7
Persons aged 15 years and over in Employment (ILO),2011Q3,Part-time,"8 Process, plant and machine operatives",21.4
Persons aged 15 years and over in Employment (ILO),2011Q3,Part-time,9 Elementary,92.9
Persons aged 15 years and over in Employment (ILO),2011Q3,Part-time,X1 Other/Not stated,
Persons aged 15 years and over in Employment (ILO),2011Q4,All employment status,All occupational groups,1886.4
Persons aged 15 years and over in Employment (ILO),2011Q4,All employment status,"1 Managers, directors and senior officials",152.6
Persons aged 15 years and over in Employment (ILO),2011Q4,All employment status,2 Professional,375.2
Persons aged 15 years and over in Employment (ILO),2011Q4,All employment status,3 Associate professional and technical,222.3
Persons aged 15 years and over in Employment (ILO),2011Q4,All employment status,4 Administrative and secreterial,201.4
Persons aged 15 years and over in Employment (ILO),2011Q4,All employment status,5 Skilled trades,259.3
Persons aged 15 years and over in Employment (ILO),2011Q4,All employment status,"6 Caring, leisure and other services",144.3
Persons aged 15 years and over in Employment (ILO),2011Q4,All employment status,7 Sales and customer service,160.3
Persons aged 15 years and over in Employment (ILO),2011Q4,All employment status,"8 Process, plant and machine operatives",151.8
Persons aged 15 years and over in Employment (ILO),2011Q4,All employment status,9 Elementary,214.4
Persons aged 15 years and over in Employment (ILO),2011Q4,All employment status,X1 Other/Not stated,4.8
Persons aged 15 years and over in Employment (ILO),2011Q4,Full-time,All occupational groups,1438.4
Persons aged 15 years and over in Employment (ILO),2011Q4,Full-time,"1 Managers, directors and senior officials",140.0
Persons aged 15 years and over in Employment (ILO),2011Q4,Full-time,2 Professional,322.0
Persons aged 15 years and over in Employment (ILO),2011Q4,Full-time,3 Associate professional and technical,191.6
Persons aged 15 years and over in Employment (ILO),2011Q4,Full-time,4 Administrative and secreterial,140.6
Persons aged 15 years and over in Employment (ILO),2011Q4,Full-time,5 Skilled trades,223.6
Persons aged 15 years and over in Employment (ILO),2011Q4,Full-time,"6 Caring, leisure and other services",83.7
Persons aged 15 years and over in Employment (ILO),2011Q4,Full-time,7 Sales and customer service,77.3
Persons aged 15 years and over in Employment (ILO),2011Q4,Full-time,"8 Process, plant and machine operatives",130.5
Persons aged 15 years and over in Employment (ILO),2011Q4,Full-time,9 Elementary,125.1
Persons aged 15 years and over in Employment (ILO),2011Q4,Full-time,X1 Other/Not stated,4.2
Persons aged 15 years and over in Employment (ILO),2011Q4,Part-time,All occupational groups,447.9
Persons aged 15 years and over in Employment (ILO),2011Q4,Part-time,"1 Managers, directors and senior officials",12.5
Persons aged 15 years and over in Employment (ILO),2011Q4,Part-time,2 Professional,53.2
Persons aged 15 years and over in Employment (ILO),2011Q4,Part-time,3 Associate professional and technical,30.7
Persons aged 15 years and over in Employment (ILO),2011Q4,Part-time,4 Administrative and secreterial,60.8
Persons aged 15 years and over in Employment (ILO),2011Q4,Part-time,5 Skilled trades,35.8
Persons aged 15 years and over in Employment (ILO),2011Q4,Part-time,"6 Caring, leisure and other services",60.7
Persons aged 15 years and over in Employment (ILO),2011Q4,Part-time,7 Sales and customer service,83.0
Persons aged 15 years and over in Employment (ILO),2011Q4,Part-time,"8 Process, plant and machine operatives",21.3
Persons aged 15 years and over in Employment (ILO),2011Q4,Part-time,9 Elementary,89.3
Persons aged 15 years and over in Employment (ILO),2011Q4,Part-time,X1 Other/Not stated,
Persons aged 15 years and over in Employment (ILO),2012Q1,All employment status,All occupational groups,1862.6
Persons aged 15 years and over in Employment (ILO),2012Q1,All employment status,"1 Managers, directors and senior officials",157.2
Persons aged 15 years and over in Employment (ILO),2012Q1,All employment status,2 Professional,377.7
Persons aged 15 years and over in Employment (ILO),2012Q1,All employment status,3 Associate professional and technical,230.9
Persons aged 15 years and over in Employment (ILO),2012Q1,All employment status,4 Administrative and secreterial,193.8
Persons aged 15 years and over in Employment (ILO),2012Q1,All employment status,5 Skilled trades,251.3
Persons aged 15 years and over in Employment (ILO),2012Q1,All employment status,"6 Caring, leisure and other services",141.6
Persons aged 15 years and over in Employment (ILO),2012Q1,All employment status,7 Sales and customer service,153.2
Persons aged 15 years and over in Employment (ILO),2012Q1,All employment status,"8 Process, plant and machine operatives",146.5
Persons aged 15 years and over in Employment (ILO),2012Q1,All employment status,9 Elementary,204.7
Persons aged 15 years and over in Employment (ILO),2012Q1,All employment status,X1 Other/Not stated,5.7
Persons aged 15 years and over in Employment (ILO),2012Q1,Full-time,All occupational groups,1421.3
Persons aged 15 years and over in Employment (ILO),2012Q1,Full-time,"1 Managers, directors and senior officials",144.9
Persons aged 15 years and over in Employment (ILO),2012Q1,Full-time,2 Professional,324.3
Persons aged 15 years and over in Employment (ILO),2012Q1,Full-time,3 Associate professional and technical,201.1
Persons aged 15 years and over in Employment (ILO),2012Q1,Full-time,4 Administrative and secreterial,135.4
Persons aged 15 years and over in Employment (ILO),2012Q1,Full-time,5 Skilled trades,215.2
Persons aged 15 years and over in Employment (ILO),2012Q1,Full-time,"6 Caring, leisure and other services",77.6
Persons aged 15 years and over in Employment (ILO),2012Q1,Full-time,7 Sales and customer service,73.6
Persons aged 15 years and over in Employment (ILO),2012Q1,Full-time,"8 Process, plant and machine operatives",124.3
Persons aged 15 years and over in Employment (ILO),2012Q1,Full-time,9 Elementary,119.9
Persons aged 15 years and over in Employment (ILO),2012Q1,Full-time,X1 Other/Not stated,5.0
Persons aged 15 years and over in Employment (ILO),2012Q1,Part-time,All occupational groups,441.3
Persons aged 15 years and over in Employment (ILO),2012Q1,Part-time,"1 Managers, directors and senior officials",12.3
Persons aged 15 years and over in Employment (ILO),2012Q1,Part-time,2 Professional,53.3
Persons aged 15 years and over in Employment (ILO),2012Q1,Part-time,3 Associate professional and technical,29.8
Persons aged 15 years and over in Employment (ILO),2012Q1,Part-time,4 Administrative and secreterial,58.4
Persons aged 15 years and over in Employment (ILO),2012Q1,Part-time,5 Skilled trades,36.1
Persons aged 15 years and over in Employment (ILO),2012Q1,Part-time,"6 Caring, leisure and other services",64.0
Persons aged 15 years and over in Employment (ILO),2012Q1,Part-time,7 Sales and customer service,79.5
Persons aged 15 years and over in Employment (ILO),2012Q1,Part-time,"8 Process, plant and machine operatives",22.2
Persons aged 15 years and over in Employment (ILO),2012Q1,Part-time,9 Elementary,84.8
Persons aged 15 years and over in Employment (ILO),2012Q1,Part-time,X1 Other/Not stated,
Persons aged 15 years and over in Employment (ILO),2012Q2,All employment status,All occupational groups,1876.8
Persons aged 15 years and over in Employment (ILO),2012Q2,All employment status,"1 Managers, directors and senior officials",162.9
Persons aged 15 years and over in Employment (ILO),2012Q2,All employment status,2 Professional,387.1
Persons aged 15 years and over in Employment (ILO),2012Q2,All employment status,3 Associate professional and technical,223.9
Persons aged 15 years and over in Employment (ILO),2012Q2,All employment status,4 Administrative and secreterial,191.4
Persons aged 15 years and over in Employment (ILO),2012Q2,All employment status,5 Skilled trades,258.5
Persons aged 15 years and over in Employment (ILO),2012Q2,All employment status,"6 Caring, leisure and other services",144.6
Persons aged 15 years and over in Employment (ILO),2012Q2,All employment status,7 Sales and customer service,152.3
Persons aged 15 years and over in Employment (ILO),2012Q2,All employment status,"8 Process, plant and machine operatives",139.0
Persons aged 15 years and over in Employment (ILO),2012Q2,All employment status,9 Elementary,211.6
Persons aged 15 years and over in Employment (ILO),2012Q2,All employment status,X1 Other/Not stated,5.5
Persons aged 15 years and over in Employment (ILO),2012Q2,Full-time,All occupational groups,1424.3
Persons aged 15 years and over in Employment (ILO),2012Q2,Full-time,"1 Managers, directors and senior officials",149.6
Persons aged 15 years and over in Employment (ILO),2012Q2,Full-time,2 Professional,332.6
Persons aged 15 years and over in Employment (ILO),2012Q2,Full-time,3 Associate professional and technical,192.8
Persons aged 15 years and over in Employment (ILO),2012Q2,Full-time,4 Administrative and secreterial,137.7
Persons aged 15 years and over in Employment (ILO),2012Q2,Full-time,5 Skilled trades,216.9
Persons aged 15 years and over in Employment (ILO),2012Q2,Full-time,"6 Caring, leisure and other services",80.7
Persons aged 15 years and over in Employment (ILO),2012Q2,Full-time,7 Sales and customer service,69.7
Persons aged 15 years and over in Employment (ILO),2012Q2,Full-time,"8 Process, plant and machine operatives",117.5
Persons aged 15 years and over in Employment (ILO),2012Q2,Full-time,9 Elementary,122.0
Persons aged 15 years and over in Employment (ILO),2012Q2,Full-time,X1 Other/Not stated,4.8
Persons aged 15 years and over in Employment (ILO),2012Q2,Part-time,All occupational groups,452.5
Persons aged 15 years and over in Employment (ILO),2012Q2,Part-time,"1 Managers, directors and senior officials",13.3
Persons aged 15 years and over in Employment (ILO),2012Q2,Part-time,2 Professional,54.5
Persons aged 15 years and over in Employment (ILO),2012Q2,Part-time,3 Associate professional and technical,31.1
Persons aged 15 years and over in Employment (ILO),2012Q2,Part-time,4 Administrative and secreterial,53.7
Persons aged 15 years and over in Employment (ILO),2012Q2,Part-time,5 Skilled trades,41.6
Persons aged 15 years and over in Employment (ILO),2012Q2,Part-time,"6 Caring, leisure and other services",63.9
Persons aged 15 years and over in Employment (ILO),2012Q2,Part-time,7 Sales and customer service,82.6
Persons aged 15 years and over in Employment (ILO),2012Q2,Part-time,"8 Process, plant and machine operatives",21.4
Persons aged 15 years and over in Employment (ILO),2012Q2,Part-time,9 Elementary,89.6
Persons aged 15 years and over in Employment (ILO),2012Q2,Part-time,X1 Other/Not stated,
Persons aged 15 years and over in Employment (ILO),2012Q3,All employment status,All occupational groups,1888.5
Persons aged 15 years and over in Employment (ILO),2012Q3,All employment status,"1 Managers, directors and senior officials",159.8
Persons aged 15 years and over in Employment (ILO),2012Q3,All employment status,2 Professional,382.5
Persons aged 15 years and over in Employment (ILO),2012Q3,All employment status,3 Associate professional and technical,220.0
Persons aged 15 years and over in Employment (ILO),2012Q3,All employment status,4 Administrative and secreterial,195.9
Persons aged 15 years and over in Employment (ILO),2012Q3,All employment status,5 Skilled trades,257.1
Persons aged 15 years and over in Employment (ILO),2012Q3,All employment status,"6 Caring, leisure and other services",142.5
Persons aged 15 years and over in Employment (ILO),2012Q3,All employment status,7 Sales and customer service,159.9
Persons aged 15 years and over in Employment (ILO),2012Q3,All employment status,"8 Process, plant and machine operatives",142.8
Persons aged 15 years and over in Employment (ILO),2012Q3,All employment status,9 Elementary,220.4
Persons aged 15 years and over in Employment (ILO),2012Q3,All employment status,X1 Other/Not stated,7.6
Persons aged 15 years and over in Employment (ILO),2012Q3,Full-time,All occupational groups,1426.9
Persons aged 15 years and over in Employment (ILO),2012Q3,Full-time,"1 Managers, directors and senior officials",145.6
Persons aged 15 years and over in Employment (ILO),2012Q3,Full-time,2 Professional,333.2
Persons aged 15 years and over in Employment (ILO),2012Q3,Full-time,3 Associate professional and technical,186.8
Persons aged 15 years and over in Employment (ILO),2012Q3,Full-time,4 Administrative and secreterial,141.8
Persons aged 15 years and over in Employment (ILO),2012Q3,Full-time,5 Skilled trades,213.7
Persons aged 15 years and over in Employment (ILO),2012Q3,Full-time,"6 Caring, leisure and other services",77.4
Persons aged 15 years and over in Employment (ILO),2012Q3,Full-time,7 Sales and customer service,76.6
Persons aged 15 years and over in Employment (ILO),2012Q3,Full-time,"8 Process, plant and machine operatives",118.1
Persons aged 15 years and over in Employment (ILO),2012Q3,Full-time,9 Elementary,126.7
Persons aged 15 years and over in Employment (ILO),2012Q3,Full-time,X1 Other/Not stated,6.9
Persons aged 15 years and over in Employment (ILO),2012Q3,Part-time,All occupational groups,461.6
Persons aged 15 years and over in Employment (ILO),2012Q3,Part-time,"1 Managers, directors and senior officials",14.1
Persons aged 15 years and over in Employment (ILO),2012Q3,Part-time,2 Professional,49.3
Persons aged 15 years and over in Employment (ILO),2012Q3,Part-time,3 Associate professional and technical,33.2
Persons aged 15 years and over in Employment (ILO),2012Q3,Part-time,4 Administrative and secreterial,54.0
Persons aged 15 years and over in Employment (ILO),2012Q3,Part-time,5 Skilled trades,43.4
Persons aged 15 years and over in Employment (ILO),2012Q3,Part-time,"6 Caring, leisure and other services",65.1
Persons aged 15 years and over in Employment (ILO),2012Q3,Part-time,7 Sales and customer service,83.2
Persons aged 15 years and over in Employment (ILO),2012Q3,Part-time,"8 Process, plant and machine operatives",24.7
Persons aged 15 years and over in Employment (ILO),2012Q3,Part-time,9 Elementary,93.7
Persons aged 15 years and over in Employment (ILO),2012Q3,Part-time,X1 Other/Not stated,
Persons aged 15 years and over in Employment (ILO),2012Q4,All employment status,All occupational groups,1892.9
Persons aged 15 years and over in Employment (ILO),2012Q4,All employment status,"1 Managers, directors and senior officials",160.3
Persons aged 15 years and over in Employment (ILO),2012Q4,All employment status,2 Professional,390.0
Persons aged 15 years and over in Employment (ILO),2012Q4,All employment status,3 Associate professional and technical,229.9
Persons aged 15 years and over in Employment (ILO),2012Q4,All employment status,4 Administrative and secreterial,192.4
Persons aged 15 years and over in Employment (ILO),2012Q4,All employment status,5 Skilled trades,257.4
Persons aged 15 years and over in Employment (ILO),2012Q4,All employment status,"6 Caring, leisure and other services",142.8
Persons aged 15 years and over in Employment (ILO),2012Q4,All employment status,7 Sales and customer service,156.8
Persons aged 15 years and over in Employment (ILO),2012Q4,All employment status,"8 Process, plant and machine operatives",145.6
Persons aged 15 years and over in Employment (ILO),2012Q4,All employment status,9 Elementary,213.3
Persons aged 15 years and over in Employment (ILO),2012Q4,All employment status,X1 Other/Not stated,4.3
Persons aged 15 years and over in Employment (ILO),2012Q4,Full-time,All occupational groups,1429.0
Persons aged 15 years and over in Employment (ILO),2012Q4,Full-time,"1 Managers, directors and senior officials",145.4
Persons aged 15 years and over in Employment (ILO),2012Q4,Full-time,2 Professional,334.0
Persons aged 15 years and over in Employment (ILO),2012Q4,Full-time,3 Associate professional and technical,199.0
Persons aged 15 years and over in Employment (ILO),2012Q4,Full-time,4 Administrative and secreterial,138.2
Persons aged 15 years and over in Employment (ILO),2012Q4,Full-time,5 Skilled trades,216.0
Persons aged 15 years and over in Employment (ILO),2012Q4,Full-time,"6 Caring, leisure and other services",76.1
Persons aged 15 years and over in Employment (ILO),2012Q4,Full-time,7 Sales and customer service,74.2
Persons aged 15 years and over in Employment (ILO),2012Q4,Full-time,"8 Process, plant and machine operatives",120.3
Persons aged 15 years and over in Employment (ILO),2012Q4,Full-time,9 Elementary,121.9
Persons aged 15 years and over in Employment (ILO),2012Q4,Full-time,X1 Other/Not stated,3.9
Persons aged 15 years and over in Employment (ILO),2012Q4,Part-time,All occupational groups,463.9
Persons aged 15 years and over in Employment (ILO),2012Q4,Part-time,"1 Managers, directors and senior officials",15.0
Persons aged 15 years and over in Employment (ILO),2012Q4,Part-time,2 Professional,56.0
Persons aged 15 years and over in Employment (ILO),2012Q4,Part-time,3 Associate professional and technical,30.8
Persons aged 15 years and over in Employment (ILO),2012Q4,Part-time,4 Administrative and secreterial,54.2
Persons aged 15 years and over in Employment (ILO),2012Q4,Part-time,5 Skilled trades,41.4
Persons aged 15 years and over in Employment (ILO),2012Q4,Part-time,"6 Caring, leisure and other services",66.8
Persons aged 15 years and over in Employment (ILO),2012Q4,Part-time,7 Sales and customer service,82.5
Persons aged 15 years and over in Employment (ILO),2012Q4,Part-time,"8 Process, plant and machine operatives",25.3
Persons aged 15 years and over in Employment (ILO),2012Q4,Part-time,9 Elementary,91.5
Persons aged 15 years and over in Employment (ILO),2012Q4,Part-time,X1 Other/Not stated,
Persons aged 15 years and over in Employment (ILO),2013Q1,All employment status,All occupational groups,1893.2
Persons aged 15 years and over in Employment (ILO),2013Q1,All employment status,"1 Managers, directors and senior officials",160.8
Persons aged 15 years and over in Employment (ILO),2013Q1,All employment status,2 Professional,394.2
Persons aged 15 years and over in Employment (ILO),2013Q1,All employment status,3 Associate professional and technical,227.2
Persons aged 15 years and over in Employment (ILO),2013Q1,All employment status,4 Administrative and secreterial,189.2
Persons aged 15 years and over in Employment (ILO),2013Q1,All employment status,5 Skilled trades,252.6
Persons aged 15 years and over in Employment (ILO),2013Q1,All employment status,"6 Caring, leisure and other services",140.2
Persons aged 15 years and over in Employment (ILO),2013Q1,All employment status,7 Sales and customer service,159.6
Persons aged 15 years and over in Employment (ILO),2013Q1,All employment status,"8 Process, plant and machine operatives",148.9
Persons aged 15 years and over in Employment (ILO),2013Q1,All employment status,9 Elementary,214.0
Persons aged 15 years and over in Employment (ILO),2013Q1,All employment status,X1 Other/Not stated,6.6
Persons aged 15 years and over in Employment (ILO),2013Q1,Full-time,All occupational groups,1423.7
Persons aged 15 years and over in Employment (ILO),2013Q1,Full-time,"1 Managers, directors and senior officials",146.8
Persons aged 15 years and over in Employment (ILO),2013Q1,Full-time,2 Professional,337.3
Persons aged 15 years and over in Employment (ILO),2013Q1,Full-time,3 Associate professional and technical,194.6
Persons aged 15 years and over in Employment (ILO),2013Q1,Full-time,4 Administrative and secreterial,136.2
Persons aged 15 years and over in Employment (ILO),2013Q1,Full-time,5 Skilled trades,210.6
Persons aged 15 years and over in Employment (ILO),2013Q1,Full-time,"6 Caring, leisure and other services",75.3
Persons aged 15 years and over in Employment (ILO),2013Q1,Full-time,7 Sales and customer service,73.4
Persons aged 15 years and over in Employment (ILO),2013Q1,Full-time,"8 Process, plant and machine operatives",123.9
Persons aged 15 years and over in Employment (ILO),2013Q1,Full-time,9 Elementary,119.6
Persons aged 15 years and over in Employment (ILO),2013Q1,Full-time,X1 Other/Not stated,6.0
Persons aged 15 years and over in Employment (ILO),2013Q1,Part-time,All occupational groups,469.5
Persons aged 15 years and over in Employment (ILO),2013Q1,Part-time,"1 Managers, directors and senior officials",13.9
Persons aged 15 years and over in Employment (ILO),2013Q1,Part-time,2 Professional,56.9
Persons aged 15 years and over in Employment (ILO),2013Q1,Part-time,3 Associate professional and technical,32.6
Persons aged 15 years and over in Employment (ILO),2013Q1,Part-time,4 Administrative and secreterial,53.0
Persons aged 15 years and over in Employment (ILO),2013Q1,Part-time,5 Skilled trades,42.1
Persons aged 15 years and over in Employment (ILO),2013Q1,Part-time,"6 Caring, leisure and other services",64.9
Persons aged 15 years and over in Employment (ILO),2013Q1,Part-time,7 Sales and customer service,86.2
Persons aged 15 years and over in Employment (ILO),2013Q1,Part-time,"8 Process, plant and machine operatives",25.0
Persons aged 15 years and over in Employment (ILO),2013Q1,Part-time,9 Elementary,94.4
Persons aged 15 years and over in Employment (ILO),2013Q1,Part-time,X1 Other/Not stated,
Persons aged 15 years and over in Employment (ILO),2013Q2,All employment status,All occupational groups,1924.2
Persons aged 15 years and over in Employment (ILO),2013Q2,All employment status,"1 Managers, directors and senior officials",163.9
Persons aged 15 years and over in Employment (ILO),2013Q2,All employment status,2 Professional,397.6
Persons aged 15 years and over in Employment (ILO),2013Q2,All employment status,3 Associate professional and technical,231.7
Persons aged 15 years and over in Employment (ILO),2013Q2,All employment status,4 Administrative and secreterial,197.1
Persons aged 15 years and over in Employment (ILO),2013Q2,All employment status,5 Skilled trades,259.6
Persons aged 15 years and over in Employment (ILO),2013Q2,All employment status,"6 Caring, leisure and other services",142.3
Persons aged 15 years and over in Employment (ILO),2013Q2,All employment status,7 Sales and customer service,159.3
Persons aged 15 years and over in Employment (ILO),2013Q2,All employment status,"8 Process, plant and machine operatives",145.3
Persons aged 15 years and over in Employment (ILO),2013Q2,All employment status,9 Elementary,222.9
Persons aged 15 years and over in Employment (ILO),2013Q2,All employment status,X1 Other/Not stated,4.4
Persons aged 15 years and over in Employment (ILO),2013Q2,Full-time,All occupational groups,1455.4
Persons aged 15 years and over in Employment (ILO),2013Q2,Full-time,"1 Managers, directors and senior officials",149.8
