STATISTIC,Quarter,Nationality,NACE Rev 2 Economic Sector,value
Persons aged 15 years and over in Employment,2007Q4,Non-Irish,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),57.8
Persons aged 15 years and over in Employment,2007Q4,Non-Irish,Transportation and storage (H),12.5
Persons aged 15 years and over in Employment,2007Q4,Non-Irish,Accommodation and food service activities (I),49.5
Persons aged 15 years and over in Employment,2007Q4,Non-Irish,Information and communication (J),17.0
Persons aged 15 years and over in Employment,2007Q4,Non-Irish,"Professional, scientific and technical activities (M)",13.1
Persons aged 15 years and over in Employment,2007Q4,Non-Irish,Administrative and support service activities (N),25.6
Persons aged 15 years and over in Employment,2007Q4,Non-Irish,Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,2007Q4,Non-Irish,Education (P),9.7
Persons aged 15 years and over in Employment,2007Q4,Non-Irish,Human health and social work activities (Q),34.4
Persons aged 15 years and over in Employment,2007Q4,Non-Irish,Industry (B to E),53.5
Persons aged 15 years and over in Employment,2007Q4,Non-Irish,"Financial, insurance and real estate activities (K, L)",10.2
Persons aged 15 years and over in Employment,2007Q4,Non-Irish,Other NACE activities (R to U),16.6
Persons aged 15 years and over in Employment,2007Q4,Non-Irish,Not stated,
Persons aged 15 years and over in Employment,2007Q4,Other nationalities (7),All NACE economic sectors,79.9
Persons aged 15 years and over in Employment,2007Q4,Other nationalities (7),"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment,2007Q4,Other nationalities (7),Construction (F),4.1
Persons aged 15 years and over in Employment,2007Q4,Other nationalities (7),Wholesale and retail trade; repair of motor vehicles and motorcycles (G),10.6
Persons aged 15 years and over in Employment,2007Q4,Other nationalities (7),Transportation and storage (H),
Persons aged 15 years and over in Employment,2007Q4,Other nationalities (7),Accommodation and food service activities (I),14.4
Persons aged 15 years and over in Employment,2007Q4,Other nationalities (7),Information and communication (J),3.6
Persons aged 15 years and over in Employment,2007Q4,Other nationalities (7),"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment,2007Q4,Other nationalities (7),Administrative and support service activities (N),5.8
Persons aged 15 years and over in Employment,2007Q4,Other nationalities (7),Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,2007Q4,Other nationalities (7),Education (P),
Persons aged 15 years and over in Employment,2007Q4,Other nationalities (7),Human health and social work activities (Q),18.5
Persons aged 15 years and over in Employment,2007Q4,Other nationalities (7),Industry (B to E),7.5
Persons aged 15 years and over in Employment,2007Q4,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment,2007Q4,Other nationalities (7),Other NACE activities (R to U),5.2
Persons aged 15 years and over in Employment,2007Q4,Other nationalities (7),Not stated,
Persons aged 15 years and over in Employment,2008Q1,All nationalities,All NACE economic sectors,2217.8
Persons aged 15 years and over in Employment,2008Q1,All nationalities,"Agriculture, forestry and fishing (A)",117.0
Persons aged 15 years and over in Employment,2008Q1,All nationalities,Construction (F),222.7
Persons aged 15 years and over in Employment,2008Q1,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),335.5
Persons aged 15 years and over in Employment,2008Q1,All nationalities,Transportation and storage (H),92.2
Persons aged 15 years and over in Employment,2008Q1,All nationalities,Accommodation and food service activities (I),139.7
Persons aged 15 years and over in Employment,2008Q1,All nationalities,Information and communication (J),87.8
Persons aged 15 years and over in Employment,2008Q1,All nationalities,"Professional, scientific and technical activities (M)",123.4
Persons aged 15 years and over in Employment,2008Q1,All nationalities,Administrative and support service activities (N),103.8
Persons aged 15 years and over in Employment,2008Q1,All nationalities,Public administration and defence; compulsory social security (O),95.6
Persons aged 15 years and over in Employment,2008Q1,All nationalities,Education (P),136.0
Persons aged 15 years and over in Employment,2008Q1,All nationalities,Human health and social work activities (Q),238.3
Persons aged 15 years and over in Employment,2008Q1,All nationalities,Industry (B to E),298.5
Persons aged 15 years and over in Employment,2008Q1,All nationalities,"Financial, insurance and real estate activities (K, L)",108.5
Persons aged 15 years and over in Employment,2008Q1,All nationalities,Other NACE activities (R to U),107.5
Persons aged 15 years and over in Employment,2008Q1,All nationalities,Not stated,11.4
Persons aged 15 years and over in Employment,2008Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All NACE economic sectors,34.9
Persons aged 15 years and over in Employment,2008Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment,2008Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Construction (F),
Persons aged 15 years and over in Employment,2008Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Wholesale and retail trade; repair of motor vehicles and motorcycles (G),3.0
Persons aged 15 years and over in Employment,2008Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Transportation and storage (H),
Persons aged 15 years and over in Employment,2008Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Accommodation and food service activities (I),3.9
Persons aged 15 years and over in Employment,2008Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Information and communication (J),6.0
Persons aged 15 years and over in Employment,2008Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment,2008Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Administrative and support service activities (N),
Persons aged 15 years and over in Employment,2008Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,2008Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Education (P),
Persons aged 15 years and over in Employment,2008Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Human health and social work activities (Q),
Persons aged 15 years and over in Employment,2008Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Industry (B to E),4.0
Persons aged 15 years and over in Employment,2008Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment,2008Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Other NACE activities (R to U),
Persons aged 15 years and over in Employment,2008Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not stated,
Persons aged 15 years and over in Employment,2008Q1,EU15 to EU27 (accession countries joined post 2004),All NACE economic sectors,180.8
Persons aged 15 years and over in Employment,2008Q1,EU15 to EU27 (accession countries joined post 2004),"Agriculture, forestry and fishing (A)",4.6
Persons aged 15 years and over in Employment,2008Q1,EU15 to EU27 (accession countries joined post 2004),Construction (F),26.9
Persons aged 15 years and over in Employment,2008Q1,EU15 to EU27 (accession countries joined post 2004),Wholesale and retail trade; repair of motor vehicles and motorcycles (G),38.9
Persons aged 15 years and over in Employment,2008Q1,EU15 to EU27 (accession countries joined post 2004),Transportation and storage (H),6.4
Persons aged 15 years and over in Employment,2008Q1,EU15 to EU27 (accession countries joined post 2004),Accommodation and food service activities (I),28.2
Persons aged 15 years and over in Employment,2008Q1,EU15 to EU27 (accession countries joined post 2004),Information and communication (J),4.5
Persons aged 15 years and over in Employment,2008Q1,EU15 to EU27 (accession countries joined post 2004),"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment,2008Q1,EU15 to EU27 (accession countries joined post 2004),Administrative and support service activities (N),15.2
Persons aged 15 years and over in Employment,2008Q1,EU15 to EU27 (accession countries joined post 2004),Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,2008Q1,EU15 to EU27 (accession countries joined post 2004),Education (P),
Persons aged 15 years and over in Employment,2008Q1,EU15 to EU27 (accession countries joined post 2004),Human health and social work activities (Q),5.0
Persons aged 15 years and over in Employment,2008Q1,EU15 to EU27 (accession countries joined post 2004),Industry (B to E),36.0
Persons aged 15 years and over in Employment,2008Q1,EU15 to EU27 (accession countries joined post 2004),"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment,2008Q1,EU15 to EU27 (accession countries joined post 2004),Other NACE activities (R to U),6.1
Persons aged 15 years and over in Employment,2008Q1,EU15 to EU27 (accession countries joined post 2004),Not stated,
Persons aged 15 years and over in Employment,2008Q1,UK,All NACE economic sectors,57.2
Persons aged 15 years and over in Employment,2008Q1,UK,"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment,2008Q1,UK,Construction (F),3.9
Persons aged 15 years and over in Employment,2008Q1,UK,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),9.5
Persons aged 15 years and over in Employment,2008Q1,UK,Transportation and storage (H),
Persons aged 15 years and over in Employment,2008Q1,UK,Accommodation and food service activities (I),3.5
Persons aged 15 years and over in Employment,2008Q1,UK,Information and communication (J),4.1
Persons aged 15 years and over in Employment,2008Q1,UK,"Professional, scientific and technical activities (M)",3.5
Persons aged 15 years and over in Employment,2008Q1,UK,Administrative and support service activities (N),
Persons aged 15 years and over in Employment,2008Q1,UK,Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,2008Q1,UK,Education (P),3.4
Persons aged 15 years and over in Employment,2008Q1,UK,Human health and social work activities (Q),7.2
Persons aged 15 years and over in Employment,2008Q1,UK,Industry (B to E),7.0
Persons aged 15 years and over in Employment,2008Q1,UK,"Financial, insurance and real estate activities (K, L)",3.3
Persons aged 15 years and over in Employment,2008Q1,UK,Other NACE activities (R to U),3.8
Persons aged 15 years and over in Employment,2008Q1,UK,Not stated,
Persons aged 15 years and over in Employment,2008Q1,Irish,All NACE economic sectors,1861.8
Persons aged 15 years and over in Employment,2008Q1,Irish,"Agriculture, forestry and fishing (A)",108.6
Persons aged 15 years and over in Employment,2008Q1,Irish,Construction (F),186.7
Persons aged 15 years and over in Employment,2008Q1,Irish,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),273.1
Persons aged 15 years and over in Employment,2008Q1,Irish,Transportation and storage (H),80.5
Persons aged 15 years and over in Employment,2008Q1,Irish,Accommodation and food service activities (I),89.0
Persons aged 15 years and over in Employment,2008Q1,Irish,Information and communication (J),69.2
Persons aged 15 years and over in Employment,2008Q1,Irish,"Professional, scientific and technical activities (M)",112.2
Persons aged 15 years and over in Employment,2008Q1,Irish,Administrative and support service activities (N),75.8
Persons aged 15 years and over in Employment,2008Q1,Irish,Public administration and defence; compulsory social security (O),94.0
Persons aged 15 years and over in Employment,2008Q1,Irish,Education (P),127.0
Persons aged 15 years and over in Employment,2008Q1,Irish,Human health and social work activities (Q),202.8
Persons aged 15 years and over in Employment,2008Q1,Irish,Industry (B to E),244.5
Persons aged 15 years and over in Employment,2008Q1,Irish,"Financial, insurance and real estate activities (K, L)",97.4
Persons aged 15 years and over in Employment,2008Q1,Irish,Other NACE activities (R to U),91.5
Persons aged 15 years and over in Employment,2008Q1,Irish,Not stated,9.7
Persons aged 15 years and over in Employment,2008Q1,Non-Irish,All NACE economic sectors,356.0
Persons aged 15 years and over in Employment,2008Q1,Non-Irish,"Agriculture, forestry and fishing (A)",8.3
Persons aged 15 years and over in Employment,2008Q1,Non-Irish,Construction (F),36.0
Persons aged 15 years and over in Employment,2008Q1,Non-Irish,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),62.4
Persons aged 15 years and over in Employment,2008Q1,Non-Irish,Transportation and storage (H),11.7
Persons aged 15 years and over in Employment,2008Q1,Non-Irish,Accommodation and food service activities (I),50.7
Persons aged 15 years and over in Employment,2008Q1,Non-Irish,Information and communication (J),18.6
Persons aged 15 years and over in Employment,2008Q1,Non-Irish,"Professional, scientific and technical activities (M)",11.2
Persons aged 15 years and over in Employment,2008Q1,Non-Irish,Administrative and support service activities (N),28.0
Persons aged 15 years and over in Employment,2008Q1,Non-Irish,Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,2008Q1,Non-Irish,Education (P),9.0
Persons aged 15 years and over in Employment,2008Q1,Non-Irish,Human health and social work activities (Q),35.5
Persons aged 15 years and over in Employment,2008Q1,Non-Irish,Industry (B to E),54.1
Persons aged 15 years and over in Employment,2008Q1,Non-Irish,"Financial, insurance and real estate activities (K, L)",11.2
Persons aged 15 years and over in Employment,2008Q1,Non-Irish,Other NACE activities (R to U),15.9
Persons aged 15 years and over in Employment,2008Q1,Non-Irish,Not stated,
Persons aged 15 years and over in Employment,2008Q1,Other nationalities (7),All NACE economic sectors,83.1
Persons aged 15 years and over in Employment,2008Q1,Other nationalities (7),"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment,2008Q1,Other nationalities (7),Construction (F),3.7
Persons aged 15 years and over in Employment,2008Q1,Other nationalities (7),Wholesale and retail trade; repair of motor vehicles and motorcycles (G),11.0
Persons aged 15 years and over in Employment,2008Q1,Other nationalities (7),Transportation and storage (H),
Persons aged 15 years and over in Employment,2008Q1,Other nationalities (7),Accommodation and food service activities (I),15.1
Persons aged 15 years and over in Employment,2008Q1,Other nationalities (7),Information and communication (J),4.0
Persons aged 15 years and over in Employment,2008Q1,Other nationalities (7),"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment,2008Q1,Other nationalities (7),Administrative and support service activities (N),7.0
Persons aged 15 years and over in Employment,2008Q1,Other nationalities (7),Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,2008Q1,Other nationalities (7),Education (P),
Persons aged 15 years and over in Employment,2008Q1,Other nationalities (7),Human health and social work activities (Q),20.4
Persons aged 15 years and over in Employment,2008Q1,Other nationalities (7),Industry (B to E),7.2
Persons aged 15 years and over in Employment,2008Q1,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment,2008Q1,Other nationalities (7),Other NACE activities (R to U),3.9
Persons aged 15 years and over in Employment,2008Q1,Other nationalities (7),Not stated,
Persons aged 15 years and over in Employment,2008Q2,All nationalities,All NACE economic sectors,2217.8
Persons aged 15 years and over in Employment,2008Q2,All nationalities,"Agriculture, forestry and fishing (A)",116.6
Persons aged 15 years and over in Employment,2008Q2,All nationalities,Construction (F),214.0
Persons aged 15 years and over in Employment,2008Q2,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),330.3
Persons aged 15 years and over in Employment,2008Q2,All nationalities,Transportation and storage (H),91.3
Persons aged 15 years and over in Employment,2008Q2,All nationalities,Accommodation and food service activities (I),135.5
Persons aged 15 years and over in Employment,2008Q2,All nationalities,Information and communication (J),88.0
Persons aged 15 years and over in Employment,2008Q2,All nationalities,"Professional, scientific and technical activities (M)",130.5
Persons aged 15 years and over in Employment,2008Q2,All nationalities,Administrative and support service activities (N),96.9
Persons aged 15 years and over in Employment,2008Q2,All nationalities,Public administration and defence; compulsory social security (O),95.7
Persons aged 15 years and over in Employment,2008Q2,All nationalities,Education (P),143.7
Persons aged 15 years and over in Employment,2008Q2,All nationalities,Human health and social work activities (Q),239.5
Persons aged 15 years and over in Employment,2008Q2,All nationalities,Industry (B to E),305.8
Persons aged 15 years and over in Employment,2008Q2,All nationalities,"Financial, insurance and real estate activities (K, L)",111.1
Persons aged 15 years and over in Employment,2008Q2,All nationalities,Other NACE activities (R to U),108.9
Persons aged 15 years and over in Employment,2008Q2,All nationalities,Not stated,9.9
Persons aged 15 years and over in Employment,2008Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All NACE economic sectors,35.4
Persons aged 15 years and over in Employment,2008Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment,2008Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Construction (F),
Persons aged 15 years and over in Employment,2008Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Wholesale and retail trade; repair of motor vehicles and motorcycles (G),3.6
Persons aged 15 years and over in Employment,2008Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Transportation and storage (H),
Persons aged 15 years and over in Employment,2008Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Accommodation and food service activities (I),3.7
Persons aged 15 years and over in Employment,2008Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Information and communication (J),6.3
Persons aged 15 years and over in Employment,2008Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment,2008Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Administrative and support service activities (N),
Persons aged 15 years and over in Employment,2008Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,2008Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Education (P),
Persons aged 15 years and over in Employment,2008Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Human health and social work activities (Q),
Persons aged 15 years and over in Employment,2008Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Industry (B to E),4.1
Persons aged 15 years and over in Employment,2008Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment,2008Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Other NACE activities (R to U),
Persons aged 15 years and over in Employment,2008Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not stated,
Persons aged 15 years and over in Employment,2008Q2,EU15 to EU27 (accession countries joined post 2004),All NACE economic sectors,179.9
Persons aged 15 years and over in Employment,2008Q2,EU15 to EU27 (accession countries joined post 2004),"Agriculture, forestry and fishing (A)",5.8
Persons aged 15 years and over in Employment,2008Q2,EU15 to EU27 (accession countries joined post 2004),Construction (F),24.2
Persons aged 15 years and over in Employment,2008Q2,EU15 to EU27 (accession countries joined post 2004),Wholesale and retail trade; repair of motor vehicles and motorcycles (G),34.3
Persons aged 15 years and over in Employment,2008Q2,EU15 to EU27 (accession countries joined post 2004),Transportation and storage (H),4.4
Persons aged 15 years and over in Employment,2008Q2,EU15 to EU27 (accession countries joined post 2004),Accommodation and food service activities (I),27.1
Persons aged 15 years and over in Employment,2008Q2,EU15 to EU27 (accession countries joined post 2004),Information and communication (J),4.5
Persons aged 15 years and over in Employment,2008Q2,EU15 to EU27 (accession countries joined post 2004),"Professional, scientific and technical activities (M)",4.2
Persons aged 15 years and over in Employment,2008Q2,EU15 to EU27 (accession countries joined post 2004),Administrative and support service activities (N),14.2
Persons aged 15 years and over in Employment,2008Q2,EU15 to EU27 (accession countries joined post 2004),Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,2008Q2,EU15 to EU27 (accession countries joined post 2004),Education (P),
Persons aged 15 years and over in Employment,2008Q2,EU15 to EU27 (accession countries joined post 2004),Human health and social work activities (Q),5.9
Persons aged 15 years and over in Employment,2008Q2,EU15 to EU27 (accession countries joined post 2004),Industry (B to E),41.6
Persons aged 15 years and over in Employment,2008Q2,EU15 to EU27 (accession countries joined post 2004),"Financial, insurance and real estate activities (K, L)",3.9
Persons aged 15 years and over in Employment,2008Q2,EU15 to EU27 (accession countries joined post 2004),Other NACE activities (R to U),6.6
Persons aged 15 years and over in Employment,2008Q2,EU15 to EU27 (accession countries joined post 2004),Not stated,
Persons aged 15 years and over in Employment,2008Q2,UK,All NACE economic sectors,56.0
Persons aged 15 years and over in Employment,2008Q2,UK,"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment,2008Q2,UK,Construction (F),4.3
Persons aged 15 years and over in Employment,2008Q2,UK,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),8.7
Persons aged 15 years and over in Employment,2008Q2,UK,Transportation and storage (H),
Persons aged 15 years and over in Employment,2008Q2,UK,Accommodation and food service activities (I),2.8
Persons aged 15 years and over in Employment,2008Q2,UK,Information and communication (J),4.0
Persons aged 15 years and over in Employment,2008Q2,UK,"Professional, scientific and technical activities (M)",3.6
Persons aged 15 years and over in Employment,2008Q2,UK,Administrative and support service activities (N),
Persons aged 15 years and over in Employment,2008Q2,UK,Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,2008Q2,UK,Education (P),3.7
Persons aged 15 years and over in Employment,2008Q2,UK,Human health and social work activities (Q),6.4
Persons aged 15 years and over in Employment,2008Q2,UK,Industry (B to E),7.3
Persons aged 15 years and over in Employment,2008Q2,UK,"Financial, insurance and real estate activities (K, L)",3.1
Persons aged 15 years and over in Employment,2008Q2,UK,Other NACE activities (R to U),3.5
Persons aged 15 years and over in Employment,2008Q2,UK,Not stated,
Persons aged 15 years and over in Employment,2008Q2,Irish,All NACE economic sectors,1863.9
Persons aged 15 years and over in Employment,2008Q2,Irish,"Agriculture, forestry and fishing (A)",107.5
Persons aged 15 years and over in Employment,2008Q2,Irish,Construction (F),179.9
Persons aged 15 years and over in Employment,2008Q2,Irish,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),272.1
Persons aged 15 years and over in Employment,2008Q2,Irish,Transportation and storage (H),81.4
Persons aged 15 years and over in Employment,2008Q2,Irish,Accommodation and food service activities (I),87.5
Persons aged 15 years and over in Employment,2008Q2,Irish,Information and communication (J),69.0
Persons aged 15 years and over in Employment,2008Q2,Irish,"Professional, scientific and technical activities (M)",116.2
Persons aged 15 years and over in Employment,2008Q2,Irish,Administrative and support service activities (N),71.5
Persons aged 15 years and over in Employment,2008Q2,Irish,Public administration and defence; compulsory social security (O),93.6
Persons aged 15 years and over in Employment,2008Q2,Irish,Education (P),133.9
Persons aged 15 years and over in Employment,2008Q2,Irish,Human health and social work activities (Q),205.5
Persons aged 15 years and over in Employment,2008Q2,Irish,Industry (B to E),245.6
Persons aged 15 years and over in Employment,2008Q2,Irish,"Financial, insurance and real estate activities (K, L)",99.6
Persons aged 15 years and over in Employment,2008Q2,Irish,Other NACE activities (R to U),92.4
Persons aged 15 years and over in Employment,2008Q2,Irish,Not stated,8.2
Persons aged 15 years and over in Employment,2008Q2,Non-Irish,All NACE economic sectors,353.9
Persons aged 15 years and over in Employment,2008Q2,Non-Irish,"Agriculture, forestry and fishing (A)",9.1
Persons aged 15 years and over in Employment,2008Q2,Non-Irish,Construction (F),34.1
Persons aged 15 years and over in Employment,2008Q2,Non-Irish,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),58.2
Persons aged 15 years and over in Employment,2008Q2,Non-Irish,Transportation and storage (H),9.9
Persons aged 15 years and over in Employment,2008Q2,Non-Irish,Accommodation and food service activities (I),48.0
Persons aged 15 years and over in Employment,2008Q2,Non-Irish,Information and communication (J),19.0
Persons aged 15 years and over in Employment,2008Q2,Non-Irish,"Professional, scientific and technical activities (M)",14.3
Persons aged 15 years and over in Employment,2008Q2,Non-Irish,Administrative and support service activities (N),25.4
Persons aged 15 years and over in Employment,2008Q2,Non-Irish,Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,2008Q2,Non-Irish,Education (P),9.7
Persons aged 15 years and over in Employment,2008Q2,Non-Irish,Human health and social work activities (Q),34.0
Persons aged 15 years and over in Employment,2008Q2,Non-Irish,Industry (B to E),60.2
Persons aged 15 years and over in Employment,2008Q2,Non-Irish,"Financial, insurance and real estate activities (K, L)",11.5
Persons aged 15 years and over in Employment,2008Q2,Non-Irish,Other NACE activities (R to U),16.5
Persons aged 15 years and over in Employment,2008Q2,Non-Irish,Not stated,
Persons aged 15 years and over in Employment,2008Q2,Other nationalities (7),All NACE economic sectors,82.5
Persons aged 15 years and over in Employment,2008Q2,Other nationalities (7),"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment,2008Q2,Other nationalities (7),Construction (F),4.0
Persons aged 15 years and over in Employment,2008Q2,Other nationalities (7),Wholesale and retail trade; repair of motor vehicles and motorcycles (G),11.7
Persons aged 15 years and over in Employment,2008Q2,Other nationalities (7),Transportation and storage (H),
Persons aged 15 years and over in Employment,2008Q2,Other nationalities (7),Accommodation and food service activities (I),14.4
Persons aged 15 years and over in Employment,2008Q2,Other nationalities (7),Information and communication (J),4.2
Persons aged 15 years and over in Employment,2008Q2,Other nationalities (7),"Professional, scientific and technical activities (M)",4.5
Persons aged 15 years and over in Employment,2008Q2,Other nationalities (7),Administrative and support service activities (N),6.1
Persons aged 15 years and over in Employment,2008Q2,Other nationalities (7),Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,2008Q2,Other nationalities (7),Education (P),
Persons aged 15 years and over in Employment,2008Q2,Other nationalities (7),Human health and social work activities (Q),19.4
Persons aged 15 years and over in Employment,2008Q2,Other nationalities (7),Industry (B to E),7.2
Persons aged 15 years and over in Employment,2008Q2,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment,2008Q2,Other nationalities (7),Other NACE activities (R to U),4.1
Persons aged 15 years and over in Employment,2008Q2,Other nationalities (7),Not stated,
Persons aged 15 years and over in Employment,2008Q3,All nationalities,All NACE economic sectors,2209.4
Persons aged 15 years and over in Employment,2008Q3,All nationalities,"Agriculture, forestry and fishing (A)",113.0
Persons aged 15 years and over in Employment,2008Q3,All nationalities,Construction (F),204.6
Persons aged 15 years and over in Employment,2008Q3,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),325.4
Persons aged 15 years and over in Employment,2008Q3,All nationalities,Transportation and storage (H),93.2
Persons aged 15 years and over in Employment,2008Q3,All nationalities,Accommodation and food service activities (I),142.9
Persons aged 15 years and over in Employment,2008Q3,All nationalities,Information and communication (J),87.1
Persons aged 15 years and over in Employment,2008Q3,All nationalities,"Professional, scientific and technical activities (M)",124.2
Persons aged 15 years and over in Employment,2008Q3,All nationalities,Administrative and support service activities (N),96.8
Persons aged 15 years and over in Employment,2008Q3,All nationalities,Public administration and defence; compulsory social security (O),99.4
Persons aged 15 years and over in Employment,2008Q3,All nationalities,Education (P),136.2
Persons aged 15 years and over in Employment,2008Q3,All nationalities,Human health and social work activities (Q),239.1
Persons aged 15 years and over in Employment,2008Q3,All nationalities,Industry (B to E),311.0
Persons aged 15 years and over in Employment,2008Q3,All nationalities,"Financial, insurance and real estate activities (K, L)",110.2
Persons aged 15 years and over in Employment,2008Q3,All nationalities,Other NACE activities (R to U),115.4
Persons aged 15 years and over in Employment,2008Q3,All nationalities,Not stated,10.9
Persons aged 15 years and over in Employment,2008Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All NACE economic sectors,35.2
Persons aged 15 years and over in Employment,2008Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment,2008Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Construction (F),
Persons aged 15 years and over in Employment,2008Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Wholesale and retail trade; repair of motor vehicles and motorcycles (G),
Persons aged 15 years and over in Employment,2008Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Transportation and storage (H),
Persons aged 15 years and over in Employment,2008Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Accommodation and food service activities (I),3.8
Persons aged 15 years and over in Employment,2008Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Information and communication (J),5.4
Persons aged 15 years and over in Employment,2008Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment,2008Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Administrative and support service activities (N),
Persons aged 15 years and over in Employment,2008Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,2008Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Education (P),
