Statistic,Quarter,Region,value
Persons aged 15 years and over in Labour Force,2016Q3,Mid-West,237.6
Persons aged 15 years and over in Labour Force,2016Q3,South-East,203.1
Persons aged 15 years and over in Labour Force,2016Q3,South-West,344.9
Persons aged 15 years and over in Labour Force,2016Q3,Eastern and Midland,1169.0
Persons aged 15 years and over in Labour Force,2016Q3,Dublin,703.4
Persons aged 15 years and over in Labour Force,2016Q3,Mid-East,334.6
Persons aged 15 years and over in Labour Force,2016Q3,Midland,131.0
Persons aged 15 years and over in Labour Force,2016Q4,State,2333.1
Persons aged 15 years and over in Labour Force,2016Q4,Northern and Western,404.0
Persons aged 15 years and over in Labour Force,2016Q4,Border,193.7
Persons aged 15 years and over in Labour Force,2016Q4,West,210.4
Persons aged 15 years and over in Labour Force,2016Q4,Southern,769.8
Persons aged 15 years and over in Labour Force,2016Q4,Mid-West,237.5
Persons aged 15 years and over in Labour Force,2016Q4,South-East,200.4
Persons aged 15 years and over in Labour Force,2016Q4,South-West,331.9
Persons aged 15 years and over in Labour Force,2016Q4,Eastern and Midland,1159.3
Persons aged 15 years and over in Labour Force,2016Q4,Dublin,696.7
Persons aged 15 years and over in Labour Force,2016Q4,Mid-East,332.9
Persons aged 15 years and over in Labour Force,2016Q4,Midland,129.7
Persons aged 15 years and over in Labour Force,2017Q1,State,2326.7
Persons aged 15 years and over in Labour Force,2017Q1,Northern and Western,402.8
Persons aged 15 years and over in Labour Force,2017Q1,Border,188.1
Persons aged 15 years and over in Labour Force,2017Q1,West,214.8
Persons aged 15 years and over in Labour Force,2017Q1,Southern,765.3
Persons aged 15 years and over in Labour Force,2017Q1,Mid-West,230.8
Persons aged 15 years and over in Labour Force,2017Q1,South-East,200.2
Persons aged 15 years and over in Labour Force,2017Q1,South-West,334.3
Persons aged 15 years and over in Labour Force,2017Q1,Eastern and Midland,1158.6
Persons aged 15 years and over in Labour Force,2017Q1,Dublin,692.6
Persons aged 15 years and over in Labour Force,2017Q1,Mid-East,335.6
Persons aged 15 years and over in Labour Force,2017Q1,Midland,130.3
Persons aged 15 years and over in Labour Force,2017Q2,State,2348.2
Persons aged 15 years and over in Labour Force,2017Q2,Northern and Western,405.2
Persons aged 15 years and over in Labour Force,2017Q2,Border,194.7
Persons aged 15 years and over in Labour Force,2017Q2,West,210.5
Persons aged 15 years and over in Labour Force,2017Q2,Southern,777.6
Persons aged 15 years and over in Labour Force,2017Q2,Mid-West,240.5
Persons aged 15 years and over in Labour Force,2017Q2,South-East,194.1
Persons aged 15 years and over in Labour Force,2017Q2,South-West,343.0
Persons aged 15 years and over in Labour Force,2017Q2,Eastern and Midland,1165.4
Persons aged 15 years and over in Labour Force,2017Q2,Dublin,696.9
Persons aged 15 years and over in Labour Force,2017Q2,Mid-East,337.5
Persons aged 15 years and over in Labour Force,2017Q2,Midland,131.1
Persons aged 15 years and over in Labour Force,2017Q3,State,2376.7
Persons aged 15 years and over in Labour Force,2017Q3,Northern and Western,413.0
Persons aged 15 years and over in Labour Force,2017Q3,Border,193.9
Persons aged 15 years and over in Labour Force,2017Q3,West,219.1
Persons aged 15 years and over in Labour Force,2017Q3,Southern,781.7
Persons aged 15 years and over in Labour Force,2017Q3,Mid-West,236.7
Persons aged 15 years and over in Labour Force,2017Q3,South-East,203.2
Persons aged 15 years and over in Labour Force,2017Q3,South-West,341.9
Persons aged 15 years and over in Labour Force,2017Q3,Eastern and Midland,1182.1
Persons aged 15 years and over in Labour Force,2017Q3,Dublin,705.9
Persons aged 15 years and over in Labour Force,2017Q3,Mid-East,342.7
Persons aged 15 years and over in Labour Force,2017Q3,Midland,133.4
Persons aged 15 years and over in Labour Force,2017Q4,State,2379.7
Persons aged 15 years and over in Labour Force,2017Q4,Northern and Western,407.6
Persons aged 15 years and over in Labour Force,2017Q4,Border,190.5
Persons aged 15 years and over in Labour Force,2017Q4,West,217.1
Persons aged 15 years and over in Labour Force,2017Q4,Southern,775.1
Persons aged 15 years and over in Labour Force,2017Q4,Mid-West,238.0
Persons aged 15 years and over in Labour Force,2017Q4,South-East,199.8
Persons aged 15 years and over in Labour Force,2017Q4,South-West,337.4
Persons aged 15 years and over in Labour Force,2017Q4,Eastern and Midland,1197.0
Persons aged 15 years and over in Labour Force,2017Q4,Dublin,715.6
Persons aged 15 years and over in Labour Force,2017Q4,Mid-East,345.6
Persons aged 15 years and over in Labour Force,2017Q4,Midland,135.8
Persons aged 15 years and over in Labour Force,2018Q1,State,2359.4
Persons aged 15 years and over in Labour Force,2018Q1,Northern and Western,406.6
Persons aged 15 years and over in Labour Force,2018Q1,Border,186.4
Persons aged 15 years and over in Labour Force,2018Q1,West,220.2
Persons aged 15 years and over in Labour Force,2018Q1,Southern,761.3
Persons aged 15 years and over in Labour Force,2018Q1,Mid-West,227.2
Persons aged 15 years and over in Labour Force,2018Q1,South-East,196.2
Persons aged 15 years and over in Labour Force,2018Q1,South-West,337.9
Persons aged 15 years and over in Labour Force,2018Q1,Eastern and Midland,1191.6
Persons aged 15 years and over in Labour Force,2018Q1,Dublin,718.2
Persons aged 15 years and over in Labour Force,2018Q1,Mid-East,337.2
Persons aged 15 years and over in Labour Force,2018Q1,Midland,136.1
Persons aged 15 years and over in Labour Force,2018Q2,State,2407.5
Persons aged 15 years and over in Labour Force,2018Q2,Northern and Western,403.8
Persons aged 15 years and over in Labour Force,2018Q2,Border,186.8
Persons aged 15 years and over in Labour Force,2018Q2,West,217.0
Persons aged 15 years and over in Labour Force,2018Q2,Southern,785.4
Persons aged 15 years and over in Labour Force,2018Q2,Mid-West,231.5
Persons aged 15 years and over in Labour Force,2018Q2,South-East,206.2
Persons aged 15 years and over in Labour Force,2018Q2,South-West,347.7
Persons aged 15 years and over in Labour Force,2018Q2,Eastern and Midland,1218.3
Persons aged 15 years and over in Labour Force,2018Q2,Dublin,730.1
Persons aged 15 years and over in Labour Force,2018Q2,Mid-East,349.9
Persons aged 15 years and over in Labour Force,2018Q2,Midland,138.3
Persons aged 15 years and over in Labour Force,2018Q3,State,2427.5
Persons aged 15 years and over in Labour Force,2018Q3,Northern and Western,411.8
Persons aged 15 years and over in Labour Force,2018Q3,Border,188.8
Persons aged 15 years and over in Labour Force,2018Q3,West,223.1
Persons aged 15 years and over in Labour Force,2018Q3,Southern,794.7
Persons aged 15 years and over in Labour Force,2018Q3,Mid-West,236.3
Persons aged 15 years and over in Labour Force,2018Q3,South-East,205.5
Persons aged 15 years and over in Labour Force,2018Q3,South-West,352.9
Persons aged 15 years and over in Labour Force,2018Q3,Eastern and Midland,1221.0
Persons aged 15 years and over in Labour Force,2018Q3,Dublin,732.7
Persons aged 15 years and over in Labour Force,2018Q3,Mid-East,349.1
Persons aged 15 years and over in Labour Force,2018Q3,Midland,139.2
Persons aged 15 years and over in Labour Force,2018Q4,State,2420.9
Persons aged 15 years and over in Labour Force,2018Q4,Northern and Western,410.1
Persons aged 15 years and over in Labour Force,2018Q4,Border,184.5
Persons aged 15 years and over in Labour Force,2018Q4,West,225.6
Persons aged 15 years and over in Labour Force,2018Q4,Southern,777.2
Persons aged 15 years and over in Labour Force,2018Q4,Mid-West,227.9
Persons aged 15 years and over in Labour Force,2018Q4,South-East,204.2
Persons aged 15 years and over in Labour Force,2018Q4,South-West,345.1
Persons aged 15 years and over in Labour Force,2018Q4,Eastern and Midland,1233.6
Persons aged 15 years and over in Labour Force,2018Q4,Dublin,735.7
Persons aged 15 years and over in Labour Force,2018Q4,Mid-East,358.0
Persons aged 15 years and over in Labour Force,2018Q4,Midland,139.9
Persons aged 15 years and over in Labour Force,2019Q1,State,2428.2
Persons aged 15 years and over in Labour Force,2019Q1,Northern and Western,417.4
Persons aged 15 years and over in Labour Force,2019Q1,Border,191.4
Persons aged 15 years and over in Labour Force,2019Q1,West,225.9
Persons aged 15 years and over in Labour Force,2019Q1,Southern,781.2
Persons aged 15 years and over in Labour Force,2019Q1,Mid-West,232.7
Persons aged 15 years and over in Labour Force,2019Q1,South-East,203.5
Persons aged 15 years and over in Labour Force,2019Q1,South-West,345.0
Persons aged 15 years and over in Labour Force,2019Q1,Eastern and Midland,1229.6
Persons aged 15 years and over in Labour Force,2019Q1,Dublin,734.5
Persons aged 15 years and over in Labour Force,2019Q1,Mid-East,357.6
Persons aged 15 years and over in Labour Force,2019Q1,Midland,137.5
Persons aged 15 years and over in Labour Force,2019Q2,State,2443.7
Persons aged 15 years and over in Labour Force,2019Q2,Northern and Western,416.1
Persons aged 15 years and over in Labour Force,2019Q2,Border,188.5
Persons aged 15 years and over in Labour Force,2019Q2,West,227.6
Persons aged 15 years and over in Labour Force,2019Q2,Southern,782.3
Persons aged 15 years and over in Labour Force,2019Q2,Mid-West,235.2
Persons aged 15 years and over in Labour Force,2019Q2,South-East,205.4
Persons aged 15 years and over in Labour Force,2019Q2,South-West,341.6
Persons aged 15 years and over in Labour Force,2019Q2,Eastern and Midland,1245.3
Persons aged 15 years and over in Labour Force,2019Q2,Dublin,746.2
Persons aged 15 years and over in Labour Force,2019Q2,Mid-East,360.1
Persons aged 15 years and over in Labour Force,2019Q2,Midland,139.0
Persons aged 15 years and over in Labour Force,2019Q3,State,2471.2
Persons aged 15 years and over in Labour Force,2019Q3,Northern and Western,419.7
Persons aged 15 years and over in Labour Force,2019Q3,Border,188.1
Persons aged 15 years and over in Labour Force,2019Q3,West,231.6
Persons aged 15 years and over in Labour Force,2019Q3,Southern,792.2
Persons aged 15 years and over in Labour Force,2019Q3,Mid-West,233.4
Persons aged 15 years and over in Labour Force,2019Q3,South-East,208.3
Persons aged 15 years and over in Labour Force,2019Q3,South-West,350.5
Persons aged 15 years and over in Labour Force,2019Q3,Eastern and Midland,1259.3
Persons aged 15 years and over in Labour Force,2019Q3,Dublin,749.3
Persons aged 15 years and over in Labour Force,2019Q3,Mid-East,368.5
Persons aged 15 years and over in Labour Force,2019Q3,Midland,141.4
Persons aged 15 years and over in Labour Force,2019Q4,State,2489.4
Persons aged 15 years and over in Labour Force,2019Q4,Northern and Western,424.4
Persons aged 15 years and over in Labour Force,2019Q4,Border,192.5
Persons aged 15 years and over in Labour Force,2019Q4,West,231.9
Persons aged 15 years and over in Labour Force,2019Q4,Southern,799.9
Persons aged 15 years and over in Labour Force,2019Q4,Mid-West,231.6
Persons aged 15 years and over in Labour Force,2019Q4,South-East,213.3
Persons aged 15 years and over in Labour Force,2019Q4,South-West,354.9
Persons aged 15 years and over in Labour Force,2019Q4,Eastern and Midland,1265.1
Persons aged 15 years and over in Labour Force,2019Q4,Dublin,756.4
Persons aged 15 years and over in Labour Force,2019Q4,Mid-East,365.6
Persons aged 15 years and over in Labour Force,2019Q4,Midland,143.1
Persons aged 15 years and over in Labour Force,2020Q1,State,2484.5
Persons aged 15 years and over in Labour Force,2020Q1,Northern and Western,419.0
Persons aged 15 years and over in Labour Force,2020Q1,Border,188.7
Persons aged 15 years and over in Labour Force,2020Q1,West,230.4
Persons aged 15 years and over in Labour Force,2020Q1,Southern,809.4
Persons aged 15 years and over in Labour Force,2020Q1,Mid-West,234.1
Persons aged 15 years and over in Labour Force,2020Q1,South-East,213.1
Persons aged 15 years and over in Labour Force,2020Q1,South-West,362.1
Persons aged 15 years and over in Labour Force,2020Q1,Eastern and Midland,1256.0
Persons aged 15 years and over in Labour Force,2020Q1,Dublin,750.8
Persons aged 15 years and over in Labour Force,2020Q1,Mid-East,360.2
Persons aged 15 years and over in Labour Force,2020Q1,Midland,145.0
Persons aged 15 years and over in Labour Force,2020Q2,State,2283.9
Persons aged 15 years and over in Labour Force,2020Q2,Northern and Western,379.1
Persons aged 15 years and over in Labour Force,2020Q2,Border,164.6
Persons aged 15 years and over in Labour Force,2020Q2,West,214.5
Persons aged 15 years and over in Labour Force,2020Q2,Southern,735.7
Persons aged 15 years and over in Labour Force,2020Q2,Mid-West,217.6
Persons aged 15 years and over in Labour Force,2020Q2,South-East,190.4
Persons aged 15 years and over in Labour Force,2020Q2,South-West,327.8
Persons aged 15 years and over in Labour Force,2020Q2,Eastern and Midland,1169.1
Persons aged 15 years and over in Labour Force,2020Q2,Dublin,700.0
Persons aged 15 years and over in Labour Force,2020Q2,Mid-East,332.0
Persons aged 15 years and over in Labour Force,2020Q2,Midland,137.1
Persons aged 15 years and over in Labour Force,2020Q3,State,2456.3
Persons aged 15 years and over in Labour Force,2020Q3,Northern and Western,413.5
Persons aged 15 years and over in Labour Force,2020Q3,Border,179.8
Persons aged 15 years and over in Labour Force,2020Q3,West,233.7
Persons aged 15 years and over in Labour Force,2020Q3,Southern,791.1
Persons aged 15 years and over in Labour Force,2020Q3,Mid-West,231.1
Persons aged 15 years and over in Labour Force,2020Q3,South-East,208.1
Persons aged 15 years and over in Labour Force,2020Q3,South-West,351.9
Persons aged 15 years and over in Labour Force,2020Q3,Eastern and Midland,1251.8
Persons aged 15 years and over in Labour Force,2020Q3,Dublin,741.1
Persons aged 15 years and over in Labour Force,2020Q3,Mid-East,364.5
Persons aged 15 years and over in Labour Force,2020Q3,Midland,146.2
Persons aged 15 years and over in Labour Force,2020Q4,State,2448.5
Persons aged 15 years and over in Labour Force,2020Q4,Northern and Western,412.9
Persons aged 15 years and over in Labour Force,2020Q4,Border,185.8
Persons aged 15 years and over in Labour Force,2020Q4,West,227.1
Persons aged 15 years and over in Labour Force,2020Q4,Southern,788.4
Persons aged 15 years and over in Labour Force,2020Q4,Mid-West,232.7
Persons aged 15 years and over in Labour Force,2020Q4,South-East,204.2
Persons aged 15 years and over in Labour Force,2020Q4,South-West,351.5
Persons aged 15 years and over in Labour Force,2020Q4,Eastern and Midland,1247.2
Persons aged 15 years and over in Labour Force,2020Q4,Dublin,731.9
Persons aged 15 years and over in Labour Force,2020Q4,Mid-East,362.2
Persons aged 15 years and over in Labour Force,2020Q4,Midland,153.1
Persons aged 15 years and over in Labour Force,2021Q1,State,2432.7
Persons aged 15 years and over in Labour Force,2021Q1,Northern and Western,415.7
Persons aged 15 years and over in Labour Force,2021Q1,Border,186.5
Persons aged 15 years and over in Labour Force,2021Q1,West,229.2
Persons aged 15 years and over in Labour Force,2021Q1,Southern,771.4
Persons aged 15 years and over in Labour Force,2021Q1,Mid-West,225.4
Persons aged 15 years and over in Labour Force,2021Q1,South-East,201.5
Persons aged 15 years and over in Labour Force,2021Q1,South-West,344.5
Persons aged 15 years and over in Labour Force,2021Q1,Eastern and Midland,1245.6
Persons aged 15 years and over in Labour Force,2021Q1,Dublin,732.4
Persons aged 15 years and over in Labour Force,2021Q1,Mid-East,360.4
Persons aged 15 years and over in Labour Force,2021Q1,Midland,152.8
Persons aged 15 years and over in Labour Force,2021Q2,State,2568.6
Persons aged 15 years and over in Labour Force,2021Q2,Northern and Western,439.0
Persons aged 15 years and over in Labour Force,2021Q2,Border,197.5
Persons aged 15 years and over in Labour Force,2021Q2,West,241.5
Persons aged 15 years and over in Labour Force,2021Q2,Southern,832.7
Persons aged 15 years and over in Labour Force,2021Q2,Mid-West,249.5
Persons aged 15 years and over in Labour Force,2021Q2,South-East,217.8
Persons aged 15 years and over in Labour Force,2021Q2,South-West,365.4
Persons aged 15 years and over in Labour Force,2021Q2,Eastern and Midland,1296.9
Persons aged 15 years and over in Labour Force,2021Q2,Dublin,774.9
Persons aged 15 years and over in Labour Force,2021Q2,Mid-East,368.0
Persons aged 15 years and over in Labour Force,2021Q2,Midland,154.0
Persons aged 15 years and over in Labour Force,2021Q3,State,2666.0
Persons aged 15 years and over in Labour Force,2021Q3,Northern and Western,452.2
Persons aged 15 years and over in Labour Force,2021Q3,Border,206.4
Persons aged 15 years and over in Labour Force,2021Q3,West,245.8
Persons aged 15 years and over in Labour Force,2021Q3,Southern,859.1
Persons aged 15 years and over in Labour Force,2021Q3,Mid-West,254.9
Persons aged 15 years and over in Labour Force,2021Q3,South-East,220.2
Persons aged 15 years and over in Labour Force,2021Q3,South-West,383.9
Persons aged 15 years and over in Labour Force,2021Q3,Eastern and Midland,1354.7
Persons aged 15 years and over in Labour Force,2021Q3,Dublin,801.9
Persons aged 15 years and over in Labour Force,2021Q3,Mid-East,394.9
Persons aged 15 years and over in Labour Force,2021Q3,Midland,157.9
Persons aged 15 years and over in Labour Force,2021Q4,State,2681.5
Persons aged 15 years and over in Labour Force,2021Q4,Northern and Western,445.2
Persons aged 15 years and over in Labour Force,2021Q4,Border,199.2
Persons aged 15 years and over in Labour Force,2021Q4,West,246.1
Persons aged 15 years and over in Labour Force,2021Q4,Southern,857.3
Persons aged 15 years and over in Labour Force,2021Q4,Mid-West,256.6
Persons aged 15 years and over in Labour Force,2021Q4,South-East,227.2
Persons aged 15 years and over in Labour Force,2021Q4,South-West,373.5
Persons aged 15 years and over in Labour Force,2021Q4,Eastern and Midland,1378.9
Persons aged 15 years and over in Labour Force,2021Q4,Dublin,818.2
Persons aged 15 years and over in Labour Force,2021Q4,Mid-East,396.2
Persons aged 15 years and over in Labour Force,2021Q4,Midland,164.6
Persons aged 15 years and over in Labour Force,2022Q1,State,2687.6
Persons aged 15 years and over in Labour Force,2022Q1,Northern and Western,452.0
Persons aged 15 years and over in Labour Force,2022Q1,Border,203.7
Persons aged 15 years and over in Labour Force,2022Q1,West,248.3
Persons aged 15 years and over in Labour Force,2022Q1,Southern,858.2
Persons aged 15 years and over in Labour Force,2022Q1,Mid-West,247.6
Persons aged 15 years and over in Labour Force,2022Q1,South-East,224.2
Persons aged 15 years and over in Labour Force,2022Q1,South-West,386.3
Persons aged 15 years and over in Labour Force,2022Q1,Eastern and Midland,1377.3
Persons aged 15 years and over in Labour Force,2022Q1,Dublin,818.0
Persons aged 15 years and over in Labour Force,2022Q1,Mid-East,394.5
Persons aged 15 years and over in Labour Force,2022Q1,Midland,164.8
Persons aged 15 years and over in Labour Force,2022Q2,State,2722.3
Persons aged 15 years and over in Labour Force,2022Q2,Northern and Western,456.2
Persons aged 15 years and over in Labour Force,2022Q2,Border,206.4
Persons aged 15 years and over in Labour Force,2022Q2,West,249.8
Persons aged 15 years and over in Labour Force,2022Q2,Southern,883.2
Persons aged 15 years and over in Labour Force,2022Q2,Mid-West,263.7
Persons aged 15 years and over in Labour Force,2022Q2,South-East,227.9
Persons aged 15 years and over in Labour Force,2022Q2,South-West,391.6
Persons aged 15 years and over in Labour Force,2022Q2,Eastern and Midland,1383.0
Persons aged 15 years and over in Labour Force,2022Q2,Dublin,819.5
Persons aged 15 years and over in Labour Force,2022Q2,Mid-East,399.3
Persons aged 15 years and over in Labour Force,2022Q2,Midland,164.1
Persons aged 15 years and over in Labour Force,2022Q3,State,2723.0
Persons aged 15 years and over in Labour Force,2022Q3,Northern and Western,461.6
Persons aged 15 years and over in Labour Force,2022Q3,Border,209.7
Persons aged 15 years and over in Labour Force,2022Q3,West,251.9
Persons aged 15 years and over in Labour Force,2022Q3,Southern,876.0
Persons aged 15 years and over in Labour Force,2022Q3,Mid-West,258.0
Persons aged 15 years and over in Labour Force,2022Q3,South-East,231.3
Persons aged 15 years and over in Labour Force,2022Q3,South-West,386.7
Persons aged 15 years and over in Labour Force,2022Q3,Eastern and Midland,1385.4
Persons aged 15 years and over in Labour Force,2022Q3,Dublin,822.2
Persons aged 15 years and over in Labour Force,2022Q3,Mid-East,400.5
Persons aged 15 years and over in Labour Force,2022Q3,Midland,162.7
Persons aged 15 years and over in Labour Force,2022Q4,State,2729.4
Persons aged 15 years and over in Labour Force,2022Q4,Northern and Western,462.5
Persons aged 15 years and over in Labour Force,2022Q4,Border,209.3
Persons aged 15 years and over in Labour Force,2022Q4,West,253.2
Persons aged 15 years and over in Labour Force,2022Q4,Southern,874.0
Persons aged 15 years and over in Labour Force,2022Q4,Mid-West,256.4
Persons aged 15 years and over in Labour Force,2022Q4,South-East,231.5
Persons aged 15 years and over in Labour Force,2022Q4,South-West,386.1
Persons aged 15 years and over in Labour Force,2022Q4,Eastern and Midland,1392.8
Persons aged 15 years and over in Labour Force,2022Q4,Dublin,821.8
Persons aged 15 years and over in Labour Force,2022Q4,Mid-East,410.0
Persons aged 15 years and over in Labour Force,2022Q4,Midland,161.1
Persons aged 15 years and over in Labour Force,2023Q1,State,2764.0
Persons aged 15 years and over in Labour Force,2023Q1,Northern and Western,470.5
Persons aged 15 years and over in Labour Force,2023Q1,Border,212.8
Persons aged 15 years and over in Labour Force,2023Q1,West,257.8
Persons aged 15 years and over in Labour Force,2023Q1,Southern,880.7
Persons aged 15 years and over in Labour Force,2023Q1,Mid-West,259.0
Persons aged 15 years and over in Labour Force,2023Q1,South-East,231.4
Persons aged 15 years and over in Labour Force,2023Q1,South-West,390.3
Persons aged 15 years and over in Labour Force,2023Q1,Eastern and Midland,1412.8
Persons aged 15 years and over in Labour Force,2023Q1,Dublin,837.6
Persons aged 15 years and over in Labour Force,2023Q1,Mid-East,405.9
Persons aged 15 years and over in Labour Force,2023Q1,Midland,169.2
Persons aged 15 years and over in Labour Force,2023Q2,State,2804.9
Persons aged 15 years and over in Labour Force,2023Q2,Northern and Western,475.8
Persons aged 15 years and over in Labour Force,2023Q2,Border,212.0
Persons aged 15 years and over in Labour Force,2023Q2,West,263.8
Persons aged 15 years and over in Labour Force,2023Q2,Southern,900.9
Persons aged 15 years and over in Labour Force,2023Q2,Mid-West,268.0
Persons aged 15 years and over in Labour Force,2023Q2,South-East,233.3
Persons aged 15 years and over in Labour Force,2023Q2,South-West,399.5
Persons aged 15 years and over in Labour Force,2023Q2,Eastern and Midland,1428.1
Persons aged 15 years and over in Labour Force,2023Q2,Dublin,848.9
Persons aged 15 years and over in Labour Force,2023Q2,Mid-East,413.6
Persons aged 15 years and over in Labour Force,2023Q2,Midland,165.7
Persons aged 15 years and over in Labour Force,2023Q3,State,2826.2
Persons aged 15 years and over in Labour Force,2023Q3,Northern and Western,487.8
Persons aged 15 years and over in Labour Force,2023Q3,Border,218.3
Persons aged 15 years and over in Labour Force,2023Q3,West,269.6
Persons aged 15 years and over in Labour Force,2023Q3,Southern,922.2
Persons aged 15 years and over in Labour Force,2023Q3,Mid-West,268.0
Persons aged 15 years and over in Labour Force,2023Q3,South-East,244.2
Persons aged 15 years and over in Labour Force,2023Q3,South-West,410.0
Persons aged 15 years and over in Labour Force,2023Q3,Eastern and Midland,1416.1
Persons aged 15 years and over in Labour Force,2023Q3,Dublin,833.7
Persons aged 15 years and over in Labour Force,2023Q3,Mid-East,414.7
Persons aged 15 years and over in Labour Force,2023Q3,Midland,167.7
Persons aged 15 years and over in Labour Force,2023Q4,State,2824.1
Persons aged 15 years and over in Labour Force,2023Q4,Northern and Western,483.7
Persons aged 15 years and over in Labour Force,2023Q4,Border,217.5
Persons aged 15 years and over in Labour Force,2023Q4,West,266.2
Persons aged 15 years and over in Labour Force,2023Q4,Southern,920.7
Persons aged 15 years and over in Labour Force,2023Q4,Mid-West,267.7
Persons aged 15 years and over in Labour Force,2023Q4,South-East,242.8
Persons aged 15 years and over in Labour Force,2023Q4,South-West,410.3
Persons aged 15 years and over in Labour Force,2023Q4,Eastern and Midland,1419.7
Persons aged 15 years and over in Labour Force,2023Q4,Dublin,840.4
Persons aged 15 years and over in Labour Force,2023Q4,Mid-East,414.1
Persons aged 15 years and over in Labour Force,2023Q4,Midland,165.2
Persons aged 15 years and over in Labour Force,2024Q1,State,2819.4
Persons aged 15 years and over in Labour Force,2024Q1,Northern and Western,476.6
Persons aged 15 years and over in Labour Force,2024Q1,Border,210.8
Persons aged 15 years and over in Labour Force,2024Q1,West,265.8
Persons aged 15 years and over in Labour Force,2024Q1,Southern,906.0
Persons aged 15 years and over in Labour Force,2024Q1,Mid-West,267.4
Persons aged 15 years and over in Labour Force,2024Q1,South-East,233.7
Persons aged 15 years and over in Labour Force,2024Q1,South-West,405.0
Persons aged 15 years and over in Labour Force,2024Q1,Eastern and Midland,1436.8
Persons aged 15 years and over in Labour Force,2024Q1,Dublin,857.0
Persons aged 15 years and over in Labour Force,2024Q1,Mid-East,409.9
Persons aged 15 years and over in Labour Force,2024Q1,Midland,169.9
Persons aged 15 years and over in Labour Force,2024Q2,State,2885.4
Persons aged 15 years and over in Labour Force,2024Q2,Northern and Western,483.6
Persons aged 15 years and over in Labour Force,2024Q2,Border,218.1
Persons aged 15 years and over in Labour Force,2024Q2,West,265.5
Persons aged 15 years and over in Labour Force,2024Q2,Southern,937.1
Persons aged 15 years and over in Labour Force,2024Q2,Mid-West,276.8
Persons aged 15 years and over in Labour Force,2024Q2,South-East,244.8
Persons aged 15 years and over in Labour Force,2024Q2,South-West,415.5
Persons aged 15 years and over in Labour Force,2024Q2,Eastern and Midland,1464.7
Persons aged 15 years and over in Labour Force,2024Q2,Dublin,875.4
Persons aged 15 years and over in Labour Force,2024Q2,Mid-East,420.4
Persons aged 15 years and over in Labour Force,2024Q2,Midland,168.9
Persons aged 15 years and over in Labour Force,2024Q3,State,2924.4
Persons aged 15 years and over in Labour Force,2024Q3,Northern and Western,497.9
Persons aged 15 years and over in Labour Force,2024Q3,Border,221.7
Persons aged 15 years and over in Labour Force,2024Q3,West,276.2
Persons aged 15 years and over in Labour Force,2024Q3,Southern,955.7
Persons aged 15 years and over in Labour Force,2024Q3,Mid-West,287.0
Persons aged 15 years and over in Labour Force,2024Q3,South-East,247.8
Persons aged 15 years and over in Labour Force,2024Q3,South-West,420.8
Persons aged 15 years and over in Labour Force,2024Q3,Eastern and Midland,1470.8
Persons aged 15 years and over in Labour Force,2024Q3,Dublin,876.2
Persons aged 15 years and over in Labour Force,2024Q3,Mid-East,424.5
Persons aged 15 years and over in Labour Force,2024Q3,Midland,170.2
Persons aged 15 years and over in Labour Force,2024Q4,State,2892.5
Persons aged 15 years and over in Labour Force,2024Q4,Northern and Western,490.7
Persons aged 15 years and over in Labour Force,2024Q4,Border,217.1
Persons aged 15 years and over in Labour Force,2024Q4,West,273.7
Persons aged 15 years and over in Labour Force,2024Q4,Southern,952.9
Persons aged 15 years and over in Labour Force,2024Q4,Mid-West,288.5
Persons aged 15 years and over in Labour Force,2024Q4,South-East,247.5
Persons aged 15 years and over in Labour Force,2024Q4,South-West,416.9
Persons aged 15 years and over in Labour Force,2024Q4,Eastern and Midland,1448.9
Persons aged 15 years and over in Labour Force,2024Q4,Dublin,862.5
Persons aged 15 years and over in Labour Force,2024Q4,Mid-East,423.1
Persons aged 15 years and over in Labour Force,2024Q4,Midland,163.2
Persons aged 15 years and over in Labour Force,2025Q1,State,2918.3
Persons aged 15 years and over in Labour Force,2025Q1,Northern and Western,489.7
Persons aged 15 years and over in Labour Force,2025Q1,Border,217.4
Persons aged 15 years and over in Labour Force,2025Q1,West,272.3
Persons aged 15 years and over in Labour Force,2025Q1,Southern,960.2
Persons aged 15 years and over in Labour Force,2025Q1,Mid-West,289.8
Persons aged 15 years and over in Labour Force,2025Q1,South-East,252.5
Persons aged 15 years and over in Labour Force,2025Q1,South-West,417.9
Persons aged 15 years and over in Labour Force,2025Q1,Eastern and Midland,1468.5
Persons aged 15 years and over in Labour Force,2025Q1,Dublin,879.8
Persons aged 15 years and over in Labour Force,2025Q1,Mid-East,422.1
Persons aged 15 years and over in Labour Force,2025Q1,Midland,166.5
ILO Unemployment Rate (15 - 74 years),2012Q1,State,15.8
ILO Unemployment Rate (15 - 74 years),2012Q1,Northern and Western,15.7
ILO Unemployment Rate (15 - 74 years),2012Q1,Border,13.7
ILO Unemployment Rate (15 - 74 years),2012Q1,West,17.3
ILO Unemployment Rate (15 - 74 years),2012Q1,Southern,17.0
ILO Unemployment Rate (15 - 74 years),2012Q1,Mid-West,19.5
ILO Unemployment Rate (15 - 74 years),2012Q1,South-East,17.8
ILO Unemployment Rate (15 - 74 years),2012Q1,South-West,14.7
ILO Unemployment Rate (15 - 74 years),2012Q1,Eastern and Midland,15.0
ILO Unemployment Rate (15 - 74 years),2012Q1,Dublin,13.6
