Statistic,Quarter,NACE Rev 2 Economic Sector,Citizenship,value
Persons aged 15 years and over in Employment,2023Q2,All NACE economic sectors,"All countries excluding Ireland,United Kingdom and EU272020",213.8
Persons aged 15 years and over in Employment,2023Q2,"Agriculture, forestry and fishing (A)",All Countries,101.9
Persons aged 15 years and over in Employment,2023Q2,"Agriculture, forestry and fishing (A)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2023Q2,"Agriculture, forestry and fishing (A)",EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2023Q2,"Agriculture, forestry and fishing (A)",United Kingdom,
Persons aged 15 years and over in Employment,2023Q2,"Agriculture, forestry and fishing (A)",Ireland,99.2
Persons aged 15 years and over in Employment,2023Q2,"Agriculture, forestry and fishing (A)",All countries excluding Ireland,
Persons aged 15 years and over in Employment,2023Q2,"Agriculture, forestry and fishing (A)","All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2023Q2,Construction (F),All Countries,172.4
Persons aged 15 years and over in Employment,2023Q2,Construction (F),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2023Q2,Construction (F),EU15 to EU27 (accession countries joined post 2004),18.5
Persons aged 15 years and over in Employment,2023Q2,Construction (F),United Kingdom,
Persons aged 15 years and over in Employment,2023Q2,Construction (F),Ireland,139.9
Persons aged 15 years and over in Employment,2023Q2,Construction (F),All countries excluding Ireland,32.5
Persons aged 15 years and over in Employment,2023Q2,Construction (F),"All countries excluding Ireland,United Kingdom and EU272020",10.2
Persons aged 15 years and over in Employment,2023Q2,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",All Countries,339.5
Persons aged 15 years and over in Employment,2023Q2,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),8.1
Persons aged 15 years and over in Employment,2023Q2,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",EU15 to EU27 (accession countries joined post 2004),29.9
Persons aged 15 years and over in Employment,2023Q2,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",United Kingdom,6.5
Persons aged 15 years and over in Employment,2023Q2,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Ireland,276.5
Persons aged 15 years and over in Employment,2023Q2,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",All countries excluding Ireland,63.0
Persons aged 15 years and over in Employment,2023Q2,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","All countries excluding Ireland,United Kingdom and EU272020",18.5
Persons aged 15 years and over in Employment,2023Q2,Transportation and storage (H),All Countries,116.9
Persons aged 15 years and over in Employment,2023Q2,Transportation and storage (H),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2023Q2,Transportation and storage (H),EU15 to EU27 (accession countries joined post 2004),8.8
Persons aged 15 years and over in Employment,2023Q2,Transportation and storage (H),United Kingdom,
Persons aged 15 years and over in Employment,2023Q2,Transportation and storage (H),Ireland,97.8
Persons aged 15 years and over in Employment,2023Q2,Transportation and storage (H),All countries excluding Ireland,19.1
Persons aged 15 years and over in Employment,2023Q2,Transportation and storage (H),"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2023Q2,Accommodation and food service activities (I),All Countries,178.2
Persons aged 15 years and over in Employment,2023Q2,Accommodation and food service activities (I),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2023Q2,Accommodation and food service activities (I),EU15 to EU27 (accession countries joined post 2004),17.8
Persons aged 15 years and over in Employment,2023Q2,Accommodation and food service activities (I),United Kingdom,
Persons aged 15 years and over in Employment,2023Q2,Accommodation and food service activities (I),Ireland,129.1
Persons aged 15 years and over in Employment,2023Q2,Accommodation and food service activities (I),All countries excluding Ireland,49.1
Persons aged 15 years and over in Employment,2023Q2,Accommodation and food service activities (I),"All countries excluding Ireland,United Kingdom and EU272020",22.5
Persons aged 15 years and over in Employment,2023Q2,Information and communication (J),All Countries,175.8
Persons aged 15 years and over in Employment,2023Q2,Information and communication (J),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),20.6
Persons aged 15 years and over in Employment,2023Q2,Information and communication (J),EU15 to EU27 (accession countries joined post 2004),8.3
Persons aged 15 years and over in Employment,2023Q2,Information and communication (J),United Kingdom,
Persons aged 15 years and over in Employment,2023Q2,Information and communication (J),Ireland,108.5
Persons aged 15 years and over in Employment,2023Q2,Information and communication (J),All countries excluding Ireland,67.3
Persons aged 15 years and over in Employment,2023Q2,Information and communication (J),"All countries excluding Ireland,United Kingdom and EU272020",34.4
Persons aged 15 years and over in Employment,2023Q2,"Professional, scientific and technical activities (M)",All Countries,178.2
Persons aged 15 years and over in Employment,2023Q2,"Professional, scientific and technical activities (M)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2023Q2,"Professional, scientific and technical activities (M)",EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2023Q2,"Professional, scientific and technical activities (M)",United Kingdom,
Persons aged 15 years and over in Employment,2023Q2,"Professional, scientific and technical activities (M)",Ireland,147.1
Persons aged 15 years and over in Employment,2023Q2,"Professional, scientific and technical activities (M)",All countries excluding Ireland,31.1
Persons aged 15 years and over in Employment,2023Q2,"Professional, scientific and technical activities (M)","All countries excluding Ireland,United Kingdom and EU272020",15.6
Persons aged 15 years and over in Employment,2023Q2,Administrative and support service activities (N),All Countries,112.3
Persons aged 15 years and over in Employment,2023Q2,Administrative and support service activities (N),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2023Q2,Administrative and support service activities (N),EU15 to EU27 (accession countries joined post 2004),10.7
Persons aged 15 years and over in Employment,2023Q2,Administrative and support service activities (N),United Kingdom,
Persons aged 15 years and over in Employment,2023Q2,Administrative and support service activities (N),Ireland,85.6
Persons aged 15 years and over in Employment,2023Q2,Administrative and support service activities (N),All countries excluding Ireland,26.7
Persons aged 15 years and over in Employment,2023Q2,Administrative and support service activities (N),"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2023Q2,"Public administration and defence, compulsory social security (O)",All Countries,144.7
Persons aged 15 years and over in Employment,2023Q2,"Public administration and defence, compulsory social security (O)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2023Q2,"Public administration and defence, compulsory social security (O)",EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2023Q2,"Public administration and defence, compulsory social security (O)",United Kingdom,
Persons aged 15 years and over in Employment,2023Q2,"Public administration and defence, compulsory social security (O)",Ireland,136.8
Persons aged 15 years and over in Employment,2023Q2,"Public administration and defence, compulsory social security (O)",All countries excluding Ireland,7.9
Persons aged 15 years and over in Employment,2023Q2,"Public administration and defence, compulsory social security (O)","All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2023Q2,Education (P),All Countries,221.4
Persons aged 15 years and over in Employment,2023Q2,Education (P),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),7.0
Persons aged 15 years and over in Employment,2023Q2,Education (P),EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2023Q2,Education (P),United Kingdom,
Persons aged 15 years and over in Employment,2023Q2,Education (P),Ireland,199.0
Persons aged 15 years and over in Employment,2023Q2,Education (P),All countries excluding Ireland,22.4
Persons aged 15 years and over in Employment,2023Q2,Education (P),"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2023Q2,Human health and social work activities (Q),All Countries,358.0
Persons aged 15 years and over in Employment,2023Q2,Human health and social work activities (Q),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2023Q2,Human health and social work activities (Q),EU15 to EU27 (accession countries joined post 2004),13.7
Persons aged 15 years and over in Employment,2023Q2,Human health and social work activities (Q),United Kingdom,
Persons aged 15 years and over in Employment,2023Q2,Human health and social work activities (Q),Ireland,283.3
Persons aged 15 years and over in Employment,2023Q2,Human health and social work activities (Q),All countries excluding Ireland,74.7
Persons aged 15 years and over in Employment,2023Q2,Human health and social work activities (Q),"All countries excluding Ireland,United Kingdom and EU272020",50.0
Persons aged 15 years and over in Employment,2023Q2,Industry (B to E),All Countries,320.7
Persons aged 15 years and over in Employment,2023Q2,Industry (B to E),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2023Q2,Industry (B to E),EU15 to EU27 (accession countries joined post 2004),35.6
Persons aged 15 years and over in Employment,2023Q2,Industry (B to E),United Kingdom,
Persons aged 15 years and over in Employment,2023Q2,Industry (B to E),Ireland,255.7
Persons aged 15 years and over in Employment,2023Q2,Industry (B to E),All countries excluding Ireland,65.0
Persons aged 15 years and over in Employment,2023Q2,Industry (B to E),"All countries excluding Ireland,United Kingdom and EU272020",17.6
Persons aged 15 years and over in Employment,2023Q2,Industry and Construction (B to F),All Countries,493.1
Persons aged 15 years and over in Employment,2023Q2,Industry and Construction (B to F),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),8.5
Persons aged 15 years and over in Employment,2023Q2,Industry and Construction (B to F),EU15 to EU27 (accession countries joined post 2004),54.1
Persons aged 15 years and over in Employment,2023Q2,Industry and Construction (B to F),United Kingdom,7.2
Persons aged 15 years and over in Employment,2023Q2,Industry and Construction (B to F),Ireland,395.6
Persons aged 15 years and over in Employment,2023Q2,Industry and Construction (B to F),All countries excluding Ireland,97.5
Persons aged 15 years and over in Employment,2023Q2,Industry and Construction (B to F),"All countries excluding Ireland,United Kingdom and EU272020",27.7
Persons aged 15 years and over in Employment,2023Q2,Services (G to U),All Countries,2083.1
Persons aged 15 years and over in Employment,2023Q2,Services (G to U),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),69.3
Persons aged 15 years and over in Employment,2023Q2,Services (G to U),EU15 to EU27 (accession countries joined post 2004),114.0
Persons aged 15 years and over in Employment,2023Q2,Services (G to U),United Kingdom,38.3
Persons aged 15 years and over in Employment,2023Q2,Services (G to U),Ireland,1675.9
Persons aged 15 years and over in Employment,2023Q2,Services (G to U),All countries excluding Ireland,407.2
Persons aged 15 years and over in Employment,2023Q2,Services (G to U),"All countries excluding Ireland,United Kingdom and EU272020",185.5
Persons aged 15 years and over in Employment,2023Q2,"Financial, insurance and real estate activities (K,L)",All Countries,139.1
Persons aged 15 years and over in Employment,2023Q2,"Financial, insurance and real estate activities (K,L)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2023Q2,"Financial, insurance and real estate activities (K,L)",EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2023Q2,"Financial, insurance and real estate activities (K,L)",United Kingdom,
Persons aged 15 years and over in Employment,2023Q2,"Financial, insurance and real estate activities (K,L)",Ireland,113.7
Persons aged 15 years and over in Employment,2023Q2,"Financial, insurance and real estate activities (K,L)",All countries excluding Ireland,25.4
Persons aged 15 years and over in Employment,2023Q2,"Financial, insurance and real estate activities (K,L)","All countries excluding Ireland,United Kingdom and EU272020",13.2
Persons aged 15 years and over in Employment,2023Q2,Other NACE activities (R to U),All Countries,119.1
Persons aged 15 years and over in Employment,2023Q2,Other NACE activities (R to U),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2023Q2,Other NACE activities (R to U),EU15 to EU27 (accession countries joined post 2004),7.9
Persons aged 15 years and over in Employment,2023Q2,Other NACE activities (R to U),United Kingdom,
Persons aged 15 years and over in Employment,2023Q2,Other NACE activities (R to U),Ireland,98.6
Persons aged 15 years and over in Employment,2023Q2,Other NACE activities (R to U),All countries excluding Ireland,20.5
Persons aged 15 years and over in Employment,2023Q2,Other NACE activities (R to U),"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2023Q2,Not stated,All Countries,
Persons aged 15 years and over in Employment,2023Q2,Not stated,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2023Q2,Not stated,EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2023Q2,Not stated,United Kingdom,
Persons aged 15 years and over in Employment,2023Q2,Not stated,Ireland,
Persons aged 15 years and over in Employment,2023Q2,Not stated,All countries excluding Ireland,
Persons aged 15 years and over in Employment,2023Q2,Not stated,"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2023Q3,All NACE economic sectors,All Countries,2696.2
Persons aged 15 years and over in Employment,2023Q3,All NACE economic sectors,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),76.3
Persons aged 15 years and over in Employment,2023Q3,All NACE economic sectors,EU15 to EU27 (accession countries joined post 2004),174.9
Persons aged 15 years and over in Employment,2023Q3,All NACE economic sectors,United Kingdom,43.4
Persons aged 15 years and over in Employment,2023Q3,All NACE economic sectors,Ireland,2180.7
Persons aged 15 years and over in Employment,2023Q3,All NACE economic sectors,All countries excluding Ireland,515.6
Persons aged 15 years and over in Employment,2023Q3,All NACE economic sectors,"All countries excluding Ireland,United Kingdom and EU272020",220.9
Persons aged 15 years and over in Employment,2023Q3,"Agriculture, forestry and fishing (A)",All Countries,114.7
Persons aged 15 years and over in Employment,2023Q3,"Agriculture, forestry and fishing (A)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2023Q3,"Agriculture, forestry and fishing (A)",EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2023Q3,"Agriculture, forestry and fishing (A)",United Kingdom,
Persons aged 15 years and over in Employment,2023Q3,"Agriculture, forestry and fishing (A)",Ireland,111.7
Persons aged 15 years and over in Employment,2023Q3,"Agriculture, forestry and fishing (A)",All countries excluding Ireland,
Persons aged 15 years and over in Employment,2023Q3,"Agriculture, forestry and fishing (A)","All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2023Q3,Construction (F),All Countries,169.4
Persons aged 15 years and over in Employment,2023Q3,Construction (F),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2023Q3,Construction (F),EU15 to EU27 (accession countries joined post 2004),20.4
Persons aged 15 years and over in Employment,2023Q3,Construction (F),United Kingdom,
Persons aged 15 years and over in Employment,2023Q3,Construction (F),Ireland,135.7
Persons aged 15 years and over in Employment,2023Q3,Construction (F),All countries excluding Ireland,33.7
Persons aged 15 years and over in Employment,2023Q3,Construction (F),"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2023Q3,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",All Countries,324.2
Persons aged 15 years and over in Employment,2023Q3,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),9.4
Persons aged 15 years and over in Employment,2023Q3,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",EU15 to EU27 (accession countries joined post 2004),29.3
Persons aged 15 years and over in Employment,2023Q3,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",United Kingdom,6.4
Persons aged 15 years and over in Employment,2023Q3,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Ireland,262.0
Persons aged 15 years and over in Employment,2023Q3,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",All countries excluding Ireland,62.3
Persons aged 15 years and over in Employment,2023Q3,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","All countries excluding Ireland,United Kingdom and EU272020",17.2
Persons aged 15 years and over in Employment,2023Q3,Transportation and storage (H),All Countries,116.4
Persons aged 15 years and over in Employment,2023Q3,Transportation and storage (H),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2023Q3,Transportation and storage (H),EU15 to EU27 (accession countries joined post 2004),9.0
Persons aged 15 years and over in Employment,2023Q3,Transportation and storage (H),United Kingdom,
Persons aged 15 years and over in Employment,2023Q3,Transportation and storage (H),Ireland,97.1
Persons aged 15 years and over in Employment,2023Q3,Transportation and storage (H),All countries excluding Ireland,19.3
Persons aged 15 years and over in Employment,2023Q3,Transportation and storage (H),"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2023Q3,Accommodation and food service activities (I),All Countries,183.1
Persons aged 15 years and over in Employment,2023Q3,Accommodation and food service activities (I),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2023Q3,Accommodation and food service activities (I),EU15 to EU27 (accession countries joined post 2004),19.1
Persons aged 15 years and over in Employment,2023Q3,Accommodation and food service activities (I),United Kingdom,
Persons aged 15 years and over in Employment,2023Q3,Accommodation and food service activities (I),Ireland,132.9
Persons aged 15 years and over in Employment,2023Q3,Accommodation and food service activities (I),All countries excluding Ireland,50.2
Persons aged 15 years and over in Employment,2023Q3,Accommodation and food service activities (I),"All countries excluding Ireland,United Kingdom and EU272020",21.7
Persons aged 15 years and over in Employment,2023Q3,Information and communication (J),All Countries,179.5
Persons aged 15 years and over in Employment,2023Q3,Information and communication (J),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),13.6
Persons aged 15 years and over in Employment,2023Q3,Information and communication (J),EU15 to EU27 (accession countries joined post 2004),9.1
Persons aged 15 years and over in Employment,2023Q3,Information and communication (J),United Kingdom,
Persons aged 15 years and over in Employment,2023Q3,Information and communication (J),Ireland,119.0
Persons aged 15 years and over in Employment,2023Q3,Information and communication (J),All countries excluding Ireland,60.5
Persons aged 15 years and over in Employment,2023Q3,Information and communication (J),"All countries excluding Ireland,United Kingdom and EU272020",33.3
Persons aged 15 years and over in Employment,2023Q3,"Professional, scientific and technical activities (M)",All Countries,180.8
Persons aged 15 years and over in Employment,2023Q3,"Professional, scientific and technical activities (M)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2023Q3,"Professional, scientific and technical activities (M)",EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2023Q3,"Professional, scientific and technical activities (M)",United Kingdom,
Persons aged 15 years and over in Employment,2023Q3,"Professional, scientific and technical activities (M)",Ireland,144.6
Persons aged 15 years and over in Employment,2023Q3,"Professional, scientific and technical activities (M)",All countries excluding Ireland,36.1
Persons aged 15 years and over in Employment,2023Q3,"Professional, scientific and technical activities (M)","All countries excluding Ireland,United Kingdom and EU272020",19.0
Persons aged 15 years and over in Employment,2023Q3,Administrative and support service activities (N),All Countries,111.7
Persons aged 15 years and over in Employment,2023Q3,Administrative and support service activities (N),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2023Q3,Administrative and support service activities (N),EU15 to EU27 (accession countries joined post 2004),10.0
Persons aged 15 years and over in Employment,2023Q3,Administrative and support service activities (N),United Kingdom,
Persons aged 15 years and over in Employment,2023Q3,Administrative and support service activities (N),Ireland,85.0
Persons aged 15 years and over in Employment,2023Q3,Administrative and support service activities (N),All countries excluding Ireland,26.7
Persons aged 15 years and over in Employment,2023Q3,Administrative and support service activities (N),"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2023Q3,"Public administration and defence, compulsory social security (O)",All Countries,137.1
Persons aged 15 years and over in Employment,2023Q3,"Public administration and defence, compulsory social security (O)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2023Q3,"Public administration and defence, compulsory social security (O)",EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2023Q3,"Public administration and defence, compulsory social security (O)",United Kingdom,
Persons aged 15 years and over in Employment,2023Q3,"Public administration and defence, compulsory social security (O)",Ireland,130.3
Persons aged 15 years and over in Employment,2023Q3,"Public administration and defence, compulsory social security (O)",All countries excluding Ireland,6.8
Persons aged 15 years and over in Employment,2023Q3,"Public administration and defence, compulsory social security (O)","All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2023Q3,Education (P),All Countries,222.9
Persons aged 15 years and over in Employment,2023Q3,Education (P),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2023Q3,Education (P),EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2023Q3,Education (P),United Kingdom,
Persons aged 15 years and over in Employment,2023Q3,Education (P),Ireland,197.8
Persons aged 15 years and over in Employment,2023Q3,Education (P),All countries excluding Ireland,25.0
Persons aged 15 years and over in Employment,2023Q3,Education (P),"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2023Q3,Human health and social work activities (Q),All Countries,362.7
Persons aged 15 years and over in Employment,2023Q3,Human health and social work activities (Q),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2023Q3,Human health and social work activities (Q),EU15 to EU27 (accession countries joined post 2004),13.0
Persons aged 15 years and over in Employment,2023Q3,Human health and social work activities (Q),United Kingdom,
Persons aged 15 years and over in Employment,2023Q3,Human health and social work activities (Q),Ireland,290.0
Persons aged 15 years and over in Employment,2023Q3,Human health and social work activities (Q),All countries excluding Ireland,72.7
Persons aged 15 years and over in Employment,2023Q3,Human health and social work activities (Q),"All countries excluding Ireland,United Kingdom and EU272020",49.3
Persons aged 15 years and over in Employment,2023Q3,Industry (B to E),All Countries,325.2
Persons aged 15 years and over in Employment,2023Q3,Industry (B to E),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),9.1
Persons aged 15 years and over in Employment,2023Q3,Industry (B to E),EU15 to EU27 (accession countries joined post 2004),34.4
Persons aged 15 years and over in Employment,2023Q3,Industry (B to E),United Kingdom,
Persons aged 15 years and over in Employment,2023Q3,Industry (B to E),Ireland,253.5
Persons aged 15 years and over in Employment,2023Q3,Industry (B to E),All countries excluding Ireland,71.7
Persons aged 15 years and over in Employment,2023Q3,Industry (B to E),"All countries excluding Ireland,United Kingdom and EU272020",24.1
Persons aged 15 years and over in Employment,2023Q3,Industry and Construction (B to F),All Countries,494.6
Persons aged 15 years and over in Employment,2023Q3,Industry and Construction (B to F),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),11.5
Persons aged 15 years and over in Employment,2023Q3,Industry and Construction (B to F),EU15 to EU27 (accession countries joined post 2004),54.9
Persons aged 15 years and over in Employment,2023Q3,Industry and Construction (B to F),United Kingdom,
Persons aged 15 years and over in Employment,2023Q3,Industry and Construction (B to F),Ireland,389.2
Persons aged 15 years and over in Employment,2023Q3,Industry and Construction (B to F),All countries excluding Ireland,105.4
Persons aged 15 years and over in Employment,2023Q3,Industry and Construction (B to F),"All countries excluding Ireland,United Kingdom and EU272020",33.0
Persons aged 15 years and over in Employment,2023Q3,Services (G to U),All Countries,2078.0
Persons aged 15 years and over in Employment,2023Q3,Services (G to U),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),63.8
Persons aged 15 years and over in Employment,2023Q3,Services (G to U),EU15 to EU27 (accession countries joined post 2004),117.8
Persons aged 15 years and over in Employment,2023Q3,Services (G to U),United Kingdom,36.8
Persons aged 15 years and over in Employment,2023Q3,Services (G to U),Ireland,1672.6
Persons aged 15 years and over in Employment,2023Q3,Services (G to U),All countries excluding Ireland,405.4
Persons aged 15 years and over in Employment,2023Q3,Services (G to U),"All countries excluding Ireland,United Kingdom and EU272020",187.0
Persons aged 15 years and over in Employment,2023Q3,"Financial, insurance and real estate activities (K,L)",All Countries,134.7
Persons aged 15 years and over in Employment,2023Q3,"Financial, insurance and real estate activities (K,L)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2023Q3,"Financial, insurance and real estate activities (K,L)",EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2023Q3,"Financial, insurance and real estate activities (K,L)",United Kingdom,
Persons aged 15 years and over in Employment,2023Q3,"Financial, insurance and real estate activities (K,L)",Ireland,110.2
Persons aged 15 years and over in Employment,2023Q3,"Financial, insurance and real estate activities (K,L)",All countries excluding Ireland,24.6
Persons aged 15 years and over in Employment,2023Q3,"Financial, insurance and real estate activities (K,L)","All countries excluding Ireland,United Kingdom and EU272020",12.3
Persons aged 15 years and over in Employment,2023Q3,Other NACE activities (R to U),All Countries,124.7
Persons aged 15 years and over in Employment,2023Q3,Other NACE activities (R to U),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2023Q3,Other NACE activities (R to U),EU15 to EU27 (accession countries joined post 2004),9.6
Persons aged 15 years and over in Employment,2023Q3,Other NACE activities (R to U),United Kingdom,
Persons aged 15 years and over in Employment,2023Q3,Other NACE activities (R to U),Ireland,103.7
Persons aged 15 years and over in Employment,2023Q3,Other NACE activities (R to U),All countries excluding Ireland,21.0
Persons aged 15 years and over in Employment,2023Q3,Other NACE activities (R to U),"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2023Q3,Not stated,All Countries,9.0
Persons aged 15 years and over in Employment,2023Q3,Not stated,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2023Q3,Not stated,EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2023Q3,Not stated,United Kingdom,
Persons aged 15 years and over in Employment,2023Q3,Not stated,Ireland,7.2
Persons aged 15 years and over in Employment,2023Q3,Not stated,All countries excluding Ireland,
Persons aged 15 years and over in Employment,2023Q3,Not stated,"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2023Q4,All NACE economic sectors,All Countries,2706.4
Persons aged 15 years and over in Employment,2023Q4,All NACE economic sectors,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),79.9
Persons aged 15 years and over in Employment,2023Q4,All NACE economic sectors,EU15 to EU27 (accession countries joined post 2004),168.4
Persons aged 15 years and over in Employment,2023Q4,All NACE economic sectors,United Kingdom,45.1
Persons aged 15 years and over in Employment,2023Q4,All NACE economic sectors,Ireland,2179.4
Persons aged 15 years and over in Employment,2023Q4,All NACE economic sectors,All countries excluding Ireland,527.0
Persons aged 15 years and over in Employment,2023Q4,All NACE economic sectors,"All countries excluding Ireland,United Kingdom and EU272020",233.5
Persons aged 15 years and over in Employment,2023Q4,"Agriculture, forestry and fishing (A)",All Countries,112.9
Persons aged 15 years and over in Employment,2023Q4,"Agriculture, forestry and fishing (A)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2023Q4,"Agriculture, forestry and fishing (A)",EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2023Q4,"Agriculture, forestry and fishing (A)",United Kingdom,
Persons aged 15 years and over in Employment,2023Q4,"Agriculture, forestry and fishing (A)",Ireland,108.9
Persons aged 15 years and over in Employment,2023Q4,"Agriculture, forestry and fishing (A)",All countries excluding Ireland,
Persons aged 15 years and over in Employment,2023Q4,"Agriculture, forestry and fishing (A)","All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2023Q4,Construction (F),All Countries,161.3
Persons aged 15 years and over in Employment,2023Q4,Construction (F),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2023Q4,Construction (F),EU15 to EU27 (accession countries joined post 2004),14.6
Persons aged 15 years and over in Employment,2023Q4,Construction (F),United Kingdom,
Persons aged 15 years and over in Employment,2023Q4,Construction (F),Ireland,133.8
