STATISTIC,Quarter,Sex,NACE Rev 2 Economic Sector,Region,value
Persons aged 15-89 years in Employment,2020Q1,Male,Accommodation and food service activities (I),Border,
Persons aged 15-89 years in Employment,2020Q1,Male,Accommodation and food service activities (I),West,7.2
Persons aged 15-89 years in Employment,2020Q1,Male,Accommodation and food service activities (I),Mid-West,7.4
Persons aged 15-89 years in Employment,2020Q1,Male,Accommodation and food service activities (I),South-East,
Persons aged 15-89 years in Employment,2020Q1,Male,Accommodation and food service activities (I),South-West,14.7
Persons aged 15-89 years in Employment,2020Q1,Male,Accommodation and food service activities (I),Dublin,21.8
Persons aged 15-89 years in Employment,2020Q1,Male,Accommodation and food service activities (I),Mid-East,11.1
Persons aged 15-89 years in Employment,2020Q1,Male,Accommodation and food service activities (I),Midland,
Persons aged 15-89 years in Employment,2020Q1,Male,Information and communication (J),State,87.8
Persons aged 15-89 years in Employment,2020Q1,Male,Information and communication (J),Border,
Persons aged 15-89 years in Employment,2020Q1,Male,Information and communication (J),West,5.2
Persons aged 15-89 years in Employment,2020Q1,Male,Information and communication (J),Mid-West,4.8
Persons aged 15-89 years in Employment,2020Q1,Male,Information and communication (J),South-East,
Persons aged 15-89 years in Employment,2020Q1,Male,Information and communication (J),South-West,10.1
Persons aged 15-89 years in Employment,2020Q1,Male,Information and communication (J),Dublin,49.0
Persons aged 15-89 years in Employment,2020Q1,Male,Information and communication (J),Mid-East,9.4
Persons aged 15-89 years in Employment,2020Q1,Male,Information and communication (J),Midland,
Persons aged 15-89 years in Employment,2020Q1,Male,"Professional, scientific and technical activities (M)",State,83.5
Persons aged 15-89 years in Employment,2020Q1,Male,"Professional, scientific and technical activities (M)",Border,
Persons aged 15-89 years in Employment,2020Q1,Male,"Professional, scientific and technical activities (M)",West,5.7
Persons aged 15-89 years in Employment,2020Q1,Male,"Professional, scientific and technical activities (M)",Mid-West,5.5
Persons aged 15-89 years in Employment,2020Q1,Male,"Professional, scientific and technical activities (M)",South-East,
Persons aged 15-89 years in Employment,2020Q1,Male,"Professional, scientific and technical activities (M)",South-West,12.1
Persons aged 15-89 years in Employment,2020Q1,Male,"Professional, scientific and technical activities (M)",Dublin,36.2
Persons aged 15-89 years in Employment,2020Q1,Male,"Professional, scientific and technical activities (M)",Mid-East,11.5
Persons aged 15-89 years in Employment,2020Q1,Male,"Professional, scientific and technical activities (M)",Midland,
Persons aged 15-89 years in Employment,2020Q1,Male,Administrative and support service activities (N),State,65.3
Persons aged 15-89 years in Employment,2020Q1,Male,Administrative and support service activities (N),Border,
Persons aged 15-89 years in Employment,2020Q1,Male,Administrative and support service activities (N),West,4.6
Persons aged 15-89 years in Employment,2020Q1,Male,Administrative and support service activities (N),Mid-West,7.7
Persons aged 15-89 years in Employment,2020Q1,Male,Administrative and support service activities (N),South-East,5.3
Persons aged 15-89 years in Employment,2020Q1,Male,Administrative and support service activities (N),South-West,8.6
Persons aged 15-89 years in Employment,2020Q1,Male,Administrative and support service activities (N),Dublin,23.9
Persons aged 15-89 years in Employment,2020Q1,Male,Administrative and support service activities (N),Mid-East,9.1
Persons aged 15-89 years in Employment,2020Q1,Male,Administrative and support service activities (N),Midland,
Persons aged 15-89 years in Employment,2020Q1,Male,"Public administration and defence, compulsory social security (O)",State,57.9
Persons aged 15-89 years in Employment,2020Q1,Male,"Public administration and defence, compulsory social security (O)",Border,
Persons aged 15-89 years in Employment,2020Q1,Male,"Public administration and defence, compulsory social security (O)",West,4.9
Persons aged 15-89 years in Employment,2020Q1,Male,"Public administration and defence, compulsory social security (O)",Mid-West,6.9
Persons aged 15-89 years in Employment,2020Q1,Male,"Public administration and defence, compulsory social security (O)",South-East,
Persons aged 15-89 years in Employment,2020Q1,Male,"Public administration and defence, compulsory social security (O)",South-West,5.9
Persons aged 15-89 years in Employment,2020Q1,Male,"Public administration and defence, compulsory social security (O)",Dublin,20.7
Persons aged 15-89 years in Employment,2020Q1,Male,"Public administration and defence, compulsory social security (O)",Mid-East,8.5
Persons aged 15-89 years in Employment,2020Q1,Male,"Public administration and defence, compulsory social security (O)",Midland,
Persons aged 15-89 years in Employment,2020Q1,Male,Education (P),State,48.3
Persons aged 15-89 years in Employment,2020Q1,Male,Education (P),Border,
Persons aged 15-89 years in Employment,2020Q1,Male,Education (P),West,
Persons aged 15-89 years in Employment,2020Q1,Male,Education (P),Mid-West,4.6
Persons aged 15-89 years in Employment,2020Q1,Male,Education (P),South-East,
Persons aged 15-89 years in Employment,2020Q1,Male,Education (P),South-West,5.3
Persons aged 15-89 years in Employment,2020Q1,Male,Education (P),Dublin,16.0
Persons aged 15-89 years in Employment,2020Q1,Male,Education (P),Mid-East,8.2
Persons aged 15-89 years in Employment,2020Q1,Male,Education (P),Midland,
Persons aged 15-89 years in Employment,2020Q1,Male,Human health and social work activities (Q),State,63.8
Persons aged 15-89 years in Employment,2020Q1,Male,Human health and social work activities (Q),Border,4.5
Persons aged 15-89 years in Employment,2020Q1,Male,Human health and social work activities (Q),West,6.4
Persons aged 15-89 years in Employment,2020Q1,Male,Human health and social work activities (Q),Mid-West,7.2
Persons aged 15-89 years in Employment,2020Q1,Male,Human health and social work activities (Q),South-East,
Persons aged 15-89 years in Employment,2020Q1,Male,Human health and social work activities (Q),South-West,9.3
Persons aged 15-89 years in Employment,2020Q1,Male,Human health and social work activities (Q),Dublin,22.3
Persons aged 15-89 years in Employment,2020Q1,Male,Human health and social work activities (Q),Mid-East,6.1
Persons aged 15-89 years in Employment,2020Q1,Male,Human health and social work activities (Q),Midland,
Persons aged 15-89 years in Employment,2020Q1,Male,Industry (B to E),State,211.2
Persons aged 15-89 years in Employment,2020Q1,Male,Industry (B to E),Border,21.3
Persons aged 15-89 years in Employment,2020Q1,Male,Industry (B to E),West,25.7
Persons aged 15-89 years in Employment,2020Q1,Male,Industry (B to E),Mid-West,24.6
Persons aged 15-89 years in Employment,2020Q1,Male,Industry (B to E),South-East,22.0
Persons aged 15-89 years in Employment,2020Q1,Male,Industry (B to E),South-West,42.0
Persons aged 15-89 years in Employment,2020Q1,Male,Industry (B to E),Dublin,30.7
Persons aged 15-89 years in Employment,2020Q1,Male,Industry (B to E),Mid-East,30.0
Persons aged 15-89 years in Employment,2020Q1,Male,Industry (B to E),Midland,14.7
Persons aged 15-89 years in Employment,2020Q1,Male,Industry and Construction (B to F),State,346.5
Persons aged 15-89 years in Employment,2020Q1,Male,Industry and Construction (B to F),Border,34.6
Persons aged 15-89 years in Employment,2020Q1,Male,Industry and Construction (B to F),West,37.8
Persons aged 15-89 years in Employment,2020Q1,Male,Industry and Construction (B to F),Mid-West,37.4
Persons aged 15-89 years in Employment,2020Q1,Male,Industry and Construction (B to F),South-East,36.2
Persons aged 15-89 years in Employment,2020Q1,Male,Industry and Construction (B to F),South-West,61.4
Persons aged 15-89 years in Employment,2020Q1,Male,Industry and Construction (B to F),Dublin,62.0
Persons aged 15-89 years in Employment,2020Q1,Male,Industry and Construction (B to F),Mid-East,52.6
Persons aged 15-89 years in Employment,2020Q1,Male,Industry and Construction (B to F),Midland,24.5
Persons aged 15-89 years in Employment,2020Q1,Male,Services (G to U),State,837.1
Persons aged 15-89 years in Employment,2020Q1,Male,Services (G to U),Border,48.0
Persons aged 15-89 years in Employment,2020Q1,Male,Services (G to U),West,68.7
Persons aged 15-89 years in Employment,2020Q1,Male,Services (G to U),Mid-West,74.6
Persons aged 15-89 years in Employment,2020Q1,Male,Services (G to U),South-East,58.6
Persons aged 15-89 years in Employment,2020Q1,Male,Services (G to U),South-West,108.6
Persons aged 15-89 years in Employment,2020Q1,Male,Services (G to U),Dublin,311.1
Persons aged 15-89 years in Employment,2020Q1,Male,Services (G to U),Mid-East,124.1
Persons aged 15-89 years in Employment,2020Q1,Male,Services (G to U),Midland,43.4
Persons aged 15-89 years in Employment,2020Q1,Male,"Financial, insurance and real estate activities (K,L)",State,61.2
Persons aged 15-89 years in Employment,2020Q1,Male,"Financial, insurance and real estate activities (K,L)",Border,
Persons aged 15-89 years in Employment,2020Q1,Male,"Financial, insurance and real estate activities (K,L)",West,
Persons aged 15-89 years in Employment,2020Q1,Male,"Financial, insurance and real estate activities (K,L)",Mid-West,
Persons aged 15-89 years in Employment,2020Q1,Male,"Financial, insurance and real estate activities (K,L)",South-East,
Persons aged 15-89 years in Employment,2020Q1,Male,"Financial, insurance and real estate activities (K,L)",South-West,4.5
Persons aged 15-89 years in Employment,2020Q1,Male,"Financial, insurance and real estate activities (K,L)",Dublin,32.8
Persons aged 15-89 years in Employment,2020Q1,Male,"Financial, insurance and real estate activities (K,L)",Mid-East,10.7
Persons aged 15-89 years in Employment,2020Q1,Male,"Financial, insurance and real estate activities (K,L)",Midland,
Persons aged 15-89 years in Employment,2020Q1,Male,Other NACE activities (R to U),State,46.6
Persons aged 15-89 years in Employment,2020Q1,Male,Other NACE activities (R to U),Border,
Persons aged 15-89 years in Employment,2020Q1,Male,Other NACE activities (R to U),West,
Persons aged 15-89 years in Employment,2020Q1,Male,Other NACE activities (R to U),Mid-West,4.5
Persons aged 15-89 years in Employment,2020Q1,Male,Other NACE activities (R to U),South-East,
Persons aged 15-89 years in Employment,2020Q1,Male,Other NACE activities (R to U),South-West,6.1
Persons aged 15-89 years in Employment,2020Q1,Male,Other NACE activities (R to U),Dublin,13.7
Persons aged 15-89 years in Employment,2020Q1,Male,Other NACE activities (R to U),Mid-East,9.2
Persons aged 15-89 years in Employment,2020Q1,Male,Other NACE activities (R to U),Midland,
Persons aged 15-89 years in Employment,2020Q1,Male,Not stated,State,
Persons aged 15-89 years in Employment,2020Q1,Male,Not stated,Border,
Persons aged 15-89 years in Employment,2020Q1,Male,Not stated,West,
Persons aged 15-89 years in Employment,2020Q1,Male,Not stated,Mid-West,
Persons aged 15-89 years in Employment,2020Q1,Male,Not stated,South-East,
Persons aged 15-89 years in Employment,2020Q1,Male,Not stated,South-West,
Persons aged 15-89 years in Employment,2020Q1,Male,Not stated,Dublin,
Persons aged 15-89 years in Employment,2020Q1,Male,Not stated,Mid-East,
Persons aged 15-89 years in Employment,2020Q1,Male,Not stated,Midland,
Persons aged 15-89 years in Employment,2020Q1,Female,All NACE economic sectors,State,1089.2
Persons aged 15-89 years in Employment,2020Q1,Female,All NACE economic sectors,Border,78.8
Persons aged 15-89 years in Employment,2020Q1,Female,All NACE economic sectors,West,102.5
Persons aged 15-89 years in Employment,2020Q1,Female,All NACE economic sectors,Mid-West,99.0
Persons aged 15-89 years in Employment,2020Q1,Female,All NACE economic sectors,South-East,89.9
Persons aged 15-89 years in Employment,2020Q1,Female,All NACE economic sectors,South-West,160.6
Persons aged 15-89 years in Employment,2020Q1,Female,All NACE economic sectors,Dublin,340.4
Persons aged 15-89 years in Employment,2020Q1,Female,All NACE economic sectors,Mid-East,157.3
Persons aged 15-89 years in Employment,2020Q1,Female,All NACE economic sectors,Midland,60.7
Persons aged 15-89 years in Employment,2020Q1,Female,"Agriculture, forestry and fishing (A)",State,15.8
Persons aged 15-89 years in Employment,2020Q1,Female,"Agriculture, forestry and fishing (A)",Border,
Persons aged 15-89 years in Employment,2020Q1,Female,"Agriculture, forestry and fishing (A)",West,
Persons aged 15-89 years in Employment,2020Q1,Female,"Agriculture, forestry and fishing (A)",Mid-West,
Persons aged 15-89 years in Employment,2020Q1,Female,"Agriculture, forestry and fishing (A)",South-East,
Persons aged 15-89 years in Employment,2020Q1,Female,"Agriculture, forestry and fishing (A)",South-West,4.1
Persons aged 15-89 years in Employment,2020Q1,Female,"Agriculture, forestry and fishing (A)",Dublin,
Persons aged 15-89 years in Employment,2020Q1,Female,"Agriculture, forestry and fishing (A)",Mid-East,
Persons aged 15-89 years in Employment,2020Q1,Female,"Agriculture, forestry and fishing (A)",Midland,
Persons aged 15-89 years in Employment,2020Q1,Female,Construction (F),State,12.1
Persons aged 15-89 years in Employment,2020Q1,Female,Construction (F),Border,
Persons aged 15-89 years in Employment,2020Q1,Female,Construction (F),West,
Persons aged 15-89 years in Employment,2020Q1,Female,Construction (F),Mid-West,
Persons aged 15-89 years in Employment,2020Q1,Female,Construction (F),South-East,
Persons aged 15-89 years in Employment,2020Q1,Female,Construction (F),South-West,
Persons aged 15-89 years in Employment,2020Q1,Female,Construction (F),Dublin,
Persons aged 15-89 years in Employment,2020Q1,Female,Construction (F),Mid-East,
Persons aged 15-89 years in Employment,2020Q1,Female,Construction (F),Midland,
Persons aged 15-89 years in Employment,2020Q1,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",State,150.1
Persons aged 15-89 years in Employment,2020Q1,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Border,11.4
Persons aged 15-89 years in Employment,2020Q1,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",West,14.8
Persons aged 15-89 years in Employment,2020Q1,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Mid-West,12.7
Persons aged 15-89 years in Employment,2020Q1,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",South-East,13.7
Persons aged 15-89 years in Employment,2020Q1,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",South-West,24.2
Persons aged 15-89 years in Employment,2020Q1,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Dublin,39.8
Persons aged 15-89 years in Employment,2020Q1,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Mid-East,23.5
Persons aged 15-89 years in Employment,2020Q1,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Midland,10.1
Persons aged 15-89 years in Employment,2020Q1,Female,Transportation and storage (H),State,19.2
Persons aged 15-89 years in Employment,2020Q1,Female,Transportation and storage (H),Border,
Persons aged 15-89 years in Employment,2020Q1,Female,Transportation and storage (H),West,
Persons aged 15-89 years in Employment,2020Q1,Female,Transportation and storage (H),Mid-West,
Persons aged 15-89 years in Employment,2020Q1,Female,Transportation and storage (H),South-East,
Persons aged 15-89 years in Employment,2020Q1,Female,Transportation and storage (H),South-West,
Persons aged 15-89 years in Employment,2020Q1,Female,Transportation and storage (H),Dublin,6.9
Persons aged 15-89 years in Employment,2020Q1,Female,Transportation and storage (H),Mid-East,5.0
Persons aged 15-89 years in Employment,2020Q1,Female,Transportation and storage (H),Midland,
Persons aged 15-89 years in Employment,2020Q1,Female,Accommodation and food service activities (I),State,95.9
Persons aged 15-89 years in Employment,2020Q1,Female,Accommodation and food service activities (I),Border,8.9
Persons aged 15-89 years in Employment,2020Q1,Female,Accommodation and food service activities (I),West,10.7
Persons aged 15-89 years in Employment,2020Q1,Female,Accommodation and food service activities (I),Mid-West,8.1
Persons aged 15-89 years in Employment,2020Q1,Female,Accommodation and food service activities (I),South-East,9.9
Persons aged 15-89 years in Employment,2020Q1,Female,Accommodation and food service activities (I),South-West,17.6
Persons aged 15-89 years in Employment,2020Q1,Female,Accommodation and food service activities (I),Dublin,23.2
Persons aged 15-89 years in Employment,2020Q1,Female,Accommodation and food service activities (I),Mid-East,11.1
Persons aged 15-89 years in Employment,2020Q1,Female,Accommodation and food service activities (I),Midland,6.4
Persons aged 15-89 years in Employment,2020Q1,Female,Information and communication (J),State,41.0
Persons aged 15-89 years in Employment,2020Q1,Female,Information and communication (J),Border,
Persons aged 15-89 years in Employment,2020Q1,Female,Information and communication (J),West,
Persons aged 15-89 years in Employment,2020Q1,Female,Information and communication (J),Mid-West,
Persons aged 15-89 years in Employment,2020Q1,Female,Information and communication (J),South-East,
Persons aged 15-89 years in Employment,2020Q1,Female,Information and communication (J),South-West,4.6
Persons aged 15-89 years in Employment,2020Q1,Female,Information and communication (J),Dublin,25.6
Persons aged 15-89 years in Employment,2020Q1,Female,Information and communication (J),Mid-East,
Persons aged 15-89 years in Employment,2020Q1,Female,Information and communication (J),Midland,
Persons aged 15-89 years in Employment,2020Q1,Female,"Professional, scientific and technical activities (M)",State,67.3
Persons aged 15-89 years in Employment,2020Q1,Female,"Professional, scientific and technical activities (M)",Border,
Persons aged 15-89 years in Employment,2020Q1,Female,"Professional, scientific and technical activities (M)",West,
Persons aged 15-89 years in Employment,2020Q1,Female,"Professional, scientific and technical activities (M)",Mid-West,4.8
Persons aged 15-89 years in Employment,2020Q1,Female,"Professional, scientific and technical activities (M)",South-East,
Persons aged 15-89 years in Employment,2020Q1,Female,"Professional, scientific and technical activities (M)",South-West,8.4
Persons aged 15-89 years in Employment,2020Q1,Female,"Professional, scientific and technical activities (M)",Dublin,32.4
Persons aged 15-89 years in Employment,2020Q1,Female,"Professional, scientific and technical activities (M)",Mid-East,7.6
Persons aged 15-89 years in Employment,2020Q1,Female,"Professional, scientific and technical activities (M)",Midland,
Persons aged 15-89 years in Employment,2020Q1,Female,Administrative and support service activities (N),State,47.4
Persons aged 15-89 years in Employment,2020Q1,Female,Administrative and support service activities (N),Border,
Persons aged 15-89 years in Employment,2020Q1,Female,Administrative and support service activities (N),West,
Persons aged 15-89 years in Employment,2020Q1,Female,Administrative and support service activities (N),Mid-West,
Persons aged 15-89 years in Employment,2020Q1,Female,Administrative and support service activities (N),South-East,
Persons aged 15-89 years in Employment,2020Q1,Female,Administrative and support service activities (N),South-West,9.0
Persons aged 15-89 years in Employment,2020Q1,Female,Administrative and support service activities (N),Dublin,18.4
Persons aged 15-89 years in Employment,2020Q1,Female,Administrative and support service activities (N),Mid-East,
Persons aged 15-89 years in Employment,2020Q1,Female,Administrative and support service activities (N),Midland,
Persons aged 15-89 years in Employment,2020Q1,Female,"Public administration and defence, compulsory social security (O)",State,57.9
Persons aged 15-89 years in Employment,2020Q1,Female,"Public administration and defence, compulsory social security (O)",Border,4.5
Persons aged 15-89 years in Employment,2020Q1,Female,"Public administration and defence, compulsory social security (O)",West,5.5
Persons aged 15-89 years in Employment,2020Q1,Female,"Public administration and defence, compulsory social security (O)",Mid-West,6.8
Persons aged 15-89 years in Employment,2020Q1,Female,"Public administration and defence, compulsory social security (O)",South-East,
Persons aged 15-89 years in Employment,2020Q1,Female,"Public administration and defence, compulsory social security (O)",South-West,5.0
Persons aged 15-89 years in Employment,2020Q1,Female,"Public administration and defence, compulsory social security (O)",Dublin,19.8
Persons aged 15-89 years in Employment,2020Q1,Female,"Public administration and defence, compulsory social security (O)",Mid-East,9.0
Persons aged 15-89 years in Employment,2020Q1,Female,"Public administration and defence, compulsory social security (O)",Midland,
Persons aged 15-89 years in Employment,2020Q1,Female,Education (P),State,145.0
Persons aged 15-89 years in Employment,2020Q1,Female,Education (P),Border,12.1
Persons aged 15-89 years in Employment,2020Q1,Female,Education (P),West,13.4
Persons aged 15-89 years in Employment,2020Q1,Female,Education (P),Mid-West,16.4
Persons aged 15-89 years in Employment,2020Q1,Female,Education (P),South-East,11.0
Persons aged 15-89 years in Employment,2020Q1,Female,Education (P),South-West,19.8
Persons aged 15-89 years in Employment,2020Q1,Female,Education (P),Dublin,42.3
Persons aged 15-89 years in Employment,2020Q1,Female,Education (P),Mid-East,22.9
Persons aged 15-89 years in Employment,2020Q1,Female,Education (P),Midland,7.1
Persons aged 15-89 years in Employment,2020Q1,Female,Human health and social work activities (Q),State,230.3
Persons aged 15-89 years in Employment,2020Q1,Female,Human health and social work activities (Q),Border,16.8
Persons aged 15-89 years in Employment,2020Q1,Female,Human health and social work activities (Q),West,26.3
Persons aged 15-89 years in Employment,2020Q1,Female,Human health and social work activities (Q),Mid-West,19.8
Persons aged 15-89 years in Employment,2020Q1,Female,Human health and social work activities (Q),South-East,20.1
Persons aged 15-89 years in Employment,2020Q1,Female,Human health and social work activities (Q),South-West,32.4
Persons aged 15-89 years in Employment,2020Q1,Female,Human health and social work activities (Q),Dublin,66.9
Persons aged 15-89 years in Employment,2020Q1,Female,Human health and social work activities (Q),Mid-East,33.5
Persons aged 15-89 years in Employment,2020Q1,Female,Human health and social work activities (Q),Midland,14.5
Persons aged 15-89 years in Employment,2020Q1,Female,Industry (B to E),State,76.4
Persons aged 15-89 years in Employment,2020Q1,Female,Industry (B to E),Border,6.2
Persons aged 15-89 years in Employment,2020Q1,Female,Industry (B to E),West,10.1
Persons aged 15-89 years in Employment,2020Q1,Female,Industry (B to E),Mid-West,7.5
Persons aged 15-89 years in Employment,2020Q1,Female,Industry (B to E),South-East,5.6
Persons aged 15-89 years in Employment,2020Q1,Female,Industry (B to E),South-West,16.7
Persons aged 15-89 years in Employment,2020Q1,Female,Industry (B to E),Dublin,14.8
Persons aged 15-89 years in Employment,2020Q1,Female,Industry (B to E),Mid-East,10.2
Persons aged 15-89 years in Employment,2020Q1,Female,Industry (B to E),Midland,5.2
Persons aged 15-89 years in Employment,2020Q1,Female,Industry and Construction (B to F),State,88.5
Persons aged 15-89 years in Employment,2020Q1,Female,Industry and Construction (B to F),Border,7.7
Persons aged 15-89 years in Employment,2020Q1,Female,Industry and Construction (B to F),West,11.0
Persons aged 15-89 years in Employment,2020Q1,Female,Industry and Construction (B to F),Mid-West,8.8
Persons aged 15-89 years in Employment,2020Q1,Female,Industry and Construction (B to F),South-East,6.3
Persons aged 15-89 years in Employment,2020Q1,Female,Industry and Construction (B to F),South-West,18.3
Persons aged 15-89 years in Employment,2020Q1,Female,Industry and Construction (B to F),Dublin,18.1
Persons aged 15-89 years in Employment,2020Q1,Female,Industry and Construction (B to F),Mid-East,12.9
Persons aged 15-89 years in Employment,2020Q1,Female,Industry and Construction (B to F),Midland,5.4
Persons aged 15-89 years in Employment,2020Q1,Female,Services (G to U),State,983.0
Persons aged 15-89 years in Employment,2020Q1,Female,Services (G to U),Border,69.0
Persons aged 15-89 years in Employment,2020Q1,Female,Services (G to U),West,90.0
Persons aged 15-89 years in Employment,2020Q1,Female,Services (G to U),Mid-West,88.3
Persons aged 15-89 years in Employment,2020Q1,Female,Services (G to U),South-East,81.0
Persons aged 15-89 years in Employment,2020Q1,Female,Services (G to U),South-West,137.8
Persons aged 15-89 years in Employment,2020Q1,Female,Services (G to U),Dublin,321.3
Persons aged 15-89 years in Employment,2020Q1,Female,Services (G to U),Mid-East,141.4
Persons aged 15-89 years in Employment,2020Q1,Female,Services (G to U),Midland,54.2
Persons aged 15-89 years in Employment,2020Q1,Female,"Financial, insurance and real estate activities (K,L)",State,58.7
Persons aged 15-89 years in Employment,2020Q1,Female,"Financial, insurance and real estate activities (K,L)",Border,
Persons aged 15-89 years in Employment,2020Q1,Female,"Financial, insurance and real estate activities (K,L)",West,
Persons aged 15-89 years in Employment,2020Q1,Female,"Financial, insurance and real estate activities (K,L)",Mid-West,5.0
Persons aged 15-89 years in Employment,2020Q1,Female,"Financial, insurance and real estate activities (K,L)",South-East,6.0
Persons aged 15-89 years in Employment,2020Q1,Female,"Financial, insurance and real estate activities (K,L)",South-West,4.2
Persons aged 15-89 years in Employment,2020Q1,Female,"Financial, insurance and real estate activities (K,L)",Dublin,26.1
Persons aged 15-89 years in Employment,2020Q1,Female,"Financial, insurance and real estate activities (K,L)",Mid-East,9.4
Persons aged 15-89 years in Employment,2020Q1,Female,"Financial, insurance and real estate activities (K,L)",Midland,
Persons aged 15-89 years in Employment,2020Q1,Female,Other NACE activities (R to U),State,70.2
Persons aged 15-89 years in Employment,2020Q1,Female,Other NACE activities (R to U),Border,5.4
Persons aged 15-89 years in Employment,2020Q1,Female,Other NACE activities (R to U),West,6.1
Persons aged 15-89 years in Employment,2020Q1,Female,Other NACE activities (R to U),Mid-West,6.9
Persons aged 15-89 years in Employment,2020Q1,Female,Other NACE activities (R to U),South-East,5.6
Persons aged 15-89 years in Employment,2020Q1,Female,Other NACE activities (R to U),South-West,11.2
Persons aged 15-89 years in Employment,2020Q1,Female,Other NACE activities (R to U),Dublin,19.8
Persons aged 15-89 years in Employment,2020Q1,Female,Other NACE activities (R to U),Mid-East,11.2
Persons aged 15-89 years in Employment,2020Q1,Female,Other NACE activities (R to U),Midland,
Persons aged 15-89 years in Employment,2020Q1,Female,Not stated,State,
Persons aged 15-89 years in Employment,2020Q1,Female,Not stated,Border,
Persons aged 15-89 years in Employment,2020Q1,Female,Not stated,West,
Persons aged 15-89 years in Employment,2020Q1,Female,Not stated,Mid-West,
Persons aged 15-89 years in Employment,2020Q1,Female,Not stated,South-East,
Persons aged 15-89 years in Employment,2020Q1,Female,Not stated,South-West,
Persons aged 15-89 years in Employment,2020Q1,Female,Not stated,Dublin,
Persons aged 15-89 years in Employment,2020Q1,Female,Not stated,Mid-East,
Persons aged 15-89 years in Employment,2020Q1,Female,Not stated,Midland,
Persons aged 15-89 years in Employment,2020Q2,Both sexes,All NACE economic sectors,State,2161.3
Persons aged 15-89 years in Employment,2020Q2,Both sexes,All NACE economic sectors,Border,156.0
Persons aged 15-89 years in Employment,2020Q2,Both sexes,All NACE economic sectors,West,201.4
Persons aged 15-89 years in Employment,2020Q2,Both sexes,All NACE economic sectors,Mid-West,205.3
Persons aged 15-89 years in Employment,2020Q2,Both sexes,All NACE economic sectors,South-East,178.6
Persons aged 15-89 years in Employment,2020Q2,Both sexes,All NACE economic sectors,South-West,313.1
Persons aged 15-89 years in Employment,2020Q2,Both sexes,All NACE economic sectors,Dublin,661.2
Persons aged 15-89 years in Employment,2020Q2,Both sexes,All NACE economic sectors,Mid-East,316.6
Persons aged 15-89 years in Employment,2020Q2,Both sexes,All NACE economic sectors,Midland,129.1
Persons aged 15-89 years in Employment,2020Q2,Both sexes,"Agriculture, forestry and fishing (A)",State,99.4
Persons aged 15-89 years in Employment,2020Q2,Both sexes,"Agriculture, forestry and fishing (A)",Border,16.5
Persons aged 15-89 years in Employment,2020Q2,Both sexes,"Agriculture, forestry and fishing (A)",West,14.8
Persons aged 15-89 years in Employment,2020Q2,Both sexes,"Agriculture, forestry and fishing (A)",Mid-West,15.5
Persons aged 15-89 years in Employment,2020Q2,Both sexes,"Agriculture, forestry and fishing (A)",South-East,12.8
Persons aged 15-89 years in Employment,2020Q2,Both sexes,"Agriculture, forestry and fishing (A)",South-West,19.6
Persons aged 15-89 years in Employment,2020Q2,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,
Persons aged 15-89 years in Employment,2020Q2,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,10.0
Persons aged 15-89 years in Employment,2020Q2,Both sexes,"Agriculture, forestry and fishing (A)",Midland,9.2
Persons aged 15-89 years in Employment,2020Q2,Both sexes,Construction (F),State,126.6
Persons aged 15-89 years in Employment,2020Q2,Both sexes,Construction (F),Border,9.5
Persons aged 15-89 years in Employment,2020Q2,Both sexes,Construction (F),West,12.9
Persons aged 15-89 years in Employment,2020Q2,Both sexes,Construction (F),Mid-West,10.8
Persons aged 15-89 years in Employment,2020Q2,Both sexes,Construction (F),South-East,14.0
Persons aged 15-89 years in Employment,2020Q2,Both sexes,Construction (F),South-West,16.7
Persons aged 15-89 years in Employment,2020Q2,Both sexes,Construction (F),Dublin,28.7
Persons aged 15-89 years in Employment,2020Q2,Both sexes,Construction (F),Mid-East,23.8
Persons aged 15-89 years in Employment,2020Q2,Both sexes,Construction (F),Midland,10.2
Persons aged 15-89 years in Employment,2020Q2,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",State,274.7
Persons aged 15-89 years in Employment,2020Q2,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Border,19.8
Persons aged 15-89 years in Employment,2020Q2,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",West,28.2
Persons aged 15-89 years in Employment,2020Q2,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Mid-West,22.2
Persons aged 15-89 years in Employment,2020Q2,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",South-East,22.5
Persons aged 15-89 years in Employment,2020Q2,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",South-West,41.2
