Statistic,Quarter,NACE Rev 2 Economic Sector,value
Proportion of total students in employment (PES),2001Q1,Administrative and support service activities (N),4.4
Proportion of total students in employment (PES),2001Q1,Public administration and defence; compulsory social security (O),
Proportion of total students in employment (PES),2001Q1,Education (P),2.4
Proportion of total students in employment (PES),2001Q1,Human health and social work activities (Q),3.5
Proportion of total students in employment (PES),2001Q1,Industry (B to E),3.3
Proportion of total students in employment (PES),2001Q1,"Financial, insurance and real estate activities (K, L)",
Proportion of total students in employment (PES),2001Q1,Other NACE activities (R to U),5.3
Proportion of total students in employment (PES),2001Q1,Industry and Construction (B to F),4.3
Proportion of total students in employment (PES),2001Q1,Services (G to U),92.8
Proportion of total students in employment (PES),2001Q1,Not stated,
Proportion of total students in employment (PES),2001Q2,All NACE economic sectors,100.0
Proportion of total students in employment (PES),2001Q2,"Agriculture, forestry and fishing (A)",3.5
Proportion of total students in employment (PES),2001Q2,Construction (F),
Proportion of total students in employment (PES),2001Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),43.4
Proportion of total students in employment (PES),2001Q2,Transportation and storage (H),
Proportion of total students in employment (PES),2001Q2,Accommodation and food service activities (I),24.3
Proportion of total students in employment (PES),2001Q2,Information and communication (J),
Proportion of total students in employment (PES),2001Q2,"Professional, scientific and technical activities (M)",2.2
Proportion of total students in employment (PES),2001Q2,Administrative and support service activities (N),3.7
Proportion of total students in employment (PES),2001Q2,Public administration and defence; compulsory social security (O),
Proportion of total students in employment (PES),2001Q2,Education (P),2.4
Proportion of total students in employment (PES),2001Q2,Human health and social work activities (Q),3.0
Proportion of total students in employment (PES),2001Q2,Industry (B to E),4.6
Proportion of total students in employment (PES),2001Q2,"Financial, insurance and real estate activities (K, L)",
Proportion of total students in employment (PES),2001Q2,Other NACE activities (R to U),5.9
Proportion of total students in employment (PES),2001Q2,Industry and Construction (B to F),6.0
Proportion of total students in employment (PES),2001Q2,Services (G to U),90.3
Proportion of total students in employment (PES),2001Q2,Not stated,
Proportion of total students in employment (PES),2001Q3,All NACE economic sectors,100.0
Proportion of total students in employment (PES),2001Q3,"Agriculture, forestry and fishing (A)",5.2
Proportion of total students in employment (PES),2001Q3,Construction (F),4.1
Proportion of total students in employment (PES),2001Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),34.4
Proportion of total students in employment (PES),2001Q3,Transportation and storage (H),1.4
Proportion of total students in employment (PES),2001Q3,Accommodation and food service activities (I),24.7
Proportion of total students in employment (PES),2001Q3,Information and communication (J),2.4
Proportion of total students in employment (PES),2001Q3,"Professional, scientific and technical activities (M)",2.2
Proportion of total students in employment (PES),2001Q3,Administrative and support service activities (N),3.4
Proportion of total students in employment (PES),2001Q3,Public administration and defence; compulsory social security (O),
Proportion of total students in employment (PES),2001Q3,Education (P),1.5
Proportion of total students in employment (PES),2001Q3,Human health and social work activities (Q),3.6
Proportion of total students in employment (PES),2001Q3,Industry (B to E),7.4
Proportion of total students in employment (PES),2001Q3,"Financial, insurance and real estate activities (K, L)",2.0
Proportion of total students in employment (PES),2001Q3,Other NACE activities (R to U),6.2
Proportion of total students in employment (PES),2001Q3,Industry and Construction (B to F),11.6
Proportion of total students in employment (PES),2001Q3,Services (G to U),82.7
Proportion of total students in employment (PES),2001Q3,Not stated,
Proportion of total students in employment (PES),2001Q4,All NACE economic sectors,100.0
Proportion of total students in employment (PES),2001Q4,"Agriculture, forestry and fishing (A)",3.7
Proportion of total students in employment (PES),2001Q4,Construction (F),
Proportion of total students in employment (PES),2001Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),42.0
Proportion of total students in employment (PES),2001Q4,Transportation and storage (H),
Proportion of total students in employment (PES),2001Q4,Accommodation and food service activities (I),29.2
Proportion of total students in employment (PES),2001Q4,Information and communication (J),2.5
Proportion of total students in employment (PES),2001Q4,"Professional, scientific and technical activities (M)",
Proportion of total students in employment (PES),2001Q4,Administrative and support service activities (N),2.5
Proportion of total students in employment (PES),2001Q4,Public administration and defence; compulsory social security (O),
Proportion of total students in employment (PES),2001Q4,Education (P),2.3
Proportion of total students in employment (PES),2001Q4,Human health and social work activities (Q),3.3
Proportion of total students in employment (PES),2001Q4,Industry (B to E),2.9
Proportion of total students in employment (PES),2001Q4,"Financial, insurance and real estate activities (K, L)",
Proportion of total students in employment (PES),2001Q4,Other NACE activities (R to U),6.6
Proportion of total students in employment (PES),2001Q4,Industry and Construction (B to F),4.0
Proportion of total students in employment (PES),2001Q4,Services (G to U),91.9
Proportion of total students in employment (PES),2001Q4,Not stated,
Proportion of total students in employment (PES),2002Q1,All NACE economic sectors,100.0
Proportion of total students in employment (PES),2002Q1,"Agriculture, forestry and fishing (A)",3.0
Proportion of total students in employment (PES),2002Q1,Construction (F),
Proportion of total students in employment (PES),2002Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),45.2
Proportion of total students in employment (PES),2002Q1,Transportation and storage (H),
Proportion of total students in employment (PES),2002Q1,Accommodation and food service activities (I),27.5
Proportion of total students in employment (PES),2002Q1,Information and communication (J),
Proportion of total students in employment (PES),2002Q1,"Professional, scientific and technical activities (M)",2.3
Proportion of total students in employment (PES),2002Q1,Administrative and support service activities (N),2.7
Proportion of total students in employment (PES),2002Q1,Public administration and defence; compulsory social security (O),
Proportion of total students in employment (PES),2002Q1,Education (P),2.0
Proportion of total students in employment (PES),2002Q1,Human health and social work activities (Q),3.7
Proportion of total students in employment (PES),2002Q1,Industry (B to E),2.7
Proportion of total students in employment (PES),2002Q1,"Financial, insurance and real estate activities (K, L)",
Proportion of total students in employment (PES),2002Q1,Other NACE activities (R to U),6.0
Proportion of total students in employment (PES),2002Q1,Industry and Construction (B to F),3.7
Proportion of total students in employment (PES),2002Q1,Services (G to U),93.1
Proportion of total students in employment (PES),2002Q1,Not stated,
Proportion of total students in employment (PES),2002Q2,All NACE economic sectors,100.0
Proportion of total students in employment (PES),2002Q2,"Agriculture, forestry and fishing (A)",3.9
Proportion of total students in employment (PES),2002Q2,Construction (F),2.1
Proportion of total students in employment (PES),2002Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),43.6
Proportion of total students in employment (PES),2002Q2,Transportation and storage (H),
Proportion of total students in employment (PES),2002Q2,Accommodation and food service activities (I),25.8
Proportion of total students in employment (PES),2002Q2,Information and communication (J),
Proportion of total students in employment (PES),2002Q2,"Professional, scientific and technical activities (M)",
Proportion of total students in employment (PES),2002Q2,Administrative and support service activities (N),2.5
Proportion of total students in employment (PES),2002Q2,Public administration and defence; compulsory social security (O),
Proportion of total students in employment (PES),2002Q2,Education (P),2.2
Proportion of total students in employment (PES),2002Q2,Human health and social work activities (Q),2.8
Proportion of total students in employment (PES),2002Q2,Industry (B to E),4.3
Proportion of total students in employment (PES),2002Q2,"Financial, insurance and real estate activities (K, L)",
Proportion of total students in employment (PES),2002Q2,Other NACE activities (R to U),5.6
Proportion of total students in employment (PES),2002Q2,Industry and Construction (B to F),6.4
Proportion of total students in employment (PES),2002Q2,Services (G to U),89.5
Proportion of total students in employment (PES),2002Q2,Not stated,
Proportion of total students in employment (PES),2002Q3,All NACE economic sectors,100.0
Proportion of total students in employment (PES),2002Q3,"Agriculture, forestry and fishing (A)",5.0
Proportion of total students in employment (PES),2002Q3,Construction (F),3.6
Proportion of total students in employment (PES),2002Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),38.5
Proportion of total students in employment (PES),2002Q3,Transportation and storage (H),
Proportion of total students in employment (PES),2002Q3,Accommodation and food service activities (I),23.1
Proportion of total students in employment (PES),2002Q3,Information and communication (J),2.0
Proportion of total students in employment (PES),2002Q3,"Professional, scientific and technical activities (M)",2.4
Proportion of total students in employment (PES),2002Q3,Administrative and support service activities (N),2.8
Proportion of total students in employment (PES),2002Q3,Public administration and defence; compulsory social security (O),
Proportion of total students in employment (PES),2002Q3,Education (P),2.0
Proportion of total students in employment (PES),2002Q3,Human health and social work activities (Q),3.5
Proportion of total students in employment (PES),2002Q3,Industry (B to E),6.4
Proportion of total students in employment (PES),2002Q3,"Financial, insurance and real estate activities (K, L)",1.8
Proportion of total students in employment (PES),2002Q3,Other NACE activities (R to U),6.1
Proportion of total students in employment (PES),2002Q3,Industry and Construction (B to F),10.1
Proportion of total students in employment (PES),2002Q3,Services (G to U),84.3
Proportion of total students in employment (PES),2002Q3,Not stated,
Proportion of total students in employment (PES),2002Q4,All NACE economic sectors,100.0
Proportion of total students in employment (PES),2002Q4,"Agriculture, forestry and fishing (A)",
Proportion of total students in employment (PES),2002Q4,Construction (F),
Proportion of total students in employment (PES),2002Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),44.0
Proportion of total students in employment (PES),2002Q4,Transportation and storage (H),
Proportion of total students in employment (PES),2002Q4,Accommodation and food service activities (I),29.0
Proportion of total students in employment (PES),2002Q4,Information and communication (J),
Proportion of total students in employment (PES),2002Q4,"Professional, scientific and technical activities (M)",2.5
Proportion of total students in employment (PES),2002Q4,Administrative and support service activities (N),2.6
Proportion of total students in employment (PES),2002Q4,Public administration and defence; compulsory social security (O),
Proportion of total students in employment (PES),2002Q4,Education (P),2.6
Proportion of total students in employment (PES),2002Q4,Human health and social work activities (Q),3.0
Proportion of total students in employment (PES),2002Q4,Industry (B to E),3.3
Proportion of total students in employment (PES),2002Q4,"Financial, insurance and real estate activities (K, L)",
Proportion of total students in employment (PES),2002Q4,Other NACE activities (R to U),5.4
Proportion of total students in employment (PES),2002Q4,Industry and Construction (B to F),4.6
Proportion of total students in employment (PES),2002Q4,Services (G to U),93.3
Proportion of total students in employment (PES),2002Q4,Not stated,
Proportion of total students in employment (PES),2003Q1,All NACE economic sectors,100.0
Proportion of total students in employment (PES),2003Q1,"Agriculture, forestry and fishing (A)",3.0
Proportion of total students in employment (PES),2003Q1,Construction (F),
Proportion of total students in employment (PES),2003Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),43.4
Proportion of total students in employment (PES),2003Q1,Transportation and storage (H),
Proportion of total students in employment (PES),2003Q1,Accommodation and food service activities (I),27.8
Proportion of total students in employment (PES),2003Q1,Information and communication (J),2.2
Proportion of total students in employment (PES),2003Q1,"Professional, scientific and technical activities (M)",2.2
Proportion of total students in employment (PES),2003Q1,Administrative and support service activities (N),2.6
Proportion of total students in employment (PES),2003Q1,Public administration and defence; compulsory social security (O),
Proportion of total students in employment (PES),2003Q1,Education (P),2.6
Proportion of total students in employment (PES),2003Q1,Human health and social work activities (Q),3.5
Proportion of total students in employment (PES),2003Q1,Industry (B to E),3.4
Proportion of total students in employment (PES),2003Q1,"Financial, insurance and real estate activities (K, L)",
Proportion of total students in employment (PES),2003Q1,Other NACE activities (R to U),6.0
Proportion of total students in employment (PES),2003Q1,Industry and Construction (B to F),4.5
Proportion of total students in employment (PES),2003Q1,Services (G to U),92.3
Proportion of total students in employment (PES),2003Q1,Not stated,
Proportion of total students in employment (PES),2003Q2,All NACE economic sectors,100.0
Proportion of total students in employment (PES),2003Q2,"Agriculture, forestry and fishing (A)",3.1
Proportion of total students in employment (PES),2003Q2,Construction (F),2.3
Proportion of total students in employment (PES),2003Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),40.8
Proportion of total students in employment (PES),2003Q2,Transportation and storage (H),
Proportion of total students in employment (PES),2003Q2,Accommodation and food service activities (I),24.5
Proportion of total students in employment (PES),2003Q2,Information and communication (J),2.3
Proportion of total students in employment (PES),2003Q2,"Professional, scientific and technical activities (M)",
Proportion of total students in employment (PES),2003Q2,Administrative and support service activities (N),3.5
Proportion of total students in employment (PES),2003Q2,Public administration and defence; compulsory social security (O),
Proportion of total students in employment (PES),2003Q2,Education (P),2.0
Proportion of total students in employment (PES),2003Q2,Human health and social work activities (Q),3.7
Proportion of total students in employment (PES),2003Q2,Industry (B to E),4.9
Proportion of total students in employment (PES),2003Q2,"Financial, insurance and real estate activities (K, L)",
Proportion of total students in employment (PES),2003Q2,Other NACE activities (R to U),5.5
Proportion of total students in employment (PES),2003Q2,Industry and Construction (B to F),7.3
Proportion of total students in employment (PES),2003Q2,Services (G to U),87.2
Proportion of total students in employment (PES),2003Q2,Not stated,2.4
Proportion of total students in employment (PES),2003Q3,All NACE economic sectors,100.0
Proportion of total students in employment (PES),2003Q3,"Agriculture, forestry and fishing (A)",5.3
Proportion of total students in employment (PES),2003Q3,Construction (F),5.4
Proportion of total students in employment (PES),2003Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),36.6
Proportion of total students in employment (PES),2003Q3,Transportation and storage (H),
Proportion of total students in employment (PES),2003Q3,Accommodation and food service activities (I),22.6
Proportion of total students in employment (PES),2003Q3,Information and communication (J),1.9
Proportion of total students in employment (PES),2003Q3,"Professional, scientific and technical activities (M)",2.2
Proportion of total students in employment (PES),2003Q3,Administrative and support service activities (N),3.3
Proportion of total students in employment (PES),2003Q3,Public administration and defence; compulsory social security (O),
Proportion of total students in employment (PES),2003Q3,Education (P),1.5
Proportion of total students in employment (PES),2003Q3,Human health and social work activities (Q),4.0
Proportion of total students in employment (PES),2003Q3,Industry (B to E),5.2
Proportion of total students in employment (PES),2003Q3,"Financial, insurance and real estate activities (K, L)",2.1
Proportion of total students in employment (PES),2003Q3,Other NACE activities (R to U),7.2
Proportion of total students in employment (PES),2003Q3,Industry and Construction (B to F),10.6
Proportion of total students in employment (PES),2003Q3,Services (G to U),83.5
Proportion of total students in employment (PES),2003Q3,Not stated,
Proportion of total students in employment (PES),2003Q4,All NACE economic sectors,100.0
Proportion of total students in employment (PES),2003Q4,"Agriculture, forestry and fishing (A)",2.5
Proportion of total students in employment (PES),2003Q4,Construction (F),
Proportion of total students in employment (PES),2003Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),43.0
Proportion of total students in employment (PES),2003Q4,Transportation and storage (H),
Proportion of total students in employment (PES),2003Q4,Accommodation and food service activities (I),26.5
Proportion of total students in employment (PES),2003Q4,Information and communication (J),
Proportion of total students in employment (PES),2003Q4,"Professional, scientific and technical activities (M)",
Proportion of total students in employment (PES),2003Q4,Administrative and support service activities (N),2.8
Proportion of total students in employment (PES),2003Q4,Public administration and defence; compulsory social security (O),
Proportion of total students in employment (PES),2003Q4,Education (P),2.9
Proportion of total students in employment (PES),2003Q4,Human health and social work activities (Q),4.2
Proportion of total students in employment (PES),2003Q4,Industry (B to E),2.8
Proportion of total students in employment (PES),2003Q4,"Financial, insurance and real estate activities (K, L)",
Proportion of total students in employment (PES),2003Q4,Other NACE activities (R to U),7.4
Proportion of total students in employment (PES),2003Q4,Industry and Construction (B to F),4.2
Proportion of total students in employment (PES),2003Q4,Services (G to U),93.2
Proportion of total students in employment (PES),2003Q4,Not stated,
Proportion of total students in employment (PES),2004Q1,All NACE economic sectors,100.0
Proportion of total students in employment (PES),2004Q1,"Agriculture, forestry and fishing (A)",
Proportion of total students in employment (PES),2004Q1,Construction (F),
Proportion of total students in employment (PES),2004Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),45.1
Proportion of total students in employment (PES),2004Q1,Transportation and storage (H),
Proportion of total students in employment (PES),2004Q1,Accommodation and food service activities (I),27.6
Proportion of total students in employment (PES),2004Q1,Information and communication (J),
Proportion of total students in employment (PES),2004Q1,"Professional, scientific and technical activities (M)",
Proportion of total students in employment (PES),2004Q1,Administrative and support service activities (N),
Proportion of total students in employment (PES),2004Q1,Public administration and defence; compulsory social security (O),
Proportion of total students in employment (PES),2004Q1,Education (P),3.6
Proportion of total students in employment (PES),2004Q1,Human health and social work activities (Q),3.3
Proportion of total students in employment (PES),2004Q1,Industry (B to E),
Proportion of total students in employment (PES),2004Q1,"Financial, insurance and real estate activities (K, L)",
Proportion of total students in employment (PES),2004Q1,Other NACE activities (R to U),6.8
Proportion of total students in employment (PES),2004Q1,Industry and Construction (B to F),3.3
Proportion of total students in employment (PES),2004Q1,Services (G to U),94.1
Proportion of total students in employment (PES),2004Q1,Not stated,
Proportion of total students in employment (PES),2004Q2,All NACE economic sectors,100.0
Proportion of total students in employment (PES),2004Q2,"Agriculture, forestry and fishing (A)",
Proportion of total students in employment (PES),2004Q2,Construction (F),2.6
Proportion of total students in employment (PES),2004Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),40.4
Proportion of total students in employment (PES),2004Q2,Transportation and storage (H),
Proportion of total students in employment (PES),2004Q2,Accommodation and food service activities (I),25.5
Proportion of total students in employment (PES),2004Q2,Information and communication (J),
Proportion of total students in employment (PES),2004Q2,"Professional, scientific and technical activities (M)",
Proportion of total students in employment (PES),2004Q2,Administrative and support service activities (N),
Proportion of total students in employment (PES),2004Q2,Public administration and defence; compulsory social security (O),
Proportion of total students in employment (PES),2004Q2,Education (P),2.8
Proportion of total students in employment (PES),2004Q2,Human health and social work activities (Q),4.2
Proportion of total students in employment (PES),2004Q2,Industry (B to E),4.4
Proportion of total students in employment (PES),2004Q2,"Financial, insurance and real estate activities (K, L)",
Proportion of total students in employment (PES),2004Q2,Other NACE activities (R to U),7.3
Proportion of total students in employment (PES),2004Q2,Industry and Construction (B to F),7.0
Proportion of total students in employment (PES),2004Q2,Services (G to U),90.1
Proportion of total students in employment (PES),2004Q2,Not stated,
Proportion of total students in employment (PES),2004Q3,All NACE economic sectors,100.0
Proportion of total students in employment (PES),2004Q3,"Agriculture, forestry and fishing (A)",4.3
Proportion of total students in employment (PES),2004Q3,Construction (F),4.6
Proportion of total students in employment (PES),2004Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),36.9
Proportion of total students in employment (PES),2004Q3,Transportation and storage (H),
Proportion of total students in employment (PES),2004Q3,Accommodation and food service activities (I),21.9
Proportion of total students in employment (PES),2004Q3,Information and communication (J),
Proportion of total students in employment (PES),2004Q3,"Professional, scientific and technical activities (M)",2.5
Proportion of total students in employment (PES),2004Q3,Administrative and support service activities (N),
Proportion of total students in employment (PES),2004Q3,Public administration and defence; compulsory social security (O),
Proportion of total students in employment (PES),2004Q3,Education (P),1.8
Proportion of total students in employment (PES),2004Q3,Human health and social work activities (Q),4.4
Proportion of total students in employment (PES),2004Q3,Industry (B to E),8.1
Proportion of total students in employment (PES),2004Q3,"Financial, insurance and real estate activities (K, L)",
Proportion of total students in employment (PES),2004Q3,Other NACE activities (R to U),6.5
Proportion of total students in employment (PES),2004Q3,Industry and Construction (B to F),12.7
Proportion of total students in employment (PES),2004Q3,Services (G to U),82.1
Proportion of total students in employment (PES),2004Q3,Not stated,
Proportion of total students in employment (PES),2004Q4,All NACE economic sectors,100.0
Proportion of total students in employment (PES),2004Q4,"Agriculture, forestry and fishing (A)",
Proportion of total students in employment (PES),2004Q4,Construction (F),
Proportion of total students in employment (PES),2004Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),46.5
Proportion of total students in employment (PES),2004Q4,Transportation and storage (H),
Proportion of total students in employment (PES),2004Q4,Accommodation and food service activities (I),24.4
Proportion of total students in employment (PES),2004Q4,Information and communication (J),
Proportion of total students in employment (PES),2004Q4,"Professional, scientific and technical activities (M)",
Proportion of total students in employment (PES),2004Q4,Administrative and support service activities (N),
Proportion of total students in employment (PES),2004Q4,Public administration and defence; compulsory social security (O),
Proportion of total students in employment (PES),2004Q4,Education (P),2.5
Proportion of total students in employment (PES),2004Q4,Human health and social work activities (Q),5.2
Proportion of total students in employment (PES),2004Q4,Industry (B to E),3.9
Proportion of total students in employment (PES),2004Q4,"Financial, insurance and real estate activities (K, L)",
Proportion of total students in employment (PES),2004Q4,Other NACE activities (R to U),6.1
Proportion of total students in employment (PES),2004Q4,Industry and Construction (B to F),5.2
Proportion of total students in employment (PES),2004Q4,Services (G to U),92.5
Proportion of total students in employment (PES),2004Q4,Not stated,
Proportion of total students in employment (PES),2005Q1,All NACE economic sectors,100.0
Proportion of total students in employment (PES),2005Q1,"Agriculture, forestry and fishing (A)",
Proportion of total students in employment (PES),2005Q1,Construction (F),
Proportion of total students in employment (PES),2005Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),43.6
Proportion of total students in employment (PES),2005Q1,Transportation and storage (H),
Proportion of total students in employment (PES),2005Q1,Accommodation and food service activities (I),25.4
Proportion of total students in employment (PES),2005Q1,Information and communication (J),
Proportion of total students in employment (PES),2005Q1,"Professional, scientific and technical activities (M)",
Proportion of total students in employment (PES),2005Q1,Administrative and support service activities (N),
Proportion of total students in employment (PES),2005Q1,Public administration and defence; compulsory social security (O),
Proportion of total students in employment (PES),2005Q1,Education (P),2.5
Proportion of total students in employment (PES),2005Q1,Human health and social work activities (Q),4.9
Proportion of total students in employment (PES),2005Q1,Industry (B to E),3.5
Proportion of total students in employment (PES),2005Q1,"Financial, insurance and real estate activities (K, L)",
Proportion of total students in employment (PES),2005Q1,Other NACE activities (R to U),6.0
Proportion of total students in employment (PES),2005Q1,Industry and Construction (B to F),5.1
Proportion of total students in employment (PES),2005Q1,Services (G to U),91.7
Proportion of total students in employment (PES),2005Q1,Not stated,
Proportion of total students in employment (PES),2005Q2,All NACE economic sectors,100.0
Proportion of total students in employment (PES),2005Q2,"Agriculture, forestry and fishing (A)",3.6
Proportion of total students in employment (PES),2005Q2,Construction (F),2.0
Proportion of total students in employment (PES),2005Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),38.2
Proportion of total students in employment (PES),2005Q2,Transportation and storage (H),
Proportion of total students in employment (PES),2005Q2,Accommodation and food service activities (I),22.9
Proportion of total students in employment (PES),2005Q2,Information and communication (J),2.7
Proportion of total students in employment (PES),2005Q2,"Professional, scientific and technical activities (M)",3.0
Proportion of total students in employment (PES),2005Q2,Administrative and support service activities (N),3.2
Proportion of total students in employment (PES),2005Q2,Public administration and defence; compulsory social security (O),
Proportion of total students in employment (PES),2005Q2,Education (P),2.5
Proportion of total students in employment (PES),2005Q2,Human health and social work activities (Q),5.0
Proportion of total students in employment (PES),2005Q2,Industry (B to E),4.0
Proportion of total students in employment (PES),2005Q2,"Financial, insurance and real estate activities (K, L)",
Proportion of total students in employment (PES),2005Q2,Other NACE activities (R to U),8.3
Proportion of total students in employment (PES),2005Q2,Industry and Construction (B to F),6.1
Proportion of total students in employment (PES),2005Q2,Services (G to U),89.8
Proportion of total students in employment (PES),2005Q2,Not stated,
Proportion of total students in employment (PES),2005Q3,All NACE economic sectors,100.0
Proportion of total students in employment (PES),2005Q3,"Agriculture, forestry and fishing (A)",3.5
Proportion of total students in employment (PES),2005Q3,Construction (F),5.6
Proportion of total students in employment (PES),2005Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),38.0
Proportion of total students in employment (PES),2005Q3,Transportation and storage (H),
Proportion of total students in employment (PES),2005Q3,Accommodation and food service activities (I),21.3
Proportion of total students in employment (PES),2005Q3,Information and communication (J),
Proportion of total students in employment (PES),2005Q3,"Professional, scientific and technical activities (M)",2.8
Proportion of total students in employment (PES),2005Q3,Administrative and support service activities (N),3.6
Proportion of total students in employment (PES),2005Q3,Public administration and defence; compulsory social security (O),
Proportion of total students in employment (PES),2005Q3,Education (P),1.8
Proportion of total students in employment (PES),2005Q3,Human health and social work activities (Q),3.1
Proportion of total students in employment (PES),2005Q3,Industry (B to E),6.5
Proportion of total students in employment (PES),2005Q3,"Financial, insurance and real estate activities (K, L)",1.7
Proportion of total students in employment (PES),2005Q3,Other NACE activities (R to U),6.4
Proportion of total students in employment (PES),2005Q3,Industry and Construction (B to F),12.1
Proportion of total students in employment (PES),2005Q3,Services (G to U),83.1
Proportion of total students in employment (PES),2005Q3,Not stated,
Proportion of total students in employment (PES),2005Q4,All NACE economic sectors,100.0
Proportion of total students in employment (PES),2005Q4,"Agriculture, forestry and fishing (A)",
Proportion of total students in employment (PES),2005Q4,Construction (F),
Proportion of total students in employment (PES),2005Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),43.8
Proportion of total students in employment (PES),2005Q4,Transportation and storage (H),
Proportion of total students in employment (PES),2005Q4,Accommodation and food service activities (I),27.3
Proportion of total students in employment (PES),2005Q4,Information and communication (J),2.8
Proportion of total students in employment (PES),2005Q4,"Professional, scientific and technical activities (M)",
Proportion of total students in employment (PES),2005Q4,Administrative and support service activities (N),3.7
Proportion of total students in employment (PES),2005Q4,Public administration and defence; compulsory social security (O),
Proportion of total students in employment (PES),2005Q4,Education (P),2.4
Proportion of total students in employment (PES),2005Q4,Human health and social work activities (Q),3.4
Proportion of total students in employment (PES),2005Q4,Industry (B to E),2.4
Proportion of total students in employment (PES),2005Q4,"Financial, insurance and real estate activities (K, L)",
Proportion of total students in employment (PES),2005Q4,Other NACE activities (R to U),7.2
Proportion of total students in employment (PES),2005Q4,Industry and Construction (B to F),4.0
Proportion of total students in employment (PES),2005Q4,Services (G to U),94.7
Proportion of total students in employment (PES),2005Q4,Not stated,
Proportion of total students in employment (PES),2006Q1,All NACE economic sectors,100.0
Proportion of total students in employment (PES),2006Q1,"Agriculture, forestry and fishing (A)",
Proportion of total students in employment (PES),2006Q1,Construction (F),
Proportion of total students in employment (PES),2006Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),42.6
Proportion of total students in employment (PES),2006Q1,Transportation and storage (H),
Proportion of total students in employment (PES),2006Q1,Accommodation and food service activities (I),25.3
Proportion of total students in employment (PES),2006Q1,Information and communication (J),
Proportion of total students in employment (PES),2006Q1,"Professional, scientific and technical activities (M)",
Proportion of total students in employment (PES),2006Q1,Administrative and support service activities (N),3.8
Proportion of total students in employment (PES),2006Q1,Public administration and defence; compulsory social security (O),
Proportion of total students in employment (PES),2006Q1,Education (P),2.7
Proportion of total students in employment (PES),2006Q1,Human health and social work activities (Q),4.3
Proportion of total students in employment (PES),2006Q1,Industry (B to E),2.8
Proportion of total students in employment (PES),2006Q1,"Financial, insurance and real estate activities (K, L)",
Proportion of total students in employment (PES),2006Q1,Other NACE activities (R to U),7.8
Proportion of total students in employment (PES),2006Q1,Industry and Construction (B to F),4.5
Proportion of total students in employment (PES),2006Q1,Services (G to U),93.5
Proportion of total students in employment (PES),2006Q1,Not stated,
Proportion of total students in employment (PES),2006Q2,All NACE economic sectors,100.0
Proportion of total students in employment (PES),2006Q2,"Agriculture, forestry and fishing (A)",2.5
Proportion of total students in employment (PES),2006Q2,Construction (F),3.4
Proportion of total students in employment (PES),2006Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),38.5
Proportion of total students in employment (PES),2006Q2,Transportation and storage (H),
Proportion of total students in employment (PES),2006Q2,Accommodation and food service activities (I),23.9
Proportion of total students in employment (PES),2006Q2,Information and communication (J),2.7
Proportion of total students in employment (PES),2006Q2,"Professional, scientific and technical activities (M)",
Proportion of total students in employment (PES),2006Q2,Administrative and support service activities (N),3.4
Proportion of total students in employment (PES),2006Q2,Public administration and defence; compulsory social security (O),
Proportion of total students in employment (PES),2006Q2,Education (P),3.5
Proportion of total students in employment (PES),2006Q2,Human health and social work activities (Q),4.8
Proportion of total students in employment (PES),2006Q2,Industry (B to E),3.3
Proportion of total students in employment (PES),2006Q2,"Financial, insurance and real estate activities (K, L)",
Proportion of total students in employment (PES),2006Q2,Other NACE activities (R to U),7.8
Proportion of total students in employment (PES),2006Q2,Industry and Construction (B to F),6.8
Proportion of total students in employment (PES),2006Q2,Services (G to U),90.0
Proportion of total students in employment (PES),2006Q2,Not stated,
Proportion of total students in employment (PES),2006Q3,All NACE economic sectors,100.0
Proportion of total students in employment (PES),2006Q3,"Agriculture, forestry and fishing (A)",3.7
Proportion of total students in employment (PES),2006Q3,Construction (F),5.5
Proportion of total students in employment (PES),2006Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),36.8
Proportion of total students in employment (PES),2006Q3,Transportation and storage (H),
Proportion of total students in employment (PES),2006Q3,Accommodation and food service activities (I),21.3
Proportion of total students in employment (PES),2006Q3,Information and communication (J),
