NUTS 3 Regions,Quarter,Statistic,value
Dublin,2006Q2,ILO Unemployment Rate (15 - 74 years) (%),5.1
Dublin,2006Q2,ILO Participation Rate (15 years and over) (%),66.5
Dublin,2006Q3,Persons aged 15 years and over in Employment (Thousand),628.4
Dublin,2006Q3,Unemployed Persons aged 15 years and over (Thousand),32.0
Dublin,2006Q3,Persons aged 15 years and over in Labour Force (Thousand),660.4
Dublin,2006Q3,ILO Unemployment Rate (15 - 74 years) (%),4.9
Dublin,2006Q3,ILO Participation Rate (15 years and over) (%),67.3
Dublin,2006Q4,Persons aged 15 years and over in Employment (Thousand),637.4
Dublin,2006Q4,Unemployed Persons aged 15 years and over (Thousand),29.8
Dublin,2006Q4,Persons aged 15 years and over in Labour Force (Thousand),667.2
Dublin,2006Q4,ILO Unemployment Rate (15 - 74 years) (%),4.5
Dublin,2006Q4,ILO Participation Rate (15 years and over) (%),67.2
Dublin,2007Q1,Persons aged 15 years and over in Employment (Thousand),642.3
Dublin,2007Q1,Unemployed Persons aged 15 years and over (Thousand),31.4
Dublin,2007Q1,Persons aged 15 years and over in Labour Force (Thousand),673.7
Dublin,2007Q1,ILO Unemployment Rate (15 - 74 years) (%),4.7
Dublin,2007Q1,ILO Participation Rate (15 years and over) (%),67.2
Dublin,2007Q2,Persons aged 15 years and over in Employment (Thousand),643.5
Dublin,2007Q2,Unemployed Persons aged 15 years and over (Thousand),35.3
Dublin,2007Q2,Persons aged 15 years and over in Labour Force (Thousand),678.8
Dublin,2007Q2,ILO Unemployment Rate (15 - 74 years) (%),5.2
Dublin,2007Q2,ILO Participation Rate (15 years and over) (%),67.2
Dublin,2007Q3,Persons aged 15 years and over in Employment (Thousand),656.1
Dublin,2007Q3,Unemployed Persons aged 15 years and over (Thousand),34.2
Dublin,2007Q3,Persons aged 15 years and over in Labour Force (Thousand),690.3
Dublin,2007Q3,ILO Unemployment Rate (15 - 74 years) (%),5.0
Dublin,2007Q3,ILO Participation Rate (15 years and over) (%),68.1
Dublin,2007Q4,Persons aged 15 years and over in Employment (Thousand),654.1
Dublin,2007Q4,Unemployed Persons aged 15 years and over (Thousand),32.0
Dublin,2007Q4,Persons aged 15 years and over in Labour Force (Thousand),686.1
Dublin,2007Q4,ILO Unemployment Rate (15 - 74 years) (%),4.7
Dublin,2007Q4,ILO Participation Rate (15 years and over) (%),67.4
Dublin,2008Q1,Persons aged 15 years and over in Employment (Thousand),649.4
Dublin,2008Q1,Unemployed Persons aged 15 years and over (Thousand),34.7
Dublin,2008Q1,Persons aged 15 years and over in Labour Force (Thousand),684.1
Dublin,2008Q1,ILO Unemployment Rate (15 - 74 years) (%),5.1
Dublin,2008Q1,ILO Participation Rate (15 years and over) (%),66.9
Dublin,2008Q2,Persons aged 15 years and over in Employment (Thousand),650.6
Dublin,2008Q2,Unemployed Persons aged 15 years and over (Thousand),36.5
Dublin,2008Q2,Persons aged 15 years and over in Labour Force (Thousand),687.1
Dublin,2008Q2,ILO Unemployment Rate (15 - 74 years) (%),5.3
Dublin,2008Q2,ILO Participation Rate (15 years and over) (%),67.1
Dublin,2008Q3,Persons aged 15 years and over in Employment (Thousand),649.1
Dublin,2008Q3,Unemployed Persons aged 15 years and over (Thousand),48.0
Dublin,2008Q3,Persons aged 15 years and over in Labour Force (Thousand),697.0
Dublin,2008Q3,ILO Unemployment Rate (15 - 74 years) (%),6.9
Dublin,2008Q3,ILO Participation Rate (15 years and over) (%),68.0
Dublin,2008Q4,Persons aged 15 years and over in Employment (Thousand),627.3
Dublin,2008Q4,Unemployed Persons aged 15 years and over (Thousand),48.5
Dublin,2008Q4,Persons aged 15 years and over in Labour Force (Thousand),675.8
Dublin,2008Q4,ILO Unemployment Rate (15 - 74 years) (%),7.2
Dublin,2008Q4,ILO Participation Rate (15 years and over) (%),66.0
Dublin,2009Q1,Persons aged 15 years and over in Employment (Thousand),607.6
Dublin,2009Q1,Unemployed Persons aged 15 years and over (Thousand),61.2
Dublin,2009Q1,Persons aged 15 years and over in Labour Force (Thousand),668.9
Dublin,2009Q1,ILO Unemployment Rate (15 - 74 years) (%),9.2
Dublin,2009Q1,ILO Participation Rate (15 years and over) (%),65.3
Dublin,2009Q2,Persons aged 15 years and over in Employment (Thousand),595.2
Dublin,2009Q2,Unemployed Persons aged 15 years and over (Thousand),72.3
Dublin,2009Q2,Persons aged 15 years and over in Labour Force (Thousand),667.5
Dublin,2009Q2,ILO Unemployment Rate (15 - 74 years) (%),10.8
Dublin,2009Q2,ILO Participation Rate (15 years and over) (%),65.1
Dublin,2009Q3,Persons aged 15 years and over in Employment (Thousand),583.1
Dublin,2009Q3,Unemployed Persons aged 15 years and over (Thousand),75.8
Dublin,2009Q3,Persons aged 15 years and over in Labour Force (Thousand),658.9
Dublin,2009Q3,ILO Unemployment Rate (15 - 74 years) (%),11.5
Dublin,2009Q3,ILO Participation Rate (15 years and over) (%),64.4
Dublin,2009Q4,Persons aged 15 years and over in Employment (Thousand),581.3
Dublin,2009Q4,Unemployed Persons aged 15 years and over (Thousand),74.0
Dublin,2009Q4,Persons aged 15 years and over in Labour Force (Thousand),655.3
Dublin,2009Q4,ILO Unemployment Rate (15 - 74 years) (%),11.3
Dublin,2009Q4,ILO Participation Rate (15 years and over) (%),64.2
Dublin,2010Q1,Persons aged 15 years and over in Employment (Thousand),570.9
Dublin,2010Q1,Unemployed Persons aged 15 years and over (Thousand),72.7
Dublin,2010Q1,Persons aged 15 years and over in Labour Force (Thousand),643.6
Dublin,2010Q1,ILO Unemployment Rate (15 - 74 years) (%),11.3
Dublin,2010Q1,ILO Participation Rate (15 years and over) (%),63.1
Dublin,2010Q2,Persons aged 15 years and over in Employment (Thousand),567.7
Dublin,2010Q2,Unemployed Persons aged 15 years and over (Thousand),77.4
Dublin,2010Q2,Persons aged 15 years and over in Labour Force (Thousand),645.0
Dublin,2010Q2,ILO Unemployment Rate (15 - 74 years) (%),12.0
Dublin,2010Q2,ILO Participation Rate (15 years and over) (%),63.3
Dublin,2010Q3,Persons aged 15 years and over in Employment (Thousand),564.9
Dublin,2010Q3,Unemployed Persons aged 15 years and over (Thousand),78.8
Dublin,2010Q3,Persons aged 15 years and over in Labour Force (Thousand),643.6
Dublin,2010Q3,ILO Unemployment Rate (15 - 74 years) (%),12.3
Dublin,2010Q3,ILO Participation Rate (15 years and over) (%),63.2
Dublin,2010Q4,Persons aged 15 years and over in Employment (Thousand),557.1
Dublin,2010Q4,Unemployed Persons aged 15 years and over (Thousand),84.7
Dublin,2010Q4,Persons aged 15 years and over in Labour Force (Thousand),641.8
Dublin,2010Q4,ILO Unemployment Rate (15 - 74 years) (%),13.2
Dublin,2010Q4,ILO Participation Rate (15 years and over) (%),63.1
Dublin,2011Q1,Persons aged 15 years and over in Employment (Thousand),550.3
Dublin,2011Q1,Unemployed Persons aged 15 years and over (Thousand),81.3
Dublin,2011Q1,Persons aged 15 years and over in Labour Force (Thousand),631.7
Dublin,2011Q1,ILO Unemployment Rate (15 - 74 years) (%),12.9
Dublin,2011Q1,ILO Participation Rate (15 years and over) (%),62.1
Dublin,2011Q2,Persons aged 15 years and over in Employment (Thousand),559.2
Dublin,2011Q2,Unemployed Persons aged 15 years and over (Thousand),80.4
Dublin,2011Q2,Persons aged 15 years and over in Labour Force (Thousand),639.6
Dublin,2011Q2,ILO Unemployment Rate (15 - 74 years) (%),12.6
Dublin,2011Q2,ILO Participation Rate (15 years and over) (%),62.9
Dublin,2011Q3,Persons aged 15 years and over in Employment (Thousand),547.0
Dublin,2011Q3,Unemployed Persons aged 15 years and over (Thousand),86.5
Dublin,2011Q3,Persons aged 15 years and over in Labour Force (Thousand),633.5
Dublin,2011Q3,ILO Unemployment Rate (15 - 74 years) (%),13.7
Dublin,2011Q3,ILO Participation Rate (15 years and over) (%),62.4
Dublin,2011Q4,Persons aged 15 years and over in Employment (Thousand),551.9
Dublin,2011Q4,Unemployed Persons aged 15 years and over (Thousand),84.2
Dublin,2011Q4,Persons aged 15 years and over in Labour Force (Thousand),636.1
Dublin,2011Q4,ILO Unemployment Rate (15 - 74 years) (%),13.3
Dublin,2011Q4,ILO Participation Rate (15 years and over) (%),62.7
Mid-East,1998Q1,Persons aged 15 years and over in Employment (Thousand),160.3
Mid-East,1998Q1,Unemployed Persons aged 15 years and over (Thousand),17.6
Mid-East,1998Q1,Persons aged 15 years and over in Labour Force (Thousand),177.9
Mid-East,1998Q1,ILO Unemployment Rate (15 - 74 years) (%),9.9
Mid-East,1998Q1,ILO Participation Rate (15 years and over) (%),64.1
Mid-East,1998Q2,Persons aged 15 years and over in Employment (Thousand),164.3
Mid-East,1998Q2,Unemployed Persons aged 15 years and over (Thousand),16.2
Mid-East,1998Q2,Persons aged 15 years and over in Labour Force (Thousand),180.5
Mid-East,1998Q2,ILO Unemployment Rate (15 - 74 years) (%),9.0
Mid-East,1998Q2,ILO Participation Rate (15 years and over) (%),64.4
Mid-East,1998Q3,Persons aged 15 years and over in Employment (Thousand),172.2
Mid-East,1998Q3,Unemployed Persons aged 15 years and over (Thousand),13.8
Mid-East,1998Q3,Persons aged 15 years and over in Labour Force (Thousand),186.1
Mid-East,1998Q3,ILO Unemployment Rate (15 - 74 years) (%),7.4
Mid-East,1998Q3,ILO Participation Rate (15 years and over) (%),65.6
Mid-East,1998Q4,Persons aged 15 years and over in Employment (Thousand),170.7
Mid-East,1998Q4,Unemployed Persons aged 15 years and over (Thousand),11.1
Mid-East,1998Q4,Persons aged 15 years and over in Labour Force (Thousand),181.8
Mid-East,1998Q4,ILO Unemployment Rate (15 - 74 years) (%),6.1
Mid-East,1998Q4,ILO Participation Rate (15 years and over) (%),63.6
Mid-East,1999Q1,Persons aged 15 years and over in Employment (Thousand),174.9
Mid-East,1999Q1,Unemployed Persons aged 15 years and over (Thousand),10.4
Mid-East,1999Q1,Persons aged 15 years and over in Labour Force (Thousand),185.2
Mid-East,1999Q1,ILO Unemployment Rate (15 - 74 years) (%),5.6
Mid-East,1999Q1,ILO Participation Rate (15 years and over) (%),64.5
Mid-East,1999Q2,Persons aged 15 years and over in Employment (Thousand),178.8
Mid-East,1999Q2,Unemployed Persons aged 15 years and over (Thousand),11.0
Mid-East,1999Q2,Persons aged 15 years and over in Labour Force (Thousand),189.8
Mid-East,1999Q2,ILO Unemployment Rate (15 - 74 years) (%),5.8
Mid-East,1999Q2,ILO Participation Rate (15 years and over) (%),65.7
Mid-East,1999Q3,Persons aged 15 years and over in Employment (Thousand),186.5
Mid-East,1999Q3,Unemployed Persons aged 15 years and over (Thousand),11.8
Mid-East,1999Q3,Persons aged 15 years and over in Labour Force (Thousand),198.2
Mid-East,1999Q3,ILO Unemployment Rate (15 - 74 years) (%),6.0
Mid-East,1999Q3,ILO Participation Rate (15 years and over) (%),68.0
Mid-East,1999Q4,Persons aged 15 years and over in Employment (Thousand),183.9
Mid-East,1999Q4,Unemployed Persons aged 15 years and over (Thousand),10.3
Mid-East,1999Q4,Persons aged 15 years and over in Labour Force (Thousand),194.2
Mid-East,1999Q4,ILO Unemployment Rate (15 - 74 years) (%),5.3
Mid-East,1999Q4,ILO Participation Rate (15 years and over) (%),66.0
Mid-East,2000Q1,Persons aged 15 years and over in Employment (Thousand),184.5
Mid-East,2000Q1,Unemployed Persons aged 15 years and over (Thousand),9.8
Mid-East,2000Q1,Persons aged 15 years and over in Labour Force (Thousand),194.2
Mid-East,2000Q1,ILO Unemployment Rate (15 - 74 years) (%),5.0
Mid-East,2000Q1,ILO Participation Rate (15 years and over) (%),65.8
Mid-East,2000Q2,Persons aged 15 years and over in Employment (Thousand),187.2
Mid-East,2000Q2,Unemployed Persons aged 15 years and over (Thousand),9.9
Mid-East,2000Q2,Persons aged 15 years and over in Labour Force (Thousand),197.1
Mid-East,2000Q2,ILO Unemployment Rate (15 - 74 years) (%),5.0
Mid-East,2000Q2,ILO Participation Rate (15 years and over) (%),66.4
Mid-East,2000Q3,Persons aged 15 years and over in Employment (Thousand),193.7
Mid-East,2000Q3,Unemployed Persons aged 15 years and over (Thousand),10.1
Mid-East,2000Q3,Persons aged 15 years and over in Labour Force (Thousand),203.8
Mid-East,2000Q3,ILO Unemployment Rate (15 - 74 years) (%),5.0
Mid-East,2000Q3,ILO Participation Rate (15 years and over) (%),67.9
Mid-East,2000Q4,Persons aged 15 years and over in Employment (Thousand),191.4
Mid-East,2000Q4,Unemployed Persons aged 15 years and over (Thousand),8.0
Mid-East,2000Q4,Persons aged 15 years and over in Labour Force (Thousand),199.4
Mid-East,2000Q4,ILO Unemployment Rate (15 - 74 years) (%),4.0
Mid-East,2000Q4,ILO Participation Rate (15 years and over) (%),65.6
Mid-East,2001Q1,Persons aged 15 years and over in Employment (Thousand),194.1
Mid-East,2001Q1,Unemployed Persons aged 15 years and over (Thousand),7.7
Mid-East,2001Q1,Persons aged 15 years and over in Labour Force (Thousand),201.8
Mid-East,2001Q1,ILO Unemployment Rate (15 - 74 years) (%),3.8
Mid-East,2001Q1,ILO Participation Rate (15 years and over) (%),66.1
Mid-East,2001Q2,Persons aged 15 years and over in Employment (Thousand),197.5
Mid-East,2001Q2,Unemployed Persons aged 15 years and over (Thousand),8.1
Mid-East,2001Q2,Persons aged 15 years and over in Labour Force (Thousand),205.6
Mid-East,2001Q2,ILO Unemployment Rate (15 - 74 years) (%),3.9
Mid-East,2001Q2,ILO Participation Rate (15 years and over) (%),66.8
Mid-East,2001Q3,Persons aged 15 years and over in Employment (Thousand),202.0
Mid-East,2001Q3,Unemployed Persons aged 15 years and over (Thousand),10.7
Mid-East,2001Q3,Persons aged 15 years and over in Labour Force (Thousand),212.7
Mid-East,2001Q3,ILO Unemployment Rate (15 - 74 years) (%),5.0
Mid-East,2001Q3,ILO Participation Rate (15 years and over) (%),68.6
Mid-East,2001Q4,Persons aged 15 years and over in Employment (Thousand),200.1
Mid-East,2001Q4,Unemployed Persons aged 15 years and over (Thousand),7.8
Mid-East,2001Q4,Persons aged 15 years and over in Labour Force (Thousand),207.9
Mid-East,2001Q4,ILO Unemployment Rate (15 - 74 years) (%),3.8
Mid-East,2001Q4,ILO Participation Rate (15 years and over) (%),66.4
Mid-East,2002Q1,Persons aged 15 years and over in Employment (Thousand),199.0
Mid-East,2002Q1,Unemployed Persons aged 15 years and over (Thousand),8.7
Mid-East,2002Q1,Persons aged 15 years and over in Labour Force (Thousand),207.6
Mid-East,2002Q1,ILO Unemployment Rate (15 - 74 years) (%),4.2
Mid-East,2002Q1,ILO Participation Rate (15 years and over) (%),66.0
Mid-East,2002Q2,Persons aged 15 years and over in Employment (Thousand),202.7
Mid-East,2002Q2,Unemployed Persons aged 15 years and over (Thousand),9.3
Mid-East,2002Q2,Persons aged 15 years and over in Labour Force (Thousand),212.0
Mid-East,2002Q2,ILO Unemployment Rate (15 - 74 years) (%),4.4
Mid-East,2002Q2,ILO Participation Rate (15 years and over) (%),66.9
Mid-East,2002Q3,Persons aged 15 years and over in Employment (Thousand),210.4
Mid-East,2002Q3,Unemployed Persons aged 15 years and over (Thousand),10.2
Mid-East,2002Q3,Persons aged 15 years and over in Labour Force (Thousand),220.7
Mid-East,2002Q3,ILO Unemployment Rate (15 - 74 years) (%),4.6
Mid-East,2002Q3,ILO Participation Rate (15 years and over) (%),68.9
Mid-East,2002Q4,Persons aged 15 years and over in Employment (Thousand),206.3
Mid-East,2002Q4,Unemployed Persons aged 15 years and over (Thousand),9.6
Mid-East,2002Q4,Persons aged 15 years and over in Labour Force (Thousand),215.9
Mid-East,2002Q4,ILO Unemployment Rate (15 - 74 years) (%),4.5
Mid-East,2002Q4,ILO Participation Rate (15 years and over) (%),66.6
Mid-East,2003Q1,Persons aged 15 years and over in Employment (Thousand),208.2
Mid-East,2003Q1,Unemployed Persons aged 15 years and over (Thousand),8.2
Mid-East,2003Q1,Persons aged 15 years and over in Labour Force (Thousand),216.4
Mid-East,2003Q1,ILO Unemployment Rate (15 - 74 years) (%),3.8
Mid-East,2003Q1,ILO Participation Rate (15 years and over) (%),66.3
Mid-East,2003Q2,Persons aged 15 years and over in Employment (Thousand),213.2
Mid-East,2003Q2,Unemployed Persons aged 15 years and over (Thousand),9.7
Mid-East,2003Q2,Persons aged 15 years and over in Labour Force (Thousand),222.9
Mid-East,2003Q2,ILO Unemployment Rate (15 - 74 years) (%),4.4
Mid-East,2003Q2,ILO Participation Rate (15 years and over) (%),67.8
Mid-East,2003Q3,Persons aged 15 years and over in Employment (Thousand),212.5
Mid-East,2003Q3,Unemployed Persons aged 15 years and over (Thousand),11.0
Mid-East,2003Q3,Persons aged 15 years and over in Labour Force (Thousand),223.6
Mid-East,2003Q3,ILO Unemployment Rate (15 - 74 years) (%),4.9
Mid-East,2003Q3,ILO Participation Rate (15 years and over) (%),67.4
Mid-East,2003Q4,Persons aged 15 years and over in Employment (Thousand),212.4
Mid-East,2003Q4,Unemployed Persons aged 15 years and over (Thousand),9.9
Mid-East,2003Q4,Persons aged 15 years and over in Labour Force (Thousand),222.3
Mid-East,2003Q4,ILO Unemployment Rate (15 - 74 years) (%),4.5
Mid-East,2003Q4,ILO Participation Rate (15 years and over) (%),66.3
Mid-East,2004Q1,Persons aged 15 years and over in Employment (Thousand),213.0
Mid-East,2004Q1,Unemployed Persons aged 15 years and over (Thousand),9.7
Mid-East,2004Q1,Persons aged 15 years and over in Labour Force (Thousand),222.7
Mid-East,2004Q1,ILO Unemployment Rate (15 - 74 years) (%),4.3
Mid-East,2004Q1,ILO Participation Rate (15 years and over) (%),66.1
Mid-East,2004Q2,Persons aged 15 years and over in Employment (Thousand),217.1
Mid-East,2004Q2,Unemployed Persons aged 15 years and over (Thousand),9.7
Mid-East,2004Q2,Persons aged 15 years and over in Labour Force (Thousand),226.9
Mid-East,2004Q2,ILO Unemployment Rate (15 - 74 years) (%),4.3
Mid-East,2004Q2,ILO Participation Rate (15 years and over) (%),66.9
Mid-East,2004Q3,Persons aged 15 years and over in Employment (Thousand),222.1
Mid-East,2004Q3,Unemployed Persons aged 15 years and over (Thousand),8.6
Mid-East,2004Q3,Persons aged 15 years and over in Labour Force (Thousand),230.7
Mid-East,2004Q3,ILO Unemployment Rate (15 - 74 years) (%),3.7
Mid-East,2004Q3,ILO Participation Rate (15 years and over) (%),67.3
Mid-East,2004Q4,Persons aged 15 years and over in Employment (Thousand),222.9
Mid-East,2004Q4,Unemployed Persons aged 15 years and over (Thousand),8.3
Mid-East,2004Q4,Persons aged 15 years and over in Labour Force (Thousand),231.1
Mid-East,2004Q4,ILO Unemployment Rate (15 - 74 years) (%),3.6
Mid-East,2004Q4,ILO Participation Rate (15 years and over) (%),66.6
Mid-East,2005Q1,Persons aged 15 years and over in Employment (Thousand),228.7
Mid-East,2005Q1,Unemployed Persons aged 15 years and over (Thousand),8.8
Mid-East,2005Q1,Persons aged 15 years and over in Labour Force (Thousand),237.6
Mid-East,2005Q1,ILO Unemployment Rate (15 - 74 years) (%),3.7
Mid-East,2005Q1,ILO Participation Rate (15 years and over) (%),67.9
Mid-East,2005Q2,Persons aged 15 years and over in Employment (Thousand),231.2
Mid-East,2005Q2,Unemployed Persons aged 15 years and over (Thousand),9.7
Mid-East,2005Q2,Persons aged 15 years and over in Labour Force (Thousand),241.0
Mid-East,2005Q2,ILO Unemployment Rate (15 - 74 years) (%),4.1
Mid-East,2005Q2,ILO Participation Rate (15 years and over) (%),68.3
Mid-East,2005Q3,Persons aged 15 years and over in Employment (Thousand),236.9
Mid-East,2005Q3,Unemployed Persons aged 15 years and over (Thousand),12.1
Mid-East,2005Q3,Persons aged 15 years and over in Labour Force (Thousand),249.0
Mid-East,2005Q3,ILO Unemployment Rate (15 - 74 years) (%),4.9
Mid-East,2005Q3,ILO Participation Rate (15 years and over) (%),69.7
Mid-East,2005Q4,Persons aged 15 years and over in Employment (Thousand),237.0
Mid-East,2005Q4,Unemployed Persons aged 15 years and over (Thousand),8.9
Mid-East,2005Q4,Persons aged 15 years and over in Labour Force (Thousand),245.9
Mid-East,2005Q4,ILO Unemployment Rate (15 - 74 years) (%),3.6
Mid-East,2005Q4,ILO Participation Rate (15 years and over) (%),68.0
Mid-East,2006Q1,Persons aged 15 years and over in Employment (Thousand),240.3
Mid-East,2006Q1,Unemployed Persons aged 15 years and over (Thousand),10.7
Mid-East,2006Q1,Persons aged 15 years and over in Labour Force (Thousand),251.1
Mid-East,2006Q1,ILO Unemployment Rate (15 - 74 years) (%),4.3
Mid-East,2006Q1,ILO Participation Rate (15 years and over) (%),68.8
Mid-East,2006Q2,Persons aged 15 years and over in Employment (Thousand),243.4
Mid-East,2006Q2,Unemployed Persons aged 15 years and over (Thousand),11.2
Mid-East,2006Q2,Persons aged 15 years and over in Labour Force (Thousand),254.6
Mid-East,2006Q2,ILO Unemployment Rate (15 - 74 years) (%),4.4
Mid-East,2006Q2,ILO Participation Rate (15 years and over) (%),68.6
Mid-East,2006Q3,Persons aged 15 years and over in Employment (Thousand),247.2
Mid-East,2006Q3,Unemployed Persons aged 15 years and over (Thousand),12.0
Mid-East,2006Q3,Persons aged 15 years and over in Labour Force (Thousand),259.2
Mid-East,2006Q3,ILO Unemployment Rate (15 - 74 years) (%),4.6
Mid-East,2006Q3,ILO Participation Rate (15 years and over) (%),69.2
Mid-East,2006Q4,Persons aged 15 years and over in Employment (Thousand),248.9
Mid-East,2006Q4,Unemployed Persons aged 15 years and over (Thousand),9.5
Mid-East,2006Q4,Persons aged 15 years and over in Labour Force (Thousand),258.4
Mid-East,2006Q4,ILO Unemployment Rate (15 - 74 years) (%),3.7
Mid-East,2006Q4,ILO Participation Rate (15 years and over) (%),68.3
Mid-East,2007Q1,Persons aged 15 years and over in Employment (Thousand),255.1
Mid-East,2007Q1,Unemployed Persons aged 15 years and over (Thousand),13.1
Mid-East,2007Q1,Persons aged 15 years and over in Labour Force (Thousand),268.2
Mid-East,2007Q1,ILO Unemployment Rate (15 - 74 years) (%),4.9
Mid-East,2007Q1,ILO Participation Rate (15 years and over) (%),70.4
Mid-East,2007Q2,Persons aged 15 years and over in Employment (Thousand),259.3
Mid-East,2007Q2,Unemployed Persons aged 15 years and over (Thousand),14.3
Mid-East,2007Q2,Persons aged 15 years and over in Labour Force (Thousand),273.6
Mid-East,2007Q2,ILO Unemployment Rate (15 - 74 years) (%),5.2
Mid-East,2007Q2,ILO Participation Rate (15 years and over) (%),71.2
Mid-East,2007Q3,Persons aged 15 years and over in Employment (Thousand),265.0
Mid-East,2007Q3,Unemployed Persons aged 15 years and over (Thousand),14.1
Mid-East,2007Q3,Persons aged 15 years and over in Labour Force (Thousand),279.1
Mid-East,2007Q3,ILO Unemployment Rate (15 - 74 years) (%),5.0
Mid-East,2007Q3,ILO Participation Rate (15 years and over) (%),72.0
Mid-East,2007Q4,Persons aged 15 years and over in Employment (Thousand),260.6
Mid-East,2007Q4,Unemployed Persons aged 15 years and over (Thousand),12.4
Mid-East,2007Q4,Persons aged 15 years and over in Labour Force (Thousand),273.0
Mid-East,2007Q4,ILO Unemployment Rate (15 - 74 years) (%),4.6
Mid-East,2007Q4,ILO Participation Rate (15 years and over) (%),69.8
Mid-East,2008Q1,Persons aged 15 years and over in Employment (Thousand),263.0
Mid-East,2008Q1,Unemployed Persons aged 15 years and over (Thousand),12.5
Mid-East,2008Q1,Persons aged 15 years and over in Labour Force (Thousand),275.5
Mid-East,2008Q1,ILO Unemployment Rate (15 - 74 years) (%),4.5
Mid-East,2008Q1,ILO Participation Rate (15 years and over) (%),69.9
Mid-East,2008Q2,Persons aged 15 years and over in Employment (Thousand),261.1
Mid-East,2008Q2,Unemployed Persons aged 15 years and over (Thousand),16.1
Mid-East,2008Q2,Persons aged 15 years and over in Labour Force (Thousand),277.2
Mid-East,2008Q2,ILO Unemployment Rate (15 - 74 years) (%),5.8
Mid-East,2008Q2,ILO Participation Rate (15 years and over) (%),70.0
Mid-East,2008Q3,Persons aged 15 years and over in Employment (Thousand),254.9
Mid-East,2008Q3,Unemployed Persons aged 15 years and over (Thousand),20.2
Mid-East,2008Q3,Persons aged 15 years and over in Labour Force (Thousand),275.1
Mid-East,2008Q3,ILO Unemployment Rate (15 - 74 years) (%),7.4
Mid-East,2008Q3,ILO Participation Rate (15 years and over) (%),69.3
Mid-East,2008Q4,Persons aged 15 years and over in Employment (Thousand),251.8
Mid-East,2008Q4,Unemployed Persons aged 15 years and over (Thousand),20.9
Mid-East,2008Q4,Persons aged 15 years and over in Labour Force (Thousand),272.6
Mid-East,2008Q4,ILO Unemployment Rate (15 - 74 years) (%),7.7
Mid-East,2008Q4,ILO Participation Rate (15 years and over) (%),68.5
Mid-East,2009Q1,Persons aged 15 years and over in Employment (Thousand),238.7
Mid-East,2009Q1,Unemployed Persons aged 15 years and over (Thousand),30.8
Mid-East,2009Q1,Persons aged 15 years and over in Labour Force (Thousand),269.5
Mid-East,2009Q1,ILO Unemployment Rate (15 - 74 years) (%),11.4
Mid-East,2009Q1,ILO Participation Rate (15 years and over) (%),67.6
Mid-East,2009Q2,Persons aged 15 years and over in Employment (Thousand),239.1
Mid-East,2009Q2,Unemployed Persons aged 15 years and over (Thousand),37.6
Mid-East,2009Q2,Persons aged 15 years and over in Labour Force (Thousand),276.7
Mid-East,2009Q2,ILO Unemployment Rate (15 - 74 years) (%),13.6
Mid-East,2009Q2,ILO Participation Rate (15 years and over) (%),69.3
Mid-East,2009Q3,Persons aged 15 years and over in Employment (Thousand),237.1
Mid-East,2009Q3,Unemployed Persons aged 15 years and over (Thousand),41.6
Mid-East,2009Q3,Persons aged 15 years and over in Labour Force (Thousand),278.7
Mid-East,2009Q3,ILO Unemployment Rate (15 - 74 years) (%),14.9
Mid-East,2009Q3,ILO Participation Rate (15 years and over) (%),69.6
Mid-East,2009Q4,Persons aged 15 years and over in Employment (Thousand),238.0
Mid-East,2009Q4,Unemployed Persons aged 15 years and over (Thousand),39.0
Mid-East,2009Q4,Persons aged 15 years and over in Labour Force (Thousand),277.0
Mid-East,2009Q4,ILO Unemployment Rate (15 - 74 years) (%),14.1
Mid-East,2009Q4,ILO Participation Rate (15 years and over) (%),69.0
Mid-East,2010Q1,Persons aged 15 years and over in Employment (Thousand),233.7
Mid-East,2010Q1,Unemployed Persons aged 15 years and over (Thousand),44.6
Mid-East,2010Q1,Persons aged 15 years and over in Labour Force (Thousand),278.3
Mid-East,2010Q1,ILO Unemployment Rate (15 - 74 years) (%),16.1
Mid-East,2010Q1,ILO Participation Rate (15 years and over) (%),69.2
Mid-East,2010Q2,Persons aged 15 years and over in Employment (Thousand),233.2
Mid-East,2010Q2,Unemployed Persons aged 15 years and over (Thousand),44.2
Mid-East,2010Q2,Persons aged 15 years and over in Labour Force (Thousand),277.4
Mid-East,2010Q2,ILO Unemployment Rate (15 - 74 years) (%),16.0
Mid-East,2010Q2,ILO Participation Rate (15 years and over) (%),68.9
Mid-East,2010Q3,Persons aged 15 years and over in Employment (Thousand),233.6
Mid-East,2010Q3,Unemployed Persons aged 15 years and over (Thousand),40.8
Mid-East,2010Q3,Persons aged 15 years and over in Labour Force (Thousand),274.4
Mid-East,2010Q3,ILO Unemployment Rate (15 - 74 years) (%),14.9
Mid-East,2010Q3,ILO Participation Rate (15 years and over) (%),68.0
Mid-East,2010Q4,Persons aged 15 years and over in Employment (Thousand),231.0
Mid-East,2010Q4,Unemployed Persons aged 15 years and over (Thousand),42.8
Mid-East,2010Q4,Persons aged 15 years and over in Labour Force (Thousand),273.8
Mid-East,2010Q4,ILO Unemployment Rate (15 - 74 years) (%),15.7
Mid-East,2010Q4,ILO Participation Rate (15 years and over) (%),67.8
Mid-East,2011Q1,Persons aged 15 years and over in Employment (Thousand),227.1
Mid-East,2011Q1,Unemployed Persons aged 15 years and over (Thousand),42.4
