STATISTIC,Quarter,Age Group,Sex,Marital Status,value
ILO Participation Rates  (%),2009Q4,20 - 24 years,Male,Widowed,
ILO Participation Rates  (%),2009Q4,20 - 24 years,Male,Separated or divorced,
ILO Participation Rates  (%),2009Q4,20 - 24 years,Male,All marital status,83.4
ILO Participation Rates  (%),2009Q4,20 - 24 years,Female,Single - never married,79.3
ILO Participation Rates  (%),2009Q4,20 - 24 years,Female,Married,63.9
ILO Participation Rates  (%),2009Q4,20 - 24 years,Female,Widowed,
ILO Participation Rates  (%),2009Q4,20 - 24 years,Female,Separated or divorced,
ILO Participation Rates  (%),2009Q4,20 - 24 years,Female,All marital status,78.6
ILO Participation Rates  (%),2009Q4,25 - 34 years,Both sexes,Single - never married,85.0
ILO Participation Rates  (%),2009Q4,25 - 34 years,Both sexes,Married,82.9
ILO Participation Rates  (%),2009Q4,25 - 34 years,Both sexes,Widowed,
ILO Participation Rates  (%),2009Q4,25 - 34 years,Both sexes,Separated or divorced,64.5
ILO Participation Rates  (%),2009Q4,25 - 34 years,Both sexes,All marital status,83.9
ILO Participation Rates  (%),2009Q4,25 - 34 years,Male,Single - never married,88.0
ILO Participation Rates  (%),2009Q4,25 - 34 years,Male,Married,94.1
ILO Participation Rates  (%),2009Q4,25 - 34 years,Male,Widowed,
ILO Participation Rates  (%),2009Q4,25 - 34 years,Male,Separated or divorced,76.7
ILO Participation Rates  (%),2009Q4,25 - 34 years,Male,All marital status,90.0
ILO Participation Rates  (%),2009Q4,25 - 34 years,Female,Single - never married,81.6
ILO Participation Rates  (%),2009Q4,25 - 34 years,Female,Married,73.7
ILO Participation Rates  (%),2009Q4,25 - 34 years,Female,Widowed,
ILO Participation Rates  (%),2009Q4,25 - 34 years,Female,Separated or divorced,60.5
ILO Participation Rates  (%),2009Q4,25 - 34 years,Female,All marital status,78.0
ILO Participation Rates  (%),2009Q4,35 - 44 years,Both sexes,Single - never married,78.5
ILO Participation Rates  (%),2009Q4,35 - 44 years,Both sexes,Married,80.8
ILO Participation Rates  (%),2009Q4,35 - 44 years,Both sexes,Widowed,63.4
ILO Participation Rates  (%),2009Q4,35 - 44 years,Both sexes,Separated or divorced,78.4
ILO Participation Rates  (%),2009Q4,35 - 44 years,Both sexes,All marital status,80.0
ILO Participation Rates  (%),2009Q4,35 - 44 years,Male,Single - never married,81.8
ILO Participation Rates  (%),2009Q4,35 - 44 years,Male,Married,93.9
ILO Participation Rates  (%),2009Q4,35 - 44 years,Male,Widowed,
ILO Participation Rates  (%),2009Q4,35 - 44 years,Male,Separated or divorced,89.9
ILO Participation Rates  (%),2009Q4,35 - 44 years,Male,All marital status,90.6
ILO Participation Rates  (%),2009Q4,35 - 44 years,Female,Single - never married,74.8
ILO Participation Rates  (%),2009Q4,35 - 44 years,Female,Married,67.3
ILO Participation Rates  (%),2009Q4,35 - 44 years,Female,Widowed,49.7
ILO Participation Rates  (%),2009Q4,35 - 44 years,Female,Separated or divorced,72.3
ILO Participation Rates  (%),2009Q4,35 - 44 years,Female,All marital status,69.2
ILO Participation Rates  (%),2009Q4,45 - 54 years,Both sexes,Single - never married,71.2
ILO Participation Rates  (%),2009Q4,45 - 54 years,Both sexes,Married,79.3
ILO Participation Rates  (%),2009Q4,45 - 54 years,Both sexes,Widowed,66.3
ILO Participation Rates  (%),2009Q4,45 - 54 years,Both sexes,Separated or divorced,74.3
ILO Participation Rates  (%),2009Q4,45 - 54 years,Both sexes,All marital status,77.4
ILO Participation Rates  (%),2009Q4,45 - 54 years,Male,Single - never married,67.0
ILO Participation Rates  (%),2009Q4,45 - 54 years,Male,Married,91.1
ILO Participation Rates  (%),2009Q4,45 - 54 years,Male,Widowed,77.0
ILO Participation Rates  (%),2009Q4,45 - 54 years,Male,Separated or divorced,77.4
ILO Participation Rates  (%),2009Q4,45 - 54 years,Male,All marital status,86.4
ILO Participation Rates  (%),2009Q4,45 - 54 years,Female,Single - never married,75.6
ILO Participation Rates  (%),2009Q4,45 - 54 years,Female,Married,66.7
ILO Participation Rates  (%),2009Q4,45 - 54 years,Female,Widowed,61.1
ILO Participation Rates  (%),2009Q4,45 - 54 years,Female,Separated or divorced,72.3
ILO Participation Rates  (%),2009Q4,45 - 54 years,Female,All marital status,68.5
ILO Participation Rates  (%),2009Q4,55 - 59 years,Both sexes,Single - never married,56.8
ILO Participation Rates  (%),2009Q4,55 - 59 years,Both sexes,Married,64.7
ILO Participation Rates  (%),2009Q4,55 - 59 years,Both sexes,Widowed,54.6
ILO Participation Rates  (%),2009Q4,55 - 59 years,Both sexes,Separated or divorced,59.8
ILO Participation Rates  (%),2009Q4,55 - 59 years,Both sexes,All marital status,62.9
ILO Participation Rates  (%),2009Q4,55 - 59 years,Male,Single - never married,52.9
ILO Participation Rates  (%),2009Q4,55 - 59 years,Male,Married,77.2
ILO Participation Rates  (%),2009Q4,55 - 59 years,Male,Widowed,58.2
ILO Participation Rates  (%),2009Q4,55 - 59 years,Male,Separated or divorced,59.7
ILO Participation Rates  (%),2009Q4,55 - 59 years,Male,All marital status,72.0
ILO Participation Rates  (%),2009Q4,55 - 59 years,Female,Single - never married,62.6
ILO Participation Rates  (%),2009Q4,55 - 59 years,Female,Married,51.8
ILO Participation Rates  (%),2009Q4,55 - 59 years,Female,Widowed,52.7
ILO Participation Rates  (%),2009Q4,55 - 59 years,Female,Separated or divorced,59.8
ILO Participation Rates  (%),2009Q4,55 - 59 years,Female,All marital status,53.7
ILO Participation Rates  (%),2009Q4,60 - 64 years,Both sexes,Single - never married,43.2
ILO Participation Rates  (%),2009Q4,60 - 64 years,Both sexes,Married,44.6
ILO Participation Rates  (%),2009Q4,60 - 64 years,Both sexes,Widowed,33.7
ILO Participation Rates  (%),2009Q4,60 - 64 years,Both sexes,Separated or divorced,43.7
ILO Participation Rates  (%),2009Q4,60 - 64 years,Both sexes,All marital status,43.5
ILO Participation Rates  (%),2009Q4,60 - 64 years,Male,Single - never married,43.9
ILO Participation Rates  (%),2009Q4,60 - 64 years,Male,Married,58.0
ILO Participation Rates  (%),2009Q4,60 - 64 years,Male,Widowed,36.6
ILO Participation Rates  (%),2009Q4,60 - 64 years,Male,Separated or divorced,48.4
ILO Participation Rates  (%),2009Q4,60 - 64 years,Male,All marital status,54.8
ILO Participation Rates  (%),2009Q4,60 - 64 years,Female,Single - never married,42.1
ILO Participation Rates  (%),2009Q4,60 - 64 years,Female,Married,29.7
ILO Participation Rates  (%),2009Q4,60 - 64 years,Female,Widowed,32.6
ILO Participation Rates  (%),2009Q4,60 - 64 years,Female,Separated or divorced,41.0
ILO Participation Rates  (%),2009Q4,60 - 64 years,Female,All marital status,32.0
ILO Participation Rates  (%),2009Q4,65 years and over,Both sexes,Single - never married,11.5
ILO Participation Rates  (%),2009Q4,65 years and over,Both sexes,Married,10.8
ILO Participation Rates  (%),2009Q4,65 years and over,Both sexes,Widowed,3.6
ILO Participation Rates  (%),2009Q4,65 years and over,Both sexes,Separated or divorced,11.8
ILO Participation Rates  (%),2009Q4,65 years and over,Both sexes,All marital status,8.8
ILO Participation Rates  (%),2009Q4,65 years and over,Male,Single - never married,16.8
ILO Participation Rates  (%),2009Q4,65 years and over,Male,Married,15.0
ILO Participation Rates  (%),2009Q4,65 years and over,Male,Widowed,8.2
ILO Participation Rates  (%),2009Q4,65 years and over,Male,Separated or divorced,10.9
ILO Participation Rates  (%),2009Q4,65 years and over,Male,All marital status,14.3
ILO Participation Rates  (%),2009Q4,65 years and over,Female,Single - never married,4.6
ILO Participation Rates  (%),2009Q4,65 years and over,Female,Married,5.4
ILO Participation Rates  (%),2009Q4,65 years and over,Female,Widowed,2.5
ILO Participation Rates  (%),2009Q4,65 years and over,Female,Separated or divorced,12.8
ILO Participation Rates  (%),2009Q4,65 years and over,Female,All marital status,4.3
ILO Participation Rates  (%),2010Q1,15 - 19 years,Both sexes,Single - never married,23.7
ILO Participation Rates  (%),2010Q1,15 - 19 years,Both sexes,Married,
ILO Participation Rates  (%),2010Q1,15 - 19 years,Both sexes,Widowed,
ILO Participation Rates  (%),2010Q1,15 - 19 years,Both sexes,Separated or divorced,
ILO Participation Rates  (%),2010Q1,15 - 19 years,Both sexes,All marital status,23.7
ILO Participation Rates  (%),2010Q1,15 - 19 years,Male,Single - never married,27.1
ILO Participation Rates  (%),2010Q1,15 - 19 years,Male,Married,
ILO Participation Rates  (%),2010Q1,15 - 19 years,Male,Widowed,
ILO Participation Rates  (%),2010Q1,15 - 19 years,Male,Separated or divorced,
ILO Participation Rates  (%),2010Q1,15 - 19 years,Male,All marital status,27.0
ILO Participation Rates  (%),2010Q1,15 - 19 years,Female,Single - never married,20.2
ILO Participation Rates  (%),2010Q1,15 - 19 years,Female,Married,
ILO Participation Rates  (%),2010Q1,15 - 19 years,Female,Widowed,
ILO Participation Rates  (%),2010Q1,15 - 19 years,Female,Separated or divorced,
ILO Participation Rates  (%),2010Q1,15 - 19 years,Female,All marital status,20.2
ILO Participation Rates  (%),2010Q1,15 years and over,Both sexes,Single - never married,65.5
ILO Participation Rates  (%),2010Q1,15 years and over,Both sexes,Married,64.7
ILO Participation Rates  (%),2010Q1,15 years and over,Both sexes,Widowed,13.8
ILO Participation Rates  (%),2010Q1,15 years and over,Both sexes,Separated or divorced,62.9
ILO Participation Rates  (%),2010Q1,15 years and over,Both sexes,All marital status,62.3
ILO Participation Rates  (%),2010Q1,15 years and over,Male,Single - never married,68.0
ILO Participation Rates  (%),2010Q1,15 years and over,Male,Married,74.4
ILO Participation Rates  (%),2010Q1,15 years and over,Male,Widowed,21.4
ILO Participation Rates  (%),2010Q1,15 years and over,Male,Separated or divorced,66.4
ILO Participation Rates  (%),2010Q1,15 years and over,Male,All marital status,70.0
ILO Participation Rates  (%),2010Q1,15 years and over,Female,Single - never married,62.9
ILO Participation Rates  (%),2010Q1,15 years and over,Female,Married,54.7
ILO Participation Rates  (%),2010Q1,15 years and over,Female,Widowed,11.5
ILO Participation Rates  (%),2010Q1,15 years and over,Female,Separated or divorced,60.8
ILO Participation Rates  (%),2010Q1,15 years and over,Female,All marital status,54.7
ILO Participation Rates  (%),2010Q1,20 - 24 years,Both sexes,Single - never married,77.0
ILO Participation Rates  (%),2010Q1,20 - 24 years,Both sexes,Married,70.4
ILO Participation Rates  (%),2010Q1,20 - 24 years,Both sexes,Widowed,
ILO Participation Rates  (%),2010Q1,20 - 24 years,Both sexes,Separated or divorced,
ILO Participation Rates  (%),2010Q1,20 - 24 years,Both sexes,All marital status,76.8
ILO Participation Rates  (%),2010Q1,20 - 24 years,Male,Single - never married,80.6
ILO Participation Rates  (%),2010Q1,20 - 24 years,Male,Married,87.8
ILO Participation Rates  (%),2010Q1,20 - 24 years,Male,Widowed,
ILO Participation Rates  (%),2010Q1,20 - 24 years,Male,Separated or divorced,
ILO Participation Rates  (%),2010Q1,20 - 24 years,Male,All marital status,80.7
ILO Participation Rates  (%),2010Q1,20 - 24 years,Female,Single - never married,73.5
ILO Participation Rates  (%),2010Q1,20 - 24 years,Female,Married,63.2
ILO Participation Rates  (%),2010Q1,20 - 24 years,Female,Widowed,
ILO Participation Rates  (%),2010Q1,20 - 24 years,Female,Separated or divorced,
ILO Participation Rates  (%),2010Q1,20 - 24 years,Female,All marital status,73.0
ILO Participation Rates  (%),2010Q1,25 - 34 years,Both sexes,Single - never married,84.2
ILO Participation Rates  (%),2010Q1,25 - 34 years,Both sexes,Married,82.7
ILO Participation Rates  (%),2010Q1,25 - 34 years,Both sexes,Widowed,
ILO Participation Rates  (%),2010Q1,25 - 34 years,Both sexes,Separated or divorced,70.8
ILO Participation Rates  (%),2010Q1,25 - 34 years,Both sexes,All marital status,83.5
ILO Participation Rates  (%),2010Q1,25 - 34 years,Male,Single - never married,86.9
ILO Participation Rates  (%),2010Q1,25 - 34 years,Male,Married,93.3
ILO Participation Rates  (%),2010Q1,25 - 34 years,Male,Widowed,
ILO Participation Rates  (%),2010Q1,25 - 34 years,Male,Separated or divorced,
ILO Participation Rates  (%),2010Q1,25 - 34 years,Male,All marital status,88.8
ILO Participation Rates  (%),2010Q1,25 - 34 years,Female,Single - never married,81.2
ILO Participation Rates  (%),2010Q1,25 - 34 years,Female,Married,74.1
ILO Participation Rates  (%),2010Q1,25 - 34 years,Female,Widowed,
ILO Participation Rates  (%),2010Q1,25 - 34 years,Female,Separated or divorced,68.2
ILO Participation Rates  (%),2010Q1,25 - 34 years,Female,All marital status,78.2
ILO Participation Rates  (%),2010Q1,35 - 44 years,Both sexes,Single - never married,78.6
ILO Participation Rates  (%),2010Q1,35 - 44 years,Both sexes,Married,80.9
ILO Participation Rates  (%),2010Q1,35 - 44 years,Both sexes,Widowed,58.1
ILO Participation Rates  (%),2010Q1,35 - 44 years,Both sexes,Separated or divorced,75.1
ILO Participation Rates  (%),2010Q1,35 - 44 years,Both sexes,All marital status,79.9
ILO Participation Rates  (%),2010Q1,35 - 44 years,Male,Single - never married,81.8
ILO Participation Rates  (%),2010Q1,35 - 44 years,Male,Married,93.8
ILO Participation Rates  (%),2010Q1,35 - 44 years,Male,Widowed,
ILO Participation Rates  (%),2010Q1,35 - 44 years,Male,Separated or divorced,89.3
ILO Participation Rates  (%),2010Q1,35 - 44 years,Male,All marital status,90.5
ILO Participation Rates  (%),2010Q1,35 - 44 years,Female,Single - never married,75.0
ILO Participation Rates  (%),2010Q1,35 - 44 years,Female,Married,67.3
ILO Participation Rates  (%),2010Q1,35 - 44 years,Female,Widowed,43.9
ILO Participation Rates  (%),2010Q1,35 - 44 years,Female,Separated or divorced,68.5
ILO Participation Rates  (%),2010Q1,35 - 44 years,Female,All marital status,69.1
ILO Participation Rates  (%),2010Q1,45 - 54 years,Both sexes,Single - never married,73.4
ILO Participation Rates  (%),2010Q1,45 - 54 years,Both sexes,Married,79.1
ILO Participation Rates  (%),2010Q1,45 - 54 years,Both sexes,Widowed,61.0
ILO Participation Rates  (%),2010Q1,45 - 54 years,Both sexes,Separated or divorced,75.3
ILO Participation Rates  (%),2010Q1,45 - 54 years,Both sexes,All marital status,77.6
ILO Participation Rates  (%),2010Q1,45 - 54 years,Male,Single - never married,68.6
ILO Participation Rates  (%),2010Q1,45 - 54 years,Male,Married,91.3
ILO Participation Rates  (%),2010Q1,45 - 54 years,Male,Widowed,63.7
ILO Participation Rates  (%),2010Q1,45 - 54 years,Male,Separated or divorced,79.6
ILO Participation Rates  (%),2010Q1,45 - 54 years,Male,All marital status,86.6
ILO Participation Rates  (%),2010Q1,45 - 54 years,Female,Single - never married,78.6
ILO Participation Rates  (%),2010Q1,45 - 54 years,Female,Married,66.1
ILO Participation Rates  (%),2010Q1,45 - 54 years,Female,Widowed,59.9
ILO Participation Rates  (%),2010Q1,45 - 54 years,Female,Separated or divorced,72.6
ILO Participation Rates  (%),2010Q1,45 - 54 years,Female,All marital status,68.5
ILO Participation Rates  (%),2010Q1,55 - 59 years,Both sexes,Single - never married,58.4
ILO Participation Rates  (%),2010Q1,55 - 59 years,Both sexes,Married,65.3
ILO Participation Rates  (%),2010Q1,55 - 59 years,Both sexes,Widowed,56.2
ILO Participation Rates  (%),2010Q1,55 - 59 years,Both sexes,Separated or divorced,60.2
ILO Participation Rates  (%),2010Q1,55 - 59 years,Both sexes,All marital status,63.5
ILO Participation Rates  (%),2010Q1,55 - 59 years,Male,Single - never married,56.5
ILO Participation Rates  (%),2010Q1,55 - 59 years,Male,Married,76.3
ILO Participation Rates  (%),2010Q1,55 - 59 years,Male,Widowed,55.4
ILO Participation Rates  (%),2010Q1,55 - 59 years,Male,Separated or divorced,61.7
ILO Participation Rates  (%),2010Q1,55 - 59 years,Male,All marital status,71.8
ILO Participation Rates  (%),2010Q1,55 - 59 years,Female,Single - never married,60.9
ILO Participation Rates  (%),2010Q1,55 - 59 years,Female,Married,53.5
ILO Participation Rates  (%),2010Q1,55 - 59 years,Female,Widowed,56.7
ILO Participation Rates  (%),2010Q1,55 - 59 years,Female,Separated or divorced,59.2
ILO Participation Rates  (%),2010Q1,55 - 59 years,Female,All marital status,55.2
ILO Participation Rates  (%),2010Q1,60 - 64 years,Both sexes,Single - never married,41.9
ILO Participation Rates  (%),2010Q1,60 - 64 years,Both sexes,Married,45.8
ILO Participation Rates  (%),2010Q1,60 - 64 years,Both sexes,Widowed,35.9
ILO Participation Rates  (%),2010Q1,60 - 64 years,Both sexes,Separated or divorced,42.1
ILO Participation Rates  (%),2010Q1,60 - 64 years,Both sexes,All marital status,44.3
ILO Participation Rates  (%),2010Q1,60 - 64 years,Male,Single - never married,43.4
ILO Participation Rates  (%),2010Q1,60 - 64 years,Male,Married,59.0
ILO Participation Rates  (%),2010Q1,60 - 64 years,Male,Widowed,41.9
ILO Participation Rates  (%),2010Q1,60 - 64 years,Male,Separated or divorced,44.6
ILO Participation Rates  (%),2010Q1,60 - 64 years,Male,All marital status,55.5
ILO Participation Rates  (%),2010Q1,60 - 64 years,Female,Single - never married,39.5
ILO Participation Rates  (%),2010Q1,60 - 64 years,Female,Married,31.0
ILO Participation Rates  (%),2010Q1,60 - 64 years,Female,Widowed,33.7
ILO Participation Rates  (%),2010Q1,60 - 64 years,Female,Separated or divorced,40.7
ILO Participation Rates  (%),2010Q1,60 - 64 years,Female,All marital status,32.9
ILO Participation Rates  (%),2010Q1,65 years and over,Both sexes,Single - never married,13.6
ILO Participation Rates  (%),2010Q1,65 years and over,Both sexes,Married,11.3
ILO Participation Rates  (%),2010Q1,65 years and over,Both sexes,Widowed,3.6
ILO Participation Rates  (%),2010Q1,65 years and over,Both sexes,Separated or divorced,14.0
ILO Participation Rates  (%),2010Q1,65 years and over,Both sexes,All marital status,9.4
ILO Participation Rates  (%),2010Q1,65 years and over,Male,Single - never married,18.8
ILO Participation Rates  (%),2010Q1,65 years and over,Male,Married,15.1
ILO Participation Rates  (%),2010Q1,65 years and over,Male,Widowed,7.1
ILO Participation Rates  (%),2010Q1,65 years and over,Male,Separated or divorced,15.6
ILO Participation Rates  (%),2010Q1,65 years and over,Male,All marital status,14.6
ILO Participation Rates  (%),2010Q1,65 years and over,Female,Single - never married,6.4
ILO Participation Rates  (%),2010Q1,65 years and over,Female,Married,6.7
ILO Participation Rates  (%),2010Q1,65 years and over,Female,Widowed,2.7
ILO Participation Rates  (%),2010Q1,65 years and over,Female,Separated or divorced,12.5
ILO Participation Rates  (%),2010Q1,65 years and over,Female,All marital status,5.1
ILO Participation Rates  (%),2010Q2,15 - 19 years,Both sexes,Single - never married,26.8
ILO Participation Rates  (%),2010Q2,15 - 19 years,Both sexes,Married,
ILO Participation Rates  (%),2010Q2,15 - 19 years,Both sexes,Widowed,
ILO Participation Rates  (%),2010Q2,15 - 19 years,Both sexes,Separated or divorced,
ILO Participation Rates  (%),2010Q2,15 - 19 years,Both sexes,All marital status,26.9
ILO Participation Rates  (%),2010Q2,15 - 19 years,Male,Single - never married,30.2
ILO Participation Rates  (%),2010Q2,15 - 19 years,Male,Married,
ILO Participation Rates  (%),2010Q2,15 - 19 years,Male,Widowed,
ILO Participation Rates  (%),2010Q2,15 - 19 years,Male,Separated or divorced,
ILO Participation Rates  (%),2010Q2,15 - 19 years,Male,All marital status,30.2
ILO Participation Rates  (%),2010Q2,15 - 19 years,Female,Single - never married,23.2
ILO Participation Rates  (%),2010Q2,15 - 19 years,Female,Married,
ILO Participation Rates  (%),2010Q2,15 - 19 years,Female,Widowed,
ILO Participation Rates  (%),2010Q2,15 - 19 years,Female,Separated or divorced,
ILO Participation Rates  (%),2010Q2,15 - 19 years,Female,All marital status,23.4
ILO Participation Rates  (%),2010Q2,15 years and over,Both sexes,Single - never married,66.8
ILO Participation Rates  (%),2010Q2,15 years and over,Both sexes,Married,65.2
ILO Participation Rates  (%),2010Q2,15 years and over,Both sexes,Widowed,14.2
ILO Participation Rates  (%),2010Q2,15 years and over,Both sexes,Separated or divorced,63.3
ILO Participation Rates  (%),2010Q2,15 years and over,Both sexes,All marital status,63.0
ILO Participation Rates  (%),2010Q2,15 years and over,Male,Single - never married,69.2
ILO Participation Rates  (%),2010Q2,15 years and over,Male,Married,74.4
ILO Participation Rates  (%),2010Q2,15 years and over,Male,Widowed,22.1
ILO Participation Rates  (%),2010Q2,15 years and over,Male,Separated or divorced,67.6
ILO Participation Rates  (%),2010Q2,15 years and over,Male,All marital status,70.7
ILO Participation Rates  (%),2010Q2,15 years and over,Female,Single - never married,64.2
ILO Participation Rates  (%),2010Q2,15 years and over,Female,Married,55.7
ILO Participation Rates  (%),2010Q2,15 years and over,Female,Widowed,11.9
ILO Participation Rates  (%),2010Q2,15 years and over,Female,Separated or divorced,60.8
ILO Participation Rates  (%),2010Q2,15 years and over,Female,All marital status,55.6
ILO Participation Rates  (%),2010Q2,20 - 24 years,Both sexes,Single - never married,80.3
ILO Participation Rates  (%),2010Q2,20 - 24 years,Both sexes,Married,74.2
ILO Participation Rates  (%),2010Q2,20 - 24 years,Both sexes,Widowed,
ILO Participation Rates  (%),2010Q2,20 - 24 years,Both sexes,Separated or divorced,
ILO Participation Rates  (%),2010Q2,20 - 24 years,Both sexes,All marital status,80.0
ILO Participation Rates  (%),2010Q2,20 - 24 years,Male,Single - never married,82.7
ILO Participation Rates  (%),2010Q2,20 - 24 years,Male,Married,89.0
ILO Participation Rates  (%),2010Q2,20 - 24 years,Male,Widowed,
ILO Participation Rates  (%),2010Q2,20 - 24 years,Male,Separated or divorced,
ILO Participation Rates  (%),2010Q2,20 - 24 years,Male,All marital status,82.9
ILO Participation Rates  (%),2010Q2,20 - 24 years,Female,Single - never married,77.9
ILO Participation Rates  (%),2010Q2,20 - 24 years,Female,Married,67.6
ILO Participation Rates  (%),2010Q2,20 - 24 years,Female,Widowed,
ILO Participation Rates  (%),2010Q2,20 - 24 years,Female,Separated or divorced,
ILO Participation Rates  (%),2010Q2,20 - 24 years,Female,All marital status,77.3
ILO Participation Rates  (%),2010Q2,25 - 34 years,Both sexes,Single - never married,84.8
ILO Participation Rates  (%),2010Q2,25 - 34 years,Both sexes,Married,82.9
ILO Participation Rates  (%),2010Q2,25 - 34 years,Both sexes,Widowed,
ILO Participation Rates  (%),2010Q2,25 - 34 years,Both sexes,Separated or divorced,77.4
ILO Participation Rates  (%),2010Q2,25 - 34 years,Both sexes,All marital status,84.0
ILO Participation Rates  (%),2010Q2,25 - 34 years,Male,Single - never married,87.9
ILO Participation Rates  (%),2010Q2,25 - 34 years,Male,Married,94.3
ILO Participation Rates  (%),2010Q2,25 - 34 years,Male,Widowed,
ILO Participation Rates  (%),2010Q2,25 - 34 years,Male,Separated or divorced,84.1
ILO Participation Rates  (%),2010Q2,25 - 34 years,Male,All marital status,89.9
ILO Participation Rates  (%),2010Q2,25 - 34 years,Female,Single - never married,81.3
ILO Participation Rates  (%),2010Q2,25 - 34 years,Female,Married,73.7
ILO Participation Rates  (%),2010Q2,25 - 34 years,Female,Widowed,
ILO Participation Rates  (%),2010Q2,25 - 34 years,Female,Separated or divorced,74.0
ILO Participation Rates  (%),2010Q2,25 - 34 years,Female,All marital status,78.3
ILO Participation Rates  (%),2010Q2,35 - 44 years,Both sexes,Single - never married,79.0
ILO Participation Rates  (%),2010Q2,35 - 44 years,Both sexes,Married,81.5
ILO Participation Rates  (%),2010Q2,35 - 44 years,Both sexes,Widowed,52.9
ILO Participation Rates  (%),2010Q2,35 - 44 years,Both sexes,Separated or divorced,75.1
ILO Participation Rates  (%),2010Q2,35 - 44 years,Both sexes,All marital status,80.4
ILO Participation Rates  (%),2010Q2,35 - 44 years,Male,Single - never married,82.0
ILO Participation Rates  (%),2010Q2,35 - 44 years,Male,Married,94.5
ILO Participation Rates  (%),2010Q2,35 - 44 years,Male,Widowed,
ILO Participation Rates  (%),2010Q2,35 - 44 years,Male,Separated or divorced,91.0
ILO Participation Rates  (%),2010Q2,35 - 44 years,Male,All marital status,91.2
ILO Participation Rates  (%),2010Q2,35 - 44 years,Female,Single - never married,75.7
ILO Participation Rates  (%),2010Q2,35 - 44 years,Female,Married,67.7
ILO Participation Rates  (%),2010Q2,35 - 44 years,Female,Widowed,45.1
ILO Participation Rates  (%),2010Q2,35 - 44 years,Female,Separated or divorced,67.6
ILO Participation Rates  (%),2010Q2,35 - 44 years,Female,All marital status,69.4
ILO Participation Rates  (%),2010Q2,45 - 54 years,Both sexes,Single - never married,73.5
ILO Participation Rates  (%),2010Q2,45 - 54 years,Both sexes,Married,78.8
ILO Participation Rates  (%),2010Q2,45 - 54 years,Both sexes,Widowed,65.7
ILO Participation Rates  (%),2010Q2,45 - 54 years,Both sexes,Separated or divorced,76.0
ILO Participation Rates  (%),2010Q2,45 - 54 years,Both sexes,All marital status,77.5
ILO Participation Rates  (%),2010Q2,45 - 54 years,Male,Single - never married,70.9
ILO Participation Rates  (%),2010Q2,45 - 54 years,Male,Married,90.4
ILO Participation Rates  (%),2010Q2,45 - 54 years,Male,Widowed,69.9
ILO Participation Rates  (%),2010Q2,45 - 54 years,Male,Separated or divorced,78.5
ILO Participation Rates  (%),2010Q2,45 - 54 years,Male,All marital status,86.2
ILO Participation Rates  (%),2010Q2,45 - 54 years,Female,Single - never married,76.4
ILO Participation Rates  (%),2010Q2,45 - 54 years,Female,Married,66.7
ILO Participation Rates  (%),2010Q2,45 - 54 years,Female,Widowed,64.1
ILO Participation Rates  (%),2010Q2,45 - 54 years,Female,Separated or divorced,74.5
ILO Participation Rates  (%),2010Q2,45 - 54 years,Female,All marital status,68.9
ILO Participation Rates  (%),2010Q2,55 - 59 years,Both sexes,Single - never married,60.0
ILO Participation Rates  (%),2010Q2,55 - 59 years,Both sexes,Married,67.2
ILO Participation Rates  (%),2010Q2,55 - 59 years,Both sexes,Widowed,60.5
ILO Participation Rates  (%),2010Q2,55 - 59 years,Both sexes,Separated or divorced,60.3
ILO Participation Rates  (%),2010Q2,55 - 59 years,Both sexes,All marital status,65.4
ILO Participation Rates  (%),2010Q2,55 - 59 years,Male,Single - never married,58.9
ILO Participation Rates  (%),2010Q2,55 - 59 years,Male,Married,77.0
ILO Participation Rates  (%),2010Q2,55 - 59 years,Male,Widowed,60.9
ILO Participation Rates  (%),2010Q2,55 - 59 years,Male,Separated or divorced,67.0
ILO Participation Rates  (%),2010Q2,55 - 59 years,Male,All marital status,73.2
ILO Participation Rates  (%),2010Q2,55 - 59 years,Female,Single - never married,61.5
ILO Participation Rates  (%),2010Q2,55 - 59 years,Female,Married,56.8
ILO Participation Rates  (%),2010Q2,55 - 59 years,Female,Widowed,60.3
ILO Participation Rates  (%),2010Q2,55 - 59 years,Female,Separated or divorced,56.6
ILO Participation Rates  (%),2010Q2,55 - 59 years,Female,All marital status,57.5
ILO Participation Rates  (%),2010Q2,60 - 64 years,Both sexes,Single - never married,41.0
ILO Participation Rates  (%),2010Q2,60 - 64 years,Both sexes,Married,46.0
ILO Participation Rates  (%),2010Q2,60 - 64 years,Both sexes,Widowed,34.4
ILO Participation Rates  (%),2010Q2,60 - 64 years,Both sexes,Separated or divorced,44.5
ILO Participation Rates  (%),2010Q2,60 - 64 years,Both sexes,All marital status,44.4
ILO Participation Rates  (%),2010Q2,60 - 64 years,Male,Single - never married,40.2
ILO Participation Rates  (%),2010Q2,60 - 64 years,Male,Married,57.9
ILO Participation Rates  (%),2010Q2,60 - 64 years,Male,Widowed,38.9
ILO Participation Rates  (%),2010Q2,60 - 64 years,Male,Separated or divorced,48.5
ILO Participation Rates  (%),2010Q2,60 - 64 years,Male,All marital status,54.4
ILO Participation Rates  (%),2010Q2,60 - 64 years,Female,Single - never married,42.1
ILO Participation Rates  (%),2010Q2,60 - 64 years,Female,Married,32.6
ILO Participation Rates  (%),2010Q2,60 - 64 years,Female,Widowed,32.5
ILO Participation Rates  (%),2010Q2,60 - 64 years,Female,Separated or divorced,42.3
