Statistic,Quarter,Sex,ILO Economic Status,value
Persons aged 15 years and over,2010Q3,Female,In employment,891.6
Persons aged 15 years and over,2010Q3,Female,In employment full-time,583.2
Persons aged 15 years and over,2010Q3,Female,In employment part-time,308.4
Persons aged 15 years and over,2010Q3,Female,In employment part-time - not underemployed,244.7
Persons aged 15 years and over,2010Q3,Female,In employment part-time - underemployed,63.7
Persons aged 15 years and over,2010Q3,Female,Unemployed,122.2
Persons aged 15 years and over,2010Q3,Female,Unemployed seeking full-time work/future job-starter,97.6
Persons aged 15 years and over,2010Q3,Female,Unemployed seeking part-time work,22.9
Persons aged 15 years and over,2010Q3,Female,Not in labour force,813.3
Persons aged 15 years and over,2010Q3,Female,Potential additional labour force,17.5
Persons aged 15 years and over,2010Q3,Female,Others not in labour force,795.8
Persons aged 15 years and over,2010Q3,Female,Unemployed seeking work as self-employed,
Persons aged 15 years and over,2010Q4,Both sexes,All ILO economic status,3599.0
Persons aged 15 years and over,2010Q4,Both sexes,In labour force,2232.3
Persons aged 15 years and over,2010Q4,Both sexes,In employment,1896.6
Persons aged 15 years and over,2010Q4,Both sexes,In employment full-time,1450.0
Persons aged 15 years and over,2010Q4,Both sexes,In employment part-time,446.5
Persons aged 15 years and over,2010Q4,Both sexes,In employment part-time - not underemployed,328.3
Persons aged 15 years and over,2010Q4,Both sexes,In employment part-time - underemployed,118.2
Persons aged 15 years and over,2010Q4,Both sexes,Unemployed,335.7
Persons aged 15 years and over,2010Q4,Both sexes,Unemployed seeking full-time work/future job-starter,292.1
Persons aged 15 years and over,2010Q4,Both sexes,Unemployed seeking part-time work,28.9
Persons aged 15 years and over,2010Q4,Both sexes,Not in labour force,1366.8
Persons aged 15 years and over,2010Q4,Both sexes,Potential additional labour force,52.6
Persons aged 15 years and over,2010Q4,Both sexes,Others not in labour force,1314.2
Persons aged 15 years and over,2010Q4,Both sexes,Unemployed seeking work as self-employed,14.7
Persons aged 15 years and over,2010Q4,Male,All ILO economic status,1771.4
Persons aged 15 years and over,2010Q4,Male,In labour force,1229.9
Persons aged 15 years and over,2010Q4,Male,In employment,1014.9
Persons aged 15 years and over,2010Q4,Male,In employment full-time,882.1
Persons aged 15 years and over,2010Q4,Male,In employment part-time,132.8
Persons aged 15 years and over,2010Q4,Male,In employment part-time - not underemployed,81.6
Persons aged 15 years and over,2010Q4,Male,In employment part-time - underemployed,51.2
Persons aged 15 years and over,2010Q4,Male,Unemployed,215.0
Persons aged 15 years and over,2010Q4,Male,Unemployed seeking full-time work/future job-starter,197.5
Persons aged 15 years and over,2010Q4,Male,Unemployed seeking part-time work,5.0
Persons aged 15 years and over,2010Q4,Male,Not in labour force,541.6
Persons aged 15 years and over,2010Q4,Male,Potential additional labour force,34.5
Persons aged 15 years and over,2010Q4,Male,Others not in labour force,507.1
Persons aged 15 years and over,2010Q4,Male,Unemployed seeking work as self-employed,12.5
Persons aged 15 years and over,2010Q4,Female,All ILO economic status,1827.6
Persons aged 15 years and over,2010Q4,Female,In labour force,1002.4
Persons aged 15 years and over,2010Q4,Female,In employment,881.7
Persons aged 15 years and over,2010Q4,Female,In employment full-time,567.9
Persons aged 15 years and over,2010Q4,Female,In employment part-time,313.8
Persons aged 15 years and over,2010Q4,Female,In employment part-time - not underemployed,246.8
Persons aged 15 years and over,2010Q4,Female,In employment part-time - underemployed,67.0
Persons aged 15 years and over,2010Q4,Female,Unemployed,120.7
Persons aged 15 years and over,2010Q4,Female,Unemployed seeking full-time work/future job-starter,94.6
Persons aged 15 years and over,2010Q4,Female,Unemployed seeking part-time work,23.9
Persons aged 15 years and over,2010Q4,Female,Not in labour force,825.2
Persons aged 15 years and over,2010Q4,Female,Potential additional labour force,18.1
Persons aged 15 years and over,2010Q4,Female,Others not in labour force,807.1
Persons aged 15 years and over,2010Q4,Female,Unemployed seeking work as self-employed,
Persons aged 15 years and over,2011Q1,Both sexes,All ILO economic status,3599.1
Persons aged 15 years and over,2011Q1,Both sexes,In labour force,2209.2
Persons aged 15 years and over,2011Q1,Both sexes,In employment,1878.1
Persons aged 15 years and over,2011Q1,Both sexes,In employment full-time,1426.1
Persons aged 15 years and over,2011Q1,Both sexes,In employment part-time,451.9
Persons aged 15 years and over,2011Q1,Both sexes,In employment part-time - not underemployed,323.8
Persons aged 15 years and over,2011Q1,Both sexes,In employment part-time - underemployed,128.2
Persons aged 15 years and over,2011Q1,Both sexes,Unemployed,331.1
Persons aged 15 years and over,2011Q1,Both sexes,Unemployed seeking full-time work/future job-starter,282.0
Persons aged 15 years and over,2011Q1,Both sexes,Unemployed seeking part-time work,33.8
Persons aged 15 years and over,2011Q1,Both sexes,Not in labour force,1389.9
Persons aged 15 years and over,2011Q1,Both sexes,Potential additional labour force,53.5
Persons aged 15 years and over,2011Q1,Both sexes,Others not in labour force,1336.4
Persons aged 15 years and over,2011Q1,Both sexes,Unemployed seeking work as self-employed,15.3
Persons aged 15 years and over,2011Q1,Male,All ILO economic status,1771.3
Persons aged 15 years and over,2011Q1,Male,In labour force,1216.3
Persons aged 15 years and over,2011Q1,Male,In employment,1003.0
Persons aged 15 years and over,2011Q1,Male,In employment full-time,871.4
Persons aged 15 years and over,2011Q1,Male,In employment part-time,131.5
Persons aged 15 years and over,2011Q1,Male,In employment part-time - not underemployed,78.4
Persons aged 15 years and over,2011Q1,Male,In employment part-time - underemployed,53.2
Persons aged 15 years and over,2011Q1,Male,Unemployed,213.4
Persons aged 15 years and over,2011Q1,Male,Unemployed seeking full-time work/future job-starter,193.5
Persons aged 15 years and over,2011Q1,Male,Unemployed seeking part-time work,6.6
Persons aged 15 years and over,2011Q1,Male,Not in labour force,555.0
Persons aged 15 years and over,2011Q1,Male,Potential additional labour force,34.6
Persons aged 15 years and over,2011Q1,Male,Others not in labour force,520.4
Persons aged 15 years and over,2011Q1,Male,Unemployed seeking work as self-employed,13.3
Persons aged 15 years and over,2011Q1,Female,All ILO economic status,1827.8
Persons aged 15 years and over,2011Q1,Female,In labour force,992.9
Persons aged 15 years and over,2011Q1,Female,In employment,875.1
Persons aged 15 years and over,2011Q1,Female,In employment full-time,554.7
Persons aged 15 years and over,2011Q1,Female,In employment part-time,320.4
Persons aged 15 years and over,2011Q1,Female,In employment part-time - not underemployed,245.4
Persons aged 15 years and over,2011Q1,Female,In employment part-time - underemployed,75.0
Persons aged 15 years and over,2011Q1,Female,Unemployed,117.8
Persons aged 15 years and over,2011Q1,Female,Unemployed seeking full-time work/future job-starter,88.5
Persons aged 15 years and over,2011Q1,Female,Unemployed seeking part-time work,27.2
Persons aged 15 years and over,2011Q1,Female,Not in labour force,834.9
Persons aged 15 years and over,2011Q1,Female,Potential additional labour force,18.8
Persons aged 15 years and over,2011Q1,Female,Others not in labour force,816.1
Persons aged 15 years and over,2011Q1,Female,Unemployed seeking work as self-employed,
Persons aged 15 years and over,2011Q2,Both sexes,All ILO economic status,3599.1
Persons aged 15 years and over,2011Q2,Both sexes,In labour force,2242.2
Persons aged 15 years and over,2011Q2,Both sexes,In employment,1899.6
Persons aged 15 years and over,2011Q2,Both sexes,In employment full-time,1450.4
Persons aged 15 years and over,2011Q2,Both sexes,In employment part-time,449.2
Persons aged 15 years and over,2011Q2,Both sexes,In employment part-time - not underemployed,309.3
Persons aged 15 years and over,2011Q2,Both sexes,In employment part-time - underemployed,139.8
Persons aged 15 years and over,2011Q2,Both sexes,Unemployed,342.6
Persons aged 15 years and over,2011Q2,Both sexes,Unemployed seeking full-time work/future job-starter,296.1
Persons aged 15 years and over,2011Q2,Both sexes,Unemployed seeking part-time work,32.3
Persons aged 15 years and over,2011Q2,Both sexes,Not in labour force,1356.9
Persons aged 15 years and over,2011Q2,Both sexes,Potential additional labour force,55.4
Persons aged 15 years and over,2011Q2,Both sexes,Others not in labour force,1301.5
Persons aged 15 years and over,2011Q2,Both sexes,Unemployed seeking work as self-employed,14.2
Persons aged 15 years and over,2011Q2,Male,All ILO economic status,1771.0
Persons aged 15 years and over,2011Q2,Male,In labour force,1230.5
Persons aged 15 years and over,2011Q2,Male,In employment,1012.8
Persons aged 15 years and over,2011Q2,Male,In employment full-time,876.9
Persons aged 15 years and over,2011Q2,Male,In employment part-time,135.9
Persons aged 15 years and over,2011Q2,Male,In employment part-time - not underemployed,75.4
Persons aged 15 years and over,2011Q2,Male,In employment part-time - underemployed,60.5
Persons aged 15 years and over,2011Q2,Male,Unemployed,217.7
Persons aged 15 years and over,2011Q2,Male,Unemployed seeking full-time work/future job-starter,199.4
Persons aged 15 years and over,2011Q2,Male,Unemployed seeking part-time work,6.3
Persons aged 15 years and over,2011Q2,Male,Not in labour force,540.5
Persons aged 15 years and over,2011Q2,Male,Potential additional labour force,34.7
Persons aged 15 years and over,2011Q2,Male,Others not in labour force,505.8
Persons aged 15 years and over,2011Q2,Male,Unemployed seeking work as self-employed,11.9
Persons aged 15 years and over,2011Q2,Female,All ILO economic status,1828.1
Persons aged 15 years and over,2011Q2,Female,In labour force,1011.7
Persons aged 15 years and over,2011Q2,Female,In employment,886.7
Persons aged 15 years and over,2011Q2,Female,In employment full-time,573.5
Persons aged 15 years and over,2011Q2,Female,In employment part-time,313.2
Persons aged 15 years and over,2011Q2,Female,In employment part-time - not underemployed,233.9
Persons aged 15 years and over,2011Q2,Female,In employment part-time - underemployed,79.3
Persons aged 15 years and over,2011Q2,Female,Unemployed,124.9
Persons aged 15 years and over,2011Q2,Female,Unemployed seeking full-time work/future job-starter,96.7
Persons aged 15 years and over,2011Q2,Female,Unemployed seeking part-time work,26.0
Persons aged 15 years and over,2011Q2,Female,Not in labour force,816.4
Persons aged 15 years and over,2011Q2,Female,Potential additional labour force,20.7
Persons aged 15 years and over,2011Q2,Female,Others not in labour force,795.7
Persons aged 15 years and over,2011Q2,Female,Unemployed seeking work as self-employed,
Persons aged 15 years and over,2011Q3,Both sexes,All ILO economic status,3600.4
Persons aged 15 years and over,2011Q3,Both sexes,In labour force,2241.9
Persons aged 15 years and over,2011Q3,Both sexes,In employment,1885.7
Persons aged 15 years and over,2011Q3,Both sexes,In employment full-time,1438.8
Persons aged 15 years and over,2011Q3,Both sexes,In employment part-time,446.8
Persons aged 15 years and over,2011Q3,Both sexes,In employment part-time - not underemployed,303.7
Persons aged 15 years and over,2011Q3,Both sexes,In employment part-time - underemployed,143.2
Persons aged 15 years and over,2011Q3,Both sexes,Unemployed,356.2
Persons aged 15 years and over,2011Q3,Both sexes,Unemployed seeking full-time work/future job-starter,301.1
Persons aged 15 years and over,2011Q3,Both sexes,Unemployed seeking part-time work,41.3
Persons aged 15 years and over,2011Q3,Both sexes,Not in labour force,1358.5
Persons aged 15 years and over,2011Q3,Both sexes,Potential additional labour force,56.5
Persons aged 15 years and over,2011Q3,Both sexes,Others not in labour force,1302.0
Persons aged 15 years and over,2011Q3,Both sexes,Unemployed seeking work as self-employed,13.7
Persons aged 15 years and over,2011Q3,Male,All ILO economic status,1770.6
Persons aged 15 years and over,2011Q3,Male,In labour force,1231.6
Persons aged 15 years and over,2011Q3,Male,In employment,1011.2
Persons aged 15 years and over,2011Q3,Male,In employment full-time,870.5
Persons aged 15 years and over,2011Q3,Male,In employment part-time,140.7
Persons aged 15 years and over,2011Q3,Male,In employment part-time - not underemployed,76.0
Persons aged 15 years and over,2011Q3,Male,In employment part-time - underemployed,64.7
Persons aged 15 years and over,2011Q3,Male,Unemployed,220.4
Persons aged 15 years and over,2011Q3,Male,Unemployed seeking full-time work/future job-starter,200.0
Persons aged 15 years and over,2011Q3,Male,Unemployed seeking part-time work,8.8
Persons aged 15 years and over,2011Q3,Male,Not in labour force,539.0
Persons aged 15 years and over,2011Q3,Male,Potential additional labour force,34.8
Persons aged 15 years and over,2011Q3,Male,Others not in labour force,504.2
Persons aged 15 years and over,2011Q3,Male,Unemployed seeking work as self-employed,11.6
Persons aged 15 years and over,2011Q3,Female,All ILO economic status,1829.8
Persons aged 15 years and over,2011Q3,Female,In labour force,1010.3
Persons aged 15 years and over,2011Q3,Female,In employment,874.5
Persons aged 15 years and over,2011Q3,Female,In employment full-time,568.4
Persons aged 15 years and over,2011Q3,Female,In employment part-time,306.1
Persons aged 15 years and over,2011Q3,Female,In employment part-time - not underemployed,227.7
Persons aged 15 years and over,2011Q3,Female,In employment part-time - underemployed,78.4
Persons aged 15 years and over,2011Q3,Female,Unemployed,135.8
Persons aged 15 years and over,2011Q3,Female,Unemployed seeking full-time work/future job-starter,101.1
Persons aged 15 years and over,2011Q3,Female,Unemployed seeking part-time work,32.6
Persons aged 15 years and over,2011Q3,Female,Not in labour force,819.6
Persons aged 15 years and over,2011Q3,Female,Potential additional labour force,21.7
Persons aged 15 years and over,2011Q3,Female,Others not in labour force,797.9
Persons aged 15 years and over,2011Q3,Female,Unemployed seeking work as self-employed,
Persons aged 15 years and over,2011Q4,Both sexes,All ILO economic status,3602.4
Persons aged 15 years and over,2011Q4,Both sexes,In labour force,2226.5
Persons aged 15 years and over,2011Q4,Both sexes,In employment,1886.4
Persons aged 15 years and over,2011Q4,Both sexes,In employment full-time,1438.4
Persons aged 15 years and over,2011Q4,Both sexes,In employment part-time,447.9
Persons aged 15 years and over,2011Q4,Both sexes,In employment part-time - not underemployed,300.8
Persons aged 15 years and over,2011Q4,Both sexes,In employment part-time - underemployed,147.2
Persons aged 15 years and over,2011Q4,Both sexes,Unemployed,340.1
Persons aged 15 years and over,2011Q4,Both sexes,Unemployed seeking full-time work/future job-starter,289.1
Persons aged 15 years and over,2011Q4,Both sexes,Unemployed seeking part-time work,37.8
Persons aged 15 years and over,2011Q4,Both sexes,Not in labour force,1375.9
Persons aged 15 years and over,2011Q4,Both sexes,Potential additional labour force,54.3
Persons aged 15 years and over,2011Q4,Both sexes,Others not in labour force,1321.6
Persons aged 15 years and over,2011Q4,Both sexes,Unemployed seeking work as self-employed,13.2
Persons aged 15 years and over,2011Q4,Male,All ILO economic status,1770.5
Persons aged 15 years and over,2011Q4,Male,In labour force,1224.4
Persons aged 15 years and over,2011Q4,Male,In employment,1008.6
Persons aged 15 years and over,2011Q4,Male,In employment full-time,867.3
Persons aged 15 years and over,2011Q4,Male,In employment part-time,141.2
Persons aged 15 years and over,2011Q4,Male,In employment part-time - not underemployed,74.9
Persons aged 15 years and over,2011Q4,Male,In employment part-time - underemployed,66.3
Persons aged 15 years and over,2011Q4,Male,Unemployed,215.8
Persons aged 15 years and over,2011Q4,Male,Unemployed seeking full-time work/future job-starter,196.5
Persons aged 15 years and over,2011Q4,Male,Unemployed seeking part-time work,8.3
Persons aged 15 years and over,2011Q4,Male,Not in labour force,546.1
Persons aged 15 years and over,2011Q4,Male,Potential additional labour force,35.9
Persons aged 15 years and over,2011Q4,Male,Others not in labour force,510.2
Persons aged 15 years and over,2011Q4,Male,Unemployed seeking work as self-employed,10.9
Persons aged 15 years and over,2011Q4,Female,All ILO economic status,1831.9
Persons aged 15 years and over,2011Q4,Female,In labour force,1002.1
Persons aged 15 years and over,2011Q4,Female,In employment,877.8
Persons aged 15 years and over,2011Q4,Female,In employment full-time,571.1
Persons aged 15 years and over,2011Q4,Female,In employment part-time,306.7
Persons aged 15 years and over,2011Q4,Female,In employment part-time - not underemployed,225.9
Persons aged 15 years and over,2011Q4,Female,In employment part-time - underemployed,80.8
Persons aged 15 years and over,2011Q4,Female,Unemployed,124.3
Persons aged 15 years and over,2011Q4,Female,Unemployed seeking full-time work/future job-starter,92.5
Persons aged 15 years and over,2011Q4,Female,Unemployed seeking part-time work,29.5
Persons aged 15 years and over,2011Q4,Female,Not in labour force,829.8
Persons aged 15 years and over,2011Q4,Female,Potential additional labour force,18.4
Persons aged 15 years and over,2011Q4,Female,Others not in labour force,811.4
Persons aged 15 years and over,2011Q4,Female,Unemployed seeking work as self-employed,
Persons aged 15 years and over,2012Q1,Both sexes,All ILO economic status,3603.4
Persons aged 15 years and over,2012Q1,Both sexes,In labour force,2210.7
Persons aged 15 years and over,2012Q1,Both sexes,In employment,1862.6
Persons aged 15 years and over,2012Q1,Both sexes,In employment full-time,1421.3
Persons aged 15 years and over,2012Q1,Both sexes,In employment part-time,441.3
Persons aged 15 years and over,2012Q1,Both sexes,In employment part-time - not underemployed,301.2
Persons aged 15 years and over,2012Q1,Both sexes,In employment part-time - underemployed,140.1
Persons aged 15 years and over,2012Q1,Both sexes,Unemployed,348.1
Persons aged 15 years and over,2012Q1,Both sexes,Unemployed seeking full-time work/future job-starter,295.6
Persons aged 15 years and over,2012Q1,Both sexes,Unemployed seeking part-time work,38.5
Persons aged 15 years and over,2012Q1,Both sexes,Not in labour force,1392.8
Persons aged 15 years and over,2012Q1,Both sexes,Potential additional labour force,51.8
Persons aged 15 years and over,2012Q1,Both sexes,Others not in labour force,1341.0
Persons aged 15 years and over,2012Q1,Both sexes,Unemployed seeking work as self-employed,14.0
Persons aged 15 years and over,2012Q1,Male,All ILO economic status,1769.8
Persons aged 15 years and over,2012Q1,Male,In labour force,1209.7
Persons aged 15 years and over,2012Q1,Male,In employment,991.3
Persons aged 15 years and over,2012Q1,Male,In employment full-time,854.9
Persons aged 15 years and over,2012Q1,Male,In employment part-time,136.4
Persons aged 15 years and over,2012Q1,Male,In employment part-time - not underemployed,74.6
Persons aged 15 years and over,2012Q1,Male,In employment part-time - underemployed,61.8
Persons aged 15 years and over,2012Q1,Male,Unemployed,218.4
Persons aged 15 years and over,2012Q1,Male,Unemployed seeking full-time work/future job-starter,200.2
Persons aged 15 years and over,2012Q1,Male,Unemployed seeking part-time work,7.4
Persons aged 15 years and over,2012Q1,Male,Not in labour force,560.2
Persons aged 15 years and over,2012Q1,Male,Potential additional labour force,32.8
Persons aged 15 years and over,2012Q1,Male,Others not in labour force,527.4
Persons aged 15 years and over,2012Q1,Male,Unemployed seeking work as self-employed,10.8
Persons aged 15 years and over,2012Q1,Female,All ILO economic status,1833.6
Persons aged 15 years and over,2012Q1,Female,In labour force,1001.0
Persons aged 15 years and over,2012Q1,Female,In employment,871.3
Persons aged 15 years and over,2012Q1,Female,In employment full-time,566.4
Persons aged 15 years and over,2012Q1,Female,In employment part-time,304.9
Persons aged 15 years and over,2012Q1,Female,In employment part-time - not underemployed,226.6
Persons aged 15 years and over,2012Q1,Female,In employment part-time - underemployed,78.3
Persons aged 15 years and over,2012Q1,Female,Unemployed,129.7
Persons aged 15 years and over,2012Q1,Female,Unemployed seeking full-time work/future job-starter,95.4
Persons aged 15 years and over,2012Q1,Female,Unemployed seeking part-time work,31.2
Persons aged 15 years and over,2012Q1,Female,Not in labour force,832.6
Persons aged 15 years and over,2012Q1,Female,Potential additional labour force,19.0
Persons aged 15 years and over,2012Q1,Female,Others not in labour force,813.7
Persons aged 15 years and over,2012Q1,Female,Unemployed seeking work as self-employed,
Persons aged 15 years and over,2012Q2,Both sexes,All ILO economic status,3605.7
Persons aged 15 years and over,2012Q2,Both sexes,In labour force,2229.0
Persons aged 15 years and over,2012Q2,Both sexes,In employment,1876.8
Persons aged 15 years and over,2012Q2,Both sexes,In employment full-time,1424.3
Persons aged 15 years and over,2012Q2,Both sexes,In employment part-time,452.5
Persons aged 15 years and over,2012Q2,Both sexes,In employment part-time - not underemployed,293.3
Persons aged 15 years and over,2012Q2,Both sexes,In employment part-time - underemployed,159.3
Persons aged 15 years and over,2012Q2,Both sexes,Unemployed,352.2
Persons aged 15 years and over,2012Q2,Both sexes,Unemployed seeking full-time work/future job-starter,302.0
Persons aged 15 years and over,2012Q2,Both sexes,Unemployed seeking part-time work,35.4
Persons aged 15 years and over,2012Q2,Both sexes,Not in labour force,1376.7
Persons aged 15 years and over,2012Q2,Both sexes,Potential additional labour force,56.5
Persons aged 15 years and over,2012Q2,Both sexes,Others not in labour force,1320.2
Persons aged 15 years and over,2012Q2,Both sexes,Unemployed seeking work as self-employed,14.8
Persons aged 15 years and over,2012Q2,Male,All ILO economic status,1769.6
Persons aged 15 years and over,2012Q2,Male,In labour force,1221.2
Persons aged 15 years and over,2012Q2,Male,In employment,998.4
Persons aged 15 years and over,2012Q2,Male,In employment full-time,853.0
Persons aged 15 years and over,2012Q2,Male,In employment part-time,145.4
Persons aged 15 years and over,2012Q2,Male,In employment part-time - not underemployed,75.2
Persons aged 15 years and over,2012Q2,Male,In employment part-time - underemployed,70.2
Persons aged 15 years and over,2012Q2,Male,Unemployed,222.7
Persons aged 15 years and over,2012Q2,Male,Unemployed seeking full-time work/future job-starter,203.1
Persons aged 15 years and over,2012Q2,Male,Unemployed seeking part-time work,7.8
Persons aged 15 years and over,2012Q2,Male,Not in labour force,548.5
Persons aged 15 years and over,2012Q2,Male,Potential additional labour force,31.7
Persons aged 15 years and over,2012Q2,Male,Others not in labour force,516.8
Persons aged 15 years and over,2012Q2,Male,Unemployed seeking work as self-employed,11.8
Persons aged 15 years and over,2012Q2,Female,All ILO economic status,1836.0
Persons aged 15 years and over,2012Q2,Female,In labour force,1007.8
Persons aged 15 years and over,2012Q2,Female,In employment,878.4
Persons aged 15 years and over,2012Q2,Female,In employment full-time,571.3
Persons aged 15 years and over,2012Q2,Female,In employment part-time,307.2
Persons aged 15 years and over,2012Q2,Female,In employment part-time - not underemployed,218.1
Persons aged 15 years and over,2012Q2,Female,In employment part-time - underemployed,89.1
Persons aged 15 years and over,2012Q2,Female,Unemployed,129.4
Persons aged 15 years and over,2012Q2,Female,Unemployed seeking full-time work/future job-starter,98.9
Persons aged 15 years and over,2012Q2,Female,Unemployed seeking part-time work,27.6
Persons aged 15 years and over,2012Q2,Female,Not in labour force,828.2
Persons aged 15 years and over,2012Q2,Female,Potential additional labour force,24.8
Persons aged 15 years and over,2012Q2,Female,Others not in labour force,803.4
Persons aged 15 years and over,2012Q2,Female,Unemployed seeking work as self-employed,3.0
Persons aged 15 years and over,2012Q3,Both sexes,All ILO economic status,3610.2
Persons aged 15 years and over,2012Q3,Both sexes,In labour force,2242.7
Persons aged 15 years and over,2012Q3,Both sexes,In employment,1888.5
Persons aged 15 years and over,2012Q3,Both sexes,In employment full-time,1426.9
Persons aged 15 years and over,2012Q3,Both sexes,In employment part-time,461.6
Persons aged 15 years and over,2012Q3,Both sexes,In employment part-time - not underemployed,311.3
Persons aged 15 years and over,2012Q3,Both sexes,In employment part-time - underemployed,150.3
Persons aged 15 years and over,2012Q3,Both sexes,Unemployed,354.3
Persons aged 15 years and over,2012Q3,Both sexes,Unemployed seeking full-time work/future job-starter,304.0
Persons aged 15 years and over,2012Q3,Both sexes,Unemployed seeking part-time work,35.9
Persons aged 15 years and over,2012Q3,Both sexes,Not in labour force,1367.5
Persons aged 15 years and over,2012Q3,Both sexes,Potential additional labour force,56.0
Persons aged 15 years and over,2012Q3,Both sexes,Others not in labour force,1311.5
Persons aged 15 years and over,2012Q3,Both sexes,Unemployed seeking work as self-employed,14.3
Persons aged 15 years and over,2012Q3,Male,All ILO economic status,1772.2
Persons aged 15 years and over,2012Q3,Male,In labour force,1230.8
Persons aged 15 years and over,2012Q3,Male,In employment,1011.1
Persons aged 15 years and over,2012Q3,Male,In employment full-time,857.9
Persons aged 15 years and over,2012Q3,Male,In employment part-time,153.2
Persons aged 15 years and over,2012Q3,Male,In employment part-time - not underemployed,85.3
Persons aged 15 years and over,2012Q3,Male,In employment part-time - underemployed,67.9
Persons aged 15 years and over,2012Q3,Male,Unemployed,219.6
Persons aged 15 years and over,2012Q3,Male,Unemployed seeking full-time work/future job-starter,200.1
Persons aged 15 years and over,2012Q3,Male,Unemployed seeking part-time work,8.0
Persons aged 15 years and over,2012Q3,Male,Not in labour force,541.4
Persons aged 15 years and over,2012Q3,Male,Potential additional labour force,33.8
Persons aged 15 years and over,2012Q3,Male,Others not in labour force,507.6
Persons aged 15 years and over,2012Q3,Male,Unemployed seeking work as self-employed,11.4
Persons aged 15 years and over,2012Q3,Female,All ILO economic status,1838.1
Persons aged 15 years and over,2012Q3,Female,In labour force,1011.9
Persons aged 15 years and over,2012Q3,Female,In employment,877.3
Persons aged 15 years and over,2012Q3,Female,In employment full-time,568.9
Persons aged 15 years and over,2012Q3,Female,In employment part-time,308.4
Persons aged 15 years and over,2012Q3,Female,In employment part-time - not underemployed,226.0
Persons aged 15 years and over,2012Q3,Female,In employment part-time - underemployed,82.4
Persons aged 15 years and over,2012Q3,Female,Unemployed,134.6
Persons aged 15 years and over,2012Q3,Female,Unemployed seeking full-time work/future job-starter,103.9
Persons aged 15 years and over,2012Q3,Female,Unemployed seeking part-time work,27.9
Persons aged 15 years and over,2012Q3,Female,Not in labour force,826.1
Persons aged 15 years and over,2012Q3,Female,Potential additional labour force,22.2
Persons aged 15 years and over,2012Q3,Female,Others not in labour force,803.9
Persons aged 15 years and over,2012Q3,Female,Unemployed seeking work as self-employed,2.9
Persons aged 15 years and over,2012Q4,Both sexes,All ILO economic status,3613.7
Persons aged 15 years and over,2012Q4,Both sexes,In labour force,2212.3
Persons aged 15 years and over,2012Q4,Both sexes,In employment,1892.9
Persons aged 15 years and over,2012Q4,Both sexes,In employment full-time,1429.0
Persons aged 15 years and over,2012Q4,Both sexes,In employment part-time,463.9
Persons aged 15 years and over,2012Q4,Both sexes,In employment part-time - not underemployed,315.5
Persons aged 15 years and over,2012Q4,Both sexes,In employment part-time - underemployed,148.4
Persons aged 15 years and over,2012Q4,Both sexes,Unemployed,319.4
Persons aged 15 years and over,2012Q4,Both sexes,Unemployed seeking full-time work/future job-starter,271.1
Persons aged 15 years and over,2012Q4,Both sexes,Unemployed seeking part-time work,36.8
Persons aged 15 years and over,2012Q4,Both sexes,Not in labour force,1401.5
Persons aged 15 years and over,2012Q4,Both sexes,Potential additional labour force,58.3
Persons aged 15 years and over,2012Q4,Both sexes,Others not in labour force,1343.1
Persons aged 15 years and over,2012Q4,Both sexes,Unemployed seeking work as self-employed,11.5
Persons aged 15 years and over,2012Q4,Male,All ILO economic status,1774.1
Persons aged 15 years and over,2012Q4,Male,In labour force,1212.2
Persons aged 15 years and over,2012Q4,Male,In employment,1011.9
Persons aged 15 years and over,2012Q4,Male,In employment full-time,861.8
Persons aged 15 years and over,2012Q4,Male,In employment part-time,150.1
Persons aged 15 years and over,2012Q4,Male,In employment part-time - not underemployed,83.8
Persons aged 15 years and over,2012Q4,Male,In employment part-time - underemployed,66.4
Persons aged 15 years and over,2012Q4,Male,Unemployed,200.3
Persons aged 15 years and over,2012Q4,Male,Unemployed seeking full-time work/future job-starter,182.6
Persons aged 15 years and over,2012Q4,Male,Unemployed seeking part-time work,8.1
Persons aged 15 years and over,2012Q4,Male,Not in labour force,562.0
Persons aged 15 years and over,2012Q4,Male,Potential additional labour force,37.1
Persons aged 15 years and over,2012Q4,Male,Others not in labour force,524.8
Persons aged 15 years and over,2012Q4,Male,Unemployed seeking work as self-employed,9.7
Persons aged 15 years and over,2012Q4,Female,All ILO economic status,1839.6
Persons aged 15 years and over,2012Q4,Female,In labour force,1000.1
Persons aged 15 years and over,2012Q4,Female,In employment,881.0
Persons aged 15 years and over,2012Q4,Female,In employment full-time,567.2
Persons aged 15 years and over,2012Q4,Female,In employment part-time,313.8
Persons aged 15 years and over,2012Q4,Female,In employment part-time - not underemployed,231.8
Persons aged 15 years and over,2012Q4,Female,In employment part-time - underemployed,82.1
Persons aged 15 years and over,2012Q4,Female,Unemployed,119.1
Persons aged 15 years and over,2012Q4,Female,Unemployed seeking full-time work/future job-starter,88.5
Persons aged 15 years and over,2012Q4,Female,Unemployed seeking part-time work,28.7
Persons aged 15 years and over,2012Q4,Female,Not in labour force,839.5
Persons aged 15 years and over,2012Q4,Female,Potential additional labour force,21.2
Persons aged 15 years and over,2012Q4,Female,Others not in labour force,818.3
Persons aged 15 years and over,2012Q4,Female,Unemployed seeking work as self-employed,
Persons aged 15 years and over,2013Q1,Both sexes,All ILO economic status,3616.8
