Statistic,Quarter,Detailed Occupational Group,value
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2009Q4,2 Professional,35.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2009Q4,3 Associate professional and technical,37.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2009Q4,4 Administrative and secreterial,32.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2009Q4,5 Skilled trades,40.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2009Q4,"6 Caring, leisure and other services",29.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2009Q4,7 Sales and customer service,28.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2009Q4,"8 Process, plant and machine operatives",38.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2009Q4,9 Elementary,31.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2009Q4,X1 Other/Not stated,33.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2010Q1,All occupational groups,35.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2010Q1,"1 Managers, directors and senior officials",41.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2010Q1,2 Professional,35.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2010Q1,3 Associate professional and technical,37.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2010Q1,4 Administrative and secreterial,32.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2010Q1,5 Skilled trades,40.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2010Q1,"6 Caring, leisure and other services",28.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2010Q1,7 Sales and customer service,27.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2010Q1,"8 Process, plant and machine operatives",38.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2010Q1,9 Elementary,31.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2010Q1,X1 Other/Not stated,34.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2010Q2,All occupational groups,35.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2010Q2,"1 Managers, directors and senior officials",42.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2010Q2,2 Professional,35.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2010Q2,3 Associate professional and technical,37.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2010Q2,4 Administrative and secreterial,32.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2010Q2,5 Skilled trades,41.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2010Q2,"6 Caring, leisure and other services",29.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2010Q2,7 Sales and customer service,27.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2010Q2,"8 Process, plant and machine operatives",38.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2010Q2,9 Elementary,31.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2010Q2,X1 Other/Not stated,33.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2010Q3,All occupational groups,35.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2010Q3,"1 Managers, directors and senior officials",42.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2010Q3,2 Professional,35.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2010Q3,3 Associate professional and technical,37.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2010Q3,4 Administrative and secreterial,32.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2010Q3,5 Skilled trades,41.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2010Q3,"6 Caring, leisure and other services",29.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2010Q3,7 Sales and customer service,28.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2010Q3,"8 Process, plant and machine operatives",38.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2010Q3,9 Elementary,31.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2010Q3,X1 Other/Not stated,35.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2010Q4,All occupational groups,34.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2010Q4,"1 Managers, directors and senior officials",41.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2010Q4,2 Professional,35.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2010Q4,3 Associate professional and technical,37.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2010Q4,4 Administrative and secreterial,32.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2010Q4,5 Skilled trades,40.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2010Q4,"6 Caring, leisure and other services",28.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2010Q4,7 Sales and customer service,28.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2010Q4,"8 Process, plant and machine operatives",38.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2010Q4,9 Elementary,30.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2010Q4,X1 Other/Not stated,34.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2011Q1,All occupational groups,34.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2011Q1,"1 Managers, directors and senior officials",41.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2011Q1,2 Professional,35.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2011Q1,3 Associate professional and technical,37.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2011Q1,4 Administrative and secreterial,31.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2011Q1,5 Skilled trades,41.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2011Q1,"6 Caring, leisure and other services",28.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2011Q1,7 Sales and customer service,27.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2011Q1,"8 Process, plant and machine operatives",38.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2011Q1,9 Elementary,30.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2011Q1,X1 Other/Not stated,34.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2011Q2,All occupational groups,35.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2011Q2,"1 Managers, directors and senior officials",42.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2011Q2,2 Professional,35.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2011Q2,3 Associate professional and technical,37.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2011Q2,4 Administrative and secreterial,32.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2011Q2,5 Skilled trades,41.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2011Q2,"6 Caring, leisure and other services",28.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2011Q2,7 Sales and customer service,28.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2011Q2,"8 Process, plant and machine operatives",38.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2011Q2,9 Elementary,30.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2011Q2,X1 Other/Not stated,37.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2011Q3,All occupational groups,35.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2011Q3,"1 Managers, directors and senior officials",42.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2011Q3,2 Professional,35.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2011Q3,3 Associate professional and technical,37.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2011Q3,4 Administrative and secreterial,32.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2011Q3,5 Skilled trades,41.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2011Q3,"6 Caring, leisure and other services",29.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2011Q3,7 Sales and customer service,28.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2011Q3,"8 Process, plant and machine operatives",38.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2011Q3,9 Elementary,30.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2011Q3,X1 Other/Not stated,36.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2011Q4,All occupational groups,34.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2011Q4,"1 Managers, directors and senior officials",42.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2011Q4,2 Professional,35.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2011Q4,3 Associate professional and technical,37.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2011Q4,4 Administrative and secreterial,32.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2011Q4,5 Skilled trades,40.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2011Q4,"6 Caring, leisure and other services",29.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2011Q4,7 Sales and customer service,28.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2011Q4,"8 Process, plant and machine operatives",38.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2011Q4,9 Elementary,30.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2011Q4,X1 Other/Not stated,36.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q1,All occupational groups,35.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q1,"1 Managers, directors and senior officials",42.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q1,2 Professional,35.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q1,3 Associate professional and technical,37.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q1,4 Administrative and secreterial,32.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q1,5 Skilled trades,41.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q1,"6 Caring, leisure and other services",28.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q1,7 Sales and customer service,27.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q1,"8 Process, plant and machine operatives",37.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q1,9 Elementary,30.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q1,X1 Other/Not stated,36.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q2,All occupational groups,35.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q2,"1 Managers, directors and senior officials",42.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q2,2 Professional,35.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q2,3 Associate professional and technical,37.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q2,4 Administrative and secreterial,32.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q2,5 Skilled trades,41.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q2,"6 Caring, leisure and other services",29.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q2,7 Sales and customer service,27.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q2,"8 Process, plant and machine operatives",38.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q2,9 Elementary,30.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q2,X1 Other/Not stated,37.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q3,All occupational groups,35.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q3,"1 Managers, directors and senior officials",41.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q3,2 Professional,36.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q3,3 Associate professional and technical,37.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q3,4 Administrative and secreterial,32.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q3,5 Skilled trades,40.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q3,"6 Caring, leisure and other services",29.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q3,7 Sales and customer service,28.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q3,"8 Process, plant and machine operatives",37.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q3,9 Elementary,30.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q3,X1 Other/Not stated,35.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q4,All occupational groups,35.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q4,"1 Managers, directors and senior officials",41.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q4,2 Professional,35.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q4,3 Associate professional and technical,37.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q4,4 Administrative and secreterial,32.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q4,5 Skilled trades,40.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q4,"6 Caring, leisure and other services",28.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q4,7 Sales and customer service,28.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q4,"8 Process, plant and machine operatives",37.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q4,9 Elementary,30.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2012Q4,X1 Other/Not stated,34.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q1,All occupational groups,35.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q1,"1 Managers, directors and senior officials",41.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q1,2 Professional,35.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q1,3 Associate professional and technical,37.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q1,4 Administrative and secreterial,32.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q1,5 Skilled trades,40.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q1,"6 Caring, leisure and other services",28.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q1,7 Sales and customer service,27.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q1,"8 Process, plant and machine operatives",37.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q1,9 Elementary,30.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q1,X1 Other/Not stated,35.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q2,All occupational groups,35.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q2,"1 Managers, directors and senior officials",42.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q2,2 Professional,35.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q2,3 Associate professional and technical,37.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q2,4 Administrative and secreterial,32.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q2,5 Skilled trades,41.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q2,"6 Caring, leisure and other services",29.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q2,7 Sales and customer service,28.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q2,"8 Process, plant and machine operatives",37.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q2,9 Elementary,30.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q2,X1 Other/Not stated,33.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q3,All occupational groups,35.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q3,"1 Managers, directors and senior officials",42.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q3,2 Professional,36.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q3,3 Associate professional and technical,37.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q3,4 Administrative and secreterial,33.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q3,5 Skilled trades,41.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q3,"6 Caring, leisure and other services",29.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q3,7 Sales and customer service,29.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q3,"8 Process, plant and machine operatives",38.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q3,9 Elementary,31.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q3,X1 Other/Not stated,35.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q4,All occupational groups,35.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q4,"1 Managers, directors and senior officials",42.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q4,2 Professional,36.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q4,3 Associate professional and technical,37.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q4,4 Administrative and secreterial,32.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q4,5 Skilled trades,40.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q4,"6 Caring, leisure and other services",29.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q4,7 Sales and customer service,28.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q4,"8 Process, plant and machine operatives",38.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q4,9 Elementary,30.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2013Q4,X1 Other/Not stated,33.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q1,All occupational groups,35.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q1,"1 Managers, directors and senior officials",42.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q1,2 Professional,36.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q1,3 Associate professional and technical,37.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q1,4 Administrative and secreterial,33.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q1,5 Skilled trades,40.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q1,"6 Caring, leisure and other services",29.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q1,7 Sales and customer service,29.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q1,"8 Process, plant and machine operatives",37.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q1,9 Elementary,30.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q1,X1 Other/Not stated,37.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q2,All occupational groups,35.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q2,"1 Managers, directors and senior officials",42.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q2,2 Professional,36.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q2,3 Associate professional and technical,37.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q2,4 Administrative and secreterial,33.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q2,5 Skilled trades,41.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q2,"6 Caring, leisure and other services",29.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q2,7 Sales and customer service,29.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q2,"8 Process, plant and machine operatives",38.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q2,9 Elementary,30.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q2,X1 Other/Not stated,36.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q3,All occupational groups,35.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q3,"1 Managers, directors and senior officials",42.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q3,2 Professional,36.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q3,3 Associate professional and technical,37.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q3,4 Administrative and secreterial,33.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q3,5 Skilled trades,41.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q3,"6 Caring, leisure and other services",29.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q3,7 Sales and customer service,29.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q3,"8 Process, plant and machine operatives",38.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q3,9 Elementary,31.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q3,X1 Other/Not stated,37.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q4,All occupational groups,35.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q4,"1 Managers, directors and senior officials",42.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q4,2 Professional,36.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q4,3 Associate professional and technical,37.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q4,4 Administrative and secreterial,33.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q4,5 Skilled trades,41.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q4,"6 Caring, leisure and other services",29.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q4,7 Sales and customer service,28.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q4,"8 Process, plant and machine operatives",38.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q4,9 Elementary,31.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2014Q4,X1 Other/Not stated,38.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q1,All occupational groups,35.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q1,"1 Managers, directors and senior officials",42.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q1,2 Professional,36.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q1,3 Associate professional and technical,37.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q1,4 Administrative and secreterial,33.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q1,5 Skilled trades,41.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q1,"6 Caring, leisure and other services",29.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q1,7 Sales and customer service,29.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q1,"8 Process, plant and machine operatives",38.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q1,9 Elementary,30.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q1,X1 Other/Not stated,38.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q2,All occupational groups,35.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q2,"1 Managers, directors and senior officials",43.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q2,2 Professional,36.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q2,3 Associate professional and technical,37.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q2,4 Administrative and secreterial,32.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q2,5 Skilled trades,42.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q2,"6 Caring, leisure and other services",29.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q2,7 Sales and customer service,29.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q2,"8 Process, plant and machine operatives",38.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q2,9 Elementary,30.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2015Q2,X1 Other/Not stated,37.3
