STATISTIC,Quarter,Age Group,value
Average hours worked per week for persons aged 15-89 years in Employment,2013Q1,65 years and over,31.9
Average hours worked per week for persons aged 15-89 years in Employment,2013Q2,15 - 19 years,20.6
Average hours worked per week for persons aged 15-89 years in Employment,2013Q2,15 - 64 years,35.3
Average hours worked per week for persons aged 15-89 years in Employment,2013Q2,15 - 74 years,35.3
Average hours worked per week for persons aged 15-89 years in Employment,2013Q2,15 years and over,35.3
Average hours worked per week for persons aged 15-89 years in Employment,2013Q2,20 - 24 years,31.1
Average hours worked per week for persons aged 15-89 years in Employment,2013Q2,25 - 34 years,36.4
Average hours worked per week for persons aged 15-89 years in Employment,2013Q2,35 - 44 years,36.5
Average hours worked per week for persons aged 15-89 years in Employment,2013Q2,45 - 54 years,36.1
Average hours worked per week for persons aged 15-89 years in Employment,2013Q2,55 - 59 years,35.0
Average hours worked per week for persons aged 15-89 years in Employment,2013Q2,60 - 64 years,34.0
Average hours worked per week for persons aged 15-89 years in Employment,2013Q2,65 years and over,32.6
Average hours worked per week for persons aged 15-89 years in Employment,2013Q3,15 - 19 years,22.2
Average hours worked per week for persons aged 15-89 years in Employment,2013Q3,15 - 64 years,35.7
Average hours worked per week for persons aged 15-89 years in Employment,2013Q3,15 - 74 years,35.7
Average hours worked per week for persons aged 15-89 years in Employment,2013Q3,15 years and over,35.6
Average hours worked per week for persons aged 15-89 years in Employment,2013Q3,20 - 24 years,32.8
Average hours worked per week for persons aged 15-89 years in Employment,2013Q3,25 - 34 years,36.8
Average hours worked per week for persons aged 15-89 years in Employment,2013Q3,35 - 44 years,36.7
Average hours worked per week for persons aged 15-89 years in Employment,2013Q3,45 - 54 years,36.5
Average hours worked per week for persons aged 15-89 years in Employment,2013Q3,55 - 59 years,34.9
Average hours worked per week for persons aged 15-89 years in Employment,2013Q3,60 - 64 years,34.2
Average hours worked per week for persons aged 15-89 years in Employment,2013Q3,65 years and over,33.4
Average hours worked per week for persons aged 15-89 years in Employment,2013Q4,15 - 19 years,20.1
Average hours worked per week for persons aged 15-89 years in Employment,2013Q4,15 - 64 years,35.4
Average hours worked per week for persons aged 15-89 years in Employment,2013Q4,15 - 74 years,35.4
Average hours worked per week for persons aged 15-89 years in Employment,2013Q4,15 years and over,35.4
Average hours worked per week for persons aged 15-89 years in Employment,2013Q4,20 - 24 years,31.9
Average hours worked per week for persons aged 15-89 years in Employment,2013Q4,25 - 34 years,36.6
Average hours worked per week for persons aged 15-89 years in Employment,2013Q4,35 - 44 years,36.6
Average hours worked per week for persons aged 15-89 years in Employment,2013Q4,45 - 54 years,36.0
Average hours worked per week for persons aged 15-89 years in Employment,2013Q4,55 - 59 years,34.9
Average hours worked per week for persons aged 15-89 years in Employment,2013Q4,60 - 64 years,33.5
Average hours worked per week for persons aged 15-89 years in Employment,2013Q4,65 years and over,33.2
Average hours worked per week for persons aged 15-89 years in Employment,2014Q1,15 - 19 years,18.8
Average hours worked per week for persons aged 15-89 years in Employment,2014Q1,15 - 64 years,35.5
Average hours worked per week for persons aged 15-89 years in Employment,2014Q1,15 - 74 years,35.5
Average hours worked per week for persons aged 15-89 years in Employment,2014Q1,15 years and over,35.5
Average hours worked per week for persons aged 15-89 years in Employment,2014Q1,20 - 24 years,31.4
Average hours worked per week for persons aged 15-89 years in Employment,2014Q1,25 - 34 years,36.5
Average hours worked per week for persons aged 15-89 years in Employment,2014Q1,35 - 44 years,36.7
Average hours worked per week for persons aged 15-89 years in Employment,2014Q1,45 - 54 years,36.2
Average hours worked per week for persons aged 15-89 years in Employment,2014Q1,55 - 59 years,35.3
Average hours worked per week for persons aged 15-89 years in Employment,2014Q1,60 - 64 years,34.3
Average hours worked per week for persons aged 15-89 years in Employment,2014Q1,65 years and over,34.4
Average hours worked per week for persons aged 15-89 years in Employment,2014Q2,15 - 19 years,21.1
Average hours worked per week for persons aged 15-89 years in Employment,2014Q2,15 - 64 years,35.7
Average hours worked per week for persons aged 15-89 years in Employment,2014Q2,15 - 74 years,35.7
Average hours worked per week for persons aged 15-89 years in Employment,2014Q2,15 years and over,35.7
Average hours worked per week for persons aged 15-89 years in Employment,2014Q2,20 - 24 years,32.7
Average hours worked per week for persons aged 15-89 years in Employment,2014Q2,25 - 34 years,36.5
Average hours worked per week for persons aged 15-89 years in Employment,2014Q2,35 - 44 years,36.8
Average hours worked per week for persons aged 15-89 years in Employment,2014Q2,45 - 54 years,36.2
Average hours worked per week for persons aged 15-89 years in Employment,2014Q2,55 - 59 years,35.5
Average hours worked per week for persons aged 15-89 years in Employment,2014Q2,60 - 64 years,34.3
Average hours worked per week for persons aged 15-89 years in Employment,2014Q2,65 years and over,33.9
Average hours worked per week for persons aged 15-89 years in Employment,2014Q3,15 - 19 years,22.0
Average hours worked per week for persons aged 15-89 years in Employment,2014Q3,15 - 64 years,35.7
Average hours worked per week for persons aged 15-89 years in Employment,2014Q3,15 - 74 years,35.7
Average hours worked per week for persons aged 15-89 years in Employment,2014Q3,15 years and over,35.7
Average hours worked per week for persons aged 15-89 years in Employment,2014Q3,20 - 24 years,32.5
Average hours worked per week for persons aged 15-89 years in Employment,2014Q3,25 - 34 years,36.7
Average hours worked per week for persons aged 15-89 years in Employment,2014Q3,35 - 44 years,36.7
Average hours worked per week for persons aged 15-89 years in Employment,2014Q3,45 - 54 years,36.4
Average hours worked per week for persons aged 15-89 years in Employment,2014Q3,55 - 59 years,35.9
Average hours worked per week for persons aged 15-89 years in Employment,2014Q3,60 - 64 years,34.4
Average hours worked per week for persons aged 15-89 years in Employment,2014Q3,65 years and over,35.5
Average hours worked per week for persons aged 15-89 years in Employment,2014Q4,15 - 19 years,19.5
Average hours worked per week for persons aged 15-89 years in Employment,2014Q4,15 - 64 years,35.6
Average hours worked per week for persons aged 15-89 years in Employment,2014Q4,15 - 74 years,35.6
Average hours worked per week for persons aged 15-89 years in Employment,2014Q4,15 years and over,35.6
Average hours worked per week for persons aged 15-89 years in Employment,2014Q4,20 - 24 years,31.8
Average hours worked per week for persons aged 15-89 years in Employment,2014Q4,25 - 34 years,36.7
Average hours worked per week for persons aged 15-89 years in Employment,2014Q4,35 - 44 years,36.7
Average hours worked per week for persons aged 15-89 years in Employment,2014Q4,45 - 54 years,36.4
Average hours worked per week for persons aged 15-89 years in Employment,2014Q4,55 - 59 years,36.3
Average hours worked per week for persons aged 15-89 years in Employment,2014Q4,60 - 64 years,34.6
Average hours worked per week for persons aged 15-89 years in Employment,2014Q4,65 years and over,34.7
Average hours worked per week for persons aged 15-89 years in Employment,2015Q1,15 - 19 years,19.1
Average hours worked per week for persons aged 15-89 years in Employment,2015Q1,15 - 64 years,35.7
Average hours worked per week for persons aged 15-89 years in Employment,2015Q1,15 - 74 years,35.7
Average hours worked per week for persons aged 15-89 years in Employment,2015Q1,15 years and over,35.7
Average hours worked per week for persons aged 15-89 years in Employment,2015Q1,20 - 24 years,31.5
Average hours worked per week for persons aged 15-89 years in Employment,2015Q1,25 - 34 years,36.5
Average hours worked per week for persons aged 15-89 years in Employment,2015Q1,35 - 44 years,36.8
Average hours worked per week for persons aged 15-89 years in Employment,2015Q1,45 - 54 years,36.4
Average hours worked per week for persons aged 15-89 years in Employment,2015Q1,55 - 59 years,36.4
Average hours worked per week for persons aged 15-89 years in Employment,2015Q1,60 - 64 years,35.0
Average hours worked per week for persons aged 15-89 years in Employment,2015Q1,65 years and over,34.6
Average hours worked per week for persons aged 15-89 years in Employment,2015Q2,15 - 19 years,19.9
Average hours worked per week for persons aged 15-89 years in Employment,2015Q2,15 - 64 years,35.9
Average hours worked per week for persons aged 15-89 years in Employment,2015Q2,15 - 74 years,35.9
Average hours worked per week for persons aged 15-89 years in Employment,2015Q2,15 years and over,35.9
Average hours worked per week for persons aged 15-89 years in Employment,2015Q2,20 - 24 years,32.0
Average hours worked per week for persons aged 15-89 years in Employment,2015Q2,25 - 34 years,36.6
Average hours worked per week for persons aged 15-89 years in Employment,2015Q2,35 - 44 years,37.0
Average hours worked per week for persons aged 15-89 years in Employment,2015Q2,45 - 54 years,36.7
Average hours worked per week for persons aged 15-89 years in Employment,2015Q2,55 - 59 years,36.4
Average hours worked per week for persons aged 15-89 years in Employment,2015Q2,60 - 64 years,35.6
Average hours worked per week for persons aged 15-89 years in Employment,2015Q2,65 years and over,34.6
Average hours worked per week for persons aged 15-89 years in Employment,2015Q3,15 - 19 years,21.9
Average hours worked per week for persons aged 15-89 years in Employment,2015Q3,15 - 64 years,36.0
Average hours worked per week for persons aged 15-89 years in Employment,2015Q3,15 - 74 years,36.0
Average hours worked per week for persons aged 15-89 years in Employment,2015Q3,15 years and over,36.0
Average hours worked per week for persons aged 15-89 years in Employment,2015Q3,20 - 24 years,32.7
Average hours worked per week for persons aged 15-89 years in Employment,2015Q3,25 - 34 years,36.7
Average hours worked per week for persons aged 15-89 years in Employment,2015Q3,35 - 44 years,37.1
Average hours worked per week for persons aged 15-89 years in Employment,2015Q3,45 - 54 years,36.8
Average hours worked per week for persons aged 15-89 years in Employment,2015Q3,55 - 59 years,36.4
Average hours worked per week for persons aged 15-89 years in Employment,2015Q3,60 - 64 years,35.7
Average hours worked per week for persons aged 15-89 years in Employment,2015Q3,65 years and over,34.1
Average hours worked per week for persons aged 15-89 years in Employment,2015Q4,15 - 19 years,21.0
Average hours worked per week for persons aged 15-89 years in Employment,2015Q4,15 - 64 years,35.9
Average hours worked per week for persons aged 15-89 years in Employment,2015Q4,15 - 74 years,35.9
Average hours worked per week for persons aged 15-89 years in Employment,2015Q4,15 years and over,35.8
Average hours worked per week for persons aged 15-89 years in Employment,2015Q4,20 - 24 years,32.4
Average hours worked per week for persons aged 15-89 years in Employment,2015Q4,25 - 34 years,36.5
Average hours worked per week for persons aged 15-89 years in Employment,2015Q4,35 - 44 years,37.0
Average hours worked per week for persons aged 15-89 years in Employment,2015Q4,45 - 54 years,36.5
Average hours worked per week for persons aged 15-89 years in Employment,2015Q4,55 - 59 years,36.3
Average hours worked per week for persons aged 15-89 years in Employment,2015Q4,60 - 64 years,35.7
Average hours worked per week for persons aged 15-89 years in Employment,2015Q4,65 years and over,33.9
Average hours worked per week for persons aged 15-89 years in Employment,2016Q1,15 - 19 years,19.9
Average hours worked per week for persons aged 15-89 years in Employment,2016Q1,15 - 64 years,35.8
Average hours worked per week for persons aged 15-89 years in Employment,2016Q1,15 - 74 years,35.8
Average hours worked per week for persons aged 15-89 years in Employment,2016Q1,15 years and over,35.8
Average hours worked per week for persons aged 15-89 years in Employment,2016Q1,20 - 24 years,32.1
Average hours worked per week for persons aged 15-89 years in Employment,2016Q1,25 - 34 years,36.4
Average hours worked per week for persons aged 15-89 years in Employment,2016Q1,35 - 44 years,37.0
Average hours worked per week for persons aged 15-89 years in Employment,2016Q1,45 - 54 years,36.8
Average hours worked per week for persons aged 15-89 years in Employment,2016Q1,55 - 59 years,36.0
Average hours worked per week for persons aged 15-89 years in Employment,2016Q1,60 - 64 years,34.8
Average hours worked per week for persons aged 15-89 years in Employment,2016Q1,65 years and over,34.7
Average hours worked per week for persons aged 15-89 years in Employment,2016Q2,15 - 19 years,20.8
Average hours worked per week for persons aged 15-89 years in Employment,2016Q2,15 - 64 years,35.9
Average hours worked per week for persons aged 15-89 years in Employment,2016Q2,15 - 74 years,35.8
Average hours worked per week for persons aged 15-89 years in Employment,2016Q2,15 years and over,35.8
Average hours worked per week for persons aged 15-89 years in Employment,2016Q2,20 - 24 years,31.9
Average hours worked per week for persons aged 15-89 years in Employment,2016Q2,25 - 34 years,36.7
Average hours worked per week for persons aged 15-89 years in Employment,2016Q2,35 - 44 years,37.0
Average hours worked per week for persons aged 15-89 years in Employment,2016Q2,45 - 54 years,37.1
Average hours worked per week for persons aged 15-89 years in Employment,2016Q2,55 - 59 years,36.0
Average hours worked per week for persons aged 15-89 years in Employment,2016Q2,60 - 64 years,35.8
Average hours worked per week for persons aged 15-89 years in Employment,2016Q2,65 years and over,33.6
Average hours worked per week for persons aged 15-89 years in Employment,2016Q3,15 - 19 years,23.0
Average hours worked per week for persons aged 15-89 years in Employment,2016Q3,15 - 64 years,36.0
Average hours worked per week for persons aged 15-89 years in Employment,2016Q3,15 - 74 years,35.9
Average hours worked per week for persons aged 15-89 years in Employment,2016Q3,15 years and over,35.9
Average hours worked per week for persons aged 15-89 years in Employment,2016Q3,20 - 24 years,32.9
Average hours worked per week for persons aged 15-89 years in Employment,2016Q3,25 - 34 years,36.8
Average hours worked per week for persons aged 15-89 years in Employment,2016Q3,35 - 44 years,37.1
Average hours worked per week for persons aged 15-89 years in Employment,2016Q3,45 - 54 years,36.9
Average hours worked per week for persons aged 15-89 years in Employment,2016Q3,55 - 59 years,36.3
Average hours worked per week for persons aged 15-89 years in Employment,2016Q3,60 - 64 years,35.4
Average hours worked per week for persons aged 15-89 years in Employment,2016Q3,65 years and over,33.8
Average hours worked per week for persons aged 15-89 years in Employment,2016Q4,15 - 19 years,21.2
Average hours worked per week for persons aged 15-89 years in Employment,2016Q4,15 - 64 years,36.1
Average hours worked per week for persons aged 15-89 years in Employment,2016Q4,15 - 74 years,36.0
Average hours worked per week for persons aged 15-89 years in Employment,2016Q4,15 years and over,36.0
Average hours worked per week for persons aged 15-89 years in Employment,2016Q4,20 - 24 years,32.4
Average hours worked per week for persons aged 15-89 years in Employment,2016Q4,25 - 34 years,36.9
Average hours worked per week for persons aged 15-89 years in Employment,2016Q4,35 - 44 years,37.1
Average hours worked per week for persons aged 15-89 years in Employment,2016Q4,45 - 54 years,37.2
Average hours worked per week for persons aged 15-89 years in Employment,2016Q4,55 - 59 years,36.2
Average hours worked per week for persons aged 15-89 years in Employment,2016Q4,60 - 64 years,35.2
Average hours worked per week for persons aged 15-89 years in Employment,2016Q4,65 years and over,34.0
Average hours worked per week for persons aged 15-89 years in Employment,2017Q1,15 - 19 years,19.3
Average hours worked per week for persons aged 15-89 years in Employment,2017Q1,15 - 64 years,35.9
Average hours worked per week for persons aged 15-89 years in Employment,2017Q1,15 - 74 years,35.9
Average hours worked per week for persons aged 15-89 years in Employment,2017Q1,15 years and over,35.8
Average hours worked per week for persons aged 15-89 years in Employment,2017Q1,20 - 24 years,32.0
Average hours worked per week for persons aged 15-89 years in Employment,2017Q1,25 - 34 years,36.9
Average hours worked per week for persons aged 15-89 years in Employment,2017Q1,35 - 44 years,37.0
Average hours worked per week for persons aged 15-89 years in Employment,2017Q1,45 - 54 years,37.0
Average hours worked per week for persons aged 15-89 years in Employment,2017Q1,55 - 59 years,35.7
Average hours worked per week for persons aged 15-89 years in Employment,2017Q1,60 - 64 years,35.2
Average hours worked per week for persons aged 15-89 years in Employment,2017Q1,65 years and over,33.9
Average hours worked per week for persons aged 15-89 years in Employment,2017Q2,15 - 19 years,21.0
Average hours worked per week for persons aged 15-89 years in Employment,2017Q2,15 - 64 years,36.1
Average hours worked per week for persons aged 15-89 years in Employment,2017Q2,15 - 74 years,36.1
Average hours worked per week for persons aged 15-89 years in Employment,2017Q2,15 years and over,36.1
Average hours worked per week for persons aged 15-89 years in Employment,2017Q2,20 - 24 years,33.0
Average hours worked per week for persons aged 15-89 years in Employment,2017Q2,25 - 34 years,37.2
Average hours worked per week for persons aged 15-89 years in Employment,2017Q2,35 - 44 years,37.0
Average hours worked per week for persons aged 15-89 years in Employment,2017Q2,45 - 54 years,37.2
Average hours worked per week for persons aged 15-89 years in Employment,2017Q2,55 - 59 years,35.6
Average hours worked per week for persons aged 15-89 years in Employment,2017Q2,60 - 64 years,35.1
Average hours worked per week for persons aged 15-89 years in Employment,2017Q2,65 years and over,34.3
Average hours worked per week for persons aged 15-89 years in Employment,2017Q3,15 - 19 years,22.7
Average hours worked per week for persons aged 15-89 years in Employment,2017Q3,15 - 64 years,36.8
Average hours worked per week for persons aged 15-89 years in Employment,2017Q3,15 - 74 years,36.7
Average hours worked per week for persons aged 15-89 years in Employment,2017Q3,15 years and over,36.7
Average hours worked per week for persons aged 15-89 years in Employment,2017Q3,20 - 24 years,33.4
Average hours worked per week for persons aged 15-89 years in Employment,2017Q3,25 - 34 years,36.9
Average hours worked per week for persons aged 15-89 years in Employment,2017Q3,35 - 44 years,37.8
Average hours worked per week for persons aged 15-89 years in Employment,2017Q3,45 - 54 years,38.1
Average hours worked per week for persons aged 15-89 years in Employment,2017Q3,55 - 59 years,37.7
Average hours worked per week for persons aged 15-89 years in Employment,2017Q3,60 - 64 years,35.9
Average hours worked per week for persons aged 15-89 years in Employment,2017Q3,65 years and over,36.1
Average hours worked per week for persons aged 15-89 years in Employment,2017Q4,15 - 19 years,18.9
Average hours worked per week for persons aged 15-89 years in Employment,2017Q4,15 - 64 years,36.4
Average hours worked per week for persons aged 15-89 years in Employment,2017Q4,15 - 74 years,36.4
Average hours worked per week for persons aged 15-89 years in Employment,2017Q4,15 years and over,36.4
Average hours worked per week for persons aged 15-89 years in Employment,2017Q4,20 - 24 years,31.0
Average hours worked per week for persons aged 15-89 years in Employment,2017Q4,25 - 34 years,37.1
Average hours worked per week for persons aged 15-89 years in Employment,2017Q4,35 - 44 years,37.8
Average hours worked per week for persons aged 15-89 years in Employment,2017Q4,45 - 54 years,38.0
Average hours worked per week for persons aged 15-89 years in Employment,2017Q4,55 - 59 years,37.1
Average hours worked per week for persons aged 15-89 years in Employment,2017Q4,60 - 64 years,35.3
Average hours worked per week for persons aged 15-89 years in Employment,2017Q4,65 years and over,36.2
Average hours worked per week for persons aged 15-89 years in Employment,2018Q1,15 - 19 years,20.4
Average hours worked per week for persons aged 15-89 years in Employment,2018Q1,15 - 64 years,36.4
Average hours worked per week for persons aged 15-89 years in Employment,2018Q1,15 - 74 years,36.4
Average hours worked per week for persons aged 15-89 years in Employment,2018Q1,15 years and over,36.4
Average hours worked per week for persons aged 15-89 years in Employment,2018Q1,20 - 24 years,31.4
Average hours worked per week for persons aged 15-89 years in Employment,2018Q1,25 - 34 years,36.9
Average hours worked per week for persons aged 15-89 years in Employment,2018Q1,35 - 44 years,37.4
Average hours worked per week for persons aged 15-89 years in Employment,2018Q1,45 - 54 years,37.8
Average hours worked per week for persons aged 15-89 years in Employment,2018Q1,55 - 59 years,37.9
Average hours worked per week for persons aged 15-89 years in Employment,2018Q1,60 - 64 years,35.6
Average hours worked per week for persons aged 15-89 years in Employment,2018Q1,65 years and over,35.7
Average hours worked per week for persons aged 15-89 years in Employment,2018Q2,15 - 19 years,23.3
Average hours worked per week for persons aged 15-89 years in Employment,2018Q2,15 - 64 years,36.5
Average hours worked per week for persons aged 15-89 years in Employment,2018Q2,15 - 74 years,36.5
Average hours worked per week for persons aged 15-89 years in Employment,2018Q2,15 years and over,36.5
Average hours worked per week for persons aged 15-89 years in Employment,2018Q2,20 - 24 years,32.3
Average hours worked per week for persons aged 15-89 years in Employment,2018Q2,25 - 34 years,37.2
Average hours worked per week for persons aged 15-89 years in Employment,2018Q2,35 - 44 years,37.4
Average hours worked per week for persons aged 15-89 years in Employment,2018Q2,45 - 54 years,37.8
Average hours worked per week for persons aged 15-89 years in Employment,2018Q2,55 - 59 years,36.9
Average hours worked per week for persons aged 15-89 years in Employment,2018Q2,60 - 64 years,35.4
Average hours worked per week for persons aged 15-89 years in Employment,2018Q2,65 years and over,35.3
Average hours worked per week for persons aged 15-89 years in Employment,2018Q3,15 - 19 years,24.0
Average hours worked per week for persons aged 15-89 years in Employment,2018Q3,15 - 64 years,36.6
Average hours worked per week for persons aged 15-89 years in Employment,2018Q3,15 - 74 years,36.6
Average hours worked per week for persons aged 15-89 years in Employment,2018Q3,15 years and over,36.5
Average hours worked per week for persons aged 15-89 years in Employment,2018Q3,20 - 24 years,33.3
Average hours worked per week for persons aged 15-89 years in Employment,2018Q3,25 - 34 years,37.4
Average hours worked per week for persons aged 15-89 years in Employment,2018Q3,35 - 44 years,37.6
Average hours worked per week for persons aged 15-89 years in Employment,2018Q3,45 - 54 years,37.6
Average hours worked per week for persons aged 15-89 years in Employment,2018Q3,55 - 59 years,37.0
Average hours worked per week for persons aged 15-89 years in Employment,2018Q3,60 - 64 years,35.4
Average hours worked per week for persons aged 15-89 years in Employment,2018Q3,65 years and over,34.4
Average hours worked per week for persons aged 15-89 years in Employment,2018Q4,15 - 19 years,21.9
Average hours worked per week for persons aged 15-89 years in Employment,2018Q4,15 - 64 years,36.5
Average hours worked per week for persons aged 15-89 years in Employment,2018Q4,15 - 74 years,36.5
Average hours worked per week for persons aged 15-89 years in Employment,2018Q4,15 years and over,36.4
Average hours worked per week for persons aged 15-89 years in Employment,2018Q4,20 - 24 years,32.3
Average hours worked per week for persons aged 15-89 years in Employment,2018Q4,25 - 34 years,37.2
Average hours worked per week for persons aged 15-89 years in Employment,2018Q4,35 - 44 years,37.7
Average hours worked per week for persons aged 15-89 years in Employment,2018Q4,45 - 54 years,37.5
Average hours worked per week for persons aged 15-89 years in Employment,2018Q4,55 - 59 years,37.3
Average hours worked per week for persons aged 15-89 years in Employment,2018Q4,60 - 64 years,35.3
Average hours worked per week for persons aged 15-89 years in Employment,2018Q4,65 years and over,34.3
Average hours worked per week for persons aged 15-89 years in Employment,2019Q1,15 - 19 years,20.0
Average hours worked per week for persons aged 15-89 years in Employment,2019Q1,15 - 64 years,36.5
Average hours worked per week for persons aged 15-89 years in Employment,2019Q1,15 - 74 years,36.4
Average hours worked per week for persons aged 15-89 years in Employment,2019Q1,15 years and over,36.4
Average hours worked per week for persons aged 15-89 years in Employment,2019Q1,20 - 24 years,31.4
Average hours worked per week for persons aged 15-89 years in Employment,2019Q1,25 - 34 years,37.4
Average hours worked per week for persons aged 15-89 years in Employment,2019Q1,35 - 44 years,37.7
Average hours worked per week for persons aged 15-89 years in Employment,2019Q1,45 - 54 years,37.6
Average hours worked per week for persons aged 15-89 years in Employment,2019Q1,55 - 59 years,36.6
Average hours worked per week for persons aged 15-89 years in Employment,2019Q1,60 - 64 years,35.1
Average hours worked per week for persons aged 15-89 years in Employment,2019Q1,65 years and over,33.8
Average hours worked per week for persons aged 15-89 years in Employment,2019Q2,15 - 19 years,20.8
Average hours worked per week for persons aged 15-89 years in Employment,2019Q2,15 - 64 years,36.6
Average hours worked per week for persons aged 15-89 years in Employment,2019Q2,15 - 74 years,36.6
Average hours worked per week for persons aged 15-89 years in Employment,2019Q2,15 years and over,36.6
Average hours worked per week for persons aged 15-89 years in Employment,2019Q2,20 - 24 years,32.2
Average hours worked per week for persons aged 15-89 years in Employment,2019Q2,25 - 34 years,37.3
Average hours worked per week for persons aged 15-89 years in Employment,2019Q2,35 - 44 years,37.6
Average hours worked per week for persons aged 15-89 years in Employment,2019Q2,45 - 54 years,38.1
Average hours worked per week for persons aged 15-89 years in Employment,2019Q2,55 - 59 years,37.0
Average hours worked per week for persons aged 15-89 years in Employment,2019Q2,60 - 64 years,35.8
Average hours worked per week for persons aged 15-89 years in Employment,2019Q2,65 years and over,35.2
Average hours worked per week for persons aged 15-89 years in Employment,2019Q3,15 - 19 years,22.0
Average hours worked per week for persons aged 15-89 years in Employment,2019Q3,15 - 64 years,36.8
Average hours worked per week for persons aged 15-89 years in Employment,2019Q3,15 - 74 years,36.7
Average hours worked per week for persons aged 15-89 years in Employment,2019Q3,15 years and over,36.7
Average hours worked per week for persons aged 15-89 years in Employment,2019Q3,20 - 24 years,33.4
Average hours worked per week for persons aged 15-89 years in Employment,2019Q3,25 - 34 years,37.7
Average hours worked per week for persons aged 15-89 years in Employment,2019Q3,35 - 44 years,37.8
Average hours worked per week for persons aged 15-89 years in Employment,2019Q3,45 - 54 years,37.7
Average hours worked per week for persons aged 15-89 years in Employment,2019Q3,55 - 59 years,37.5
Average hours worked per week for persons aged 15-89 years in Employment,2019Q3,60 - 64 years,35.2
Average hours worked per week for persons aged 15-89 years in Employment,2019Q3,65 years and over,34.7
Average hours worked per week for persons aged 15-89 years in Employment,2019Q4,15 - 19 years,18.3
Average hours worked per week for persons aged 15-89 years in Employment,2019Q4,15 - 64 years,36.3
Average hours worked per week for persons aged 15-89 years in Employment,2019Q4,15 - 74 years,36.2
Average hours worked per week for persons aged 15-89 years in Employment,2019Q4,15 years and over,36.2
Average hours worked per week for persons aged 15-89 years in Employment,2019Q4,20 - 24 years,31.5
Average hours worked per week for persons aged 15-89 years in Employment,2019Q4,25 - 34 years,37.2
Average hours worked per week for persons aged 15-89 years in Employment,2019Q4,35 - 44 years,37.5
Average hours worked per week for persons aged 15-89 years in Employment,2019Q4,45 - 54 years,37.8
Average hours worked per week for persons aged 15-89 years in Employment,2019Q4,55 - 59 years,37.3
Average hours worked per week for persons aged 15-89 years in Employment,2019Q4,60 - 64 years,35.5
Average hours worked per week for persons aged 15-89 years in Employment,2019Q4,65 years and over,33.5
Average hours worked per week for persons aged 15-89 years in Employment,2020Q1,15 - 19 years,17.9
Average hours worked per week for persons aged 15-89 years in Employment,2020Q1,15 - 64 years,36.3
Average hours worked per week for persons aged 15-89 years in Employment,2020Q1,15 - 74 years,36.2
Average hours worked per week for persons aged 15-89 years in Employment,2020Q1,15 years and over,36.2
Average hours worked per week for persons aged 15-89 years in Employment,2020Q1,20 - 24 years,31.0
Average hours worked per week for persons aged 15-89 years in Employment,2020Q1,25 - 34 years,37.4
Average hours worked per week for persons aged 15-89 years in Employment,2020Q1,35 - 44 years,37.6
Average hours worked per week for persons aged 15-89 years in Employment,2020Q1,45 - 54 years,37.7
Average hours worked per week for persons aged 15-89 years in Employment,2020Q1,55 - 59 years,36.8
Average hours worked per week for persons aged 15-89 years in Employment,2020Q1,60 - 64 years,35.6
Average hours worked per week for persons aged 15-89 years in Employment,2020Q1,65 years and over,33.7
Average hours worked per week for persons aged 15-89 years in Employment,2020Q2,15 - 19 years,23.5
Average hours worked per week for persons aged 15-89 years in Employment,2020Q2,15 - 64 years,37.1
Average hours worked per week for persons aged 15-89 years in Employment,2020Q2,15 - 74 years,37.1
Average hours worked per week for persons aged 15-89 years in Employment,2020Q2,15 years and over,37.0
Average hours worked per week for persons aged 15-89 years in Employment,2020Q2,20 - 24 years,32.9
Average hours worked per week for persons aged 15-89 years in Employment,2020Q2,25 - 34 years,37.8
Average hours worked per week for persons aged 15-89 years in Employment,2020Q2,35 - 44 years,37.8
Average hours worked per week for persons aged 15-89 years in Employment,2020Q2,45 - 54 years,38.3
Average hours worked per week for persons aged 15-89 years in Employment,2020Q2,55 - 59 years,37.4
Average hours worked per week for persons aged 15-89 years in Employment,2020Q2,60 - 64 years,35.6
Average hours worked per week for persons aged 15-89 years in Employment,2020Q2,65 years and over,35.0
Average hours worked per week for persons aged 15-89 years in Employment,2020Q3,15 - 19 years,24.0
Average hours worked per week for persons aged 15-89 years in Employment,2020Q3,15 - 64 years,36.7
Average hours worked per week for persons aged 15-89 years in Employment,2020Q3,15 - 74 years,36.6
Average hours worked per week for persons aged 15-89 years in Employment,2020Q3,15 years and over,36.6
Average hours worked per week for persons aged 15-89 years in Employment,2020Q3,20 - 24 years,33.0
Average hours worked per week for persons aged 15-89 years in Employment,2020Q3,25 - 34 years,37.1
Average hours worked per week for persons aged 15-89 years in Employment,2020Q3,35 - 44 years,37.5
Average hours worked per week for persons aged 15-89 years in Employment,2020Q3,45 - 54 years,37.8
Average hours worked per week for persons aged 15-89 years in Employment,2020Q3,55 - 59 years,37.2
Average hours worked per week for persons aged 15-89 years in Employment,2020Q3,60 - 64 years,35.1
Average hours worked per week for persons aged 15-89 years in Employment,2020Q3,65 years and over,34.0
Average hours worked per week for persons aged 15-89 years in Employment,2020Q4,15 - 19 years,20.3
Average hours worked per week for persons aged 15-89 years in Employment,2020Q4,15 - 64 years,36.7
Average hours worked per week for persons aged 15-89 years in Employment,2020Q4,15 - 74 years,36.6
Average hours worked per week for persons aged 15-89 years in Employment,2020Q4,15 years and over,36.6
