Statistic,Sex,NACE Rev 2 Economic Sector,Region,Quarter,value
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",Mid-West,2011Q1,3.4
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",Mid-West,2011Q2,3.4
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",Mid-West,2011Q3,3.8
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",Mid-West,2011Q4,3.8
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,1998Q1,2.6
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,1998Q2,2.5
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,1998Q3,2.4
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,1998Q4,2.4
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,1999Q1,3.1
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,1999Q2,3.3
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,1999Q3,3.4
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,1999Q4,3.5
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,2000Q1,3.2
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,2000Q2,2.8
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,2000Q3,3.2
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,2000Q4,3.4
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,2001Q1,3.5
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,2001Q2,3.8
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,2001Q3,4.4
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,2001Q4,4.4
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,2002Q1,4.6
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,2002Q2,5.0
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,2002Q3,5.0
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,2002Q4,4.9
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,2003Q1,5.0
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,2003Q2,5.2
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,2003Q3,4.8
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,2003Q4,4.2
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,2004Q1,3.3
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,2004Q2,3.8
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,2004Q3,3.4
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,2004Q4,3.2
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,2005Q1,3.7
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,2005Q2,3.6
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,2005Q3,4.3
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,2005Q4,4.3
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,2006Q1,4.4
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,2006Q2,4.3
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,2006Q3,4.2
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,2006Q4,4.1
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,2007Q1,3.9
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,2007Q2,4.4
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,2007Q3,4.8
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,2007Q4,4.9
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,2008Q1,4.6
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,2008Q2,4.5
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,2008Q3,4.4
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,2008Q4,5.1
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,2009Q1,4.4
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,2009Q2,4.1
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,2009Q3,5.0
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,2009Q4,5.4
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,2010Q1,3.9
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,2010Q2,4.0
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,2010Q3,3.9
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,2010Q4,3.5
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,2011Q1,4.0
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,2011Q2,3.6
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,2011Q3,3.6
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-East,2011Q4,4.3
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,1998Q1,4.9
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,1998Q2,5.3
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,1998Q3,5.6
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,1998Q4,5.1
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,1999Q1,5.1
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,1999Q2,5.6
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,1999Q3,5.7
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,1999Q4,5.5
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,2000Q1,5.6
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,2000Q2,6.5
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,2000Q3,5.8
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,2000Q4,5.7
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,2001Q1,5.9
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,2001Q2,5.7
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,2001Q3,5.7
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,2001Q4,6.2
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,2002Q1,6.1
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,2002Q2,6.2
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,2002Q3,6.2
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,2002Q4,6.5
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,2003Q1,5.9
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,2003Q2,6.2
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,2003Q3,6.7
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,2003Q4,6.0
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,2004Q1,5.3
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,2004Q2,5.7
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,2004Q3,6.6
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,2004Q4,6.0
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,2005Q1,5.7
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,2005Q2,6.9
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,2005Q3,6.3
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,2005Q4,6.1
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,2006Q1,6.1
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,2006Q2,5.6
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,2006Q3,5.2
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,2006Q4,5.1
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,2007Q1,5.6
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,2007Q2,6.1
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,2007Q3,6.3
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,2007Q4,6.1
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,2008Q1,6.4
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,2008Q2,5.9
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,2008Q3,6.2
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,2008Q4,6.5
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,2009Q1,6.4
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,2009Q2,6.1
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,2009Q3,6.4
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,2009Q4,6.4
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,2010Q1,6.2
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,2010Q2,7.3
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,2010Q3,6.3
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,2010Q4,6.0
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,2011Q1,6.4
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,2011Q2,5.7
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,2011Q3,6.7
Person aged 15 years and over in Employment ,Male,"Public administration and defence, compulsory social security (O)",South-West,2011Q4,6.2
Person aged 15 years and over in Employment ,Male,Education (P),State,1998Q1,32.7
Person aged 15 years and over in Employment ,Male,Education (P),State,1998Q2,32.8
Person aged 15 years and over in Employment ,Male,Education (P),State,1998Q3,32.8
Person aged 15 years and over in Employment ,Male,Education (P),State,1998Q4,33.4
Person aged 15 years and over in Employment ,Male,Education (P),State,1999Q1,33.2
Person aged 15 years and over in Employment ,Male,Education (P),State,1999Q2,32.6
Person aged 15 years and over in Employment ,Male,Education (P),State,1999Q3,33.0
Person aged 15 years and over in Employment ,Male,Education (P),State,1999Q4,32.2
Person aged 15 years and over in Employment ,Male,Education (P),State,2000Q1,33.8
Person aged 15 years and over in Employment ,Male,Education (P),State,2000Q2,33.8
Person aged 15 years and over in Employment ,Male,Education (P),State,2000Q3,33.8
Person aged 15 years and over in Employment ,Male,Education (P),State,2000Q4,35.0
Person aged 15 years and over in Employment ,Male,Education (P),State,2001Q1,33.2
Person aged 15 years and over in Employment ,Male,Education (P),State,2001Q2,32.8
Person aged 15 years and over in Employment ,Male,Education (P),State,2001Q3,33.8
Person aged 15 years and over in Employment ,Male,Education (P),State,2001Q4,33.2
Person aged 15 years and over in Employment ,Male,Education (P),State,2002Q1,33.7
Person aged 15 years and over in Employment ,Male,Education (P),State,2002Q2,33.6
Person aged 15 years and over in Employment ,Male,Education (P),State,2002Q3,34.3
Person aged 15 years and over in Employment ,Male,Education (P),State,2002Q4,34.7
Person aged 15 years and over in Employment ,Male,Education (P),State,2003Q1,35.2
Person aged 15 years and over in Employment ,Male,Education (P),State,2003Q2,34.8
Person aged 15 years and over in Employment ,Male,Education (P),State,2003Q3,34.3
Person aged 15 years and over in Employment ,Male,Education (P),State,2003Q4,35.7
Person aged 15 years and over in Employment ,Male,Education (P),State,2004Q1,33.9
Person aged 15 years and over in Employment ,Male,Education (P),State,2004Q2,35.8
Person aged 15 years and over in Employment ,Male,Education (P),State,2004Q3,35.2
Person aged 15 years and over in Employment ,Male,Education (P),State,2004Q4,34.9
Person aged 15 years and over in Employment ,Male,Education (P),State,2005Q1,35.7
Person aged 15 years and over in Employment ,Male,Education (P),State,2005Q2,36.7
Person aged 15 years and over in Employment ,Male,Education (P),State,2005Q3,35.9
Person aged 15 years and over in Employment ,Male,Education (P),State,2005Q4,37.3
Person aged 15 years and over in Employment ,Male,Education (P),State,2006Q1,39.1
Person aged 15 years and over in Employment ,Male,Education (P),State,2006Q2,39.3
Person aged 15 years and over in Employment ,Male,Education (P),State,2006Q3,34.8
Person aged 15 years and over in Employment ,Male,Education (P),State,2006Q4,38.4
Person aged 15 years and over in Employment ,Male,Education (P),State,2007Q1,38.1
Person aged 15 years and over in Employment ,Male,Education (P),State,2007Q2,38.0
Person aged 15 years and over in Employment ,Male,Education (P),State,2007Q3,34.5
Person aged 15 years and over in Employment ,Male,Education (P),State,2007Q4,36.7
Person aged 15 years and over in Employment ,Male,Education (P),State,2008Q1,36.1
Person aged 15 years and over in Employment ,Male,Education (P),State,2008Q2,38.5
Person aged 15 years and over in Employment ,Male,Education (P),State,2008Q3,36.4
Person aged 15 years and over in Employment ,Male,Education (P),State,2008Q4,40.6
Person aged 15 years and over in Employment ,Male,Education (P),State,2009Q1,39.1
Person aged 15 years and over in Employment ,Male,Education (P),State,2009Q2,37.9
Person aged 15 years and over in Employment ,Male,Education (P),State,2009Q3,35.8
Person aged 15 years and over in Employment ,Male,Education (P),State,2009Q4,36.6
Person aged 15 years and over in Employment ,Male,Education (P),State,2010Q1,37.9
Person aged 15 years and over in Employment ,Male,Education (P),State,2010Q2,36.8
Person aged 15 years and over in Employment ,Male,Education (P),State,2010Q3,35.9
Person aged 15 years and over in Employment ,Male,Education (P),State,2010Q4,37.2
Person aged 15 years and over in Employment ,Male,Education (P),State,2011Q1,34.5
Person aged 15 years and over in Employment ,Male,Education (P),State,2011Q2,34.2
Person aged 15 years and over in Employment ,Male,Education (P),State,2011Q3,31.0
Person aged 15 years and over in Employment ,Male,Education (P),State,2011Q4,34.9
Person aged 15 years and over in Employment ,Male,Education (P),Border,1998Q1,2.7
Person aged 15 years and over in Employment ,Male,Education (P),Border,1998Q2,2.8
Person aged 15 years and over in Employment ,Male,Education (P),Border,1998Q3,3.0
Person aged 15 years and over in Employment ,Male,Education (P),Border,1998Q4,3.3
Person aged 15 years and over in Employment ,Male,Education (P),Border,1999Q1,3.2
Person aged 15 years and over in Employment ,Male,Education (P),Border,1999Q2,3.4
Person aged 15 years and over in Employment ,Male,Education (P),Border,1999Q3,3.3
Person aged 15 years and over in Employment ,Male,Education (P),Border,1999Q4,3.2
Person aged 15 years and over in Employment ,Male,Education (P),Border,2000Q1,3.0
Person aged 15 years and over in Employment ,Male,Education (P),Border,2000Q2,3.4
Person aged 15 years and over in Employment ,Male,Education (P),Border,2000Q3,3.4
Person aged 15 years and over in Employment ,Male,Education (P),Border,2000Q4,3.5
Person aged 15 years and over in Employment ,Male,Education (P),Border,2001Q1,3.3
Person aged 15 years and over in Employment ,Male,Education (P),Border,2001Q2,3.1
Person aged 15 years and over in Employment ,Male,Education (P),Border,2001Q3,3.3
Person aged 15 years and over in Employment ,Male,Education (P),Border,2001Q4,3.1
Person aged 15 years and over in Employment ,Male,Education (P),Border,2002Q1,3.1
Person aged 15 years and over in Employment ,Male,Education (P),Border,2002Q2,2.8
Person aged 15 years and over in Employment ,Male,Education (P),Border,2002Q3,3.0
Person aged 15 years and over in Employment ,Male,Education (P),Border,2002Q4,3.2
Person aged 15 years and over in Employment ,Male,Education (P),Border,2003Q1,3.5
Person aged 15 years and over in Employment ,Male,Education (P),Border,2003Q2,3.7
Person aged 15 years and over in Employment ,Male,Education (P),Border,2003Q3,3.6
Person aged 15 years and over in Employment ,Male,Education (P),Border,2003Q4,3.6
Person aged 15 years and over in Employment ,Male,Education (P),Border,2004Q1,3.1
Person aged 15 years and over in Employment ,Male,Education (P),Border,2004Q2,3.4
Person aged 15 years and over in Employment ,Male,Education (P),Border,2004Q3,3.8
Person aged 15 years and over in Employment ,Male,Education (P),Border,2004Q4,3.7
Person aged 15 years and over in Employment ,Male,Education (P),Border,2005Q1,3.7
Person aged 15 years and over in Employment ,Male,Education (P),Border,2005Q2,3.7
Person aged 15 years and over in Employment ,Male,Education (P),Border,2005Q3,3.7
Person aged 15 years and over in Employment ,Male,Education (P),Border,2005Q4,3.3
Person aged 15 years and over in Employment ,Male,Education (P),Border,2006Q1,3.9
Person aged 15 years and over in Employment ,Male,Education (P),Border,2006Q2,4.2
Person aged 15 years and over in Employment ,Male,Education (P),Border,2006Q3,3.7
Person aged 15 years and over in Employment ,Male,Education (P),Border,2006Q4,3.9
Person aged 15 years and over in Employment ,Male,Education (P),Border,2007Q1,4.1
Person aged 15 years and over in Employment ,Male,Education (P),Border,2007Q2,4.0
Person aged 15 years and over in Employment ,Male,Education (P),Border,2007Q3,3.3
Person aged 15 years and over in Employment ,Male,Education (P),Border,2007Q4,3.1
Person aged 15 years and over in Employment ,Male,Education (P),Border,2008Q1,3.1
Person aged 15 years and over in Employment ,Male,Education (P),Border,2008Q2,3.0
Person aged 15 years and over in Employment ,Male,Education (P),Border,2008Q3,3.1
Person aged 15 years and over in Employment ,Male,Education (P),Border,2008Q4,3.5
Person aged 15 years and over in Employment ,Male,Education (P),Border,2009Q1,3.1
Person aged 15 years and over in Employment ,Male,Education (P),Border,2009Q2,3.4
Person aged 15 years and over in Employment ,Male,Education (P),Border,2009Q3,3.2
Person aged 15 years and over in Employment ,Male,Education (P),Border,2009Q4,3.1
Person aged 15 years and over in Employment ,Male,Education (P),Border,2010Q1,3.6
Person aged 15 years and over in Employment ,Male,Education (P),Border,2010Q2,3.6
Person aged 15 years and over in Employment ,Male,Education (P),Border,2010Q3,3.4
Person aged 15 years and over in Employment ,Male,Education (P),Border,2010Q4,3.5
Person aged 15 years and over in Employment ,Male,Education (P),Border,2011Q1,
Person aged 15 years and over in Employment ,Male,Education (P),Border,2011Q2,2.9
Person aged 15 years and over in Employment ,Male,Education (P),Border,2011Q3,3.0
Person aged 15 years and over in Employment ,Male,Education (P),Border,2011Q4,3.1
Person aged 15 years and over in Employment ,Male,Education (P),Midland,1998Q1,2.2
Person aged 15 years and over in Employment ,Male,Education (P),Midland,1998Q2,1.8
Person aged 15 years and over in Employment ,Male,Education (P),Midland,1998Q3,1.7
Person aged 15 years and over in Employment ,Male,Education (P),Midland,1998Q4,1.9
Person aged 15 years and over in Employment ,Male,Education (P),Midland,1999Q1,1.4
Person aged 15 years and over in Employment ,Male,Education (P),Midland,1999Q2,1.3
Person aged 15 years and over in Employment ,Male,Education (P),Midland,1999Q3,1.4
Person aged 15 years and over in Employment ,Male,Education (P),Midland,1999Q4,1.2
Person aged 15 years and over in Employment ,Male,Education (P),Midland,2000Q1,1.5
Person aged 15 years and over in Employment ,Male,Education (P),Midland,2000Q2,1.5
Person aged 15 years and over in Employment ,Male,Education (P),Midland,2000Q3,1.4
Person aged 15 years and over in Employment ,Male,Education (P),Midland,2000Q4,1.3
Person aged 15 years and over in Employment ,Male,Education (P),Midland,2001Q1,1.3
Person aged 15 years and over in Employment ,Male,Education (P),Midland,2001Q2,1.5
Person aged 15 years and over in Employment ,Male,Education (P),Midland,2001Q3,1.6
Person aged 15 years and over in Employment ,Male,Education (P),Midland,2001Q4,1.6
Person aged 15 years and over in Employment ,Male,Education (P),Midland,2002Q1,1.8
Person aged 15 years and over in Employment ,Male,Education (P),Midland,2002Q2,1.6
Person aged 15 years and over in Employment ,Male,Education (P),Midland,2002Q3,1.4
Person aged 15 years and over in Employment ,Male,Education (P),Midland,2002Q4,1.1
Person aged 15 years and over in Employment ,Male,Education (P),Midland,2003Q1,1.1
Person aged 15 years and over in Employment ,Male,Education (P),Midland,2003Q2,1.2
Person aged 15 years and over in Employment ,Male,Education (P),Midland,2003Q3,1.4
Person aged 15 years and over in Employment ,Male,Education (P),Midland,2003Q4,1.5
Person aged 15 years and over in Employment ,Male,Education (P),Midland,2004Q1,1.9
Person aged 15 years and over in Employment ,Male,Education (P),Midland,2004Q2,1.8
Person aged 15 years and over in Employment ,Male,Education (P),Midland,2004Q3,1.9
Person aged 15 years and over in Employment ,Male,Education (P),Midland,2004Q4,1.9
Person aged 15 years and over in Employment ,Male,Education (P),Midland,2005Q1,1.9
Person aged 15 years and over in Employment ,Male,Education (P),Midland,2005Q2,1.8
Person aged 15 years and over in Employment ,Male,Education (P),Midland,2005Q3,1.9
Person aged 15 years and over in Employment ,Male,Education (P),Midland,2005Q4,1.6
Person aged 15 years and over in Employment ,Male,Education (P),Midland,2006Q1,1.4
Person aged 15 years and over in Employment ,Male,Education (P),Midland,2006Q2,1.5
Person aged 15 years and over in Employment ,Male,Education (P),Midland,2006Q3,1.4
Person aged 15 years and over in Employment ,Male,Education (P),Midland,2006Q4,1.3
Person aged 15 years and over in Employment ,Male,Education (P),Midland,2007Q1,1.2
Person aged 15 years and over in Employment ,Male,Education (P),Midland,2007Q2,1.3
Person aged 15 years and over in Employment ,Male,Education (P),Midland,2007Q3,
Person aged 15 years and over in Employment ,Male,Education (P),Midland,2007Q4,
Person aged 15 years and over in Employment ,Male,Education (P),Midland,2008Q1,
Person aged 15 years and over in Employment ,Male,Education (P),Midland,2008Q2,
Person aged 15 years and over in Employment ,Male,Education (P),Midland,2008Q3,
Person aged 15 years and over in Employment ,Male,Education (P),Midland,2008Q4,
Person aged 15 years and over in Employment ,Male,Education (P),Midland,2009Q1,
Person aged 15 years and over in Employment ,Male,Education (P),Midland,2009Q2,
Person aged 15 years and over in Employment ,Male,Education (P),Midland,2009Q3,
Person aged 15 years and over in Employment ,Male,Education (P),Midland,2009Q4,
Person aged 15 years and over in Employment ,Male,Education (P),Midland,2010Q1,
Person aged 15 years and over in Employment ,Male,Education (P),Midland,2010Q2,2.1
Person aged 15 years and over in Employment ,Male,Education (P),Midland,2010Q3,
Person aged 15 years and over in Employment ,Male,Education (P),Midland,2010Q4,
Person aged 15 years and over in Employment ,Male,Education (P),Midland,2011Q1,
Person aged 15 years and over in Employment ,Male,Education (P),Midland,2011Q2,
Person aged 15 years and over in Employment ,Male,Education (P),Midland,2011Q3,
Person aged 15 years and over in Employment ,Male,Education (P),Midland,2011Q4,
Person aged 15 years and over in Employment ,Male,Education (P),West,1998Q1,3.6
Person aged 15 years and over in Employment ,Male,Education (P),West,1998Q2,3.5
Person aged 15 years and over in Employment ,Male,Education (P),West,1998Q3,3.0
Person aged 15 years and over in Employment ,Male,Education (P),West,1998Q4,3.1
Person aged 15 years and over in Employment ,Male,Education (P),West,1999Q1,3.0
Person aged 15 years and over in Employment ,Male,Education (P),West,1999Q2,2.9
Person aged 15 years and over in Employment ,Male,Education (P),West,1999Q3,2.9
Person aged 15 years and over in Employment ,Male,Education (P),West,1999Q4,2.5
Person aged 15 years and over in Employment ,Male,Education (P),West,2000Q1,2.7
Person aged 15 years and over in Employment ,Male,Education (P),West,2000Q2,3.0
Person aged 15 years and over in Employment ,Male,Education (P),West,2000Q3,3.1
Person aged 15 years and over in Employment ,Male,Education (P),West,2000Q4,3.4
Person aged 15 years and over in Employment ,Male,Education (P),West,2001Q1,2.6
Person aged 15 years and over in Employment ,Male,Education (P),West,2001Q2,3.2
Person aged 15 years and over in Employment ,Male,Education (P),West,2001Q3,3.1
Person aged 15 years and over in Employment ,Male,Education (P),West,2001Q4,3.0
Person aged 15 years and over in Employment ,Male,Education (P),West,2002Q1,3.0
Person aged 15 years and over in Employment ,Male,Education (P),West,2002Q2,3.3
Person aged 15 years and over in Employment ,Male,Education (P),West,2002Q3,3.1
Person aged 15 years and over in Employment ,Male,Education (P),West,2002Q4,3.4
Person aged 15 years and over in Employment ,Male,Education (P),West,2003Q1,3.5
Person aged 15 years and over in Employment ,Male,Education (P),West,2003Q2,3.5
Person aged 15 years and over in Employment ,Male,Education (P),West,2003Q3,3.0
Person aged 15 years and over in Employment ,Male,Education (P),West,2003Q4,3.4
Person aged 15 years and over in Employment ,Male,Education (P),West,2004Q1,2.9
Person aged 15 years and over in Employment ,Male,Education (P),West,2004Q2,3.0
Person aged 15 years and over in Employment ,Male,Education (P),West,2004Q3,3.6
Person aged 15 years and over in Employment ,Male,Education (P),West,2004Q4,3.8
Person aged 15 years and over in Employment ,Male,Education (P),West,2005Q1,3.9
Person aged 15 years and over in Employment ,Male,Education (P),West,2005Q2,4.2
Person aged 15 years and over in Employment ,Male,Education (P),West,2005Q3,3.6
Person aged 15 years and over in Employment ,Male,Education (P),West,2005Q4,3.8
Person aged 15 years and over in Employment ,Male,Education (P),West,2006Q1,4.0
Person aged 15 years and over in Employment ,Male,Education (P),West,2006Q2,3.7
Person aged 15 years and over in Employment ,Male,Education (P),West,2006Q3,3.3
Person aged 15 years and over in Employment ,Male,Education (P),West,2006Q4,3.7
Person aged 15 years and over in Employment ,Male,Education (P),West,2007Q1,4.0
Person aged 15 years and over in Employment ,Male,Education (P),West,2007Q2,4.1
Person aged 15 years and over in Employment ,Male,Education (P),West,2007Q3,2.8
Person aged 15 years and over in Employment ,Male,Education (P),West,2007Q4,3.8
Person aged 15 years and over in Employment ,Male,Education (P),West,2008Q1,3.5
Person aged 15 years and over in Employment ,Male,Education (P),West,2008Q2,4.2
Person aged 15 years and over in Employment ,Male,Education (P),West,2008Q3,3.9
Person aged 15 years and over in Employment ,Male,Education (P),West,2008Q4,4.7
Person aged 15 years and over in Employment ,Male,Education (P),West,2009Q1,4.7
Person aged 15 years and over in Employment ,Male,Education (P),West,2009Q2,4.6
Person aged 15 years and over in Employment ,Male,Education (P),West,2009Q3,4.2
Person aged 15 years and over in Employment ,Male,Education (P),West,2009Q4,4.4
