Statistic,Quarter,Detailed Occupational Group,NACE Rev 2 Economic Sector,value
Persons aged 15 years and over in Employment (ILO),2015Q3,"1 Managers, directors and senior officials",Services (G to U),142.1
Persons aged 15 years and over in Employment (ILO),2015Q3,"1 Managers, directors and senior officials",Not stated,
Persons aged 15 years and over in Employment (ILO),2015Q3,2 Professional,All NACE economic sectors,408.4
Persons aged 15 years and over in Employment (ILO),2015Q3,2 Professional,"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment (ILO),2015Q3,2 Professional,Construction (F),3.1
Persons aged 15 years and over in Employment (ILO),2015Q3,2 Professional,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),10.4
Persons aged 15 years and over in Employment (ILO),2015Q3,2 Professional,Transportation and storage (H),
Persons aged 15 years and over in Employment (ILO),2015Q3,2 Professional,Accommodation and food service activities (I),
Persons aged 15 years and over in Employment (ILO),2015Q3,2 Professional,Information and communication (J),39.4
Persons aged 15 years and over in Employment (ILO),2015Q3,2 Professional,"Professional, scientific and technical activities (M)",69.0
Persons aged 15 years and over in Employment (ILO),2015Q3,2 Professional,Administrative and support service activities (N),
Persons aged 15 years and over in Employment (ILO),2015Q3,2 Professional,Public administration and defence; compulsory social security (O),18.1
Persons aged 15 years and over in Employment (ILO),2015Q3,2 Professional,Education (P),97.7
Persons aged 15 years and over in Employment (ILO),2015Q3,2 Professional,Human health and social work activities (Q),102.2
Persons aged 15 years and over in Employment (ILO),2015Q3,2 Professional,Industry (B to E),31.6
Persons aged 15 years and over in Employment (ILO),2015Q3,2 Professional,"Financial, insurance and real estate activities (K, L)",20.9
Persons aged 15 years and over in Employment (ILO),2015Q3,2 Professional,Other NACE activities (R to U),9.3
Persons aged 15 years and over in Employment (ILO),2015Q3,2 Professional,Industry and Construction (B to F),34.7
Persons aged 15 years and over in Employment (ILO),2015Q3,2 Professional,Services (G to U),372.8
Persons aged 15 years and over in Employment (ILO),2015Q3,2 Professional,Not stated,
Persons aged 15 years and over in Employment (ILO),2015Q3,3 Associate professional and technical,All NACE economic sectors,258.9
Persons aged 15 years and over in Employment (ILO),2015Q3,3 Associate professional and technical,"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment (ILO),2015Q3,3 Associate professional and technical,Construction (F),5.0
Persons aged 15 years and over in Employment (ILO),2015Q3,3 Associate professional and technical,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),28.4
Persons aged 15 years and over in Employment (ILO),2015Q3,3 Associate professional and technical,Transportation and storage (H),4.3
Persons aged 15 years and over in Employment (ILO),2015Q3,3 Associate professional and technical,Accommodation and food service activities (I),4.1
Persons aged 15 years and over in Employment (ILO),2015Q3,3 Associate professional and technical,Information and communication (J),28.4
Persons aged 15 years and over in Employment (ILO),2015Q3,3 Associate professional and technical,"Professional, scientific and technical activities (M)",24.5
Persons aged 15 years and over in Employment (ILO),2015Q3,3 Associate professional and technical,Administrative and support service activities (N),9.1
Persons aged 15 years and over in Employment (ILO),2015Q3,3 Associate professional and technical,Public administration and defence; compulsory social security (O),29.6
Persons aged 15 years and over in Employment (ILO),2015Q3,3 Associate professional and technical,Education (P),9.3
Persons aged 15 years and over in Employment (ILO),2015Q3,3 Associate professional and technical,Human health and social work activities (Q),22.8
Persons aged 15 years and over in Employment (ILO),2015Q3,3 Associate professional and technical,Industry (B to E),40.6
Persons aged 15 years and over in Employment (ILO),2015Q3,3 Associate professional and technical,"Financial, insurance and real estate activities (K, L)",28.9
Persons aged 15 years and over in Employment (ILO),2015Q3,3 Associate professional and technical,Other NACE activities (R to U),22.0
Persons aged 15 years and over in Employment (ILO),2015Q3,3 Associate professional and technical,Industry and Construction (B to F),45.5
Persons aged 15 years and over in Employment (ILO),2015Q3,3 Associate professional and technical,Services (G to U),211.3
Persons aged 15 years and over in Employment (ILO),2015Q3,3 Associate professional and technical,Not stated,
Persons aged 15 years and over in Employment (ILO),2015Q3,4 Administrative and secreterial,All NACE economic sectors,201.3
Persons aged 15 years and over in Employment (ILO),2015Q3,4 Administrative and secreterial,"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment (ILO),2015Q3,4 Administrative and secreterial,Construction (F),4.0
Persons aged 15 years and over in Employment (ILO),2015Q3,4 Administrative and secreterial,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),19.6
Persons aged 15 years and over in Employment (ILO),2015Q3,4 Administrative and secreterial,Transportation and storage (H),8.7
Persons aged 15 years and over in Employment (ILO),2015Q3,4 Administrative and secreterial,Accommodation and food service activities (I),6.3
Persons aged 15 years and over in Employment (ILO),2015Q3,4 Administrative and secreterial,Information and communication (J),7.0
Persons aged 15 years and over in Employment (ILO),2015Q3,4 Administrative and secreterial,"Professional, scientific and technical activities (M)",15.6
Persons aged 15 years and over in Employment (ILO),2015Q3,4 Administrative and secreterial,Administrative and support service activities (N),13.9
Persons aged 15 years and over in Employment (ILO),2015Q3,4 Administrative and secreterial,Public administration and defence; compulsory social security (O),30.2
Persons aged 15 years and over in Employment (ILO),2015Q3,4 Administrative and secreterial,Education (P),8.9
Persons aged 15 years and over in Employment (ILO),2015Q3,4 Administrative and secreterial,Human health and social work activities (Q),25.0
Persons aged 15 years and over in Employment (ILO),2015Q3,4 Administrative and secreterial,Industry (B to E),16.5
Persons aged 15 years and over in Employment (ILO),2015Q3,4 Administrative and secreterial,"Financial, insurance and real estate activities (K, L)",30.1
Persons aged 15 years and over in Employment (ILO),2015Q3,4 Administrative and secreterial,Other NACE activities (R to U),12.5
Persons aged 15 years and over in Employment (ILO),2015Q3,4 Administrative and secreterial,Industry and Construction (B to F),20.5
Persons aged 15 years and over in Employment (ILO),2015Q3,4 Administrative and secreterial,Services (G to U),177.7
Persons aged 15 years and over in Employment (ILO),2015Q3,4 Administrative and secreterial,Not stated,
Persons aged 15 years and over in Employment (ILO),2015Q3,5 Skilled trades,All NACE economic sectors,293.1
Persons aged 15 years and over in Employment (ILO),2015Q3,5 Skilled trades,"Agriculture, forestry and fishing (A)",85.3
Persons aged 15 years and over in Employment (ILO),2015Q3,5 Skilled trades,Construction (F),59.3
Persons aged 15 years and over in Employment (ILO),2015Q3,5 Skilled trades,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),24.5
Persons aged 15 years and over in Employment (ILO),2015Q3,5 Skilled trades,Transportation and storage (H),
Persons aged 15 years and over in Employment (ILO),2015Q3,5 Skilled trades,Accommodation and food service activities (I),24.4
Persons aged 15 years and over in Employment (ILO),2015Q3,5 Skilled trades,Information and communication (J),8.4
Persons aged 15 years and over in Employment (ILO),2015Q3,5 Skilled trades,"Professional, scientific and technical activities (M)",9.7
Persons aged 15 years and over in Employment (ILO),2015Q3,5 Skilled trades,Administrative and support service activities (N),7.5
Persons aged 15 years and over in Employment (ILO),2015Q3,5 Skilled trades,Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment (ILO),2015Q3,5 Skilled trades,Education (P),
Persons aged 15 years and over in Employment (ILO),2015Q3,5 Skilled trades,Human health and social work activities (Q),5.5
Persons aged 15 years and over in Employment (ILO),2015Q3,5 Skilled trades,Industry (B to E),53.8
Persons aged 15 years and over in Employment (ILO),2015Q3,5 Skilled trades,"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment (ILO),2015Q3,5 Skilled trades,Other NACE activities (R to U),6.2
Persons aged 15 years and over in Employment (ILO),2015Q3,5 Skilled trades,Industry and Construction (B to F),113.1
Persons aged 15 years and over in Employment (ILO),2015Q3,5 Skilled trades,Services (G to U),93.9
Persons aged 15 years and over in Employment (ILO),2015Q3,5 Skilled trades,Not stated,
Persons aged 15 years and over in Employment (ILO),2015Q3,"6 Caring, leisure and other services",All NACE economic sectors,163.8
Persons aged 15 years and over in Employment (ILO),2015Q3,"6 Caring, leisure and other services","Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment (ILO),2015Q3,"6 Caring, leisure and other services",Construction (F),
Persons aged 15 years and over in Employment (ILO),2015Q3,"6 Caring, leisure and other services",Wholesale and retail trade; repair of motor vehicles and motorcycles (G),
Persons aged 15 years and over in Employment (ILO),2015Q3,"6 Caring, leisure and other services",Transportation and storage (H),
Persons aged 15 years and over in Employment (ILO),2015Q3,"6 Caring, leisure and other services",Accommodation and food service activities (I),5.8
Persons aged 15 years and over in Employment (ILO),2015Q3,"6 Caring, leisure and other services",Information and communication (J),
Persons aged 15 years and over in Employment (ILO),2015Q3,"6 Caring, leisure and other services","Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment (ILO),2015Q3,"6 Caring, leisure and other services",Administrative and support service activities (N),4.1
Persons aged 15 years and over in Employment (ILO),2015Q3,"6 Caring, leisure and other services",Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment (ILO),2015Q3,"6 Caring, leisure and other services",Education (P),15.6
Persons aged 15 years and over in Employment (ILO),2015Q3,"6 Caring, leisure and other services",Human health and social work activities (Q),91.1
Persons aged 15 years and over in Employment (ILO),2015Q3,"6 Caring, leisure and other services",Industry (B to E),
Persons aged 15 years and over in Employment (ILO),2015Q3,"6 Caring, leisure and other services","Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment (ILO),2015Q3,"6 Caring, leisure and other services",Other NACE activities (R to U),37.2
Persons aged 15 years and over in Employment (ILO),2015Q3,"6 Caring, leisure and other services",Industry and Construction (B to F),
Persons aged 15 years and over in Employment (ILO),2015Q3,"6 Caring, leisure and other services",Services (G to U),160.8
Persons aged 15 years and over in Employment (ILO),2015Q3,"6 Caring, leisure and other services",Not stated,
Persons aged 15 years and over in Employment (ILO),2015Q3,7 Sales and customer service,All NACE economic sectors,169.8
Persons aged 15 years and over in Employment (ILO),2015Q3,7 Sales and customer service,"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment (ILO),2015Q3,7 Sales and customer service,Construction (F),
Persons aged 15 years and over in Employment (ILO),2015Q3,7 Sales and customer service,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),122.6
Persons aged 15 years and over in Employment (ILO),2015Q3,7 Sales and customer service,Transportation and storage (H),
Persons aged 15 years and over in Employment (ILO),2015Q3,7 Sales and customer service,Accommodation and food service activities (I),7.3
Persons aged 15 years and over in Employment (ILO),2015Q3,7 Sales and customer service,Information and communication (J),4.9
Persons aged 15 years and over in Employment (ILO),2015Q3,7 Sales and customer service,"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment (ILO),2015Q3,7 Sales and customer service,Administrative and support service activities (N),6.7
Persons aged 15 years and over in Employment (ILO),2015Q3,7 Sales and customer service,Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment (ILO),2015Q3,7 Sales and customer service,Education (P),
Persons aged 15 years and over in Employment (ILO),2015Q3,7 Sales and customer service,Human health and social work activities (Q),
Persons aged 15 years and over in Employment (ILO),2015Q3,7 Sales and customer service,Industry (B to E),7.4
Persons aged 15 years and over in Employment (ILO),2015Q3,7 Sales and customer service,"Financial, insurance and real estate activities (K, L)",7.7
Persons aged 15 years and over in Employment (ILO),2015Q3,7 Sales and customer service,Other NACE activities (R to U),3.8
Persons aged 15 years and over in Employment (ILO),2015Q3,7 Sales and customer service,Industry and Construction (B to F),8.5
Persons aged 15 years and over in Employment (ILO),2015Q3,7 Sales and customer service,Services (G to U),160.5
Persons aged 15 years and over in Employment (ILO),2015Q3,7 Sales and customer service,Not stated,
Persons aged 15 years and over in Employment (ILO),2015Q3,"8 Process, plant and machine operatives",All NACE economic sectors,158.4
Persons aged 15 years and over in Employment (ILO),2015Q3,"8 Process, plant and machine operatives","Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment (ILO),2015Q3,"8 Process, plant and machine operatives",Construction (F),15.1
Persons aged 15 years and over in Employment (ILO),2015Q3,"8 Process, plant and machine operatives",Wholesale and retail trade; repair of motor vehicles and motorcycles (G),14.8
Persons aged 15 years and over in Employment (ILO),2015Q3,"8 Process, plant and machine operatives",Transportation and storage (H),43.2
Persons aged 15 years and over in Employment (ILO),2015Q3,"8 Process, plant and machine operatives",Accommodation and food service activities (I),
Persons aged 15 years and over in Employment (ILO),2015Q3,"8 Process, plant and machine operatives",Information and communication (J),
Persons aged 15 years and over in Employment (ILO),2015Q3,"8 Process, plant and machine operatives","Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment (ILO),2015Q3,"8 Process, plant and machine operatives",Administrative and support service activities (N),
Persons aged 15 years and over in Employment (ILO),2015Q3,"8 Process, plant and machine operatives",Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment (ILO),2015Q3,"8 Process, plant and machine operatives",Education (P),
Persons aged 15 years and over in Employment (ILO),2015Q3,"8 Process, plant and machine operatives",Human health and social work activities (Q),
Persons aged 15 years and over in Employment (ILO),2015Q3,"8 Process, plant and machine operatives",Industry (B to E),65.0
Persons aged 15 years and over in Employment (ILO),2015Q3,"8 Process, plant and machine operatives","Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment (ILO),2015Q3,"8 Process, plant and machine operatives",Other NACE activities (R to U),
Persons aged 15 years and over in Employment (ILO),2015Q3,"8 Process, plant and machine operatives",Industry and Construction (B to F),80.1
Persons aged 15 years and over in Employment (ILO),2015Q3,"8 Process, plant and machine operatives",Services (G to U),74.8
Persons aged 15 years and over in Employment (ILO),2015Q3,"8 Process, plant and machine operatives",Not stated,
Persons aged 15 years and over in Employment (ILO),2015Q3,9 Elementary,All NACE economic sectors,237.3
Persons aged 15 years and over in Employment (ILO),2015Q3,9 Elementary,"Agriculture, forestry and fishing (A)",16.0
Persons aged 15 years and over in Employment (ILO),2015Q3,9 Elementary,Construction (F),13.5
Persons aged 15 years and over in Employment (ILO),2015Q3,9 Elementary,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),21.2
Persons aged 15 years and over in Employment (ILO),2015Q3,9 Elementary,Transportation and storage (H),15.1
Persons aged 15 years and over in Employment (ILO),2015Q3,9 Elementary,Accommodation and food service activities (I),78.7
Persons aged 15 years and over in Employment (ILO),2015Q3,9 Elementary,Information and communication (J),
Persons aged 15 years and over in Employment (ILO),2015Q3,9 Elementary,"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment (ILO),2015Q3,9 Elementary,Administrative and support service activities (N),30.2
Persons aged 15 years and over in Employment (ILO),2015Q3,9 Elementary,Public administration and defence; compulsory social security (O),3.4
Persons aged 15 years and over in Employment (ILO),2015Q3,9 Elementary,Education (P),5.4
Persons aged 15 years and over in Employment (ILO),2015Q3,9 Elementary,Human health and social work activities (Q),11.8
Persons aged 15 years and over in Employment (ILO),2015Q3,9 Elementary,Industry (B to E),25.6
Persons aged 15 years and over in Employment (ILO),2015Q3,9 Elementary,"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment (ILO),2015Q3,9 Elementary,Other NACE activities (R to U),11.5
Persons aged 15 years and over in Employment (ILO),2015Q3,9 Elementary,Industry and Construction (B to F),39.1
Persons aged 15 years and over in Employment (ILO),2015Q3,9 Elementary,Services (G to U),181.8
Persons aged 15 years and over in Employment (ILO),2015Q3,9 Elementary,Not stated,
Persons aged 15 years and over in Employment (ILO),2015Q3,X1 Other/Not stated,All NACE economic sectors,9.5
Persons aged 15 years and over in Employment (ILO),2015Q3,X1 Other/Not stated,"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment (ILO),2015Q3,X1 Other/Not stated,Construction (F),
Persons aged 15 years and over in Employment (ILO),2015Q3,X1 Other/Not stated,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),
Persons aged 15 years and over in Employment (ILO),2015Q3,X1 Other/Not stated,Transportation and storage (H),
Persons aged 15 years and over in Employment (ILO),2015Q3,X1 Other/Not stated,Accommodation and food service activities (I),
Persons aged 15 years and over in Employment (ILO),2015Q3,X1 Other/Not stated,Information and communication (J),
Persons aged 15 years and over in Employment (ILO),2015Q3,X1 Other/Not stated,"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment (ILO),2015Q3,X1 Other/Not stated,Administrative and support service activities (N),
Persons aged 15 years and over in Employment (ILO),2015Q3,X1 Other/Not stated,Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment (ILO),2015Q3,X1 Other/Not stated,Education (P),
Persons aged 15 years and over in Employment (ILO),2015Q3,X1 Other/Not stated,Human health and social work activities (Q),
Persons aged 15 years and over in Employment (ILO),2015Q3,X1 Other/Not stated,Industry (B to E),
Persons aged 15 years and over in Employment (ILO),2015Q3,X1 Other/Not stated,"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment (ILO),2015Q3,X1 Other/Not stated,Other NACE activities (R to U),
Persons aged 15 years and over in Employment (ILO),2015Q3,X1 Other/Not stated,Industry and Construction (B to F),
Persons aged 15 years and over in Employment (ILO),2015Q3,X1 Other/Not stated,Services (G to U),3.1
Persons aged 15 years and over in Employment (ILO),2015Q3,X1 Other/Not stated,Not stated,5.9
Persons aged 15 years and over in Employment (ILO),2015Q4,All occupational groups,All NACE economic sectors,2083.9
Persons aged 15 years and over in Employment (ILO),2015Q4,All occupational groups,"Agriculture, forestry and fishing (A)",105.8
Persons aged 15 years and over in Employment (ILO),2015Q4,All occupational groups,Construction (F),109.5
Persons aged 15 years and over in Employment (ILO),2015Q4,All occupational groups,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),298.0
Persons aged 15 years and over in Employment (ILO),2015Q4,All occupational groups,Transportation and storage (H),91.0
Persons aged 15 years and over in Employment (ILO),2015Q4,All occupational groups,Accommodation and food service activities (I),153.0
Persons aged 15 years and over in Employment (ILO),2015Q4,All occupational groups,Information and communication (J),104.1
Persons aged 15 years and over in Employment (ILO),2015Q4,All occupational groups,"Professional, scientific and technical activities (M)",133.3
Persons aged 15 years and over in Employment (ILO),2015Q4,All occupational groups,Administrative and support service activities (N),83.9
Persons aged 15 years and over in Employment (ILO),2015Q4,All occupational groups,Public administration and defence; compulsory social security (O),91.5
Persons aged 15 years and over in Employment (ILO),2015Q4,All occupational groups,Education (P),151.6
Persons aged 15 years and over in Employment (ILO),2015Q4,All occupational groups,Human health and social work activities (Q),272.1
Persons aged 15 years and over in Employment (ILO),2015Q4,All occupational groups,Industry (B to E),264.2
Persons aged 15 years and over in Employment (ILO),2015Q4,All occupational groups,"Financial, insurance and real estate activities (K, L)",102.5
Persons aged 15 years and over in Employment (ILO),2015Q4,All occupational groups,Other NACE activities (R to U),114.0
Persons aged 15 years and over in Employment (ILO),2015Q4,All occupational groups,Industry and Construction (B to F),373.8
Persons aged 15 years and over in Employment (ILO),2015Q4,All occupational groups,Services (G to U),1595.0
Persons aged 15 years and over in Employment (ILO),2015Q4,All occupational groups,Not stated,9.4
Persons aged 15 years and over in Employment (ILO),2015Q4,"1 Managers, directors and senior officials",All NACE economic sectors,180.9
Persons aged 15 years and over in Employment (ILO),2015Q4,"1 Managers, directors and senior officials","Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment (ILO),2015Q4,"1 Managers, directors and senior officials",Construction (F),8.6
Persons aged 15 years and over in Employment (ILO),2015Q4,"1 Managers, directors and senior officials",Wholesale and retail trade; repair of motor vehicles and motorcycles (G),46.9
Persons aged 15 years and over in Employment (ILO),2015Q4,"1 Managers, directors and senior officials",Transportation and storage (H),6.4
Persons aged 15 years and over in Employment (ILO),2015Q4,"1 Managers, directors and senior officials",Accommodation and food service activities (I),22.6
Persons aged 15 years and over in Employment (ILO),2015Q4,"1 Managers, directors and senior officials",Information and communication (J),10.9
Persons aged 15 years and over in Employment (ILO),2015Q4,"1 Managers, directors and senior officials","Professional, scientific and technical activities (M)",9.1
Persons aged 15 years and over in Employment (ILO),2015Q4,"1 Managers, directors and senior officials",Administrative and support service activities (N),6.4
Persons aged 15 years and over in Employment (ILO),2015Q4,"1 Managers, directors and senior officials",Public administration and defence; compulsory social security (O),6.5
Persons aged 15 years and over in Employment (ILO),2015Q4,"1 Managers, directors and senior officials",Education (P),3.5
Persons aged 15 years and over in Employment (ILO),2015Q4,"1 Managers, directors and senior officials",Human health and social work activities (Q),9.0
Persons aged 15 years and over in Employment (ILO),2015Q4,"1 Managers, directors and senior officials",Industry (B to E),24.3
Persons aged 15 years and over in Employment (ILO),2015Q4,"1 Managers, directors and senior officials","Financial, insurance and real estate activities (K, L)",15.0
Persons aged 15 years and over in Employment (ILO),2015Q4,"1 Managers, directors and senior officials",Other NACE activities (R to U),9.3
Persons aged 15 years and over in Employment (ILO),2015Q4,"1 Managers, directors and senior officials",Industry and Construction (B to F),32.9
Persons aged 15 years and over in Employment (ILO),2015Q4,"1 Managers, directors and senior officials",Services (G to U),145.5
Persons aged 15 years and over in Employment (ILO),2015Q4,"1 Managers, directors and senior officials",Not stated,
Persons aged 15 years and over in Employment (ILO),2015Q4,2 Professional,All NACE economic sectors,411.8
Persons aged 15 years and over in Employment (ILO),2015Q4,2 Professional,"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment (ILO),2015Q4,2 Professional,Construction (F),4.3
Persons aged 15 years and over in Employment (ILO),2015Q4,2 Professional,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),12.2
Persons aged 15 years and over in Employment (ILO),2015Q4,2 Professional,Transportation and storage (H),
Persons aged 15 years and over in Employment (ILO),2015Q4,2 Professional,Accommodation and food service activities (I),
Persons aged 15 years and over in Employment (ILO),2015Q4,2 Professional,Information and communication (J),41.6
Persons aged 15 years and over in Employment (ILO),2015Q4,2 Professional,"Professional, scientific and technical activities (M)",65.8
Persons aged 15 years and over in Employment (ILO),2015Q4,2 Professional,Administrative and support service activities (N),
Persons aged 15 years and over in Employment (ILO),2015Q4,2 Professional,Public administration and defence; compulsory social security (O),11.9
Persons aged 15 years and over in Employment (ILO),2015Q4,2 Professional,Education (P),105.2
Persons aged 15 years and over in Employment (ILO),2015Q4,2 Professional,Human health and social work activities (Q),104.5
Persons aged 15 years and over in Employment (ILO),2015Q4,2 Professional,Industry (B to E),28.9
Persons aged 15 years and over in Employment (ILO),2015Q4,2 Professional,"Financial, insurance and real estate activities (K, L)",21.9
Persons aged 15 years and over in Employment (ILO),2015Q4,2 Professional,Other NACE activities (R to U),9.9
Persons aged 15 years and over in Employment (ILO),2015Q4,2 Professional,Industry and Construction (B to F),33.2
Persons aged 15 years and over in Employment (ILO),2015Q4,2 Professional,Services (G to U),377.9
Persons aged 15 years and over in Employment (ILO),2015Q4,2 Professional,Not stated,
Persons aged 15 years and over in Employment (ILO),2015Q4,3 Associate professional and technical,All NACE economic sectors,262.8
Persons aged 15 years and over in Employment (ILO),2015Q4,3 Associate professional and technical,"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment (ILO),2015Q4,3 Associate professional and technical,Construction (F),4.7
Persons aged 15 years and over in Employment (ILO),2015Q4,3 Associate professional and technical,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),33.2
Persons aged 15 years and over in Employment (ILO),2015Q4,3 Associate professional and technical,Transportation and storage (H),5.4
Persons aged 15 years and over in Employment (ILO),2015Q4,3 Associate professional and technical,Accommodation and food service activities (I),4.4
Persons aged 15 years and over in Employment (ILO),2015Q4,3 Associate professional and technical,Information and communication (J),25.6
Persons aged 15 years and over in Employment (ILO),2015Q4,3 Associate professional and technical,"Professional, scientific and technical activities (M)",26.4
Persons aged 15 years and over in Employment (ILO),2015Q4,3 Associate professional and technical,Administrative and support service activities (N),7.6
Persons aged 15 years and over in Employment (ILO),2015Q4,3 Associate professional and technical,Public administration and defence; compulsory social security (O),29.9
Persons aged 15 years and over in Employment (ILO),2015Q4,3 Associate professional and technical,Education (P),7.5
Persons aged 15 years and over in Employment (ILO),2015Q4,3 Associate professional and technical,Human health and social work activities (Q),22.4
Persons aged 15 years and over in Employment (ILO),2015Q4,3 Associate professional and technical,Industry (B to E),42.8
Persons aged 15 years and over in Employment (ILO),2015Q4,3 Associate professional and technical,"Financial, insurance and real estate activities (K, L)",28.1
Persons aged 15 years and over in Employment (ILO),2015Q4,3 Associate professional and technical,Other NACE activities (R to U),23.4
Persons aged 15 years and over in Employment (ILO),2015Q4,3 Associate professional and technical,Industry and Construction (B to F),47.6
Persons aged 15 years and over in Employment (ILO),2015Q4,3 Associate professional and technical,Services (G to U),213.9
Persons aged 15 years and over in Employment (ILO),2015Q4,3 Associate professional and technical,Not stated,
Persons aged 15 years and over in Employment (ILO),2015Q4,4 Administrative and secreterial,All NACE economic sectors,199.1
Persons aged 15 years and over in Employment (ILO),2015Q4,4 Administrative and secreterial,"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment (ILO),2015Q4,4 Administrative and secreterial,Construction (F),4.2
Persons aged 15 years and over in Employment (ILO),2015Q4,4 Administrative and secreterial,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),20.5
Persons aged 15 years and over in Employment (ILO),2015Q4,4 Administrative and secreterial,Transportation and storage (H),9.0
Persons aged 15 years and over in Employment (ILO),2015Q4,4 Administrative and secreterial,Accommodation and food service activities (I),6.5
Persons aged 15 years and over in Employment (ILO),2015Q4,4 Administrative and secreterial,Information and communication (J),6.3
Persons aged 15 years and over in Employment (ILO),2015Q4,4 Administrative and secreterial,"Professional, scientific and technical activities (M)",13.8
Persons aged 15 years and over in Employment (ILO),2015Q4,4 Administrative and secreterial,Administrative and support service activities (N),11.8
Persons aged 15 years and over in Employment (ILO),2015Q4,4 Administrative and secreterial,Public administration and defence; compulsory social security (O),32.2
Persons aged 15 years and over in Employment (ILO),2015Q4,4 Administrative and secreterial,Education (P),9.5
Persons aged 15 years and over in Employment (ILO),2015Q4,4 Administrative and secreterial,Human health and social work activities (Q),26.5
Persons aged 15 years and over in Employment (ILO),2015Q4,4 Administrative and secreterial,Industry (B to E),16.9
Persons aged 15 years and over in Employment (ILO),2015Q4,4 Administrative and secreterial,"Financial, insurance and real estate activities (K, L)",28.6
Persons aged 15 years and over in Employment (ILO),2015Q4,4 Administrative and secreterial,Other NACE activities (R to U),10.4
Persons aged 15 years and over in Employment (ILO),2015Q4,4 Administrative and secreterial,Industry and Construction (B to F),21.1
Persons aged 15 years and over in Employment (ILO),2015Q4,4 Administrative and secreterial,Services (G to U),175.1
Persons aged 15 years and over in Employment (ILO),2015Q4,4 Administrative and secreterial,Not stated,
Persons aged 15 years and over in Employment (ILO),2015Q4,5 Skilled trades,All NACE economic sectors,292.1
Persons aged 15 years and over in Employment (ILO),2015Q4,5 Skilled trades,"Agriculture, forestry and fishing (A)",83.8
Persons aged 15 years and over in Employment (ILO),2015Q4,5 Skilled trades,Construction (F),58.1
Persons aged 15 years and over in Employment (ILO),2015Q4,5 Skilled trades,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),22.1
Persons aged 15 years and over in Employment (ILO),2015Q4,5 Skilled trades,Transportation and storage (H),3.6
Persons aged 15 years and over in Employment (ILO),2015Q4,5 Skilled trades,Accommodation and food service activities (I),26.3
Persons aged 15 years and over in Employment (ILO),2015Q4,5 Skilled trades,Information and communication (J),8.5
Persons aged 15 years and over in Employment (ILO),2015Q4,5 Skilled trades,"Professional, scientific and technical activities (M)",10.3
Persons aged 15 years and over in Employment (ILO),2015Q4,5 Skilled trades,Administrative and support service activities (N),9.0
Persons aged 15 years and over in Employment (ILO),2015Q4,5 Skilled trades,Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment (ILO),2015Q4,5 Skilled trades,Education (P),
Persons aged 15 years and over in Employment (ILO),2015Q4,5 Skilled trades,Human health and social work activities (Q),5.0
Persons aged 15 years and over in Employment (ILO),2015Q4,5 Skilled trades,Industry (B to E),53.3
Persons aged 15 years and over in Employment (ILO),2015Q4,5 Skilled trades,"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment (ILO),2015Q4,5 Skilled trades,Other NACE activities (R to U),6.5
