Statistic,Quarter,Reasons for being in Part-Time Employment,Sex,value
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q1,Could not find full-time employment,Both sexes,158.2
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q1,Could not find full-time employment,Male,66.2
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q1,Could not find full-time employment,Female,92.0
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q1,Other reasons,Both sexes,42.9
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q1,Other reasons,Male,16.1
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q1,Other reasons,Female,26.7
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q1,No answer given,Both sexes,28.2
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q1,No answer given,Male,14.2
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q1,No answer given,Female,13.9
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q2,All reasons for being in part-time employment,Both sexes,452.5
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q2,All reasons for being in part-time employment,Male,145.4
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q2,All reasons for being in part-time employment,Female,307.2
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q2,"School, education or training",Both sexes,65.4
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q2,"School, education or training",Male,29.5
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q2,"School, education or training",Female,35.9
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q2,Illness or disability,Both sexes,6.6
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q2,Illness or disability,Male,3.0
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q2,Illness or disability,Female,3.6
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q2,Looking after children or incapacitated adults,Both sexes,57.4
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q2,Looking after children or incapacitated adults,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q2,Looking after children or incapacitated adults,Female,55.9
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q2,Other personal or family reasons,Both sexes,90.3
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q2,Other personal or family reasons,Male,11.1
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q2,Other personal or family reasons,Female,79.2
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q2,Could not find full-time employment,Both sexes,164.7
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q2,Could not find full-time employment,Male,69.9
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q2,Could not find full-time employment,Female,94.8
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q2,Other reasons,Both sexes,43.3
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q2,Other reasons,Male,17.5
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q2,Other reasons,Female,25.9
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q2,No answer given,Both sexes,24.8
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q2,No answer given,Male,13.0
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q2,No answer given,Female,11.9
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q3,All reasons for being in part-time employment,Both sexes,461.6
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q3,All reasons for being in part-time employment,Male,153.2
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q3,All reasons for being in part-time employment,Female,308.4
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q3,"School, education or training",Both sexes,69.7
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q3,"School, education or training",Male,32.9
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q3,"School, education or training",Female,36.8
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q3,Illness or disability,Both sexes,6.5
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q3,Illness or disability,Male,3.0
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q3,Illness or disability,Female,3.5
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q3,Looking after children or incapacitated adults,Both sexes,57.8
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q3,Looking after children or incapacitated adults,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q3,Looking after children or incapacitated adults,Female,56.5
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q3,Other personal or family reasons,Both sexes,83.3
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q3,Other personal or family reasons,Male,10.3
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q3,Other personal or family reasons,Female,73.1
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q3,Could not find full-time employment,Both sexes,170.4
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q3,Could not find full-time employment,Male,72.7
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q3,Could not find full-time employment,Female,97.7
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q3,Other reasons,Both sexes,44.5
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q3,Other reasons,Male,18.7
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q3,Other reasons,Female,25.8
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q3,No answer given,Both sexes,29.4
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q3,No answer given,Male,14.3
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q3,No answer given,Female,15.1
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q4,All reasons for being in part-time employment,Both sexes,463.9
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q4,All reasons for being in part-time employment,Male,150.1
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q4,All reasons for being in part-time employment,Female,313.8
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q4,"School, education or training",Both sexes,66.1
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q4,"School, education or training",Male,28.4
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q4,"School, education or training",Female,37.7
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q4,Illness or disability,Both sexes,5.8
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q4,Illness or disability,Male,2.7
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q4,Illness or disability,Female,3.1
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q4,Looking after children or incapacitated adults,Both sexes,59.9
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q4,Looking after children or incapacitated adults,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q4,Looking after children or incapacitated adults,Female,58.4
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q4,Other personal or family reasons,Both sexes,86.4
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q4,Other personal or family reasons,Male,10.9
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q4,Other personal or family reasons,Female,75.5
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q4,Could not find full-time employment,Both sexes,171.7
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q4,Could not find full-time employment,Male,73.9
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q4,Could not find full-time employment,Female,97.9
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q4,Other reasons,Both sexes,41.0
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q4,Other reasons,Male,16.9
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q4,Other reasons,Female,24.1
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q4,No answer given,Both sexes,33.1
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q4,No answer given,Male,15.9
Persons aged 15 years and over in Part-Time Employment (ILO),2012Q4,No answer given,Female,17.2
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q1,All reasons for being in part-time employment,Both sexes,469.5
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q1,All reasons for being in part-time employment,Male,154.5
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q1,All reasons for being in part-time employment,Female,315.0
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q1,"School, education or training",Both sexes,67.0
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q1,"School, education or training",Male,30.0
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q1,"School, education or training",Female,37.0
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q1,Illness or disability,Both sexes,5.3
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q1,Illness or disability,Male,2.7
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q1,Illness or disability,Female,2.5
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q1,Looking after children or incapacitated adults,Both sexes,61.1
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q1,Looking after children or incapacitated adults,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q1,Looking after children or incapacitated adults,Female,59.6
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q1,Other personal or family reasons,Both sexes,80.4
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q1,Other personal or family reasons,Male,11.1
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q1,Other personal or family reasons,Female,69.3
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q1,Could not find full-time employment,Both sexes,176.1
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q1,Could not find full-time employment,Male,75.7
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q1,Could not find full-time employment,Female,100.3
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q1,Other reasons,Both sexes,45.0
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q1,Other reasons,Male,17.9
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q1,Other reasons,Female,27.1
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q1,No answer given,Both sexes,34.7
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q1,No answer given,Male,15.6
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q1,No answer given,Female,19.1
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q2,All reasons for being in part-time employment,Both sexes,468.8
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q2,All reasons for being in part-time employment,Male,152.4
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q2,All reasons for being in part-time employment,Female,316.4
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q2,"School, education or training",Both sexes,68.8
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q2,"School, education or training",Male,31.9
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q2,"School, education or training",Female,36.9
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q2,Illness or disability,Both sexes,5.0
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q2,Illness or disability,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q2,Illness or disability,Female,3.0
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q2,Looking after children or incapacitated adults,Both sexes,62.8
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q2,Looking after children or incapacitated adults,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q2,Looking after children or incapacitated adults,Female,61.4
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q2,Other personal or family reasons,Both sexes,79.2
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q2,Other personal or family reasons,Male,9.7
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q2,Other personal or family reasons,Female,69.5
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q2,Could not find full-time employment,Both sexes,177.6
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q2,Could not find full-time employment,Male,75.4
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q2,Could not find full-time employment,Female,102.1
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q2,Other reasons,Both sexes,42.7
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q2,Other reasons,Male,18.4
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q2,Other reasons,Female,24.3
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q2,No answer given,Both sexes,32.8
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q2,No answer given,Male,13.6
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q2,No answer given,Female,19.2
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q3,All reasons for being in part-time employment,Both sexes,469.8
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q3,All reasons for being in part-time employment,Male,155.1
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q3,All reasons for being in part-time employment,Female,314.7
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q3,"School, education or training",Both sexes,70.5
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q3,"School, education or training",Male,31.6
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q3,"School, education or training",Female,38.9
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q3,Illness or disability,Both sexes,4.9
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q3,Illness or disability,Male,2.5
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q3,Illness or disability,Female,
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q3,Looking after children or incapacitated adults,Both sexes,64.4
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q3,Looking after children or incapacitated adults,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q3,Looking after children or incapacitated adults,Female,62.8
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q3,Other personal or family reasons,Both sexes,76.4
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q3,Other personal or family reasons,Male,10.1
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q3,Other personal or family reasons,Female,66.3
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q3,Could not find full-time employment,Both sexes,180.7
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q3,Could not find full-time employment,Male,79.5
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q3,Could not find full-time employment,Female,101.3
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q3,Other reasons,Both sexes,45.1
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q3,Other reasons,Male,18.2
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q3,Other reasons,Female,26.8
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q3,No answer given,Both sexes,27.8
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q3,No answer given,Male,11.6
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q3,No answer given,Female,16.2
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q4,All reasons for being in part-time employment,Both sexes,472.8
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q4,All reasons for being in part-time employment,Male,155.1
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q4,All reasons for being in part-time employment,Female,317.7
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q4,"School, education or training",Both sexes,65.6
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q4,"School, education or training",Male,30.7
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q4,"School, education or training",Female,34.9
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q4,Illness or disability,Both sexes,4.9
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q4,Illness or disability,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q4,Illness or disability,Female,2.7
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q4,Looking after children or incapacitated adults,Both sexes,66.3
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q4,Looking after children or incapacitated adults,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q4,Looking after children or incapacitated adults,Female,65.1
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q4,Other personal or family reasons,Both sexes,80.2
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q4,Other personal or family reasons,Male,11.0
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q4,Other personal or family reasons,Female,69.2
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q4,Could not find full-time employment,Both sexes,184.4
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q4,Could not find full-time employment,Male,81.7
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q4,Could not find full-time employment,Female,102.7
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q4,Other reasons,Both sexes,44.0
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q4,Other reasons,Male,17.6
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q4,Other reasons,Female,26.4
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q4,No answer given,Both sexes,27.6
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q4,No answer given,Male,10.8
Persons aged 15 years and over in Part-Time Employment (ILO),2013Q4,No answer given,Female,16.8
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q1,All reasons for being in part-time employment,Both sexes,463.0
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q1,All reasons for being in part-time employment,Male,154.3
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q1,All reasons for being in part-time employment,Female,308.7
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q1,"School, education or training",Both sexes,63.7
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q1,"School, education or training",Male,31.0
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q1,"School, education or training",Female,32.7
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q1,Illness or disability,Both sexes,4.4
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q1,Illness or disability,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q1,Illness or disability,Female,
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q1,Looking after children or incapacitated adults,Both sexes,67.1
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q1,Looking after children or incapacitated adults,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q1,Looking after children or incapacitated adults,Female,65.3
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q1,Other personal or family reasons,Both sexes,75.5
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q1,Other personal or family reasons,Male,11.3
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q1,Other personal or family reasons,Female,64.2
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q1,Could not find full-time employment,Both sexes,179.2
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q1,Could not find full-time employment,Male,78.2
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q1,Could not find full-time employment,Female,101.0
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q1,Other reasons,Both sexes,42.5
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q1,Other reasons,Male,16.4
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q1,Other reasons,Female,26.1
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q1,No answer given,Both sexes,30.6
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q1,No answer given,Male,13.6
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q1,No answer given,Female,17.1
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q2,All reasons for being in part-time employment,Both sexes,462.7
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q2,All reasons for being in part-time employment,Male,155.2
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q2,All reasons for being in part-time employment,Female,307.5
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q2,"School, education or training",Both sexes,64.7
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q2,"School, education or training",Male,32.1
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q2,"School, education or training",Female,32.6
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q2,Illness or disability,Both sexes,6.1
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q2,Illness or disability,Male,2.8
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q2,Illness or disability,Female,3.2
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q2,Looking after children or incapacitated adults,Both sexes,66.6
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q2,Looking after children or incapacitated adults,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q2,Looking after children or incapacitated adults,Female,64.2
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q2,Other personal or family reasons,Both sexes,81.6
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q2,Other personal or family reasons,Male,12.1
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q2,Other personal or family reasons,Female,69.5
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q2,Could not find full-time employment,Both sexes,174.4
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q2,Could not find full-time employment,Male,77.0
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q2,Could not find full-time employment,Female,97.4
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q2,Other reasons,Both sexes,41.7
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q2,Other reasons,Male,17.0
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q2,Other reasons,Female,24.7
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q2,No answer given,Both sexes,27.7
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q2,No answer given,Male,11.7
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q2,No answer given,Female,15.9
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q3,All reasons for being in part-time employment,Both sexes,473.4
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q3,All reasons for being in part-time employment,Male,159.2
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q3,All reasons for being in part-time employment,Female,314.2
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q3,"School, education or training",Both sexes,76.7
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q3,"School, education or training",Male,36.0
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q3,"School, education or training",Female,40.7
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q3,Illness or disability,Both sexes,7.1
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q3,Illness or disability,Male,3.0
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q3,Illness or disability,Female,4.1
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q3,Looking after children or incapacitated adults,Both sexes,68.3
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q3,Looking after children or incapacitated adults,Male,2.7
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q3,Looking after children or incapacitated adults,Female,65.6
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q3,Other personal or family reasons,Both sexes,83.4
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q3,Other personal or family reasons,Male,12.8
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q3,Other personal or family reasons,Female,70.6
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q3,Could not find full-time employment,Both sexes,171.0
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q3,Could not find full-time employment,Male,78.0
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q3,Could not find full-time employment,Female,93.1
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q3,Other reasons,Both sexes,41.8
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q3,Other reasons,Male,16.5
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q3,Other reasons,Female,25.3
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q3,No answer given,Both sexes,25.1
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q3,No answer given,Male,10.3
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q3,No answer given,Female,14.9
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q4,All reasons for being in part-time employment,Both sexes,466.7
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q4,All reasons for being in part-time employment,Male,151.5
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q4,All reasons for being in part-time employment,Female,315.2
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q4,"School, education or training",Both sexes,75.2
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q4,"School, education or training",Male,34.9
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q4,"School, education or training",Female,40.3
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q4,Illness or disability,Both sexes,7.0
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q4,Illness or disability,Male,2.9
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q4,Illness or disability,Female,4.1
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q4,Looking after children or incapacitated adults,Both sexes,69.4
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q4,Looking after children or incapacitated adults,Male,3.2
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q4,Looking after children or incapacitated adults,Female,66.2
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q4,Other personal or family reasons,Both sexes,86.3
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q4,Other personal or family reasons,Male,14.2
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q4,Other personal or family reasons,Female,72.2
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q4,Could not find full-time employment,Both sexes,165.4
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q4,Could not find full-time employment,Male,71.7
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q4,Could not find full-time employment,Female,93.7
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q4,Other reasons,Both sexes,36.6
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q4,Other reasons,Male,14.6
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q4,Other reasons,Female,22.0
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q4,No answer given,Both sexes,26.7
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q4,No answer given,Male,10.0
Persons aged 15 years and over in Part-Time Employment (ILO),2014Q4,No answer given,Female,16.7
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q1,All reasons for being in part-time employment,Both sexes,457.8
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q1,All reasons for being in part-time employment,Male,149.0
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q1,All reasons for being in part-time employment,Female,308.8
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q1,"School, education or training",Both sexes,66.6
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q1,"School, education or training",Male,32.2
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q1,"School, education or training",Female,34.4
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q1,Illness or disability,Both sexes,7.0
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q1,Illness or disability,Male,2.8
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q1,Illness or disability,Female,4.2
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q1,Looking after children or incapacitated adults,Both sexes,72.5
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q1,Looking after children or incapacitated adults,Male,4.4
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q1,Looking after children or incapacitated adults,Female,68.1
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q1,Other personal or family reasons,Both sexes,86.0
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q1,Other personal or family reasons,Male,13.7
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q1,Other personal or family reasons,Female,72.3
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q1,Could not find full-time employment,Both sexes,163.9
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q1,Could not find full-time employment,Male,70.4
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q1,Could not find full-time employment,Female,93.6
