Statistic,Nationality,NACE Rev 2 Economic Sector,Quarter,value
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2000Q1,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2000Q2,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2000Q3,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2000Q4,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2001Q1,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2001Q2,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2001Q3,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2001Q4,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2002Q1,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2002Q2,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2002Q3,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2002Q4,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2003Q1,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2003Q2,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2003Q3,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2003Q4,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2004Q1,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2004Q2,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2004Q3,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2004Q4,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2005Q1,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2005Q2,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2005Q3,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2005Q4,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2006Q1,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2006Q2,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2006Q3,3.9
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2006Q4,4.0
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2007Q1,4.0
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2007Q2,3.3
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2007Q3,3.7
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2007Q4,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2008Q1,3.3
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2008Q2,3.1
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2008Q3,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2008Q4,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2009Q1,3.1
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2009Q2,3.4
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2009Q3,4.1
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2009Q4,4.4
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2010Q1,3.3
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2010Q2,4.1
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2010Q3,4.9
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2010Q4,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2011Q1,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2011Q2,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2011Q3,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2011Q4,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2012Q1,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2012Q2,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2012Q3,4.2
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2012Q4,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2013Q1,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2013Q2,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2013Q3,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2013Q4,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2014Q1,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2014Q2,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2014Q3,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2014Q4,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2015Q1,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2015Q2,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2015Q3,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2015Q4,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2016Q1,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2016Q2,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2016Q3,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2016Q4,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2017Q1,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2017Q2,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2017Q3,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2017Q4,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2018Q1,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2018Q2,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2018Q3,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2018Q4,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2019Q1,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2019Q2,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2019Q3,
Persons aged 15 years and over in Employment,UK,"Financial, insurance and real estate activities (K, L)",2019Q4,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),1998Q1,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),1998Q2,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),1998Q3,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),1998Q4,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),1999Q1,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),1999Q2,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),1999Q3,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),1999Q4,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2000Q1,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2000Q2,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2000Q3,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2000Q4,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2001Q1,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2001Q2,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2001Q3,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2001Q4,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2002Q1,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2002Q2,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2002Q3,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2002Q4,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2003Q1,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2003Q2,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2003Q3,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2003Q4,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2004Q1,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2004Q2,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2004Q3,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2004Q4,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2005Q1,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2005Q2,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2005Q3,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2005Q4,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2006Q1,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2006Q2,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2006Q3,3.2
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2006Q4,4.0
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2007Q1,3.4
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2007Q2,3.6
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2007Q3,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2007Q4,3.2
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2008Q1,3.8
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2008Q2,3.5
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2008Q3,4.1
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2008Q4,4.0
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2009Q1,3.4
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2009Q2,3.3
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2009Q3,3.2
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2009Q4,3.6
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2010Q1,2.9
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2010Q2,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2010Q3,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2010Q4,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2011Q1,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2011Q2,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2011Q3,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2011Q4,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2012Q1,4.0
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2012Q2,4.2
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2012Q3,4.4
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2012Q4,4.9
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2013Q1,4.9
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2013Q2,4.8
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2013Q3,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2013Q4,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2014Q1,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2014Q2,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2014Q3,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2014Q4,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2015Q1,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2015Q2,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2015Q3,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2015Q4,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2016Q1,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2016Q2,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2016Q3,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2016Q4,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2017Q1,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2017Q2,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2017Q3,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2017Q4,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2018Q1,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2018Q2,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2018Q3,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2018Q4,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2019Q1,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2019Q2,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2019Q3,
Persons aged 15 years and over in Employment,UK,Other NACE activities (R to U),2019Q4,
Persons aged 15 years and over in Employment,UK,Not stated,1998Q1,
Persons aged 15 years and over in Employment,UK,Not stated,1998Q2,
Persons aged 15 years and over in Employment,UK,Not stated,1998Q3,
Persons aged 15 years and over in Employment,UK,Not stated,1998Q4,
Persons aged 15 years and over in Employment,UK,Not stated,1999Q1,
Persons aged 15 years and over in Employment,UK,Not stated,1999Q2,
Persons aged 15 years and over in Employment,UK,Not stated,1999Q3,
Persons aged 15 years and over in Employment,UK,Not stated,1999Q4,
Persons aged 15 years and over in Employment,UK,Not stated,2000Q1,
Persons aged 15 years and over in Employment,UK,Not stated,2000Q2,
Persons aged 15 years and over in Employment,UK,Not stated,2000Q3,
Persons aged 15 years and over in Employment,UK,Not stated,2000Q4,
Persons aged 15 years and over in Employment,UK,Not stated,2001Q1,
Persons aged 15 years and over in Employment,UK,Not stated,2001Q2,
Persons aged 15 years and over in Employment,UK,Not stated,2001Q3,
Persons aged 15 years and over in Employment,UK,Not stated,2001Q4,
Persons aged 15 years and over in Employment,UK,Not stated,2002Q1,
Persons aged 15 years and over in Employment,UK,Not stated,2002Q2,
Persons aged 15 years and over in Employment,UK,Not stated,2002Q3,
Persons aged 15 years and over in Employment,UK,Not stated,2002Q4,
Persons aged 15 years and over in Employment,UK,Not stated,2003Q1,
Persons aged 15 years and over in Employment,UK,Not stated,2003Q2,
Persons aged 15 years and over in Employment,UK,Not stated,2003Q3,
Persons aged 15 years and over in Employment,UK,Not stated,2003Q4,
Persons aged 15 years and over in Employment,UK,Not stated,2004Q1,
Persons aged 15 years and over in Employment,UK,Not stated,2004Q2,
Persons aged 15 years and over in Employment,UK,Not stated,2004Q3,
Persons aged 15 years and over in Employment,UK,Not stated,2004Q4,
Persons aged 15 years and over in Employment,UK,Not stated,2005Q1,
Persons aged 15 years and over in Employment,UK,Not stated,2005Q2,
Persons aged 15 years and over in Employment,UK,Not stated,2005Q3,
Persons aged 15 years and over in Employment,UK,Not stated,2005Q4,
Persons aged 15 years and over in Employment,UK,Not stated,2006Q1,
Persons aged 15 years and over in Employment,UK,Not stated,2006Q2,
Persons aged 15 years and over in Employment,UK,Not stated,2006Q3,
Persons aged 15 years and over in Employment,UK,Not stated,2006Q4,
Persons aged 15 years and over in Employment,UK,Not stated,2007Q1,
Persons aged 15 years and over in Employment,UK,Not stated,2007Q2,
Persons aged 15 years and over in Employment,UK,Not stated,2007Q3,
Persons aged 15 years and over in Employment,UK,Not stated,2007Q4,
Persons aged 15 years and over in Employment,UK,Not stated,2008Q1,
Persons aged 15 years and over in Employment,UK,Not stated,2008Q2,
Persons aged 15 years and over in Employment,UK,Not stated,2008Q3,
Persons aged 15 years and over in Employment,UK,Not stated,2008Q4,
Persons aged 15 years and over in Employment,UK,Not stated,2009Q1,
Persons aged 15 years and over in Employment,UK,Not stated,2009Q2,
Persons aged 15 years and over in Employment,UK,Not stated,2009Q3,
Persons aged 15 years and over in Employment,UK,Not stated,2009Q4,
Persons aged 15 years and over in Employment,UK,Not stated,2010Q1,
Persons aged 15 years and over in Employment,UK,Not stated,2010Q2,
Persons aged 15 years and over in Employment,UK,Not stated,2010Q3,
Persons aged 15 years and over in Employment,UK,Not stated,2010Q4,
Persons aged 15 years and over in Employment,UK,Not stated,2011Q1,
Persons aged 15 years and over in Employment,UK,Not stated,2011Q2,
Persons aged 15 years and over in Employment,UK,Not stated,2011Q3,
Persons aged 15 years and over in Employment,UK,Not stated,2011Q4,
Persons aged 15 years and over in Employment,UK,Not stated,2012Q1,
Persons aged 15 years and over in Employment,UK,Not stated,2012Q2,
Persons aged 15 years and over in Employment,UK,Not stated,2012Q3,
Persons aged 15 years and over in Employment,UK,Not stated,2012Q4,
Persons aged 15 years and over in Employment,UK,Not stated,2013Q1,
Persons aged 15 years and over in Employment,UK,Not stated,2013Q2,
Persons aged 15 years and over in Employment,UK,Not stated,2013Q3,
Persons aged 15 years and over in Employment,UK,Not stated,2013Q4,
Persons aged 15 years and over in Employment,UK,Not stated,2014Q1,
Persons aged 15 years and over in Employment,UK,Not stated,2014Q2,
Persons aged 15 years and over in Employment,UK,Not stated,2014Q3,
Persons aged 15 years and over in Employment,UK,Not stated,2014Q4,
Persons aged 15 years and over in Employment,UK,Not stated,2015Q1,
Persons aged 15 years and over in Employment,UK,Not stated,2015Q2,
Persons aged 15 years and over in Employment,UK,Not stated,2015Q3,
Persons aged 15 years and over in Employment,UK,Not stated,2015Q4,
Persons aged 15 years and over in Employment,UK,Not stated,2016Q1,
Persons aged 15 years and over in Employment,UK,Not stated,2016Q2,
Persons aged 15 years and over in Employment,UK,Not stated,2016Q3,
Persons aged 15 years and over in Employment,UK,Not stated,2016Q4,
Persons aged 15 years and over in Employment,UK,Not stated,2017Q1,
Persons aged 15 years and over in Employment,UK,Not stated,2017Q2,
Persons aged 15 years and over in Employment,UK,Not stated,2017Q3,
Persons aged 15 years and over in Employment,UK,Not stated,2017Q4,
Persons aged 15 years and over in Employment,UK,Not stated,2018Q1,
Persons aged 15 years and over in Employment,UK,Not stated,2018Q2,
Persons aged 15 years and over in Employment,UK,Not stated,2018Q3,
Persons aged 15 years and over in Employment,UK,Not stated,2018Q4,
Persons aged 15 years and over in Employment,UK,Not stated,2019Q1,
Persons aged 15 years and over in Employment,UK,Not stated,2019Q2,
Persons aged 15 years and over in Employment,UK,Not stated,2019Q3,
Persons aged 15 years and over in Employment,UK,Not stated,2019Q4,
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,1998Q1,
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,1998Q2,
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,1998Q3,
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,1998Q4,
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,1999Q1,
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,1999Q2,
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,1999Q3,
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,1999Q4,
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2000Q1,
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2000Q2,
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2000Q3,
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2000Q4,
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2001Q1,
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2001Q2,
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2001Q3,
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2001Q4,
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2002Q1,
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2002Q2,
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2002Q3,
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2002Q4,
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2003Q1,
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2003Q2,
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2003Q3,
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2003Q4,
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2004Q1,
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2004Q2,
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2004Q3,
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2004Q4,
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2005Q1,
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2005Q2,
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2005Q3,
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2005Q4,
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2006Q1,
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2006Q2,
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2006Q3,1869.5
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2006Q4,1858.6
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2007Q1,1866.3
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2007Q2,1876.5
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2007Q3,1906.4
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2007Q4,1882.6
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2008Q1,1863.6
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2008Q2,1866.3
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2008Q3,1864.7
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2008Q4,1810.5
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2009Q1,1739.9
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2009Q2,1717.2
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2009Q3,1703.7
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2009Q4,1672.2
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2010Q1,1648.8
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2010Q2,1653.8
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2010Q3,1653.2
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2010Q4,1621.7
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2011Q1,1607.2
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2011Q2,1618.2
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2011Q3,1602.4
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2011Q4,1611.3
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2012Q1,1590.2
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2012Q2,1600.8
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2012Q3,1612.3
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2012Q4,1621.1
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2013Q1,1624.1
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2013Q2,1648.4
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2013Q3,1677.0
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2013Q4,1690.0
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2014Q1,1675.3
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2014Q2,1691.0
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2014Q3,1725.6
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2014Q4,1740.8
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2015Q1,1737.0
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2015Q2,1761.2
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2015Q3,1780.5
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2015Q4,1784.6
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2016Q1,1773.6
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2016Q2,1810.6
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2016Q3,1834.6
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2016Q4,1841.1
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2017Q1,1832.4
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2017Q2,1847.5
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2017Q3,1864.7
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2017Q4,1884.7
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2018Q1,1870.2
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2018Q2,1889.2
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2018Q3,1905.2
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2018Q4,1906.3
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2019Q1,1926.6
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2019Q2,1920.0
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2019Q3,1939.8
Persons aged 15 years and over in Employment,Irish,All NACE economic sectors,2019Q4,1969.8
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",1998Q1,
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",1998Q2,
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",1998Q3,
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",1998Q4,
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",1999Q1,
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",1999Q2,
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",1999Q3,
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",1999Q4,
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2000Q1,
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2000Q2,
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2000Q3,
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2000Q4,
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2001Q1,
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2001Q2,
