STATISTIC,Quarter,Sex,Usual Hours Worked,value
Persons aged 15-89 years in Employment,2005Q4,Both sexes,40-44 hours,387.2
Persons aged 15-89 years in Employment,2005Q4,Both sexes,45 hours and over,244.2
Persons aged 15-89 years in Employment,2005Q4,Both sexes,Variable hours (see note),213.1
Persons aged 15-89 years in Employment,2005Q4,Male,1-9 hours,11.3
Persons aged 15-89 years in Employment,2005Q4,Male,10-19 hours,27.1
Persons aged 15-89 years in Employment,2005Q4,Male,20-29 hours,46.6
Persons aged 15-89 years in Employment,2005Q4,Male,30-34 hours,22.3
Persons aged 15-89 years in Employment,2005Q4,Male,35-39 hours,435.3
Persons aged 15-89 years in Employment,2005Q4,Male,40-44 hours,272.9
Persons aged 15-89 years in Employment,2005Q4,Male,45 hours and over,211.4
Persons aged 15-89 years in Employment,2005Q4,Male,Variable hours (see note),167.3
Persons aged 15-89 years in Employment,2005Q4,Female,1-9 hours,29.9
Persons aged 15-89 years in Employment,2005Q4,Female,10-19 hours,90.8
Persons aged 15-89 years in Employment,2005Q4,Female,20-29 hours,170.2
Persons aged 15-89 years in Employment,2005Q4,Female,30-34 hours,58.1
Persons aged 15-89 years in Employment,2005Q4,Female,35-39 hours,334.0
Persons aged 15-89 years in Employment,2005Q4,Female,40-44 hours,114.2
Persons aged 15-89 years in Employment,2005Q4,Female,45 hours and over,32.8
Persons aged 15-89 years in Employment,2005Q4,Female,Variable hours (see note),45.8
Persons aged 15-89 years in Employment,2006Q1,Both sexes,1-9 hours,41.2
Persons aged 15-89 years in Employment,2006Q1,Both sexes,10-19 hours,118.6
Persons aged 15-89 years in Employment,2006Q1,Both sexes,20-29 hours,220.8
Persons aged 15-89 years in Employment,2006Q1,Both sexes,30-34 hours,78.7
Persons aged 15-89 years in Employment,2006Q1,Both sexes,35-39 hours,772.7
Persons aged 15-89 years in Employment,2006Q1,Both sexes,40-44 hours,392.8
Persons aged 15-89 years in Employment,2006Q1,Both sexes,45 hours and over,234.9
Persons aged 15-89 years in Employment,2006Q1,Both sexes,Variable hours (see note),222.6
Persons aged 15-89 years in Employment,2006Q1,Male,1-9 hours,12.0
Persons aged 15-89 years in Employment,2006Q1,Male,10-19 hours,28.7
Persons aged 15-89 years in Employment,2006Q1,Male,20-29 hours,46.9
Persons aged 15-89 years in Employment,2006Q1,Male,30-34 hours,22.7
Persons aged 15-89 years in Employment,2006Q1,Male,35-39 hours,439.2
Persons aged 15-89 years in Employment,2006Q1,Male,40-44 hours,279.5
Persons aged 15-89 years in Employment,2006Q1,Male,45 hours and over,202.6
Persons aged 15-89 years in Employment,2006Q1,Male,Variable hours (see note),171.7
Persons aged 15-89 years in Employment,2006Q1,Female,1-9 hours,29.2
Persons aged 15-89 years in Employment,2006Q1,Female,10-19 hours,90.0
Persons aged 15-89 years in Employment,2006Q1,Female,20-29 hours,173.9
Persons aged 15-89 years in Employment,2006Q1,Female,30-34 hours,56.0
Persons aged 15-89 years in Employment,2006Q1,Female,35-39 hours,333.5
Persons aged 15-89 years in Employment,2006Q1,Female,40-44 hours,113.3
Persons aged 15-89 years in Employment,2006Q1,Female,45 hours and over,32.3
Persons aged 15-89 years in Employment,2006Q1,Female,Variable hours (see note),50.9
Persons aged 15-89 years in Employment,2006Q2,Both sexes,1-9 hours,37.5
Persons aged 15-89 years in Employment,2006Q2,Both sexes,10-19 hours,114.1
Persons aged 15-89 years in Employment,2006Q2,Both sexes,20-29 hours,224.0
Persons aged 15-89 years in Employment,2006Q2,Both sexes,30-34 hours,80.0
Persons aged 15-89 years in Employment,2006Q2,Both sexes,35-39 hours,802.8
Persons aged 15-89 years in Employment,2006Q2,Both sexes,40-44 hours,393.3
Persons aged 15-89 years in Employment,2006Q2,Both sexes,45 hours and over,224.7
Persons aged 15-89 years in Employment,2006Q2,Both sexes,Variable hours (see note),232.7
Persons aged 15-89 years in Employment,2006Q2,Male,1-9 hours,10.9
Persons aged 15-89 years in Employment,2006Q2,Male,10-19 hours,25.4
Persons aged 15-89 years in Employment,2006Q2,Male,20-29 hours,51.3
Persons aged 15-89 years in Employment,2006Q2,Male,30-34 hours,22.8
Persons aged 15-89 years in Employment,2006Q2,Male,35-39 hours,456.4
Persons aged 15-89 years in Employment,2006Q2,Male,40-44 hours,278.9
Persons aged 15-89 years in Employment,2006Q2,Male,45 hours and over,193.4
Persons aged 15-89 years in Employment,2006Q2,Male,Variable hours (see note),177.1
Persons aged 15-89 years in Employment,2006Q2,Female,1-9 hours,26.7
Persons aged 15-89 years in Employment,2006Q2,Female,10-19 hours,88.7
Persons aged 15-89 years in Employment,2006Q2,Female,20-29 hours,172.7
Persons aged 15-89 years in Employment,2006Q2,Female,30-34 hours,57.2
Persons aged 15-89 years in Employment,2006Q2,Female,35-39 hours,346.3
Persons aged 15-89 years in Employment,2006Q2,Female,40-44 hours,114.4
Persons aged 15-89 years in Employment,2006Q2,Female,45 hours and over,31.3
Persons aged 15-89 years in Employment,2006Q2,Female,Variable hours (see note),55.6
Persons aged 15-89 years in Employment,2006Q3,Both sexes,1-9 hours,27.4
Persons aged 15-89 years in Employment,2006Q3,Both sexes,10-19 hours,104.2
Persons aged 15-89 years in Employment,2006Q3,Both sexes,20-29 hours,229.8
Persons aged 15-89 years in Employment,2006Q3,Both sexes,30-34 hours,83.2
Persons aged 15-89 years in Employment,2006Q3,Both sexes,35-39 hours,823.9
Persons aged 15-89 years in Employment,2006Q3,Both sexes,40-44 hours,410.8
Persons aged 15-89 years in Employment,2006Q3,Both sexes,45 hours and over,232.1
Persons aged 15-89 years in Employment,2006Q3,Both sexes,Variable hours (see note),247.6
Persons aged 15-89 years in Employment,2006Q3,Male,1-9 hours,5.6
Persons aged 15-89 years in Employment,2006Q3,Male,10-19 hours,20.9
Persons aged 15-89 years in Employment,2006Q3,Male,20-29 hours,50.2
Persons aged 15-89 years in Employment,2006Q3,Male,30-34 hours,24.6
Persons aged 15-89 years in Employment,2006Q3,Male,35-39 hours,467.4
Persons aged 15-89 years in Employment,2006Q3,Male,40-44 hours,290.4
Persons aged 15-89 years in Employment,2006Q3,Male,45 hours and over,199.0
Persons aged 15-89 years in Employment,2006Q3,Male,Variable hours (see note),187.2
Persons aged 15-89 years in Employment,2006Q3,Female,1-9 hours,21.8
Persons aged 15-89 years in Employment,2006Q3,Female,10-19 hours,83.3
Persons aged 15-89 years in Employment,2006Q3,Female,20-29 hours,179.6
Persons aged 15-89 years in Employment,2006Q3,Female,30-34 hours,58.6
Persons aged 15-89 years in Employment,2006Q3,Female,35-39 hours,356.5
Persons aged 15-89 years in Employment,2006Q3,Female,40-44 hours,120.5
Persons aged 15-89 years in Employment,2006Q3,Female,45 hours and over,33.1
Persons aged 15-89 years in Employment,2006Q3,Female,Variable hours (see note),60.4
Persons aged 15-89 years in Employment,2006Q4,Both sexes,1-9 hours,40.4
Persons aged 15-89 years in Employment,2006Q4,Both sexes,10-19 hours,119.5
Persons aged 15-89 years in Employment,2006Q4,Both sexes,20-29 hours,227.8
Persons aged 15-89 years in Employment,2006Q4,Both sexes,30-34 hours,81.4
Persons aged 15-89 years in Employment,2006Q4,Both sexes,35-39 hours,805.7
Persons aged 15-89 years in Employment,2006Q4,Both sexes,40-44 hours,420.3
Persons aged 15-89 years in Employment,2006Q4,Both sexes,45 hours and over,221.7
Persons aged 15-89 years in Employment,2006Q4,Both sexes,Variable hours (see note),250.0
Persons aged 15-89 years in Employment,2006Q4,Male,1-9 hours,10.8
Persons aged 15-89 years in Employment,2006Q4,Male,10-19 hours,25.0
Persons aged 15-89 years in Employment,2006Q4,Male,20-29 hours,51.6
Persons aged 15-89 years in Employment,2006Q4,Male,30-34 hours,21.9
Persons aged 15-89 years in Employment,2006Q4,Male,35-39 hours,456.9
Persons aged 15-89 years in Employment,2006Q4,Male,40-44 hours,298.1
Persons aged 15-89 years in Employment,2006Q4,Male,45 hours and over,190.6
Persons aged 15-89 years in Employment,2006Q4,Male,Variable hours (see note),191.7
Persons aged 15-89 years in Employment,2006Q4,Female,1-9 hours,29.6
Persons aged 15-89 years in Employment,2006Q4,Female,10-19 hours,94.5
Persons aged 15-89 years in Employment,2006Q4,Female,20-29 hours,176.3
Persons aged 15-89 years in Employment,2006Q4,Female,30-34 hours,59.5
Persons aged 15-89 years in Employment,2006Q4,Female,35-39 hours,348.8
Persons aged 15-89 years in Employment,2006Q4,Female,40-44 hours,122.2
Persons aged 15-89 years in Employment,2006Q4,Female,45 hours and over,31.1
Persons aged 15-89 years in Employment,2006Q4,Female,Variable hours (see note),58.3
Persons aged 15-89 years in Employment,2007Q1,Both sexes,1-9 hours,43.4
Persons aged 15-89 years in Employment,2007Q1,Both sexes,10-19 hours,120.8
Persons aged 15-89 years in Employment,2007Q1,Both sexes,20-29 hours,229.0
Persons aged 15-89 years in Employment,2007Q1,Both sexes,30-34 hours,85.0
Persons aged 15-89 years in Employment,2007Q1,Both sexes,35-39 hours,814.5
Persons aged 15-89 years in Employment,2007Q1,Both sexes,40-44 hours,426.4
Persons aged 15-89 years in Employment,2007Q1,Both sexes,45 hours and over,233.4
Persons aged 15-89 years in Employment,2007Q1,Both sexes,Variable hours (see note),233.1
Persons aged 15-89 years in Employment,2007Q1,Male,1-9 hours,11.0
Persons aged 15-89 years in Employment,2007Q1,Male,10-19 hours,25.3
Persons aged 15-89 years in Employment,2007Q1,Male,20-29 hours,52.4
Persons aged 15-89 years in Employment,2007Q1,Male,30-34 hours,21.7
Persons aged 15-89 years in Employment,2007Q1,Male,35-39 hours,456.9
Persons aged 15-89 years in Employment,2007Q1,Male,40-44 hours,304.6
Persons aged 15-89 years in Employment,2007Q1,Male,45 hours and over,200.0
Persons aged 15-89 years in Employment,2007Q1,Male,Variable hours (see note),180.4
Persons aged 15-89 years in Employment,2007Q1,Female,1-9 hours,32.4
Persons aged 15-89 years in Employment,2007Q1,Female,10-19 hours,95.5
Persons aged 15-89 years in Employment,2007Q1,Female,20-29 hours,176.6
Persons aged 15-89 years in Employment,2007Q1,Female,30-34 hours,63.3
Persons aged 15-89 years in Employment,2007Q1,Female,35-39 hours,357.6
Persons aged 15-89 years in Employment,2007Q1,Female,40-44 hours,121.8
Persons aged 15-89 years in Employment,2007Q1,Female,45 hours and over,33.3
Persons aged 15-89 years in Employment,2007Q1,Female,Variable hours (see note),52.7
Persons aged 15-89 years in Employment,2007Q2,Both sexes,1-9 hours,41.3
Persons aged 15-89 years in Employment,2007Q2,Both sexes,10-19 hours,121.6
Persons aged 15-89 years in Employment,2007Q2,Both sexes,20-29 hours,235.2
Persons aged 15-89 years in Employment,2007Q2,Both sexes,30-34 hours,93.0
Persons aged 15-89 years in Employment,2007Q2,Both sexes,35-39 hours,815.2
Persons aged 15-89 years in Employment,2007Q2,Both sexes,40-44 hours,431.2
Persons aged 15-89 years in Employment,2007Q2,Both sexes,45 hours and over,250.8
Persons aged 15-89 years in Employment,2007Q2,Both sexes,Variable hours (see note),223.6
Persons aged 15-89 years in Employment,2007Q2,Male,1-9 hours,9.8
Persons aged 15-89 years in Employment,2007Q2,Male,10-19 hours,24.6
Persons aged 15-89 years in Employment,2007Q2,Male,20-29 hours,55.1
Persons aged 15-89 years in Employment,2007Q2,Male,30-34 hours,25.3
Persons aged 15-89 years in Employment,2007Q2,Male,35-39 hours,458.1
Persons aged 15-89 years in Employment,2007Q2,Male,40-44 hours,306.7
Persons aged 15-89 years in Employment,2007Q2,Male,45 hours and over,215.1
Persons aged 15-89 years in Employment,2007Q2,Male,Variable hours (see note),168.4
Persons aged 15-89 years in Employment,2007Q2,Female,1-9 hours,31.4
Persons aged 15-89 years in Employment,2007Q2,Female,10-19 hours,96.9
Persons aged 15-89 years in Employment,2007Q2,Female,20-29 hours,180.1
Persons aged 15-89 years in Employment,2007Q2,Female,30-34 hours,67.7
Persons aged 15-89 years in Employment,2007Q2,Female,35-39 hours,357.1
Persons aged 15-89 years in Employment,2007Q2,Female,40-44 hours,124.5
Persons aged 15-89 years in Employment,2007Q2,Female,45 hours and over,35.7
Persons aged 15-89 years in Employment,2007Q2,Female,Variable hours (see note),55.2
Persons aged 15-89 years in Employment,2007Q3,Both sexes,1-9 hours,31.8
Persons aged 15-89 years in Employment,2007Q3,Both sexes,10-19 hours,120.0
Persons aged 15-89 years in Employment,2007Q3,Both sexes,20-29 hours,241.9
Persons aged 15-89 years in Employment,2007Q3,Both sexes,30-34 hours,97.0
Persons aged 15-89 years in Employment,2007Q3,Both sexes,35-39 hours,836.5
Persons aged 15-89 years in Employment,2007Q3,Both sexes,40-44 hours,437.4
Persons aged 15-89 years in Employment,2007Q3,Both sexes,45 hours and over,254.4
Persons aged 15-89 years in Employment,2007Q3,Both sexes,Variable hours (see note),231.9
Persons aged 15-89 years in Employment,2007Q3,Male,1-9 hours,6.8
Persons aged 15-89 years in Employment,2007Q3,Male,10-19 hours,23.8
Persons aged 15-89 years in Employment,2007Q3,Male,20-29 hours,54.7
Persons aged 15-89 years in Employment,2007Q3,Male,30-34 hours,28.4
Persons aged 15-89 years in Employment,2007Q3,Male,35-39 hours,468.4
Persons aged 15-89 years in Employment,2007Q3,Male,40-44 hours,311.1
Persons aged 15-89 years in Employment,2007Q3,Male,45 hours and over,216.6
Persons aged 15-89 years in Employment,2007Q3,Male,Variable hours (see note),172.5
Persons aged 15-89 years in Employment,2007Q3,Female,1-9 hours,25.0
Persons aged 15-89 years in Employment,2007Q3,Female,10-19 hours,96.2
Persons aged 15-89 years in Employment,2007Q3,Female,20-29 hours,187.2
Persons aged 15-89 years in Employment,2007Q3,Female,30-34 hours,68.6
Persons aged 15-89 years in Employment,2007Q3,Female,35-39 hours,368.1
Persons aged 15-89 years in Employment,2007Q3,Female,40-44 hours,126.4
Persons aged 15-89 years in Employment,2007Q3,Female,45 hours and over,37.9
Persons aged 15-89 years in Employment,2007Q3,Female,Variable hours (see note),59.4
Persons aged 15-89 years in Employment,2007Q4,Both sexes,1-9 hours,43.1
Persons aged 15-89 years in Employment,2007Q4,Both sexes,10-19 hours,132.0
Persons aged 15-89 years in Employment,2007Q4,Both sexes,20-29 hours,233.7
Persons aged 15-89 years in Employment,2007Q4,Both sexes,30-34 hours,91.8
Persons aged 15-89 years in Employment,2007Q4,Both sexes,35-39 hours,793.9
Persons aged 15-89 years in Employment,2007Q4,Both sexes,40-44 hours,434.8
Persons aged 15-89 years in Employment,2007Q4,Both sexes,45 hours and over,241.9
Persons aged 15-89 years in Employment,2007Q4,Both sexes,Variable hours (see note),259.5
Persons aged 15-89 years in Employment,2007Q4,Male,1-9 hours,10.7
Persons aged 15-89 years in Employment,2007Q4,Male,10-19 hours,27.1
Persons aged 15-89 years in Employment,2007Q4,Male,20-29 hours,52.4
Persons aged 15-89 years in Employment,2007Q4,Male,30-34 hours,24.3
Persons aged 15-89 years in Employment,2007Q4,Male,35-39 hours,447.0
Persons aged 15-89 years in Employment,2007Q4,Male,40-44 hours,307.6
Persons aged 15-89 years in Employment,2007Q4,Male,45 hours and over,205.2
Persons aged 15-89 years in Employment,2007Q4,Male,Variable hours (see note),190.3
Persons aged 15-89 years in Employment,2007Q4,Female,1-9 hours,32.4
Persons aged 15-89 years in Employment,2007Q4,Female,10-19 hours,105.0
Persons aged 15-89 years in Employment,2007Q4,Female,20-29 hours,181.3
Persons aged 15-89 years in Employment,2007Q4,Female,30-34 hours,67.5
Persons aged 15-89 years in Employment,2007Q4,Female,35-39 hours,346.8
Persons aged 15-89 years in Employment,2007Q4,Female,40-44 hours,127.1
Persons aged 15-89 years in Employment,2007Q4,Female,45 hours and over,36.8
Persons aged 15-89 years in Employment,2007Q4,Female,Variable hours (see note),69.2
Persons aged 15-89 years in Employment,2008Q1,Both sexes,1-9 hours,45.5
Persons aged 15-89 years in Employment,2008Q1,Both sexes,10-19 hours,130.8
Persons aged 15-89 years in Employment,2008Q1,Both sexes,20-29 hours,236.1
Persons aged 15-89 years in Employment,2008Q1,Both sexes,30-34 hours,94.0
Persons aged 15-89 years in Employment,2008Q1,Both sexes,35-39 hours,790.8
Persons aged 15-89 years in Employment,2008Q1,Both sexes,40-44 hours,439.9
Persons aged 15-89 years in Employment,2008Q1,Both sexes,45 hours and over,239.9
Persons aged 15-89 years in Employment,2008Q1,Both sexes,Variable hours (see note),240.7
Persons aged 15-89 years in Employment,2008Q1,Male,1-9 hours,11.8
Persons aged 15-89 years in Employment,2008Q1,Male,10-19 hours,28.6
Persons aged 15-89 years in Employment,2008Q1,Male,20-29 hours,53.2
Persons aged 15-89 years in Employment,2008Q1,Male,30-34 hours,25.9
Persons aged 15-89 years in Employment,2008Q1,Male,35-39 hours,436.3
Persons aged 15-89 years in Employment,2008Q1,Male,40-44 hours,310.0
Persons aged 15-89 years in Employment,2008Q1,Male,45 hours and over,205.5
Persons aged 15-89 years in Employment,2008Q1,Male,Variable hours (see note),179.4
Persons aged 15-89 years in Employment,2008Q1,Female,1-9 hours,33.7
Persons aged 15-89 years in Employment,2008Q1,Female,10-19 hours,102.3
Persons aged 15-89 years in Employment,2008Q1,Female,20-29 hours,182.9
Persons aged 15-89 years in Employment,2008Q1,Female,30-34 hours,68.1
Persons aged 15-89 years in Employment,2008Q1,Female,35-39 hours,354.5
Persons aged 15-89 years in Employment,2008Q1,Female,40-44 hours,130.0
Persons aged 15-89 years in Employment,2008Q1,Female,45 hours and over,34.4
Persons aged 15-89 years in Employment,2008Q1,Female,Variable hours (see note),61.2
Persons aged 15-89 years in Employment,2008Q2,Both sexes,1-9 hours,44.4
Persons aged 15-89 years in Employment,2008Q2,Both sexes,10-19 hours,124.6
Persons aged 15-89 years in Employment,2008Q2,Both sexes,20-29 hours,245.8
Persons aged 15-89 years in Employment,2008Q2,Both sexes,30-34 hours,94.6
Persons aged 15-89 years in Employment,2008Q2,Both sexes,35-39 hours,805.1
Persons aged 15-89 years in Employment,2008Q2,Both sexes,40-44 hours,428.5
Persons aged 15-89 years in Employment,2008Q2,Both sexes,45 hours and over,237.1
Persons aged 15-89 years in Employment,2008Q2,Both sexes,Variable hours (see note),237.7
Persons aged 15-89 years in Employment,2008Q2,Male,1-9 hours,12.2
Persons aged 15-89 years in Employment,2008Q2,Male,10-19 hours,25.6
Persons aged 15-89 years in Employment,2008Q2,Male,20-29 hours,57.8
Persons aged 15-89 years in Employment,2008Q2,Male,30-34 hours,25.2
Persons aged 15-89 years in Employment,2008Q2,Male,35-39 hours,444.3
Persons aged 15-89 years in Employment,2008Q2,Male,40-44 hours,303.9
Persons aged 15-89 years in Employment,2008Q2,Male,45 hours and over,203.4
Persons aged 15-89 years in Employment,2008Q2,Male,Variable hours (see note),176.0
Persons aged 15-89 years in Employment,2008Q2,Female,1-9 hours,32.2
Persons aged 15-89 years in Employment,2008Q2,Female,10-19 hours,99.0
Persons aged 15-89 years in Employment,2008Q2,Female,20-29 hours,187.9
Persons aged 15-89 years in Employment,2008Q2,Female,30-34 hours,69.4
Persons aged 15-89 years in Employment,2008Q2,Female,35-39 hours,360.8
Persons aged 15-89 years in Employment,2008Q2,Female,40-44 hours,124.6
Persons aged 15-89 years in Employment,2008Q2,Female,45 hours and over,33.8
Persons aged 15-89 years in Employment,2008Q2,Female,Variable hours (see note),61.7
Persons aged 15-89 years in Employment,2008Q3,Both sexes,1-9 hours,32.5
Persons aged 15-89 years in Employment,2008Q3,Both sexes,10-19 hours,117.7
Persons aged 15-89 years in Employment,2008Q3,Both sexes,20-29 hours,252.6
Persons aged 15-89 years in Employment,2008Q3,Both sexes,30-34 hours,101.9
Persons aged 15-89 years in Employment,2008Q3,Both sexes,35-39 hours,795.1
Persons aged 15-89 years in Employment,2008Q3,Both sexes,40-44 hours,434.3
Persons aged 15-89 years in Employment,2008Q3,Both sexes,45 hours and over,229.1
Persons aged 15-89 years in Employment,2008Q3,Both sexes,Variable hours (see note),246.2
Persons aged 15-89 years in Employment,2008Q3,Male,1-9 hours,7.8
Persons aged 15-89 years in Employment,2008Q3,Male,10-19 hours,25.0
Persons aged 15-89 years in Employment,2008Q3,Male,20-29 hours,60.8
Persons aged 15-89 years in Employment,2008Q3,Male,30-34 hours,28.0
Persons aged 15-89 years in Employment,2008Q3,Male,35-39 hours,433.6
Persons aged 15-89 years in Employment,2008Q3,Male,40-44 hours,305.6
Persons aged 15-89 years in Employment,2008Q3,Male,45 hours and over,197.9
Persons aged 15-89 years in Employment,2008Q3,Male,Variable hours (see note),179.6
Persons aged 15-89 years in Employment,2008Q3,Female,1-9 hours,24.7
Persons aged 15-89 years in Employment,2008Q3,Female,10-19 hours,92.8
Persons aged 15-89 years in Employment,2008Q3,Female,20-29 hours,191.8
Persons aged 15-89 years in Employment,2008Q3,Female,30-34 hours,73.9
Persons aged 15-89 years in Employment,2008Q3,Female,35-39 hours,361.5
Persons aged 15-89 years in Employment,2008Q3,Female,40-44 hours,128.7
Persons aged 15-89 years in Employment,2008Q3,Female,45 hours and over,31.2
Persons aged 15-89 years in Employment,2008Q3,Female,Variable hours (see note),66.5
Persons aged 15-89 years in Employment,2008Q4,Both sexes,1-9 hours,41.6
Persons aged 15-89 years in Employment,2008Q4,Both sexes,10-19 hours,131.8
Persons aged 15-89 years in Employment,2008Q4,Both sexes,20-29 hours,246.7
Persons aged 15-89 years in Employment,2008Q4,Both sexes,30-34 hours,101.2
Persons aged 15-89 years in Employment,2008Q4,Both sexes,35-39 hours,759.6
Persons aged 15-89 years in Employment,2008Q4,Both sexes,40-44 hours,422.6
Persons aged 15-89 years in Employment,2008Q4,Both sexes,45 hours and over,210.8
Persons aged 15-89 years in Employment,2008Q4,Both sexes,Variable hours (see note),231.4
Persons aged 15-89 years in Employment,2008Q4,Male,1-9 hours,12.0
Persons aged 15-89 years in Employment,2008Q4,Male,10-19 hours,30.5
Persons aged 15-89 years in Employment,2008Q4,Male,20-29 hours,56.6
Persons aged 15-89 years in Employment,2008Q4,Male,30-34 hours,27.4
Persons aged 15-89 years in Employment,2008Q4,Male,35-39 hours,411.8
Persons aged 15-89 years in Employment,2008Q4,Male,40-44 hours,300.8
Persons aged 15-89 years in Employment,2008Q4,Male,45 hours and over,181.4
Persons aged 15-89 years in Employment,2008Q4,Male,Variable hours (see note),171.6
Persons aged 15-89 years in Employment,2008Q4,Female,1-9 hours,29.6
Persons aged 15-89 years in Employment,2008Q4,Female,10-19 hours,101.3
Persons aged 15-89 years in Employment,2008Q4,Female,20-29 hours,190.1
Persons aged 15-89 years in Employment,2008Q4,Female,30-34 hours,73.8
Persons aged 15-89 years in Employment,2008Q4,Female,35-39 hours,347.9
Persons aged 15-89 years in Employment,2008Q4,Female,40-44 hours,121.8
Persons aged 15-89 years in Employment,2008Q4,Female,45 hours and over,29.3
Persons aged 15-89 years in Employment,2008Q4,Female,Variable hours (see note),59.8
Persons aged 15-89 years in Employment,2009Q1,Both sexes,1-9 hours,44.9
Persons aged 15-89 years in Employment,2009Q1,Both sexes,10-19 hours,132.2
Persons aged 15-89 years in Employment,2009Q1,Both sexes,20-29 hours,247.4
Persons aged 15-89 years in Employment,2009Q1,Both sexes,30-34 hours,96.3
Persons aged 15-89 years in Employment,2009Q1,Both sexes,35-39 hours,721.1
Persons aged 15-89 years in Employment,2009Q1,Both sexes,40-44 hours,382.8
Persons aged 15-89 years in Employment,2009Q1,Both sexes,45 hours and over,191.6
Persons aged 15-89 years in Employment,2009Q1,Both sexes,Variable hours (see note),238.1
Persons aged 15-89 years in Employment,2009Q1,Male,1-9 hours,11.7
Persons aged 15-89 years in Employment,2009Q1,Male,10-19 hours,29.4
Persons aged 15-89 years in Employment,2009Q1,Male,20-29 hours,59.3
Persons aged 15-89 years in Employment,2009Q1,Male,30-34 hours,26.7
Persons aged 15-89 years in Employment,2009Q1,Male,35-39 hours,386.3
Persons aged 15-89 years in Employment,2009Q1,Male,40-44 hours,269.0
Persons aged 15-89 years in Employment,2009Q1,Male,45 hours and over,163.6
Persons aged 15-89 years in Employment,2009Q1,Male,Variable hours (see note),177.9
Persons aged 15-89 years in Employment,2009Q1,Female,1-9 hours,33.2
Persons aged 15-89 years in Employment,2009Q1,Female,10-19 hours,102.8
Persons aged 15-89 years in Employment,2009Q1,Female,20-29 hours,188.1
Persons aged 15-89 years in Employment,2009Q1,Female,30-34 hours,69.5
Persons aged 15-89 years in Employment,2009Q1,Female,35-39 hours,334.8
Persons aged 15-89 years in Employment,2009Q1,Female,40-44 hours,113.8
Persons aged 15-89 years in Employment,2009Q1,Female,45 hours and over,28.1
Persons aged 15-89 years in Employment,2009Q1,Female,Variable hours (see note),60.2
Persons aged 15-89 years in Employment,2009Q2,Both sexes,1-9 hours,42.6
Persons aged 15-89 years in Employment,2009Q2,Both sexes,10-19 hours,128.6
Persons aged 15-89 years in Employment,2009Q2,Both sexes,20-29 hours,252.4
Persons aged 15-89 years in Employment,2009Q2,Both sexes,30-34 hours,99.8
Persons aged 15-89 years in Employment,2009Q2,Both sexes,35-39 hours,707.5
Persons aged 15-89 years in Employment,2009Q2,Both sexes,40-44 hours,356.1
Persons aged 15-89 years in Employment,2009Q2,Both sexes,45 hours and over,188.2
Persons aged 15-89 years in Employment,2009Q2,Both sexes,Variable hours (see note),253.3
Persons aged 15-89 years in Employment,2009Q2,Male,1-9 hours,12.6
Persons aged 15-89 years in Employment,2009Q2,Male,10-19 hours,28.0
Persons aged 15-89 years in Employment,2009Q2,Male,20-29 hours,63.7
Persons aged 15-89 years in Employment,2009Q2,Male,30-34 hours,28.8
Persons aged 15-89 years in Employment,2009Q2,Male,35-39 hours,371.2
Persons aged 15-89 years in Employment,2009Q2,Male,40-44 hours,248.8
Persons aged 15-89 years in Employment,2009Q2,Male,45 hours and over,159.3
Persons aged 15-89 years in Employment,2009Q2,Male,Variable hours (see note),188.2
Persons aged 15-89 years in Employment,2009Q2,Female,1-9 hours,30.0
Persons aged 15-89 years in Employment,2009Q2,Female,10-19 hours,100.6
Persons aged 15-89 years in Employment,2009Q2,Female,20-29 hours,188.7
Persons aged 15-89 years in Employment,2009Q2,Female,30-34 hours,71.1
Persons aged 15-89 years in Employment,2009Q2,Female,35-39 hours,336.3
Persons aged 15-89 years in Employment,2009Q2,Female,40-44 hours,107.3
Persons aged 15-89 years in Employment,2009Q2,Female,45 hours and over,28.9
Persons aged 15-89 years in Employment,2009Q2,Female,Variable hours (see note),65.0
Persons aged 15-89 years in Employment,2009Q3,Both sexes,1-9 hours,37.4
Persons aged 15-89 years in Employment,2009Q3,Both sexes,10-19 hours,131.2
Persons aged 15-89 years in Employment,2009Q3,Both sexes,20-29 hours,250.0
Persons aged 15-89 years in Employment,2009Q3,Both sexes,30-34 hours,96.3
Persons aged 15-89 years in Employment,2009Q3,Both sexes,35-39 hours,696.8
Persons aged 15-89 years in Employment,2009Q3,Both sexes,40-44 hours,354.2
Persons aged 15-89 years in Employment,2009Q3,Both sexes,45 hours and over,195.7
Persons aged 15-89 years in Employment,2009Q3,Both sexes,Variable hours (see note),244.7
Persons aged 15-89 years in Employment,2009Q3,Male,1-9 hours,10.7
Persons aged 15-89 years in Employment,2009Q3,Male,10-19 hours,30.3
Persons aged 15-89 years in Employment,2009Q3,Male,20-29 hours,64.8
Persons aged 15-89 years in Employment,2009Q3,Male,30-34 hours,29.4
Persons aged 15-89 years in Employment,2009Q3,Male,35-39 hours,359.8
Persons aged 15-89 years in Employment,2009Q3,Male,40-44 hours,245.2
Persons aged 15-89 years in Employment,2009Q3,Male,45 hours and over,164.0
Persons aged 15-89 years in Employment,2009Q3,Male,Variable hours (see note),178.8
Persons aged 15-89 years in Employment,2009Q3,Female,1-9 hours,26.7
Persons aged 15-89 years in Employment,2009Q3,Female,10-19 hours,100.8
Persons aged 15-89 years in Employment,2009Q3,Female,20-29 hours,185.2
Persons aged 15-89 years in Employment,2009Q3,Female,30-34 hours,66.8
