Statistic,Quarter,Sex,NACE Rev 2 Economic Sector,value
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q3,Male,Construction (F),140.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q3,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",132.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q3,Male,Transportation and storage (H),62.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q3,Male,Accommodation and food service activities (I),52.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q3,Male,Information and communication (J),48.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q3,Male,"Professional, scientific and technical activities (M)",53.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q3,Male,Administrative and support service activities (N),30.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q3,Male,"Public administration and defence, compulsory social security (O)",47.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q3,Male,Education (P),33.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q3,Male,Human health and social work activities (Q),32.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q3,Male,Industry (B to E),232.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q3,Male,Industry and Construction (B to F),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q3,Male,Services (G to U),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q3,Male,"Financial, insurance and real estate activities (K,L)",35.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q3,Male,Other NACE activities (R to U),37.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q3,Male,Not stated,
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q3,Female,All NACE economic sectors,728.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q3,Female,"Agriculture, forestry and fishing (A)",16.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q3,Female,Construction (F),4.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q3,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",124.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q3,Female,Transportation and storage (H),15.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q3,Female,Accommodation and food service activities (I),62.9
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q3,Female,Information and communication (J),28.9
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q3,Female,"Professional, scientific and technical activities (M)",34.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q3,Female,Administrative and support service activities (N),31.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q3,Female,"Public administration and defence, compulsory social security (O)",28.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q3,Female,Education (P),69.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q3,Female,Human health and social work activities (Q),113.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q3,Female,Industry (B to E),104.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q3,Female,Industry and Construction (B to F),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q3,Female,Services (G to U),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q3,Female,"Financial, insurance and real estate activities (K,L)",44.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q3,Female,Other NACE activities (R to U),45.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q3,Female,Not stated,
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Both sexes,All NACE economic sectors,1795.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Both sexes,"Agriculture, forestry and fishing (A)",123.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Both sexes,Construction (F),148.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",258.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Both sexes,Transportation and storage (H),79.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Both sexes,Accommodation and food service activities (I),114.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Both sexes,Information and communication (J),76.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Both sexes,"Professional, scientific and technical activities (M)",89.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Both sexes,Administrative and support service activities (N),62.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Both sexes,"Public administration and defence, compulsory social security (O)",75.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Both sexes,Education (P),103.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Both sexes,Human health and social work activities (Q),149.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Both sexes,Industry (B to E),339.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Both sexes,Industry and Construction (B to F),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Both sexes,Services (G to U),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Both sexes,"Financial, insurance and real estate activities (K,L)",82.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Both sexes,Other NACE activities (R to U),82.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Both sexes,Not stated,
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Male,All NACE economic sectors,1062.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Male,"Agriculture, forestry and fishing (A)",107.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Male,Construction (F),143.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",132.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Male,Transportation and storage (H),64.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Male,Accommodation and food service activities (I),53.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Male,Information and communication (J),46.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Male,"Professional, scientific and technical activities (M)",53.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Male,Administrative and support service activities (N),30.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Male,"Public administration and defence, compulsory social security (O)",46.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Male,Education (P),35.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Male,Human health and social work activities (Q),34.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Male,Industry (B to E),235.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Male,Industry and Construction (B to F),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Male,Services (G to U),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Male,"Financial, insurance and real estate activities (K,L)",37.9
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Male,Other NACE activities (R to U),36.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Male,Not stated,
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Female,All NACE economic sectors,733.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Female,"Agriculture, forestry and fishing (A)",15.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Female,Construction (F),5.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",126.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Female,Transportation and storage (H),15.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Female,Accommodation and food service activities (I),61.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Female,Information and communication (J),29.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Female,"Professional, scientific and technical activities (M)",35.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Female,Administrative and support service activities (N),32.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Female,"Public administration and defence, compulsory social security (O)",28.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Female,Education (P),68.9
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Female,Human health and social work activities (Q),115.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Female,Industry (B to E),104.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Female,Industry and Construction (B to F),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Female,Services (G to U),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Female,"Financial, insurance and real estate activities (K,L)",44.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Female,Other NACE activities (R to U),45.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2000Q4,Female,Not stated,
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Both sexes,All NACE economic sectors,1800.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Both sexes,"Agriculture, forestry and fishing (A)",123.9
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Both sexes,Construction (F),150.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",259.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Both sexes,Transportation and storage (H),82.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Both sexes,Accommodation and food service activities (I),113.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Both sexes,Information and communication (J),76.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Both sexes,"Professional, scientific and technical activities (M)",89.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Both sexes,Administrative and support service activities (N),62.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Both sexes,"Public administration and defence, compulsory social security (O)",75.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Both sexes,Education (P),101.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Both sexes,Human health and social work activities (Q),151.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Both sexes,Industry (B to E),338.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Both sexes,Industry and Construction (B to F),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Both sexes,Services (G to U),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Both sexes,"Financial, insurance and real estate activities (K,L)",81.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Both sexes,Other NACE activities (R to U),83.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Both sexes,Not stated,
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Male,All NACE economic sectors,1063.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Male,"Agriculture, forestry and fishing (A)",108.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Male,Construction (F),144.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",132.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Male,Transportation and storage (H),66.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Male,Accommodation and food service activities (I),50.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Male,Information and communication (J),46.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Male,"Professional, scientific and technical activities (M)",55.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Male,Administrative and support service activities (N),30.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Male,"Public administration and defence, compulsory social security (O)",46.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Male,Education (P),33.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Male,Human health and social work activities (Q),33.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Male,Industry (B to E),236.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Male,Industry and Construction (B to F),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Male,Services (G to U),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Male,"Financial, insurance and real estate activities (K,L)",37.9
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Male,Other NACE activities (R to U),36.9
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Male,Not stated,
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Female,All NACE economic sectors,736.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Female,"Agriculture, forestry and fishing (A)",15.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Female,Construction (F),5.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",126.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Female,Transportation and storage (H),16.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Female,Accommodation and food service activities (I),62.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Female,Information and communication (J),29.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Female,"Professional, scientific and technical activities (M)",34.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Female,Administrative and support service activities (N),31.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Female,"Public administration and defence, compulsory social security (O)",29.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Female,Education (P),68.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Female,Human health and social work activities (Q),118.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Female,Industry (B to E),101.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Female,Industry and Construction (B to F),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Female,Services (G to U),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Female,"Financial, insurance and real estate activities (K,L)",43.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Female,Other NACE activities (R to U),46.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q1,Female,Not stated,
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Both sexes,All NACE economic sectors,1816.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Both sexes,"Agriculture, forestry and fishing (A)",122.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Both sexes,Construction (F),152.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",264.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Both sexes,Transportation and storage (H),83.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Both sexes,Accommodation and food service activities (I),112.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Both sexes,Information and communication (J),77.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Both sexes,"Professional, scientific and technical activities (M)",91.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Both sexes,Administrative and support service activities (N),65.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Both sexes,"Public administration and defence, compulsory social security (O)",76.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Both sexes,Education (P),103.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Both sexes,Human health and social work activities (Q),154.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Both sexes,Industry (B to E),339.9
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Both sexes,Industry and Construction (B to F),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Both sexes,Services (G to U),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Both sexes,"Financial, insurance and real estate activities (K,L)",80.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Both sexes,Other NACE activities (R to U),85.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Both sexes,Not stated,
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Male,All NACE economic sectors,1072.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Male,"Agriculture, forestry and fishing (A)",107.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Male,Construction (F),146.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",136.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Male,Transportation and storage (H),66.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Male,Accommodation and food service activities (I),51.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Male,Information and communication (J),48.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Male,"Professional, scientific and technical activities (M)",55.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Male,Administrative and support service activities (N),31.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Male,"Public administration and defence, compulsory social security (O)",45.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Male,Education (P),33.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Male,Human health and social work activities (Q),31.9
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Male,Industry (B to E),239.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Male,Industry and Construction (B to F),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Male,Services (G to U),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Male,"Financial, insurance and real estate activities (K,L)",37.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Male,Other NACE activities (R to U),38.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Male,Not stated,
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Female,All NACE economic sectors,744.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Female,"Agriculture, forestry and fishing (A)",15.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Female,Construction (F),5.9
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",128.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Female,Transportation and storage (H),16.9
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Female,Accommodation and food service activities (I),61.9
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Female,Information and communication (J),28.9
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Female,"Professional, scientific and technical activities (M)",36.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Female,Administrative and support service activities (N),33.9
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Female,"Public administration and defence, compulsory social security (O)",30.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Female,Education (P),70.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Female,Human health and social work activities (Q),122.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Female,Industry (B to E),100.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Female,Industry and Construction (B to F),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Female,Services (G to U),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Female,"Financial, insurance and real estate activities (K,L)",42.9
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Female,Other NACE activities (R to U),46.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q2,Female,Not stated,
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Both sexes,All NACE economic sectors,1832.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Both sexes,"Agriculture, forestry and fishing (A)",125.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Both sexes,Construction (F),153.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",256.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Both sexes,Transportation and storage (H),84.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Both sexes,Accommodation and food service activities (I),115.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Both sexes,Information and communication (J),80.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Both sexes,"Professional, scientific and technical activities (M)",92.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Both sexes,Administrative and support service activities (N),67.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Both sexes,"Public administration and defence, compulsory social security (O)",76.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Both sexes,Education (P),108.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Both sexes,Human health and social work activities (Q),159.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Both sexes,Industry (B to E),336.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Both sexes,Industry and Construction (B to F),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Both sexes,Services (G to U),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Both sexes,"Financial, insurance and real estate activities (K,L)",82.9
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Both sexes,Other NACE activities (R to U),85.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Both sexes,Not stated,
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Male,All NACE economic sectors,1076.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Male,"Agriculture, forestry and fishing (A)",111.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Male,Construction (F),146.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",130.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Male,Transportation and storage (H),67.9
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Male,Accommodation and food service activities (I),51.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Male,Information and communication (J),50.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Male,"Professional, scientific and technical activities (M)",54.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Male,Administrative and support service activities (N),32.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Male,"Public administration and defence, compulsory social security (O)",44.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Male,Education (P),33.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Male,Human health and social work activities (Q),34.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Male,Industry (B to E),236.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Male,Industry and Construction (B to F),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Male,Services (G to U),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Male,"Financial, insurance and real estate activities (K,L)",38.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Male,Other NACE activities (R to U),38.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Male,Not stated,
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Female,All NACE economic sectors,756.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Female,"Agriculture, forestry and fishing (A)",14.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Female,Construction (F),6.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",125.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Female,Transportation and storage (H),16.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Female,Accommodation and food service activities (I),63.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Female,Information and communication (J),30.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Female,"Professional, scientific and technical activities (M)",37.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Female,Administrative and support service activities (N),35.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Female,"Public administration and defence, compulsory social security (O)",32.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Female,Education (P),74.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Female,Human health and social work activities (Q),125.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Female,Industry (B to E),100.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Female,Industry and Construction (B to F),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Female,Services (G to U),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Female,"Financial, insurance and real estate activities (K,L)",44.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Female,Other NACE activities (R to U),47.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q3,Female,Not stated,
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Both sexes,All NACE economic sectors,1840.9
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Both sexes,"Agriculture, forestry and fishing (A)",126.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Both sexes,Construction (F),154.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",261.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Both sexes,Transportation and storage (H),83.9
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Both sexes,Accommodation and food service activities (I),116.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Both sexes,Information and communication (J),80.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Both sexes,"Professional, scientific and technical activities (M)",91.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Both sexes,Administrative and support service activities (N),66.9
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Both sexes,"Public administration and defence, compulsory social security (O)",77.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Both sexes,Education (P),104.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Both sexes,Human health and social work activities (Q),163.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Both sexes,Industry (B to E),336.6
