STATISTIC,Quarter,Broad NACE Rev 2 Economic Sector,Sex,value
Persons aged 15-89 years in Employment,2011Q4,"Agriculture, forestry and fishing (A)",Both sexes,103.7
Persons aged 15-89 years in Employment,2011Q4,"Agriculture, forestry and fishing (A)",Male,90.0
Persons aged 15-89 years in Employment,2011Q4,"Agriculture, forestry and fishing (A)",Female,13.7
Persons aged 15-89 years in Employment,2011Q4,Industry and Construction (B to F),Both sexes,333.1
Persons aged 15-89 years in Employment,2011Q4,Industry and Construction (B to F),Male,257.2
Persons aged 15-89 years in Employment,2011Q4,Industry and Construction (B to F),Female,75.8
Persons aged 15-89 years in Employment,2011Q4,Services (G to U),Both sexes,1445.1
Persons aged 15-89 years in Employment,2011Q4,Services (G to U),Male,658.3
Persons aged 15-89 years in Employment,2011Q4,Services (G to U),Female,786.8
Persons aged 15-89 years in Employment,2012Q1,All NACE economic sectors,Both sexes,1862.6
Persons aged 15-89 years in Employment,2012Q1,All NACE economic sectors,Male,991.3
Persons aged 15-89 years in Employment,2012Q1,All NACE economic sectors,Female,871.3
Persons aged 15-89 years in Employment,2012Q1,"Agriculture, forestry and fishing (A)",Both sexes,103.8
Persons aged 15-89 years in Employment,2012Q1,"Agriculture, forestry and fishing (A)",Male,90.0
Persons aged 15-89 years in Employment,2012Q1,"Agriculture, forestry and fishing (A)",Female,13.8
Persons aged 15-89 years in Employment,2012Q1,Industry and Construction (B to F),Both sexes,320.4
Persons aged 15-89 years in Employment,2012Q1,Industry and Construction (B to F),Male,244.8
Persons aged 15-89 years in Employment,2012Q1,Industry and Construction (B to F),Female,75.6
Persons aged 15-89 years in Employment,2012Q1,Services (G to U),Both sexes,1434.0
Persons aged 15-89 years in Employment,2012Q1,Services (G to U),Male,653.9
Persons aged 15-89 years in Employment,2012Q1,Services (G to U),Female,780.1
Persons aged 15-89 years in Employment,2012Q2,All NACE economic sectors,Both sexes,1876.8
Persons aged 15-89 years in Employment,2012Q2,All NACE economic sectors,Male,998.4
Persons aged 15-89 years in Employment,2012Q2,All NACE economic sectors,Female,878.4
Persons aged 15-89 years in Employment,2012Q2,"Agriculture, forestry and fishing (A)",Both sexes,113.2
Persons aged 15-89 years in Employment,2012Q2,"Agriculture, forestry and fishing (A)",Male,98.1
Persons aged 15-89 years in Employment,2012Q2,"Agriculture, forestry and fishing (A)",Female,15.2
Persons aged 15-89 years in Employment,2012Q2,Industry and Construction (B to F),Both sexes,312.9
Persons aged 15-89 years in Employment,2012Q2,Industry and Construction (B to F),Male,238.5
Persons aged 15-89 years in Employment,2012Q2,Industry and Construction (B to F),Female,74.4
Persons aged 15-89 years in Employment,2012Q2,Services (G to U),Both sexes,1447.1
Persons aged 15-89 years in Employment,2012Q2,Services (G to U),Male,659.9
Persons aged 15-89 years in Employment,2012Q2,Services (G to U),Female,787.2
Persons aged 15-89 years in Employment,2012Q3,All NACE economic sectors,Both sexes,1888.5
Persons aged 15-89 years in Employment,2012Q3,All NACE economic sectors,Male,1011.1
Persons aged 15-89 years in Employment,2012Q3,All NACE economic sectors,Female,877.3
Persons aged 15-89 years in Employment,2012Q3,"Agriculture, forestry and fishing (A)",Both sexes,110.1
Persons aged 15-89 years in Employment,2012Q3,"Agriculture, forestry and fishing (A)",Male,95.3
Persons aged 15-89 years in Employment,2012Q3,"Agriculture, forestry and fishing (A)",Female,14.7
Persons aged 15-89 years in Employment,2012Q3,Industry and Construction (B to F),Both sexes,315.4
Persons aged 15-89 years in Employment,2012Q3,Industry and Construction (B to F),Male,238.2
Persons aged 15-89 years in Employment,2012Q3,Industry and Construction (B to F),Female,77.3
Persons aged 15-89 years in Employment,2012Q3,Services (G to U),Both sexes,1456.0
Persons aged 15-89 years in Employment,2012Q3,Services (G to U),Male,674.1
Persons aged 15-89 years in Employment,2012Q3,Services (G to U),Female,781.9
Persons aged 15-89 years in Employment,2012Q4,All NACE economic sectors,Both sexes,1892.9
Persons aged 15-89 years in Employment,2012Q4,All NACE economic sectors,Male,1011.9
Persons aged 15-89 years in Employment,2012Q4,All NACE economic sectors,Female,881.0
Persons aged 15-89 years in Employment,2012Q4,"Agriculture, forestry and fishing (A)",Both sexes,107.5
Persons aged 15-89 years in Employment,2012Q4,"Agriculture, forestry and fishing (A)",Male,93.6
Persons aged 15-89 years in Employment,2012Q4,"Agriculture, forestry and fishing (A)",Female,13.9
Persons aged 15-89 years in Employment,2012Q4,Industry and Construction (B to F),Both sexes,325.3
Persons aged 15-89 years in Employment,2012Q4,Industry and Construction (B to F),Male,246.2
Persons aged 15-89 years in Employment,2012Q4,Industry and Construction (B to F),Female,79.1
Persons aged 15-89 years in Employment,2012Q4,Services (G to U),Both sexes,1454.5
Persons aged 15-89 years in Employment,2012Q4,Services (G to U),Male,668.6
Persons aged 15-89 years in Employment,2012Q4,Services (G to U),Female,785.8
Persons aged 15-89 years in Employment,2013Q1,All NACE economic sectors,Both sexes,1893.2
Persons aged 15-89 years in Employment,2013Q1,All NACE economic sectors,Male,1018.0
Persons aged 15-89 years in Employment,2013Q1,All NACE economic sectors,Female,875.3
Persons aged 15-89 years in Employment,2013Q1,"Agriculture, forestry and fishing (A)",Both sexes,106.7
Persons aged 15-89 years in Employment,2013Q1,"Agriculture, forestry and fishing (A)",Male,92.9
Persons aged 15-89 years in Employment,2013Q1,"Agriculture, forestry and fishing (A)",Female,13.8
Persons aged 15-89 years in Employment,2013Q1,Industry and Construction (B to F),Both sexes,322.8
Persons aged 15-89 years in Employment,2013Q1,Industry and Construction (B to F),Male,244.7
Persons aged 15-89 years in Employment,2013Q1,Industry and Construction (B to F),Female,78.0
Persons aged 15-89 years in Employment,2013Q1,Services (G to U),Both sexes,1458.1
Persons aged 15-89 years in Employment,2013Q1,Services (G to U),Male,676.4
Persons aged 15-89 years in Employment,2013Q1,Services (G to U),Female,781.6
Persons aged 15-89 years in Employment,2013Q2,All NACE economic sectors,Both sexes,1924.2
Persons aged 15-89 years in Employment,2013Q2,All NACE economic sectors,Male,1034.3
Persons aged 15-89 years in Employment,2013Q2,All NACE economic sectors,Female,889.9
Persons aged 15-89 years in Employment,2013Q2,"Agriculture, forestry and fishing (A)",Both sexes,112.8
Persons aged 15-89 years in Employment,2013Q2,"Agriculture, forestry and fishing (A)",Male,98.3
Persons aged 15-89 years in Employment,2013Q2,"Agriculture, forestry and fishing (A)",Female,14.6
Persons aged 15-89 years in Employment,2013Q2,Industry and Construction (B to F),Both sexes,329.7
Persons aged 15-89 years in Employment,2013Q2,Industry and Construction (B to F),Male,253.5
Persons aged 15-89 years in Employment,2013Q2,Industry and Construction (B to F),Female,76.2
Persons aged 15-89 years in Employment,2013Q2,Services (G to U),Both sexes,1479.0
Persons aged 15-89 years in Employment,2013Q2,Services (G to U),Male,680.7
Persons aged 15-89 years in Employment,2013Q2,Services (G to U),Female,798.2
Persons aged 15-89 years in Employment,2013Q3,All NACE economic sectors,Both sexes,1962.0
Persons aged 15-89 years in Employment,2013Q3,All NACE economic sectors,Male,1059.3
Persons aged 15-89 years in Employment,2013Q3,All NACE economic sectors,Female,902.6
Persons aged 15-89 years in Employment,2013Q3,"Agriculture, forestry and fishing (A)",Both sexes,112.2
Persons aged 15-89 years in Employment,2013Q3,"Agriculture, forestry and fishing (A)",Male,97.6
Persons aged 15-89 years in Employment,2013Q3,"Agriculture, forestry and fishing (A)",Female,14.6
Persons aged 15-89 years in Employment,2013Q3,Industry and Construction (B to F),Both sexes,339.1
Persons aged 15-89 years in Employment,2013Q3,Industry and Construction (B to F),Male,259.7
Persons aged 15-89 years in Employment,2013Q3,Industry and Construction (B to F),Female,79.3
Persons aged 15-89 years in Employment,2013Q3,Services (G to U),Both sexes,1504.8
Persons aged 15-89 years in Employment,2013Q3,Services (G to U),Male,698.6
Persons aged 15-89 years in Employment,2013Q3,Services (G to U),Female,806.3
Persons aged 15-89 years in Employment,2013Q4,All NACE economic sectors,Both sexes,1969.6
Persons aged 15-89 years in Employment,2013Q4,All NACE economic sectors,Male,1068.7
Persons aged 15-89 years in Employment,2013Q4,All NACE economic sectors,Female,900.8
Persons aged 15-89 years in Employment,2013Q4,"Agriculture, forestry and fishing (A)",Both sexes,115.5
Persons aged 15-89 years in Employment,2013Q4,"Agriculture, forestry and fishing (A)",Male,97.9
Persons aged 15-89 years in Employment,2013Q4,"Agriculture, forestry and fishing (A)",Female,17.6
Persons aged 15-89 years in Employment,2013Q4,Industry and Construction (B to F),Both sexes,340.1
Persons aged 15-89 years in Employment,2013Q4,Industry and Construction (B to F),Male,261.8
Persons aged 15-89 years in Employment,2013Q4,Industry and Construction (B to F),Female,78.3
Persons aged 15-89 years in Employment,2013Q4,Services (G to U),Both sexes,1510.2
Persons aged 15-89 years in Employment,2013Q4,Services (G to U),Male,706.7
Persons aged 15-89 years in Employment,2013Q4,Services (G to U),Female,803.5
Persons aged 15-89 years in Employment,2014Q1,All NACE economic sectors,Both sexes,1950.8
Persons aged 15-89 years in Employment,2014Q1,All NACE economic sectors,Male,1056.1
Persons aged 15-89 years in Employment,2014Q1,All NACE economic sectors,Female,894.7
Persons aged 15-89 years in Employment,2014Q1,"Agriculture, forestry and fishing (A)",Both sexes,109.5
Persons aged 15-89 years in Employment,2014Q1,"Agriculture, forestry and fishing (A)",Male,92.9
Persons aged 15-89 years in Employment,2014Q1,"Agriculture, forestry and fishing (A)",Female,16.6
Persons aged 15-89 years in Employment,2014Q1,Industry and Construction (B to F),Both sexes,332.4
Persons aged 15-89 years in Employment,2014Q1,Industry and Construction (B to F),Male,256.3
Persons aged 15-89 years in Employment,2014Q1,Industry and Construction (B to F),Female,76.1
Persons aged 15-89 years in Employment,2014Q1,Services (G to U),Both sexes,1505.3
Persons aged 15-89 years in Employment,2014Q1,Services (G to U),Male,705.0
Persons aged 15-89 years in Employment,2014Q1,Services (G to U),Female,800.3
Persons aged 15-89 years in Employment,2014Q2,All NACE economic sectors,Both sexes,1968.9
Persons aged 15-89 years in Employment,2014Q2,All NACE economic sectors,Male,1066.3
Persons aged 15-89 years in Employment,2014Q2,All NACE economic sectors,Female,902.6
Persons aged 15-89 years in Employment,2014Q2,"Agriculture, forestry and fishing (A)",Both sexes,108.7
Persons aged 15-89 years in Employment,2014Q2,"Agriculture, forestry and fishing (A)",Male,92.5
Persons aged 15-89 years in Employment,2014Q2,"Agriculture, forestry and fishing (A)",Female,16.3
Persons aged 15-89 years in Employment,2014Q2,Industry and Construction (B to F),Both sexes,335.9
Persons aged 15-89 years in Employment,2014Q2,Industry and Construction (B to F),Male,260.5
Persons aged 15-89 years in Employment,2014Q2,Industry and Construction (B to F),Female,75.3
Persons aged 15-89 years in Employment,2014Q2,Services (G to U),Both sexes,1520.4
Persons aged 15-89 years in Employment,2014Q2,Services (G to U),Male,711.9
Persons aged 15-89 years in Employment,2014Q2,Services (G to U),Female,808.5
Persons aged 15-89 years in Employment,2014Q3,All NACE economic sectors,Both sexes,2009.4
Persons aged 15-89 years in Employment,2014Q3,All NACE economic sectors,Male,1090.5
Persons aged 15-89 years in Employment,2014Q3,All NACE economic sectors,Female,918.9
Persons aged 15-89 years in Employment,2014Q3,"Agriculture, forestry and fishing (A)",Both sexes,108.9
Persons aged 15-89 years in Employment,2014Q3,"Agriculture, forestry and fishing (A)",Male,92.8
Persons aged 15-89 years in Employment,2014Q3,"Agriculture, forestry and fishing (A)",Female,16.1
Persons aged 15-89 years in Employment,2014Q3,Industry and Construction (B to F),Both sexes,347.0
Persons aged 15-89 years in Employment,2014Q3,Industry and Construction (B to F),Male,271.1
Persons aged 15-89 years in Employment,2014Q3,Industry and Construction (B to F),Female,75.9
Persons aged 15-89 years in Employment,2014Q3,Services (G to U),Both sexes,1543.5
Persons aged 15-89 years in Employment,2014Q3,Services (G to U),Male,720.7
Persons aged 15-89 years in Employment,2014Q3,Services (G to U),Female,822.9
Persons aged 15-89 years in Employment,2014Q4,All NACE economic sectors,Both sexes,2025.0
Persons aged 15-89 years in Employment,2014Q4,All NACE economic sectors,Male,1098.5
Persons aged 15-89 years in Employment,2014Q4,All NACE economic sectors,Female,926.5
Persons aged 15-89 years in Employment,2014Q4,"Agriculture, forestry and fishing (A)",Both sexes,104.7
Persons aged 15-89 years in Employment,2014Q4,"Agriculture, forestry and fishing (A)",Male,90.4
Persons aged 15-89 years in Employment,2014Q4,"Agriculture, forestry and fishing (A)",Female,14.2
Persons aged 15-89 years in Employment,2014Q4,Industry and Construction (B to F),Both sexes,357.6
Persons aged 15-89 years in Employment,2014Q4,Industry and Construction (B to F),Male,278.2
Persons aged 15-89 years in Employment,2014Q4,Industry and Construction (B to F),Female,79.4
Persons aged 15-89 years in Employment,2014Q4,Services (G to U),Both sexes,1555.8
Persons aged 15-89 years in Employment,2014Q4,Services (G to U),Male,725.7
Persons aged 15-89 years in Employment,2014Q4,Services (G to U),Female,830.2
Persons aged 15-89 years in Employment,2015Q1,All NACE economic sectors,Both sexes,2012.4
Persons aged 15-89 years in Employment,2015Q1,All NACE economic sectors,Male,1094.1
Persons aged 15-89 years in Employment,2015Q1,All NACE economic sectors,Female,918.3
Persons aged 15-89 years in Employment,2015Q1,"Agriculture, forestry and fishing (A)",Both sexes,106.9
Persons aged 15-89 years in Employment,2015Q1,"Agriculture, forestry and fishing (A)",Male,92.0
Persons aged 15-89 years in Employment,2015Q1,"Agriculture, forestry and fishing (A)",Female,15.0
Persons aged 15-89 years in Employment,2015Q1,Industry and Construction (B to F),Both sexes,364.5
Persons aged 15-89 years in Employment,2015Q1,Industry and Construction (B to F),Male,285.3
Persons aged 15-89 years in Employment,2015Q1,Industry and Construction (B to F),Female,79.2
Persons aged 15-89 years in Employment,2015Q1,Services (G to U),Both sexes,1534.6
Persons aged 15-89 years in Employment,2015Q1,Services (G to U),Male,712.7
Persons aged 15-89 years in Employment,2015Q1,Services (G to U),Female,821.9
Persons aged 15-89 years in Employment,2015Q2,All NACE economic sectors,Both sexes,2047.7
Persons aged 15-89 years in Employment,2015Q2,All NACE economic sectors,Male,1113.7
Persons aged 15-89 years in Employment,2015Q2,All NACE economic sectors,Female,934.0
Persons aged 15-89 years in Employment,2015Q2,"Agriculture, forestry and fishing (A)",Both sexes,111.7
Persons aged 15-89 years in Employment,2015Q2,"Agriculture, forestry and fishing (A)",Male,96.0
Persons aged 15-89 years in Employment,2015Q2,"Agriculture, forestry and fishing (A)",Female,15.7
Persons aged 15-89 years in Employment,2015Q2,Industry and Construction (B to F),Both sexes,368.6
Persons aged 15-89 years in Employment,2015Q2,Industry and Construction (B to F),Male,289.2
Persons aged 15-89 years in Employment,2015Q2,Industry and Construction (B to F),Female,79.4
Persons aged 15-89 years in Employment,2015Q2,Services (G to U),Both sexes,1558.5
Persons aged 15-89 years in Employment,2015Q2,Services (G to U),Male,723.8
Persons aged 15-89 years in Employment,2015Q2,Services (G to U),Female,834.7
Persons aged 15-89 years in Employment,2015Q3,All NACE economic sectors,Both sexes,2078.6
Persons aged 15-89 years in Employment,2015Q3,All NACE economic sectors,Male,1131.5
Persons aged 15-89 years in Employment,2015Q3,All NACE economic sectors,Female,947.1
Persons aged 15-89 years in Employment,2015Q3,"Agriculture, forestry and fishing (A)",Both sexes,112.0
Persons aged 15-89 years in Employment,2015Q3,"Agriculture, forestry and fishing (A)",Male,96.0
Persons aged 15-89 years in Employment,2015Q3,"Agriculture, forestry and fishing (A)",Female,16.0
Persons aged 15-89 years in Employment,2015Q3,Industry and Construction (B to F),Both sexes,377.0
Persons aged 15-89 years in Employment,2015Q3,Industry and Construction (B to F),Male,299.0
Persons aged 15-89 years in Employment,2015Q3,Industry and Construction (B to F),Female,78.0
Persons aged 15-89 years in Employment,2015Q3,Services (G to U),Both sexes,1578.9
Persons aged 15-89 years in Employment,2015Q3,Services (G to U),Male,731.4
Persons aged 15-89 years in Employment,2015Q3,Services (G to U),Female,847.5
Persons aged 15-89 years in Employment,2015Q4,All NACE economic sectors,Both sexes,2083.9
Persons aged 15-89 years in Employment,2015Q4,All NACE economic sectors,Male,1125.1
Persons aged 15-89 years in Employment,2015Q4,All NACE economic sectors,Female,958.9
Persons aged 15-89 years in Employment,2015Q4,"Agriculture, forestry and fishing (A)",Both sexes,105.8
Persons aged 15-89 years in Employment,2015Q4,"Agriculture, forestry and fishing (A)",Male,92.2
Persons aged 15-89 years in Employment,2015Q4,"Agriculture, forestry and fishing (A)",Female,13.6
Persons aged 15-89 years in Employment,2015Q4,Industry and Construction (B to F),Both sexes,373.8
Persons aged 15-89 years in Employment,2015Q4,Industry and Construction (B to F),Male,291.2
Persons aged 15-89 years in Employment,2015Q4,Industry and Construction (B to F),Female,82.6
Persons aged 15-89 years in Employment,2015Q4,Services (G to U),Both sexes,1595.0
Persons aged 15-89 years in Employment,2015Q4,Services (G to U),Male,737.0
Persons aged 15-89 years in Employment,2015Q4,Services (G to U),Female,858.0
Persons aged 15-89 years in Employment,2016Q1,All NACE economic sectors,Both sexes,2079.0
Persons aged 15-89 years in Employment,2016Q1,All NACE economic sectors,Male,1122.3
Persons aged 15-89 years in Employment,2016Q1,All NACE economic sectors,Female,956.7
Persons aged 15-89 years in Employment,2016Q1,"Agriculture, forestry and fishing (A)",Both sexes,107.6
Persons aged 15-89 years in Employment,2016Q1,"Agriculture, forestry and fishing (A)",Male,92.8
Persons aged 15-89 years in Employment,2016Q1,"Agriculture, forestry and fishing (A)",Female,14.8
Persons aged 15-89 years in Employment,2016Q1,Industry and Construction (B to F),Both sexes,381.0
Persons aged 15-89 years in Employment,2016Q1,Industry and Construction (B to F),Male,298.2
Persons aged 15-89 years in Employment,2016Q1,Industry and Construction (B to F),Female,82.8
Persons aged 15-89 years in Employment,2016Q1,Services (G to U),Both sexes,1582.2
Persons aged 15-89 years in Employment,2016Q1,Services (G to U),Male,727.2
Persons aged 15-89 years in Employment,2016Q1,Services (G to U),Female,855.0
Persons aged 15-89 years in Employment,2016Q2,All NACE economic sectors,Both sexes,2124.4
Persons aged 15-89 years in Employment,2016Q2,All NACE economic sectors,Male,1147.6
Persons aged 15-89 years in Employment,2016Q2,All NACE economic sectors,Female,976.8
Persons aged 15-89 years in Employment,2016Q2,"Agriculture, forestry and fishing (A)",Both sexes,115.3
Persons aged 15-89 years in Employment,2016Q2,"Agriculture, forestry and fishing (A)",Male,100.6
Persons aged 15-89 years in Employment,2016Q2,"Agriculture, forestry and fishing (A)",Female,14.7
Persons aged 15-89 years in Employment,2016Q2,Industry and Construction (B to F),Both sexes,392.1
Persons aged 15-89 years in Employment,2016Q2,Industry and Construction (B to F),Male,303.5
Persons aged 15-89 years in Employment,2016Q2,Industry and Construction (B to F),Female,88.6
Persons aged 15-89 years in Employment,2016Q2,Services (G to U),Both sexes,1608.8
Persons aged 15-89 years in Employment,2016Q2,Services (G to U),Male,739.3
Persons aged 15-89 years in Employment,2016Q2,Services (G to U),Female,869.5
Persons aged 15-89 years in Employment,2016Q3,All NACE economic sectors,Both sexes,2159.9
Persons aged 15-89 years in Employment,2016Q3,All NACE economic sectors,Male,1171.5
Persons aged 15-89 years in Employment,2016Q3,All NACE economic sectors,Female,988.5
Persons aged 15-89 years in Employment,2016Q3,"Agriculture, forestry and fishing (A)",Both sexes,115.8
Persons aged 15-89 years in Employment,2016Q3,"Agriculture, forestry and fishing (A)",Male,99.7
Persons aged 15-89 years in Employment,2016Q3,"Agriculture, forestry and fishing (A)",Female,16.1
Persons aged 15-89 years in Employment,2016Q3,Industry and Construction (B to F),Both sexes,404.7
Persons aged 15-89 years in Employment,2016Q3,Industry and Construction (B to F),Male,311.8
Persons aged 15-89 years in Employment,2016Q3,Industry and Construction (B to F),Female,93.0
Persons aged 15-89 years in Employment,2016Q3,Services (G to U),Both sexes,1629.5
Persons aged 15-89 years in Employment,2016Q3,Services (G to U),Male,755.1
Persons aged 15-89 years in Employment,2016Q3,Services (G to U),Female,874.4
Persons aged 15-89 years in Employment,2016Q4,All NACE economic sectors,Both sexes,2165.5
Persons aged 15-89 years in Employment,2016Q4,All NACE economic sectors,Male,1173.6
Persons aged 15-89 years in Employment,2016Q4,All NACE economic sectors,Female,991.8
Persons aged 15-89 years in Employment,2016Q4,"Agriculture, forestry and fishing (A)",Both sexes,110.0
Persons aged 15-89 years in Employment,2016Q4,"Agriculture, forestry and fishing (A)",Male,95.6
Persons aged 15-89 years in Employment,2016Q4,"Agriculture, forestry and fishing (A)",Female,14.4
Persons aged 15-89 years in Employment,2016Q4,Industry and Construction (B to F),Both sexes,398.8
Persons aged 15-89 years in Employment,2016Q4,Industry and Construction (B to F),Male,313.7
Persons aged 15-89 years in Employment,2016Q4,Industry and Construction (B to F),Female,85.1
Persons aged 15-89 years in Employment,2016Q4,Services (G to U),Both sexes,1647.6
Persons aged 15-89 years in Employment,2016Q4,Services (G to U),Male,759.5
Persons aged 15-89 years in Employment,2016Q4,Services (G to U),Female,888.0
Persons aged 15-89 years in Employment,2017Q1,All NACE economic sectors,Both sexes,2162.8
Persons aged 15-89 years in Employment,2017Q1,All NACE economic sectors,Male,1168.6
Persons aged 15-89 years in Employment,2017Q1,All NACE economic sectors,Female,994.3
Persons aged 15-89 years in Employment,2017Q1,"Agriculture, forestry and fishing (A)",Both sexes,107.9
Persons aged 15-89 years in Employment,2017Q1,"Agriculture, forestry and fishing (A)",Male,92.2
Persons aged 15-89 years in Employment,2017Q1,"Agriculture, forestry and fishing (A)",Female,15.7
Persons aged 15-89 years in Employment,2017Q1,Industry and Construction (B to F),Both sexes,407.8
Persons aged 15-89 years in Employment,2017Q1,Industry and Construction (B to F),Male,321.9
Persons aged 15-89 years in Employment,2017Q1,Industry and Construction (B to F),Female,85.8
Persons aged 15-89 years in Employment,2017Q1,Services (G to U),Both sexes,1637.6
Persons aged 15-89 years in Employment,2017Q1,Services (G to U),Male,749.3
Persons aged 15-89 years in Employment,2017Q1,Services (G to U),Female,888.3
Persons aged 15-89 years in Employment,2017Q2,All NACE economic sectors,Both sexes,2187.4
Persons aged 15-89 years in Employment,2017Q2,All NACE economic sectors,Male,1180.0
Persons aged 15-89 years in Employment,2017Q2,All NACE economic sectors,Female,1007.5
Persons aged 15-89 years in Employment,2017Q2,"Agriculture, forestry and fishing (A)",Both sexes,112.0
Persons aged 15-89 years in Employment,2017Q2,"Agriculture, forestry and fishing (A)",Male,95.5
Persons aged 15-89 years in Employment,2017Q2,"Agriculture, forestry and fishing (A)",Female,16.5
Persons aged 15-89 years in Employment,2017Q2,Industry and Construction (B to F),Both sexes,408.4
Persons aged 15-89 years in Employment,2017Q2,Industry and Construction (B to F),Male,319.7
Persons aged 15-89 years in Employment,2017Q2,Industry and Construction (B to F),Female,88.7
Persons aged 15-89 years in Employment,2017Q2,Services (G to U),Both sexes,1659.4
Persons aged 15-89 years in Employment,2017Q2,Services (G to U),Male,760.0
Persons aged 15-89 years in Employment,2017Q2,Services (G to U),Female,899.4
Persons aged 15-89 years in Employment,2017Q3,All NACE economic sectors,Both sexes,2212.3
Persons aged 15-89 years in Employment,2017Q3,All NACE economic sectors,Male,1201.2
Persons aged 15-89 years in Employment,2017Q3,All NACE economic sectors,Female,1011.1
Persons aged 15-89 years in Employment,2017Q3,"Agriculture, forestry and fishing (A)",Both sexes,111.7
Persons aged 15-89 years in Employment,2017Q3,"Agriculture, forestry and fishing (A)",Male,95.4
Persons aged 15-89 years in Employment,2017Q3,"Agriculture, forestry and fishing (A)",Female,16.3
Persons aged 15-89 years in Employment,2017Q3,Industry and Construction (B to F),Both sexes,419.4
Persons aged 15-89 years in Employment,2017Q3,Industry and Construction (B to F),Male,331.8
Persons aged 15-89 years in Employment,2017Q3,Industry and Construction (B to F),Female,87.6
Persons aged 15-89 years in Employment,2017Q3,Services (G to U),Both sexes,1673.4
Persons aged 15-89 years in Employment,2017Q3,Services (G to U),Male,770.1
Persons aged 15-89 years in Employment,2017Q3,Services (G to U),Female,903.3
Persons aged 15-89 years in Employment,2017Q4,All NACE economic sectors,Both sexes,2234.7
Persons aged 15-89 years in Employment,2017Q4,All NACE economic sectors,Male,1210.0
Persons aged 15-89 years in Employment,2017Q4,All NACE economic sectors,Female,1024.7
Persons aged 15-89 years in Employment,2017Q4,"Agriculture, forestry and fishing (A)",Both sexes,112.3
Persons aged 15-89 years in Employment,2017Q4,"Agriculture, forestry and fishing (A)",Male,97.6
Persons aged 15-89 years in Employment,2017Q4,"Agriculture, forestry and fishing (A)",Female,14.7
Persons aged 15-89 years in Employment,2017Q4,Industry and Construction (B to F),Both sexes,417.8
Persons aged 15-89 years in Employment,2017Q4,Industry and Construction (B to F),Male,327.7
Persons aged 15-89 years in Employment,2017Q4,Industry and Construction (B to F),Female,90.1
Persons aged 15-89 years in Employment,2017Q4,Services (G to U),Both sexes,1696.2
Persons aged 15-89 years in Employment,2017Q4,Services (G to U),Male,780.1
Persons aged 15-89 years in Employment,2017Q4,Services (G to U),Female,916.0
Persons aged 15-89 years in Employment,2018Q1,All NACE economic sectors,Both sexes,2225.3
Persons aged 15-89 years in Employment,2018Q1,All NACE economic sectors,Male,1210.7
Persons aged 15-89 years in Employment,2018Q1,All NACE economic sectors,Female,1014.7
Persons aged 15-89 years in Employment,2018Q1,"Agriculture, forestry and fishing (A)",Both sexes,114.1
Persons aged 15-89 years in Employment,2018Q1,"Agriculture, forestry and fishing (A)",Male,96.2
Persons aged 15-89 years in Employment,2018Q1,"Agriculture, forestry and fishing (A)",Female,17.8
Persons aged 15-89 years in Employment,2018Q1,Industry and Construction (B to F),Both sexes,417.9
Persons aged 15-89 years in Employment,2018Q1,Industry and Construction (B to F),Male,333.5
Persons aged 15-89 years in Employment,2018Q1,Industry and Construction (B to F),Female,84.4
Persons aged 15-89 years in Employment,2018Q1,Services (G to U),Both sexes,1686.8
Persons aged 15-89 years in Employment,2018Q1,Services (G to U),Male,776.4
Persons aged 15-89 years in Employment,2018Q1,Services (G to U),Female,910.4
Persons aged 15-89 years in Employment,2018Q2,All NACE economic sectors,Both sexes,2261.7
Persons aged 15-89 years in Employment,2018Q2,All NACE economic sectors,Male,1220.8
Persons aged 15-89 years in Employment,2018Q2,All NACE economic sectors,Female,1040.9
Persons aged 15-89 years in Employment,2018Q2,"Agriculture, forestry and fishing (A)",Both sexes,107.3
Persons aged 15-89 years in Employment,2018Q2,"Agriculture, forestry and fishing (A)",Male,91.9
Persons aged 15-89 years in Employment,2018Q2,"Agriculture, forestry and fishing (A)",Female,15.4
Persons aged 15-89 years in Employment,2018Q2,Industry and Construction (B to F),Both sexes,422.6
Persons aged 15-89 years in Employment,2018Q2,Industry and Construction (B to F),Male,332.0
Persons aged 15-89 years in Employment,2018Q2,Industry and Construction (B to F),Female,90.6
Persons aged 15-89 years in Employment,2018Q2,Services (G to U),Both sexes,1721.8
Persons aged 15-89 years in Employment,2018Q2,Services (G to U),Male,792.1
Persons aged 15-89 years in Employment,2018Q2,Services (G to U),Female,929.7
Persons aged 15-89 years in Employment,2018Q3,All NACE economic sectors,Both sexes,2282.7
Persons aged 15-89 years in Employment,2018Q3,All NACE economic sectors,Male,1237.2
Persons aged 15-89 years in Employment,2018Q3,All NACE economic sectors,Female,1045.5
Persons aged 15-89 years in Employment,2018Q3,"Agriculture, forestry and fishing (A)",Both sexes,105.5
Persons aged 15-89 years in Employment,2018Q3,"Agriculture, forestry and fishing (A)",Male,91.0
Persons aged 15-89 years in Employment,2018Q3,"Agriculture, forestry and fishing (A)",Female,14.5
Persons aged 15-89 years in Employment,2018Q3,Industry and Construction (B to F),Both sexes,433.3
Persons aged 15-89 years in Employment,2018Q3,Industry and Construction (B to F),Male,343.9
Persons aged 15-89 years in Employment,2018Q3,Industry and Construction (B to F),Female,89.5
Persons aged 15-89 years in Employment,2018Q3,Services (G to U),Both sexes,1735.5
Persons aged 15-89 years in Employment,2018Q3,Services (G to U),Male,797.9
