Statistic,Quarter,Age Group,Sex,value
ILO Participation Rate (15 years and over ),2025Q1,20 - 24 years,Female,72.2
ILO Participation Rate (15 years and over ),2025Q1,25 - 34 years,Both sexes,88.2
ILO Participation Rate (15 years and over ),2025Q1,25 - 34 years,Male,91.2
ILO Participation Rate (15 years and over ),2025Q1,25 - 34 years,Female,85.1
ILO Participation Rate (15 years and over ),2025Q1,35 - 44 years,Both sexes,89.2
ILO Participation Rate (15 years and over ),2025Q1,35 - 44 years,Male,94.2
ILO Participation Rate (15 years and over ),2025Q1,35 - 44 years,Female,84.6
ILO Participation Rate (15 years and over ),2025Q1,45 - 54 years,Both sexes,87.4
ILO Participation Rate (15 years and over ),2025Q1,45 - 54 years,Male,92.5
ILO Participation Rate (15 years and over ),2025Q1,45 - 54 years,Female,82.5
ILO Participation Rate (15 years and over ),2025Q1,55 - 59 years,Both sexes,79.3
ILO Participation Rate (15 years and over ),2025Q1,55 - 59 years,Male,85.5
ILO Participation Rate (15 years and over ),2025Q1,55 - 59 years,Female,73.2
ILO Participation Rate (15 years and over ),2025Q1,60 - 64 years,Both sexes,64.4
ILO Participation Rate (15 years and over ),2025Q1,60 - 64 years,Male,72.7
ILO Participation Rate (15 years and over ),2025Q1,60 - 64 years,Female,56.4
ILO Participation Rate (15 years and over ),2025Q1,65 years and over,Both sexes,14.3
ILO Participation Rate (15 years and over ),2025Q1,65 years and over,Male,20.7
ILO Participation Rate (15 years and over ),2025Q1,65 years and over,Female,8.7
ILO Participation Rate (15 years and over ),2025Q1,25 - 74 years,Both sexes,75.9
ILO Participation Rate (15 years and over ),2025Q1,25 - 74 years,Male,81.3
ILO Participation Rate (15 years and over ),2025Q1,25 - 74 years,Female,70.6
Persons aged 15 years and over in Employment,1998Q1,15 - 19 years,Both sexes,118.6
Persons aged 15 years and over in Employment,1998Q1,15 - 19 years,Male,71.2
Persons aged 15 years and over in Employment,1998Q1,15 - 19 years,Female,47.4
Persons aged 15 years and over in Employment,1998Q1,15 - 24 years,Both sexes,342.7
Persons aged 15 years and over in Employment,1998Q1,15 - 24 years,Male,187.7
Persons aged 15 years and over in Employment,1998Q1,15 - 24 years,Female,154.9
Persons aged 15 years and over in Employment,1998Q1,15 - 64 years,Both sexes,
Persons aged 15 years and over in Employment,1998Q1,15 - 64 years,Male,
Persons aged 15 years and over in Employment,1998Q1,15 - 64 years,Female,
Persons aged 15 years and over in Employment,1998Q1,15 - 74 years,Both sexes,
Persons aged 15 years and over in Employment,1998Q1,15 - 74 years,Male,
Persons aged 15 years and over in Employment,1998Q1,15 - 74 years,Female,
Persons aged 15 years and over in Employment,1998Q1,15 years and over,Both sexes,1550.3
Persons aged 15 years and over in Employment,1998Q1,15 years and over,Male,934.9
Persons aged 15 years and over in Employment,1998Q1,15 years and over,Female,615.4
Persons aged 15 years and over in Employment,1998Q1,20 - 24 years,Both sexes,224.0
Persons aged 15 years and over in Employment,1998Q1,20 - 24 years,Male,116.5
Persons aged 15 years and over in Employment,1998Q1,20 - 24 years,Female,107.5
Persons aged 15 years and over in Employment,1998Q1,25 - 34 years,Both sexes,413.6
Persons aged 15 years and over in Employment,1998Q1,25 - 34 years,Male,230.9
Persons aged 15 years and over in Employment,1998Q1,25 - 34 years,Female,182.6
Persons aged 15 years and over in Employment,1998Q1,35 - 44 years,Both sexes,363.3
Persons aged 15 years and over in Employment,1998Q1,35 - 44 years,Male,221.0
Persons aged 15 years and over in Employment,1998Q1,35 - 44 years,Female,142.3
Persons aged 15 years and over in Employment,1998Q1,45 - 54 years,Both sexes,270.5
Persons aged 15 years and over in Employment,1998Q1,45 - 54 years,Male,177.7
Persons aged 15 years and over in Employment,1998Q1,45 - 54 years,Female,92.8
Persons aged 15 years and over in Employment,1998Q1,55 - 59 years,Both sexes,78.5
Persons aged 15 years and over in Employment,1998Q1,55 - 59 years,Male,55.5
Persons aged 15 years and over in Employment,1998Q1,55 - 59 years,Female,23.0
Persons aged 15 years and over in Employment,1998Q1,60 - 64 years,Both sexes,48.0
Persons aged 15 years and over in Employment,1998Q1,60 - 64 years,Male,35.5
Persons aged 15 years and over in Employment,1998Q1,60 - 64 years,Female,12.5
Persons aged 15 years and over in Employment,1998Q1,65 years and over,Both sexes,33.9
Persons aged 15 years and over in Employment,1998Q1,65 years and over,Male,26.6
Persons aged 15 years and over in Employment,1998Q1,65 years and over,Female,7.3
Persons aged 15 years and over in Employment,1998Q1,25 - 74 years,Both sexes,1201.2
Persons aged 15 years and over in Employment,1998Q1,25 - 74 years,Male,742.3
Persons aged 15 years and over in Employment,1998Q1,25 - 74 years,Female,458.9
Persons aged 15 years and over in Employment,1998Q2,15 - 19 years,Both sexes,121.2
Persons aged 15 years and over in Employment,1998Q2,15 - 19 years,Male,72.8
Persons aged 15 years and over in Employment,1998Q2,15 - 19 years,Female,48.4
Persons aged 15 years and over in Employment,1998Q2,15 - 24 years,Both sexes,348.7
Persons aged 15 years and over in Employment,1998Q2,15 - 24 years,Male,192.2
Persons aged 15 years and over in Employment,1998Q2,15 - 24 years,Female,156.5
Persons aged 15 years and over in Employment,1998Q2,15 - 64 years,Both sexes,
Persons aged 15 years and over in Employment,1998Q2,15 - 64 years,Male,
Persons aged 15 years and over in Employment,1998Q2,15 - 64 years,Female,
Persons aged 15 years and over in Employment,1998Q2,15 - 74 years,Both sexes,
Persons aged 15 years and over in Employment,1998Q2,15 - 74 years,Male,
Persons aged 15 years and over in Employment,1998Q2,15 - 74 years,Female,
Persons aged 15 years and over in Employment,1998Q2,15 years and over,Both sexes,1572.0
Persons aged 15 years and over in Employment,1998Q2,15 years and over,Male,948.2
Persons aged 15 years and over in Employment,1998Q2,15 years and over,Female,623.8
Persons aged 15 years and over in Employment,1998Q2,20 - 24 years,Both sexes,227.5
Persons aged 15 years and over in Employment,1998Q2,20 - 24 years,Male,119.4
Persons aged 15 years and over in Employment,1998Q2,20 - 24 years,Female,108.1
Persons aged 15 years and over in Employment,1998Q2,25 - 34 years,Both sexes,420.2
Persons aged 15 years and over in Employment,1998Q2,25 - 34 years,Male,233.9
Persons aged 15 years and over in Employment,1998Q2,25 - 34 years,Female,186.3
Persons aged 15 years and over in Employment,1998Q2,35 - 44 years,Both sexes,369.7
Persons aged 15 years and over in Employment,1998Q2,35 - 44 years,Male,224.6
Persons aged 15 years and over in Employment,1998Q2,35 - 44 years,Female,145.1
Persons aged 15 years and over in Employment,1998Q2,45 - 54 years,Both sexes,273.3
Persons aged 15 years and over in Employment,1998Q2,45 - 54 years,Male,179.7
Persons aged 15 years and over in Employment,1998Q2,45 - 54 years,Female,93.7
Persons aged 15 years and over in Employment,1998Q2,55 - 59 years,Both sexes,78.5
Persons aged 15 years and over in Employment,1998Q2,55 - 59 years,Male,55.2
Persons aged 15 years and over in Employment,1998Q2,55 - 59 years,Female,23.3
Persons aged 15 years and over in Employment,1998Q2,60 - 64 years,Both sexes,47.5
Persons aged 15 years and over in Employment,1998Q2,60 - 64 years,Male,35.8
Persons aged 15 years and over in Employment,1998Q2,60 - 64 years,Female,11.7
Persons aged 15 years and over in Employment,1998Q2,65 years and over,Both sexes,34.0
Persons aged 15 years and over in Employment,1998Q2,65 years and over,Male,26.8
Persons aged 15 years and over in Employment,1998Q2,65 years and over,Female,7.2
Persons aged 15 years and over in Employment,1998Q2,25 - 74 years,Both sexes,1217.1
Persons aged 15 years and over in Employment,1998Q2,25 - 74 years,Male,751.1
Persons aged 15 years and over in Employment,1998Q2,25 - 74 years,Female,466.0
Persons aged 15 years and over in Employment,1998Q3,15 - 19 years,Both sexes,154.2
Persons aged 15 years and over in Employment,1998Q3,15 - 19 years,Male,90.4
Persons aged 15 years and over in Employment,1998Q3,15 - 19 years,Female,63.8
Persons aged 15 years and over in Employment,1998Q3,15 - 24 years,Both sexes,397.4
Persons aged 15 years and over in Employment,1998Q3,15 - 24 years,Male,217.0
Persons aged 15 years and over in Employment,1998Q3,15 - 24 years,Female,180.4
Persons aged 15 years and over in Employment,1998Q3,15 - 64 years,Both sexes,
Persons aged 15 years and over in Employment,1998Q3,15 - 64 years,Male,
Persons aged 15 years and over in Employment,1998Q3,15 - 64 years,Female,
Persons aged 15 years and over in Employment,1998Q3,15 - 74 years,Both sexes,
Persons aged 15 years and over in Employment,1998Q3,15 - 74 years,Male,
Persons aged 15 years and over in Employment,1998Q3,15 - 74 years,Female,
Persons aged 15 years and over in Employment,1998Q3,15 years and over,Both sexes,1636.3
Persons aged 15 years and over in Employment,1998Q3,15 years and over,Male,982.8
Persons aged 15 years and over in Employment,1998Q3,15 years and over,Female,653.5
Persons aged 15 years and over in Employment,1998Q3,20 - 24 years,Both sexes,243.2
Persons aged 15 years and over in Employment,1998Q3,20 - 24 years,Male,126.5
Persons aged 15 years and over in Employment,1998Q3,20 - 24 years,Female,116.6
Persons aged 15 years and over in Employment,1998Q3,25 - 34 years,Both sexes,426.3
Persons aged 15 years and over in Employment,1998Q3,25 - 34 years,Male,237.9
Persons aged 15 years and over in Employment,1998Q3,25 - 34 years,Female,188.4
Persons aged 15 years and over in Employment,1998Q3,35 - 44 years,Both sexes,374.2
Persons aged 15 years and over in Employment,1998Q3,35 - 44 years,Male,227.7
Persons aged 15 years and over in Employment,1998Q3,35 - 44 years,Female,146.5
Persons aged 15 years and over in Employment,1998Q3,45 - 54 years,Both sexes,277.9
Persons aged 15 years and over in Employment,1998Q3,45 - 54 years,Male,181.7
Persons aged 15 years and over in Employment,1998Q3,45 - 54 years,Female,96.2
Persons aged 15 years and over in Employment,1998Q3,55 - 59 years,Both sexes,79.8
Persons aged 15 years and over in Employment,1998Q3,55 - 59 years,Male,56.7
Persons aged 15 years and over in Employment,1998Q3,55 - 59 years,Female,23.1
Persons aged 15 years and over in Employment,1998Q3,60 - 64 years,Both sexes,47.7
Persons aged 15 years and over in Employment,1998Q3,60 - 64 years,Male,36.2
Persons aged 15 years and over in Employment,1998Q3,60 - 64 years,Female,11.5
Persons aged 15 years and over in Employment,1998Q3,65 years and over,Both sexes,33.1
Persons aged 15 years and over in Employment,1998Q3,65 years and over,Male,25.7
Persons aged 15 years and over in Employment,1998Q3,65 years and over,Female,7.4
Persons aged 15 years and over in Employment,1998Q3,25 - 74 years,Both sexes,1232.8
Persons aged 15 years and over in Employment,1998Q3,25 - 74 years,Male,761.1
Persons aged 15 years and over in Employment,1998Q3,25 - 74 years,Female,471.6
Persons aged 15 years and over in Employment,1998Q4,15 - 19 years,Both sexes,121.2
Persons aged 15 years and over in Employment,1998Q4,15 - 19 years,Male,73.6
Persons aged 15 years and over in Employment,1998Q4,15 - 19 years,Female,47.6
Persons aged 15 years and over in Employment,1998Q4,15 - 24 years,Both sexes,356.6
Persons aged 15 years and over in Employment,1998Q4,15 - 24 years,Male,197.3
Persons aged 15 years and over in Employment,1998Q4,15 - 24 years,Female,159.3
Persons aged 15 years and over in Employment,1998Q4,15 - 64 years,Both sexes,
Persons aged 15 years and over in Employment,1998Q4,15 - 64 years,Male,
Persons aged 15 years and over in Employment,1998Q4,15 - 64 years,Female,
Persons aged 15 years and over in Employment,1998Q4,15 - 74 years,Both sexes,
Persons aged 15 years and over in Employment,1998Q4,15 - 74 years,Male,
Persons aged 15 years and over in Employment,1998Q4,15 - 74 years,Female,
Persons aged 15 years and over in Employment,1998Q4,15 years and over,Both sexes,1615.7
Persons aged 15 years and over in Employment,1998Q4,15 years and over,Male,973.9
Persons aged 15 years and over in Employment,1998Q4,15 years and over,Female,641.8
Persons aged 15 years and over in Employment,1998Q4,20 - 24 years,Both sexes,235.4
Persons aged 15 years and over in Employment,1998Q4,20 - 24 years,Male,123.7
Persons aged 15 years and over in Employment,1998Q4,20 - 24 years,Female,111.7
Persons aged 15 years and over in Employment,1998Q4,25 - 34 years,Both sexes,433.6
Persons aged 15 years and over in Employment,1998Q4,25 - 34 years,Male,241.1
Persons aged 15 years and over in Employment,1998Q4,25 - 34 years,Female,192.5
Persons aged 15 years and over in Employment,1998Q4,35 - 44 years,Both sexes,380.3
Persons aged 15 years and over in Employment,1998Q4,35 - 44 years,Male,230.0
Persons aged 15 years and over in Employment,1998Q4,35 - 44 years,Female,150.2
Persons aged 15 years and over in Employment,1998Q4,45 - 54 years,Both sexes,283.1
Persons aged 15 years and over in Employment,1998Q4,45 - 54 years,Male,185.0
Persons aged 15 years and over in Employment,1998Q4,45 - 54 years,Female,98.1
Persons aged 15 years and over in Employment,1998Q4,55 - 59 years,Both sexes,80.9
Persons aged 15 years and over in Employment,1998Q4,55 - 59 years,Male,58.1
Persons aged 15 years and over in Employment,1998Q4,55 - 59 years,Female,22.8
Persons aged 15 years and over in Employment,1998Q4,60 - 64 years,Both sexes,48.2
Persons aged 15 years and over in Employment,1998Q4,60 - 64 years,Male,36.3
Persons aged 15 years and over in Employment,1998Q4,60 - 64 years,Female,11.9
Persons aged 15 years and over in Employment,1998Q4,65 years and over,Both sexes,33.0
Persons aged 15 years and over in Employment,1998Q4,65 years and over,Male,26.1
Persons aged 15 years and over in Employment,1998Q4,65 years and over,Female,6.9
Persons aged 15 years and over in Employment,1998Q4,25 - 74 years,Both sexes,1253.1
Persons aged 15 years and over in Employment,1998Q4,25 - 74 years,Male,772.1
Persons aged 15 years and over in Employment,1998Q4,25 - 74 years,Female,481.0
Persons aged 15 years and over in Employment,1999Q1,15 - 19 years,Both sexes,127.7
Persons aged 15 years and over in Employment,1999Q1,15 - 19 years,Male,76.7
Persons aged 15 years and over in Employment,1999Q1,15 - 19 years,Female,51.1
Persons aged 15 years and over in Employment,1999Q1,15 - 24 years,Both sexes,363.3
Persons aged 15 years and over in Employment,1999Q1,15 - 24 years,Male,200.5
Persons aged 15 years and over in Employment,1999Q1,15 - 24 years,Female,162.8
Persons aged 15 years and over in Employment,1999Q1,15 - 64 years,Both sexes,
Persons aged 15 years and over in Employment,1999Q1,15 - 64 years,Male,
Persons aged 15 years and over in Employment,1999Q1,15 - 64 years,Female,
Persons aged 15 years and over in Employment,1999Q1,15 - 74 years,Both sexes,
Persons aged 15 years and over in Employment,1999Q1,15 - 74 years,Male,
Persons aged 15 years and over in Employment,1999Q1,15 - 74 years,Female,
Persons aged 15 years and over in Employment,1999Q1,15 years and over,Both sexes,1644.4
Persons aged 15 years and over in Employment,1999Q1,15 years and over,Male,982.9
Persons aged 15 years and over in Employment,1999Q1,15 years and over,Female,661.5
Persons aged 15 years and over in Employment,1999Q1,20 - 24 years,Both sexes,235.6
Persons aged 15 years and over in Employment,1999Q1,20 - 24 years,Male,123.8
Persons aged 15 years and over in Employment,1999Q1,20 - 24 years,Female,111.7
Persons aged 15 years and over in Employment,1999Q1,25 - 34 years,Both sexes,437.8
Persons aged 15 years and over in Employment,1999Q1,25 - 34 years,Male,242.1
Persons aged 15 years and over in Employment,1999Q1,25 - 34 years,Female,195.7
Persons aged 15 years and over in Employment,1999Q1,35 - 44 years,Both sexes,383.8
Persons aged 15 years and over in Employment,1999Q1,35 - 44 years,Male,230.6
Persons aged 15 years and over in Employment,1999Q1,35 - 44 years,Female,153.2
Persons aged 15 years and over in Employment,1999Q1,45 - 54 years,Both sexes,290.6
Persons aged 15 years and over in Employment,1999Q1,45 - 54 years,Male,187.2
Persons aged 15 years and over in Employment,1999Q1,45 - 54 years,Female,103.5
Persons aged 15 years and over in Employment,1999Q1,55 - 59 years,Both sexes,84.0
Persons aged 15 years and over in Employment,1999Q1,55 - 59 years,Male,58.3
Persons aged 15 years and over in Employment,1999Q1,55 - 59 years,Female,25.7
Persons aged 15 years and over in Employment,1999Q1,60 - 64 years,Both sexes,51.2
Persons aged 15 years and over in Employment,1999Q1,60 - 64 years,Male,37.7
Persons aged 15 years and over in Employment,1999Q1,60 - 64 years,Female,13.5
Persons aged 15 years and over in Employment,1999Q1,65 years and over,Both sexes,33.6
Persons aged 15 years and over in Employment,1999Q1,65 years and over,Male,26.6
Persons aged 15 years and over in Employment,1999Q1,65 years and over,Female,7.1
Persons aged 15 years and over in Employment,1999Q1,25 - 74 years,Both sexes,1274.7
Persons aged 15 years and over in Employment,1999Q1,25 - 74 years,Male,777.6
Persons aged 15 years and over in Employment,1999Q1,25 - 74 years,Female,497.1
Persons aged 15 years and over in Employment,1999Q2,15 - 19 years,Both sexes,140.7
Persons aged 15 years and over in Employment,1999Q2,15 - 19 years,Male,83.5
Persons aged 15 years and over in Employment,1999Q2,15 - 19 years,Female,57.2
Persons aged 15 years and over in Employment,1999Q2,15 - 24 years,Both sexes,382.5
Persons aged 15 years and over in Employment,1999Q2,15 - 24 years,Male,210.2
Persons aged 15 years and over in Employment,1999Q2,15 - 24 years,Female,172.3
Persons aged 15 years and over in Employment,1999Q2,15 - 64 years,Both sexes,
Persons aged 15 years and over in Employment,1999Q2,15 - 64 years,Male,
Persons aged 15 years and over in Employment,1999Q2,15 - 64 years,Female,
Persons aged 15 years and over in Employment,1999Q2,15 - 74 years,Both sexes,
Persons aged 15 years and over in Employment,1999Q2,15 - 74 years,Male,
Persons aged 15 years and over in Employment,1999Q2,15 - 74 years,Female,
Persons aged 15 years and over in Employment,1999Q2,15 years and over,Both sexes,1679.2
Persons aged 15 years and over in Employment,1999Q2,15 years and over,Male,1001.8
Persons aged 15 years and over in Employment,1999Q2,15 years and over,Female,677.4
Persons aged 15 years and over in Employment,1999Q2,20 - 24 years,Both sexes,241.8
Persons aged 15 years and over in Employment,1999Q2,20 - 24 years,Male,126.7
Persons aged 15 years and over in Employment,1999Q2,20 - 24 years,Female,115.1
Persons aged 15 years and over in Employment,1999Q2,25 - 34 years,Both sexes,442.5
Persons aged 15 years and over in Employment,1999Q2,25 - 34 years,Male,245.1
Persons aged 15 years and over in Employment,1999Q2,25 - 34 years,Female,197.4
Persons aged 15 years and over in Employment,1999Q2,35 - 44 years,Both sexes,390.0
Persons aged 15 years and over in Employment,1999Q2,35 - 44 years,Male,233.9
Persons aged 15 years and over in Employment,1999Q2,35 - 44 years,Female,156.0
Persons aged 15 years and over in Employment,1999Q2,45 - 54 years,Both sexes,292.8
Persons aged 15 years and over in Employment,1999Q2,45 - 54 years,Male,188.4
Persons aged 15 years and over in Employment,1999Q2,45 - 54 years,Female,104.4
Persons aged 15 years and over in Employment,1999Q2,55 - 59 years,Both sexes,85.7
Persons aged 15 years and over in Employment,1999Q2,55 - 59 years,Male,59.3
Persons aged 15 years and over in Employment,1999Q2,55 - 59 years,Female,26.4
Persons aged 15 years and over in Employment,1999Q2,60 - 64 years,Both sexes,51.9
Persons aged 15 years and over in Employment,1999Q2,60 - 64 years,Male,37.8
Persons aged 15 years and over in Employment,1999Q2,60 - 64 years,Female,14.1
Persons aged 15 years and over in Employment,1999Q2,65 years and over,Both sexes,33.9
Persons aged 15 years and over in Employment,1999Q2,65 years and over,Male,27.1
Persons aged 15 years and over in Employment,1999Q2,65 years and over,Female,6.8
Persons aged 15 years and over in Employment,1999Q2,25 - 74 years,Both sexes,1290.5
Persons aged 15 years and over in Employment,1999Q2,25 - 74 years,Male,786.8
Persons aged 15 years and over in Employment,1999Q2,25 - 74 years,Female,503.6
Persons aged 15 years and over in Employment,1999Q3,15 - 19 years,Both sexes,174.6
Persons aged 15 years and over in Employment,1999Q3,15 - 19 years,Male,99.7
Persons aged 15 years and over in Employment,1999Q3,15 - 19 years,Female,74.9
Persons aged 15 years and over in Employment,1999Q3,15 - 24 years,Both sexes,431.0
Persons aged 15 years and over in Employment,1999Q3,15 - 24 years,Male,233.6
Persons aged 15 years and over in Employment,1999Q3,15 - 24 years,Female,197.5
Persons aged 15 years and over in Employment,1999Q3,15 - 64 years,Both sexes,
Persons aged 15 years and over in Employment,1999Q3,15 - 64 years,Male,
Persons aged 15 years and over in Employment,1999Q3,15 - 64 years,Female,
Persons aged 15 years and over in Employment,1999Q3,15 - 74 years,Both sexes,
Persons aged 15 years and over in Employment,1999Q3,15 - 74 years,Male,
Persons aged 15 years and over in Employment,1999Q3,15 - 74 years,Female,
Persons aged 15 years and over in Employment,1999Q3,15 years and over,Both sexes,1746.8
Persons aged 15 years and over in Employment,1999Q3,15 years and over,Male,1039.4
Persons aged 15 years and over in Employment,1999Q3,15 years and over,Female,707.4
Persons aged 15 years and over in Employment,1999Q3,20 - 24 years,Both sexes,256.4
Persons aged 15 years and over in Employment,1999Q3,20 - 24 years,Male,133.8
Persons aged 15 years and over in Employment,1999Q3,20 - 24 years,Female,122.6
Persons aged 15 years and over in Employment,1999Q3,25 - 34 years,Both sexes,450.7
Persons aged 15 years and over in Employment,1999Q3,25 - 34 years,Male,251.7
Persons aged 15 years and over in Employment,1999Q3,25 - 34 years,Female,198.9
Persons aged 15 years and over in Employment,1999Q3,35 - 44 years,Both sexes,392.2
Persons aged 15 years and over in Employment,1999Q3,35 - 44 years,Male,235.3
Persons aged 15 years and over in Employment,1999Q3,35 - 44 years,Female,156.9
Persons aged 15 years and over in Employment,1999Q3,45 - 54 years,Both sexes,298.5
Persons aged 15 years and over in Employment,1999Q3,45 - 54 years,Male,192.4
Persons aged 15 years and over in Employment,1999Q3,45 - 54 years,Female,106.2
Persons aged 15 years and over in Employment,1999Q3,55 - 59 years,Both sexes,88.0
Persons aged 15 years and over in Employment,1999Q3,55 - 59 years,Male,60.7
Persons aged 15 years and over in Employment,1999Q3,55 - 59 years,Female,27.3
Persons aged 15 years and over in Employment,1999Q3,60 - 64 years,Both sexes,52.0
Persons aged 15 years and over in Employment,1999Q3,60 - 64 years,Male,38.1
Persons aged 15 years and over in Employment,1999Q3,60 - 64 years,Female,14.0
Persons aged 15 years and over in Employment,1999Q3,65 years and over,Both sexes,34.3
Persons aged 15 years and over in Employment,1999Q3,65 years and over,Male,27.6
Persons aged 15 years and over in Employment,1999Q3,65 years and over,Female,6.7
Persons aged 15 years and over in Employment,1999Q3,25 - 74 years,Both sexes,1309.6
Persons aged 15 years and over in Employment,1999Q3,25 - 74 years,Male,800.9
Persons aged 15 years and over in Employment,1999Q3,25 - 74 years,Female,508.7
Persons aged 15 years and over in Employment,1999Q4,15 - 19 years,Both sexes,135.8
Persons aged 15 years and over in Employment,1999Q4,15 - 19 years,Male,79.5
Persons aged 15 years and over in Employment,1999Q4,15 - 19 years,Female,56.3
Persons aged 15 years and over in Employment,1999Q4,15 - 24 years,Both sexes,384.4
Persons aged 15 years and over in Employment,1999Q4,15 - 24 years,Male,210.1
Persons aged 15 years and over in Employment,1999Q4,15 - 24 years,Female,174.3
Persons aged 15 years and over in Employment,1999Q4,15 - 64 years,Both sexes,
Persons aged 15 years and over in Employment,1999Q4,15 - 64 years,Male,
Persons aged 15 years and over in Employment,1999Q4,15 - 64 years,Female,
Persons aged 15 years and over in Employment,1999Q4,15 - 74 years,Both sexes,
Persons aged 15 years and over in Employment,1999Q4,15 - 74 years,Male,
Persons aged 15 years and over in Employment,1999Q4,15 - 74 years,Female,
Persons aged 15 years and over in Employment,1999Q4,15 years and over,Both sexes,1723.1
Persons aged 15 years and over in Employment,1999Q4,15 years and over,Male,1026.1
Persons aged 15 years and over in Employment,1999Q4,15 years and over,Female,696.9
Persons aged 15 years and over in Employment,1999Q4,20 - 24 years,Both sexes,248.6
Persons aged 15 years and over in Employment,1999Q4,20 - 24 years,Male,130.6
Persons aged 15 years and over in Employment,1999Q4,20 - 24 years,Female,118.1
Persons aged 15 years and over in Employment,1999Q4,25 - 34 years,Both sexes,456.7
Persons aged 15 years and over in Employment,1999Q4,25 - 34 years,Male,253.1
Persons aged 15 years and over in Employment,1999Q4,25 - 34 years,Female,203.6
Persons aged 15 years and over in Employment,1999Q4,35 - 44 years,Both sexes,398.7
Persons aged 15 years and over in Employment,1999Q4,35 - 44 years,Male,238.3
Persons aged 15 years and over in Employment,1999Q4,35 - 44 years,Female,160.4
Persons aged 15 years and over in Employment,1999Q4,45 - 54 years,Both sexes,305.9
Persons aged 15 years and over in Employment,1999Q4,45 - 54 years,Male,196.1
Persons aged 15 years and over in Employment,1999Q4,45 - 54 years,Female,109.8
Persons aged 15 years and over in Employment,1999Q4,55 - 59 years,Both sexes,90.7
Persons aged 15 years and over in Employment,1999Q4,55 - 59 years,Male,62.6
Persons aged 15 years and over in Employment,1999Q4,55 - 59 years,Female,28.1
Persons aged 15 years and over in Employment,1999Q4,60 - 64 years,Both sexes,52.5
Persons aged 15 years and over in Employment,1999Q4,60 - 64 years,Male,38.3
Persons aged 15 years and over in Employment,1999Q4,60 - 64 years,Female,14.3
Persons aged 15 years and over in Employment,1999Q4,65 years and over,Both sexes,34.1
Persons aged 15 years and over in Employment,1999Q4,65 years and over,Male,27.6
Persons aged 15 years and over in Employment,1999Q4,65 years and over,Female,6.5
Persons aged 15 years and over in Employment,1999Q4,25 - 74 years,Both sexes,1332.7
Persons aged 15 years and over in Employment,1999Q4,25 - 74 years,Male,811.1
Persons aged 15 years and over in Employment,1999Q4,25 - 74 years,Female,521.6
Persons aged 15 years and over in Employment,2000Q1,15 - 19 years,Both sexes,129.6
Persons aged 15 years and over in Employment,2000Q1,15 - 19 years,Male,77.6
Persons aged 15 years and over in Employment,2000Q1,15 - 19 years,Female,52.0
Persons aged 15 years and over in Employment,2000Q1,15 - 24 years,Both sexes,378.2
Persons aged 15 years and over in Employment,2000Q1,15 - 24 years,Male,209.9
Persons aged 15 years and over in Employment,2000Q1,15 - 24 years,Female,168.4
Persons aged 15 years and over in Employment,2000Q1,15 - 64 years,Both sexes,
Persons aged 15 years and over in Employment,2000Q1,15 - 64 years,Male,
Persons aged 15 years and over in Employment,2000Q1,15 - 64 years,Female,
Persons aged 15 years and over in Employment,2000Q1,15 - 74 years,Both sexes,
Persons aged 15 years and over in Employment,2000Q1,15 - 74 years,Male,
Persons aged 15 years and over in Employment,2000Q1,15 - 74 years,Female,
Persons aged 15 years and over in Employment,2000Q1,15 years and over,Both sexes,1726.8
Persons aged 15 years and over in Employment,2000Q1,15 years and over,Male,1029.2
Persons aged 15 years and over in Employment,2000Q1,15 years and over,Female,697.6
Persons aged 15 years and over in Employment,2000Q1,20 - 24 years,Both sexes,248.7
Persons aged 15 years and over in Employment,2000Q1,20 - 24 years,Male,132.3
Persons aged 15 years and over in Employment,2000Q1,20 - 24 years,Female,116.4
Persons aged 15 years and over in Employment,2000Q1,25 - 34 years,Both sexes,459.3
Persons aged 15 years and over in Employment,2000Q1,25 - 34 years,Male,254.0
Persons aged 15 years and over in Employment,2000Q1,25 - 34 years,Female,205.2
Persons aged 15 years and over in Employment,2000Q1,35 - 44 years,Both sexes,400.5
Persons aged 15 years and over in Employment,2000Q1,35 - 44 years,Male,239.6
Persons aged 15 years and over in Employment,2000Q1,35 - 44 years,Female,160.9
Persons aged 15 years and over in Employment,2000Q1,45 - 54 years,Both sexes,310.2
Persons aged 15 years and over in Employment,2000Q1,45 - 54 years,Male,196.7
Persons aged 15 years and over in Employment,2000Q1,45 - 54 years,Female,113.6
Persons aged 15 years and over in Employment,2000Q1,55 - 59 years,Both sexes,93.1
Persons aged 15 years and over in Employment,2000Q1,55 - 59 years,Male,63.8
Persons aged 15 years and over in Employment,2000Q1,55 - 59 years,Female,29.3
Persons aged 15 years and over in Employment,2000Q1,60 - 64 years,Both sexes,52.4
Persons aged 15 years and over in Employment,2000Q1,60 - 64 years,Male,38.3
Persons aged 15 years and over in Employment,2000Q1,60 - 64 years,Female,14.2
Persons aged 15 years and over in Employment,2000Q1,65 years and over,Both sexes,33.0
Persons aged 15 years and over in Employment,2000Q1,65 years and over,Male,27.0
Persons aged 15 years and over in Employment,2000Q1,65 years and over,Female,6.0
Persons aged 15 years and over in Employment,2000Q1,25 - 74 years,Both sexes,1342.5
Persons aged 15 years and over in Employment,2000Q1,25 - 74 years,Male,814.3
Persons aged 15 years and over in Employment,2000Q1,25 - 74 years,Female,528.2
