Statistic,Quarter,Permanency of Employment,NACE Rev 2 Economic Sector,value
Employees aged 15 years and over in Employment (ILO),2013Q3,Temporary employees,Services (G to U),148.5
Employees aged 15 years and over in Employment (ILO),2013Q3,Temporary employees,Not stated,
Employees aged 15 years and over in Employment (ILO),2013Q3,Not stated,All NACE economic sectors,21.0
Employees aged 15 years and over in Employment (ILO),2013Q3,Not stated,"Agriculture, forestry and fishing (A)",
Employees aged 15 years and over in Employment (ILO),2013Q3,Not stated,Construction (F),
Employees aged 15 years and over in Employment (ILO),2013Q3,Not stated,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),
Employees aged 15 years and over in Employment (ILO),2013Q3,Not stated,Transportation and storage (H),
Employees aged 15 years and over in Employment (ILO),2013Q3,Not stated,Accommodation and food service activities (I),
Employees aged 15 years and over in Employment (ILO),2013Q3,Not stated,Information and communication (J),
Employees aged 15 years and over in Employment (ILO),2013Q3,Not stated,"Professional, scientific and technical activities (M)",
Employees aged 15 years and over in Employment (ILO),2013Q3,Not stated,Administrative and support service activities (N),
Employees aged 15 years and over in Employment (ILO),2013Q3,Not stated,Public administration and defence; compulsory social security (O),
Employees aged 15 years and over in Employment (ILO),2013Q3,Not stated,Education (P),
Employees aged 15 years and over in Employment (ILO),2013Q3,Not stated,Human health and social work activities (Q),3.9
Employees aged 15 years and over in Employment (ILO),2013Q3,Not stated,Industry (B to E),
Employees aged 15 years and over in Employment (ILO),2013Q3,Not stated,"Financial, insurance and real estate activities (K, L)",
Employees aged 15 years and over in Employment (ILO),2013Q3,Not stated,Other NACE activities (R to U),2.7
Employees aged 15 years and over in Employment (ILO),2013Q3,Not stated,Industry and Construction (B to F),2.8
Employees aged 15 years and over in Employment (ILO),2013Q3,Not stated,Services (G to U),13.5
Employees aged 15 years and over in Employment (ILO),2013Q3,Not stated,Not stated,3.8
Employees aged 15 years and over in Employment (ILO),2013Q4,All employees,All NACE economic sectors,1630.8
Employees aged 15 years and over in Employment (ILO),2013Q4,All employees,"Agriculture, forestry and fishing (A)",29.3
Employees aged 15 years and over in Employment (ILO),2013Q4,All employees,Construction (F),52.9
Employees aged 15 years and over in Employment (ILO),2013Q4,All employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),246.0
Employees aged 15 years and over in Employment (ILO),2013Q4,All employees,Transportation and storage (H),64.1
Employees aged 15 years and over in Employment (ILO),2013Q4,All employees,Accommodation and food service activities (I),125.9
Employees aged 15 years and over in Employment (ILO),2013Q4,All employees,Information and communication (J),83.6
Employees aged 15 years and over in Employment (ILO),2013Q4,All employees,"Professional, scientific and technical activities (M)",88.5
Employees aged 15 years and over in Employment (ILO),2013Q4,All employees,Administrative and support service activities (N),66.0
Employees aged 15 years and over in Employment (ILO),2013Q4,All employees,Public administration and defence; compulsory social security (O),85.8
Employees aged 15 years and over in Employment (ILO),2013Q4,All employees,Education (P),135.5
Employees aged 15 years and over in Employment (ILO),2013Q4,All employees,Human health and social work activities (Q),248.0
Employees aged 15 years and over in Employment (ILO),2013Q4,All employees,Industry (B to E),230.2
Employees aged 15 years and over in Employment (ILO),2013Q4,All employees,"Financial, insurance and real estate activities (K, L)",92.5
Employees aged 15 years and over in Employment (ILO),2013Q4,All employees,Other NACE activities (R to U),78.8
Employees aged 15 years and over in Employment (ILO),2013Q4,All employees,Industry and Construction (B to F),283.1
Employees aged 15 years and over in Employment (ILO),2013Q4,All employees,Services (G to U),1314.8
Employees aged 15 years and over in Employment (ILO),2013Q4,All employees,Not stated,3.6
Employees aged 15 years and over in Employment (ILO),2013Q4,Permanent employees,All NACE economic sectors,1436.1
Employees aged 15 years and over in Employment (ILO),2013Q4,Permanent employees,"Agriculture, forestry and fishing (A)",24.3
Employees aged 15 years and over in Employment (ILO),2013Q4,Permanent employees,Construction (F),45.4
Employees aged 15 years and over in Employment (ILO),2013Q4,Permanent employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),216.7
Employees aged 15 years and over in Employment (ILO),2013Q4,Permanent employees,Transportation and storage (H),58.5
Employees aged 15 years and over in Employment (ILO),2013Q4,Permanent employees,Accommodation and food service activities (I),102.5
Employees aged 15 years and over in Employment (ILO),2013Q4,Permanent employees,Information and communication (J),76.4
Employees aged 15 years and over in Employment (ILO),2013Q4,Permanent employees,"Professional, scientific and technical activities (M)",80.5
Employees aged 15 years and over in Employment (ILO),2013Q4,Permanent employees,Administrative and support service activities (N),56.9
Employees aged 15 years and over in Employment (ILO),2013Q4,Permanent employees,Public administration and defence; compulsory social security (O),83.0
Employees aged 15 years and over in Employment (ILO),2013Q4,Permanent employees,Education (P),112.5
Employees aged 15 years and over in Employment (ILO),2013Q4,Permanent employees,Human health and social work activities (Q),217.8
Employees aged 15 years and over in Employment (ILO),2013Q4,Permanent employees,Industry (B to E),209.1
Employees aged 15 years and over in Employment (ILO),2013Q4,Permanent employees,"Financial, insurance and real estate activities (K, L)",86.8
Employees aged 15 years and over in Employment (ILO),2013Q4,Permanent employees,Other NACE activities (R to U),65.1
Employees aged 15 years and over in Employment (ILO),2013Q4,Permanent employees,Industry and Construction (B to F),254.5
Employees aged 15 years and over in Employment (ILO),2013Q4,Permanent employees,Services (G to U),1156.7
Employees aged 15 years and over in Employment (ILO),2013Q4,Permanent employees,Not stated,
Employees aged 15 years and over in Employment (ILO),2013Q4,Temporary employees,All NACE economic sectors,172.3
Employees aged 15 years and over in Employment (ILO),2013Q4,Temporary employees,"Agriculture, forestry and fishing (A)",3.9
Employees aged 15 years and over in Employment (ILO),2013Q4,Temporary employees,Construction (F),5.8
Employees aged 15 years and over in Employment (ILO),2013Q4,Temporary employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),27.7
Employees aged 15 years and over in Employment (ILO),2013Q4,Temporary employees,Transportation and storage (H),5.1
Employees aged 15 years and over in Employment (ILO),2013Q4,Temporary employees,Accommodation and food service activities (I),22.0
Employees aged 15 years and over in Employment (ILO),2013Q4,Temporary employees,Information and communication (J),6.8
Employees aged 15 years and over in Employment (ILO),2013Q4,Temporary employees,"Professional, scientific and technical activities (M)",6.9
Employees aged 15 years and over in Employment (ILO),2013Q4,Temporary employees,Administrative and support service activities (N),7.9
Employees aged 15 years and over in Employment (ILO),2013Q4,Temporary employees,Public administration and defence; compulsory social security (O),2.6
Employees aged 15 years and over in Employment (ILO),2013Q4,Temporary employees,Education (P),21.5
Employees aged 15 years and over in Employment (ILO),2013Q4,Temporary employees,Human health and social work activities (Q),25.2
Employees aged 15 years and over in Employment (ILO),2013Q4,Temporary employees,Industry (B to E),19.6
Employees aged 15 years and over in Employment (ILO),2013Q4,Temporary employees,"Financial, insurance and real estate activities (K, L)",5.5
Employees aged 15 years and over in Employment (ILO),2013Q4,Temporary employees,Other NACE activities (R to U),11.4
Employees aged 15 years and over in Employment (ILO),2013Q4,Temporary employees,Industry and Construction (B to F),25.4
Employees aged 15 years and over in Employment (ILO),2013Q4,Temporary employees,Services (G to U),142.6
Employees aged 15 years and over in Employment (ILO),2013Q4,Temporary employees,Not stated,
Employees aged 15 years and over in Employment (ILO),2013Q4,Not stated,All NACE economic sectors,22.4
Employees aged 15 years and over in Employment (ILO),2013Q4,Not stated,"Agriculture, forestry and fishing (A)",
Employees aged 15 years and over in Employment (ILO),2013Q4,Not stated,Construction (F),
Employees aged 15 years and over in Employment (ILO),2013Q4,Not stated,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),
Employees aged 15 years and over in Employment (ILO),2013Q4,Not stated,Transportation and storage (H),
Employees aged 15 years and over in Employment (ILO),2013Q4,Not stated,Accommodation and food service activities (I),
Employees aged 15 years and over in Employment (ILO),2013Q4,Not stated,Information and communication (J),
Employees aged 15 years and over in Employment (ILO),2013Q4,Not stated,"Professional, scientific and technical activities (M)",
Employees aged 15 years and over in Employment (ILO),2013Q4,Not stated,Administrative and support service activities (N),
Employees aged 15 years and over in Employment (ILO),2013Q4,Not stated,Public administration and defence; compulsory social security (O),
Employees aged 15 years and over in Employment (ILO),2013Q4,Not stated,Education (P),
Employees aged 15 years and over in Employment (ILO),2013Q4,Not stated,Human health and social work activities (Q),5.0
Employees aged 15 years and over in Employment (ILO),2013Q4,Not stated,Industry (B to E),
Employees aged 15 years and over in Employment (ILO),2013Q4,Not stated,"Financial, insurance and real estate activities (K, L)",
Employees aged 15 years and over in Employment (ILO),2013Q4,Not stated,Other NACE activities (R to U),
Employees aged 15 years and over in Employment (ILO),2013Q4,Not stated,Industry and Construction (B to F),3.2
Employees aged 15 years and over in Employment (ILO),2013Q4,Not stated,Services (G to U),15.5
Employees aged 15 years and over in Employment (ILO),2013Q4,Not stated,Not stated,
Employees aged 15 years and over in Employment (ILO),2014Q1,All employees,All NACE economic sectors,1615.6
Employees aged 15 years and over in Employment (ILO),2014Q1,All employees,"Agriculture, forestry and fishing (A)",26.7
Employees aged 15 years and over in Employment (ILO),2014Q1,All employees,Construction (F),53.6
Employees aged 15 years and over in Employment (ILO),2014Q1,All employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),243.2
Employees aged 15 years and over in Employment (ILO),2014Q1,All employees,Transportation and storage (H),63.3
Employees aged 15 years and over in Employment (ILO),2014Q1,All employees,Accommodation and food service activities (I),124.8
Employees aged 15 years and over in Employment (ILO),2014Q1,All employees,Information and communication (J),82.7
Employees aged 15 years and over in Employment (ILO),2014Q1,All employees,"Professional, scientific and technical activities (M)",89.9
Employees aged 15 years and over in Employment (ILO),2014Q1,All employees,Administrative and support service activities (N),65.1
Employees aged 15 years and over in Employment (ILO),2014Q1,All employees,Public administration and defence; compulsory social security (O),87.3
Employees aged 15 years and over in Employment (ILO),2014Q1,All employees,Education (P),138.6
Employees aged 15 years and over in Employment (ILO),2014Q1,All employees,Human health and social work activities (Q),241.2
Employees aged 15 years and over in Employment (ILO),2014Q1,All employees,Industry (B to E),223.7
Employees aged 15 years and over in Employment (ILO),2014Q1,All employees,"Financial, insurance and real estate activities (K, L)",93.8
Employees aged 15 years and over in Employment (ILO),2014Q1,All employees,Other NACE activities (R to U),78.3
Employees aged 15 years and over in Employment (ILO),2014Q1,All employees,Industry and Construction (B to F),277.2
Employees aged 15 years and over in Employment (ILO),2014Q1,All employees,Services (G to U),1308.2
Employees aged 15 years and over in Employment (ILO),2014Q1,All employees,Not stated,3.5
Employees aged 15 years and over in Employment (ILO),2014Q1,Permanent employees,All NACE economic sectors,1430.8
Employees aged 15 years and over in Employment (ILO),2014Q1,Permanent employees,"Agriculture, forestry and fishing (A)",22.6
Employees aged 15 years and over in Employment (ILO),2014Q1,Permanent employees,Construction (F),45.6
Employees aged 15 years and over in Employment (ILO),2014Q1,Permanent employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),217.0
Employees aged 15 years and over in Employment (ILO),2014Q1,Permanent employees,Transportation and storage (H),59.1
Employees aged 15 years and over in Employment (ILO),2014Q1,Permanent employees,Accommodation and food service activities (I),101.5
Employees aged 15 years and over in Employment (ILO),2014Q1,Permanent employees,Information and communication (J),76.7
Employees aged 15 years and over in Employment (ILO),2014Q1,Permanent employees,"Professional, scientific and technical activities (M)",82.1
Employees aged 15 years and over in Employment (ILO),2014Q1,Permanent employees,Administrative and support service activities (N),56.4
Employees aged 15 years and over in Employment (ILO),2014Q1,Permanent employees,Public administration and defence; compulsory social security (O),84.0
Employees aged 15 years and over in Employment (ILO),2014Q1,Permanent employees,Education (P),115.5
Employees aged 15 years and over in Employment (ILO),2014Q1,Permanent employees,Human health and social work activities (Q),213.6
Employees aged 15 years and over in Employment (ILO),2014Q1,Permanent employees,Industry (B to E),204.7
Employees aged 15 years and over in Employment (ILO),2014Q1,Permanent employees,"Financial, insurance and real estate activities (K, L)",87.6
Employees aged 15 years and over in Employment (ILO),2014Q1,Permanent employees,Other NACE activities (R to U),64.1
Employees aged 15 years and over in Employment (ILO),2014Q1,Permanent employees,Industry and Construction (B to F),250.2
Employees aged 15 years and over in Employment (ILO),2014Q1,Permanent employees,Services (G to U),1157.6
Employees aged 15 years and over in Employment (ILO),2014Q1,Permanent employees,Not stated,
Employees aged 15 years and over in Employment (ILO),2014Q1,Temporary employees,All NACE economic sectors,160.6
Employees aged 15 years and over in Employment (ILO),2014Q1,Temporary employees,"Agriculture, forestry and fishing (A)",
Employees aged 15 years and over in Employment (ILO),2014Q1,Temporary employees,Construction (F),5.4
Employees aged 15 years and over in Employment (ILO),2014Q1,Temporary employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),24.0
Employees aged 15 years and over in Employment (ILO),2014Q1,Temporary employees,Transportation and storage (H),3.9
Employees aged 15 years and over in Employment (ILO),2014Q1,Temporary employees,Accommodation and food service activities (I),22.7
Employees aged 15 years and over in Employment (ILO),2014Q1,Temporary employees,Information and communication (J),5.6
Employees aged 15 years and over in Employment (ILO),2014Q1,Temporary employees,"Professional, scientific and technical activities (M)",6.9
Employees aged 15 years and over in Employment (ILO),2014Q1,Temporary employees,Administrative and support service activities (N),7.4
Employees aged 15 years and over in Employment (ILO),2014Q1,Temporary employees,Public administration and defence; compulsory social security (O),2.7
Employees aged 15 years and over in Employment (ILO),2014Q1,Temporary employees,Education (P),21.4
Employees aged 15 years and over in Employment (ILO),2014Q1,Temporary employees,Human health and social work activities (Q),23.0
Employees aged 15 years and over in Employment (ILO),2014Q1,Temporary employees,Industry (B to E),16.9
Employees aged 15 years and over in Employment (ILO),2014Q1,Temporary employees,"Financial, insurance and real estate activities (K, L)",5.7
Employees aged 15 years and over in Employment (ILO),2014Q1,Temporary employees,Other NACE activities (R to U),11.5
Employees aged 15 years and over in Employment (ILO),2014Q1,Temporary employees,Industry and Construction (B to F),22.4
Employees aged 15 years and over in Employment (ILO),2014Q1,Temporary employees,Services (G to U),134.8
Employees aged 15 years and over in Employment (ILO),2014Q1,Temporary employees,Not stated,
Employees aged 15 years and over in Employment (ILO),2014Q1,Not stated,All NACE economic sectors,24.2
Employees aged 15 years and over in Employment (ILO),2014Q1,Not stated,"Agriculture, forestry and fishing (A)",
Employees aged 15 years and over in Employment (ILO),2014Q1,Not stated,Construction (F),2.6
Employees aged 15 years and over in Employment (ILO),2014Q1,Not stated,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),
Employees aged 15 years and over in Employment (ILO),2014Q1,Not stated,Transportation and storage (H),
Employees aged 15 years and over in Employment (ILO),2014Q1,Not stated,Accommodation and food service activities (I),
Employees aged 15 years and over in Employment (ILO),2014Q1,Not stated,Information and communication (J),
Employees aged 15 years and over in Employment (ILO),2014Q1,Not stated,"Professional, scientific and technical activities (M)",
Employees aged 15 years and over in Employment (ILO),2014Q1,Not stated,Administrative and support service activities (N),
Employees aged 15 years and over in Employment (ILO),2014Q1,Not stated,Public administration and defence; compulsory social security (O),
Employees aged 15 years and over in Employment (ILO),2014Q1,Not stated,Education (P),
Employees aged 15 years and over in Employment (ILO),2014Q1,Not stated,Human health and social work activities (Q),4.7
Employees aged 15 years and over in Employment (ILO),2014Q1,Not stated,Industry (B to E),
Employees aged 15 years and over in Employment (ILO),2014Q1,Not stated,"Financial, insurance and real estate activities (K, L)",
Employees aged 15 years and over in Employment (ILO),2014Q1,Not stated,Other NACE activities (R to U),2.8
Employees aged 15 years and over in Employment (ILO),2014Q1,Not stated,Industry and Construction (B to F),4.7
Employees aged 15 years and over in Employment (ILO),2014Q1,Not stated,Services (G to U),15.7
Employees aged 15 years and over in Employment (ILO),2014Q1,Not stated,Not stated,3.1
Employees aged 15 years and over in Employment (ILO),2014Q2,All employees,All NACE economic sectors,1638.1
Employees aged 15 years and over in Employment (ILO),2014Q2,All employees,"Agriculture, forestry and fishing (A)",28.1
Employees aged 15 years and over in Employment (ILO),2014Q2,All employees,Construction (F),56.8
Employees aged 15 years and over in Employment (ILO),2014Q2,All employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),245.0
Employees aged 15 years and over in Employment (ILO),2014Q2,All employees,Transportation and storage (H),64.5
Employees aged 15 years and over in Employment (ILO),2014Q2,All employees,Accommodation and food service activities (I),128.5
Employees aged 15 years and over in Employment (ILO),2014Q2,All employees,Information and communication (J),85.3
Employees aged 15 years and over in Employment (ILO),2014Q2,All employees,"Professional, scientific and technical activities (M)",87.8
Employees aged 15 years and over in Employment (ILO),2014Q2,All employees,Administrative and support service activities (N),67.3
Employees aged 15 years and over in Employment (ILO),2014Q2,All employees,Public administration and defence; compulsory social security (O),87.4
Employees aged 15 years and over in Employment (ILO),2014Q2,All employees,Education (P),140.4
Employees aged 15 years and over in Employment (ILO),2014Q2,All employees,Human health and social work activities (Q),245.5
Employees aged 15 years and over in Employment (ILO),2014Q2,All employees,Industry (B to E),225.1
Employees aged 15 years and over in Employment (ILO),2014Q2,All employees,"Financial, insurance and real estate activities (K, L)",93.2
Employees aged 15 years and over in Employment (ILO),2014Q2,All employees,Other NACE activities (R to U),79.5
Employees aged 15 years and over in Employment (ILO),2014Q2,All employees,Industry and Construction (B to F),281.8
Employees aged 15 years and over in Employment (ILO),2014Q2,All employees,Services (G to U),1324.4
Employees aged 15 years and over in Employment (ILO),2014Q2,All employees,Not stated,3.7
Employees aged 15 years and over in Employment (ILO),2014Q2,Permanent employees,All NACE economic sectors,1449.5
Employees aged 15 years and over in Employment (ILO),2014Q2,Permanent employees,"Agriculture, forestry and fishing (A)",24.2
Employees aged 15 years and over in Employment (ILO),2014Q2,Permanent employees,Construction (F),46.1
Employees aged 15 years and over in Employment (ILO),2014Q2,Permanent employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),220.3
Employees aged 15 years and over in Employment (ILO),2014Q2,Permanent employees,Transportation and storage (H),60.4
Employees aged 15 years and over in Employment (ILO),2014Q2,Permanent employees,Accommodation and food service activities (I),103.1
Employees aged 15 years and over in Employment (ILO),2014Q2,Permanent employees,Information and communication (J),78.2
Employees aged 15 years and over in Employment (ILO),2014Q2,Permanent employees,"Professional, scientific and technical activities (M)",78.8
Employees aged 15 years and over in Employment (ILO),2014Q2,Permanent employees,Administrative and support service activities (N),59.3
Employees aged 15 years and over in Employment (ILO),2014Q2,Permanent employees,Public administration and defence; compulsory social security (O),83.7
Employees aged 15 years and over in Employment (ILO),2014Q2,Permanent employees,Education (P),118.5
Employees aged 15 years and over in Employment (ILO),2014Q2,Permanent employees,Human health and social work activities (Q),219.5
Employees aged 15 years and over in Employment (ILO),2014Q2,Permanent employees,Industry (B to E),208.0
Employees aged 15 years and over in Employment (ILO),2014Q2,Permanent employees,"Financial, insurance and real estate activities (K, L)",87.0
Employees aged 15 years and over in Employment (ILO),2014Q2,Permanent employees,Other NACE activities (R to U),61.2
Employees aged 15 years and over in Employment (ILO),2014Q2,Permanent employees,Industry and Construction (B to F),254.0
Employees aged 15 years and over in Employment (ILO),2014Q2,Permanent employees,Services (G to U),1170.0
Employees aged 15 years and over in Employment (ILO),2014Q2,Permanent employees,Not stated,
Employees aged 15 years and over in Employment (ILO),2014Q2,Temporary employees,All NACE economic sectors,163.9
Employees aged 15 years and over in Employment (ILO),2014Q2,Temporary employees,"Agriculture, forestry and fishing (A)",3.5
Employees aged 15 years and over in Employment (ILO),2014Q2,Temporary employees,Construction (F),7.6
Employees aged 15 years and over in Employment (ILO),2014Q2,Temporary employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),23.5
Employees aged 15 years and over in Employment (ILO),2014Q2,Temporary employees,Transportation and storage (H),4.0
Employees aged 15 years and over in Employment (ILO),2014Q2,Temporary employees,Accommodation and food service activities (I),24.3
Employees aged 15 years and over in Employment (ILO),2014Q2,Temporary employees,Information and communication (J),6.4
Employees aged 15 years and over in Employment (ILO),2014Q2,Temporary employees,"Professional, scientific and technical activities (M)",7.8
Employees aged 15 years and over in Employment (ILO),2014Q2,Temporary employees,Administrative and support service activities (N),6.8
Employees aged 15 years and over in Employment (ILO),2014Q2,Temporary employees,Public administration and defence; compulsory social security (O),3.0
Employees aged 15 years and over in Employment (ILO),2014Q2,Temporary employees,Education (P),20.5
Employees aged 15 years and over in Employment (ILO),2014Q2,Temporary employees,Human health and social work activities (Q),20.7
Employees aged 15 years and over in Employment (ILO),2014Q2,Temporary employees,Industry (B to E),15.0
Employees aged 15 years and over in Employment (ILO),2014Q2,Temporary employees,"Financial, insurance and real estate activities (K, L)",5.8
Employees aged 15 years and over in Employment (ILO),2014Q2,Temporary employees,Other NACE activities (R to U),14.7
Employees aged 15 years and over in Employment (ILO),2014Q2,Temporary employees,Industry and Construction (B to F),22.6
Employees aged 15 years and over in Employment (ILO),2014Q2,Temporary employees,Services (G to U),137.6
Employees aged 15 years and over in Employment (ILO),2014Q2,Temporary employees,Not stated,
Employees aged 15 years and over in Employment (ILO),2014Q2,Not stated,All NACE economic sectors,24.7
Employees aged 15 years and over in Employment (ILO),2014Q2,Not stated,"Agriculture, forestry and fishing (A)",
Employees aged 15 years and over in Employment (ILO),2014Q2,Not stated,Construction (F),3.2
Employees aged 15 years and over in Employment (ILO),2014Q2,Not stated,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),
Employees aged 15 years and over in Employment (ILO),2014Q2,Not stated,Transportation and storage (H),
Employees aged 15 years and over in Employment (ILO),2014Q2,Not stated,Accommodation and food service activities (I),
Employees aged 15 years and over in Employment (ILO),2014Q2,Not stated,Information and communication (J),
Employees aged 15 years and over in Employment (ILO),2014Q2,Not stated,"Professional, scientific and technical activities (M)",
Employees aged 15 years and over in Employment (ILO),2014Q2,Not stated,Administrative and support service activities (N),
Employees aged 15 years and over in Employment (ILO),2014Q2,Not stated,Public administration and defence; compulsory social security (O),
Employees aged 15 years and over in Employment (ILO),2014Q2,Not stated,Education (P),
Employees aged 15 years and over in Employment (ILO),2014Q2,Not stated,Human health and social work activities (Q),5.3
Employees aged 15 years and over in Employment (ILO),2014Q2,Not stated,Industry (B to E),
Employees aged 15 years and over in Employment (ILO),2014Q2,Not stated,"Financial, insurance and real estate activities (K, L)",
Employees aged 15 years and over in Employment (ILO),2014Q2,Not stated,Other NACE activities (R to U),3.6
Employees aged 15 years and over in Employment (ILO),2014Q2,Not stated,Industry and Construction (B to F),5.3
Employees aged 15 years and over in Employment (ILO),2014Q2,Not stated,Services (G to U),16.8
Employees aged 15 years and over in Employment (ILO),2014Q2,Not stated,Not stated,
Employees aged 15 years and over in Employment (ILO),2014Q3,All employees,All NACE economic sectors,1673.6
Employees aged 15 years and over in Employment (ILO),2014Q3,All employees,"Agriculture, forestry and fishing (A)",27.4
Employees aged 15 years and over in Employment (ILO),2014Q3,All employees,Construction (F),61.5
Employees aged 15 years and over in Employment (ILO),2014Q3,All employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),253.2
Employees aged 15 years and over in Employment (ILO),2014Q3,All employees,Transportation and storage (H),63.3
Employees aged 15 years and over in Employment (ILO),2014Q3,All employees,Accommodation and food service activities (I),132.1
Employees aged 15 years and over in Employment (ILO),2014Q3,All employees,Information and communication (J),83.1
Employees aged 15 years and over in Employment (ILO),2014Q3,All employees,"Professional, scientific and technical activities (M)",91.0
Employees aged 15 years and over in Employment (ILO),2014Q3,All employees,Administrative and support service activities (N),69.2
Employees aged 15 years and over in Employment (ILO),2014Q3,All employees,Public administration and defence; compulsory social security (O),89.3
Employees aged 15 years and over in Employment (ILO),2014Q3,All employees,Education (P),134.4
Employees aged 15 years and over in Employment (ILO),2014Q3,All employees,Human health and social work activities (Q),249.2
Employees aged 15 years and over in Employment (ILO),2014Q3,All employees,Industry (B to E),231.0
Employees aged 15 years and over in Employment (ILO),2014Q3,All employees,"Financial, insurance and real estate activities (K, L)",99.8
Employees aged 15 years and over in Employment (ILO),2014Q3,All employees,Other NACE activities (R to U),80.4
Employees aged 15 years and over in Employment (ILO),2014Q3,All employees,Industry and Construction (B to F),292.5
Employees aged 15 years and over in Employment (ILO),2014Q3,All employees,Services (G to U),1344.9
Employees aged 15 years and over in Employment (ILO),2014Q3,All employees,Not stated,8.8
Employees aged 15 years and over in Employment (ILO),2014Q3,Permanent employees,All NACE economic sectors,1470.7
Employees aged 15 years and over in Employment (ILO),2014Q3,Permanent employees,"Agriculture, forestry and fishing (A)",22.8
Employees aged 15 years and over in Employment (ILO),2014Q3,Permanent employees,Construction (F),49.8
Employees aged 15 years and over in Employment (ILO),2014Q3,Permanent employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),224.2
Employees aged 15 years and over in Employment (ILO),2014Q3,Permanent employees,Transportation and storage (H),58.9
Employees aged 15 years and over in Employment (ILO),2014Q3,Permanent employees,Accommodation and food service activities (I),104.0
Employees aged 15 years and over in Employment (ILO),2014Q3,Permanent employees,Information and communication (J),76.7
Employees aged 15 years and over in Employment (ILO),2014Q3,Permanent employees,"Professional, scientific and technical activities (M)",81.3
Employees aged 15 years and over in Employment (ILO),2014Q3,Permanent employees,Administrative and support service activities (N),59.7
Employees aged 15 years and over in Employment (ILO),2014Q3,Permanent employees,Public administration and defence; compulsory social security (O),85.5
Employees aged 15 years and over in Employment (ILO),2014Q3,Permanent employees,Education (P),118.6
Employees aged 15 years and over in Employment (ILO),2014Q3,Permanent employees,Human health and social work activities (Q),223.4
Employees aged 15 years and over in Employment (ILO),2014Q3,Permanent employees,Industry (B to E),208.4
Employees aged 15 years and over in Employment (ILO),2014Q3,Permanent employees,"Financial, insurance and real estate activities (K, L)",92.4
Employees aged 15 years and over in Employment (ILO),2014Q3,Permanent employees,Other NACE activities (R to U),60.5
Employees aged 15 years and over in Employment (ILO),2014Q3,Permanent employees,Industry and Construction (B to F),258.1
Employees aged 15 years and over in Employment (ILO),2014Q3,Permanent employees,Services (G to U),1185.2
Employees aged 15 years and over in Employment (ILO),2014Q3,Permanent employees,Not stated,4.6
Employees aged 15 years and over in Employment (ILO),2014Q3,Temporary employees,All NACE economic sectors,177.0
Employees aged 15 years and over in Employment (ILO),2014Q3,Temporary employees,"Agriculture, forestry and fishing (A)",4.4
Employees aged 15 years and over in Employment (ILO),2014Q3,Temporary employees,Construction (F),8.3
Employees aged 15 years and over in Employment (ILO),2014Q3,Temporary employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),27.4
Employees aged 15 years and over in Employment (ILO),2014Q3,Temporary employees,Transportation and storage (H),3.9
Employees aged 15 years and over in Employment (ILO),2014Q3,Temporary employees,Accommodation and food service activities (I),27.5
Employees aged 15 years and over in Employment (ILO),2014Q3,Temporary employees,Information and communication (J),5.5
Employees aged 15 years and over in Employment (ILO),2014Q3,Temporary employees,"Professional, scientific and technical activities (M)",9.0
Employees aged 15 years and over in Employment (ILO),2014Q3,Temporary employees,Administrative and support service activities (N),7.8
Employees aged 15 years and over in Employment (ILO),2014Q3,Temporary employees,Public administration and defence; compulsory social security (O),3.1
Employees aged 15 years and over in Employment (ILO),2014Q3,Temporary employees,Education (P),14.3
Employees aged 15 years and over in Employment (ILO),2014Q3,Temporary employees,Human health and social work activities (Q),21.0
Employees aged 15 years and over in Employment (ILO),2014Q3,Temporary employees,Industry (B to E),20.6
Employees aged 15 years and over in Employment (ILO),2014Q3,Temporary employees,"Financial, insurance and real estate activities (K, L)",7.1
Employees aged 15 years and over in Employment (ILO),2014Q3,Temporary employees,Other NACE activities (R to U),16.2
Employees aged 15 years and over in Employment (ILO),2014Q3,Temporary employees,Industry and Construction (B to F),28.9
Employees aged 15 years and over in Employment (ILO),2014Q3,Temporary employees,Services (G to U),142.9
Employees aged 15 years and over in Employment (ILO),2014Q3,Temporary employees,Not stated,
Employees aged 15 years and over in Employment (ILO),2014Q3,Not stated,All NACE economic sectors,25.9
Employees aged 15 years and over in Employment (ILO),2014Q3,Not stated,"Agriculture, forestry and fishing (A)",
Employees aged 15 years and over in Employment (ILO),2014Q3,Not stated,Construction (F),3.4
Employees aged 15 years and over in Employment (ILO),2014Q3,Not stated,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),
