Statistic,Quarter,NUTS3 regions,Extent of working at home,value
Proportion of total persons aged 15 years and over in employment (ILO),2004Q4,Mid-West,Person usually works at home,12.4
Proportion of total persons aged 15 years and over in employment (ILO),2004Q4,Mid-West,Person sometimes works at home,3.9
Proportion of total persons aged 15 years and over in employment (ILO),2004Q4,Mid-West,Person never works at home,83.7
Proportion of total persons aged 15 years and over in employment (ILO),2004Q4,Mid-West,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2004Q4,Mid-West,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2004Q4,South-East,Person usually works at home,13.5
Proportion of total persons aged 15 years and over in employment (ILO),2004Q4,South-East,Person sometimes works at home,3.4
Proportion of total persons aged 15 years and over in employment (ILO),2004Q4,South-East,Person never works at home,83.1
Proportion of total persons aged 15 years and over in employment (ILO),2004Q4,South-East,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2004Q4,South-East,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2004Q4,South-West,Person usually works at home,10.3
Proportion of total persons aged 15 years and over in employment (ILO),2004Q4,South-West,Person sometimes works at home,4.2
Proportion of total persons aged 15 years and over in employment (ILO),2004Q4,South-West,Person never works at home,85.4
Proportion of total persons aged 15 years and over in employment (ILO),2004Q4,South-West,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2004Q4,South-West,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2004Q4,West,Person usually works at home,13.7
Proportion of total persons aged 15 years and over in employment (ILO),2004Q4,West,Person sometimes works at home,5.2
Proportion of total persons aged 15 years and over in employment (ILO),2004Q4,West,Person never works at home,80.8
Proportion of total persons aged 15 years and over in employment (ILO),2004Q4,West,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2004Q4,West,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2004Q4,Ireland,Person usually works at home,9.3
Proportion of total persons aged 15 years and over in employment (ILO),2004Q4,Ireland,Person sometimes works at home,5.0
Proportion of total persons aged 15 years and over in employment (ILO),2004Q4,Ireland,Person never works at home,85.4
Proportion of total persons aged 15 years and over in employment (ILO),2004Q4,Ireland,Not stated,0.3
Proportion of total persons aged 15 years and over in employment (ILO),2004Q4,Ireland,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2005Q1,Border,Person usually works at home,13.5
Proportion of total persons aged 15 years and over in employment (ILO),2005Q1,Border,Person sometimes works at home,3.7
Proportion of total persons aged 15 years and over in employment (ILO),2005Q1,Border,Person never works at home,82.7
Proportion of total persons aged 15 years and over in employment (ILO),2005Q1,Border,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2005Q1,Border,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2005Q1,Dublin,Person usually works at home,3.5
Proportion of total persons aged 15 years and over in employment (ILO),2005Q1,Dublin,Person sometimes works at home,7.4
Proportion of total persons aged 15 years and over in employment (ILO),2005Q1,Dublin,Person never works at home,88.5
Proportion of total persons aged 15 years and over in employment (ILO),2005Q1,Dublin,Not stated,0.7
Proportion of total persons aged 15 years and over in employment (ILO),2005Q1,Dublin,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2005Q1,Mid-East,Person usually works at home,8.5
Proportion of total persons aged 15 years and over in employment (ILO),2005Q1,Mid-East,Person sometimes works at home,6.4
Proportion of total persons aged 15 years and over in employment (ILO),2005Q1,Mid-East,Person never works at home,85.0
Proportion of total persons aged 15 years and over in employment (ILO),2005Q1,Mid-East,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2005Q1,Mid-East,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2005Q1,Midland,Person usually works at home,12.6
Proportion of total persons aged 15 years and over in employment (ILO),2005Q1,Midland,Person sometimes works at home,2.8
Proportion of total persons aged 15 years and over in employment (ILO),2005Q1,Midland,Person never works at home,84.7
Proportion of total persons aged 15 years and over in employment (ILO),2005Q1,Midland,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2005Q1,Midland,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2005Q1,Mid-West,Person usually works at home,12.9
Proportion of total persons aged 15 years and over in employment (ILO),2005Q1,Mid-West,Person sometimes works at home,3.3
Proportion of total persons aged 15 years and over in employment (ILO),2005Q1,Mid-West,Person never works at home,83.7
Proportion of total persons aged 15 years and over in employment (ILO),2005Q1,Mid-West,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2005Q1,Mid-West,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2005Q1,South-East,Person usually works at home,12.7
Proportion of total persons aged 15 years and over in employment (ILO),2005Q1,South-East,Person sometimes works at home,3.8
Proportion of total persons aged 15 years and over in employment (ILO),2005Q1,South-East,Person never works at home,83.4
Proportion of total persons aged 15 years and over in employment (ILO),2005Q1,South-East,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2005Q1,South-East,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2005Q1,South-West,Person usually works at home,10.3
Proportion of total persons aged 15 years and over in employment (ILO),2005Q1,South-West,Person sometimes works at home,4.4
Proportion of total persons aged 15 years and over in employment (ILO),2005Q1,South-West,Person never works at home,85.1
Proportion of total persons aged 15 years and over in employment (ILO),2005Q1,South-West,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2005Q1,South-West,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2005Q1,West,Person usually works at home,13.7
Proportion of total persons aged 15 years and over in employment (ILO),2005Q1,West,Person sometimes works at home,5.2
Proportion of total persons aged 15 years and over in employment (ILO),2005Q1,West,Person never works at home,80.8
Proportion of total persons aged 15 years and over in employment (ILO),2005Q1,West,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2005Q1,West,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2005Q1,Ireland,Person usually works at home,9.4
Proportion of total persons aged 15 years and over in employment (ILO),2005Q1,Ireland,Person sometimes works at home,5.3
Proportion of total persons aged 15 years and over in employment (ILO),2005Q1,Ireland,Person never works at home,85.1
Proportion of total persons aged 15 years and over in employment (ILO),2005Q1,Ireland,Not stated,0.3
Proportion of total persons aged 15 years and over in employment (ILO),2005Q1,Ireland,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2005Q2,Border,Person usually works at home,12.5
Proportion of total persons aged 15 years and over in employment (ILO),2005Q2,Border,Person sometimes works at home,3.8
Proportion of total persons aged 15 years and over in employment (ILO),2005Q2,Border,Person never works at home,83.6
Proportion of total persons aged 15 years and over in employment (ILO),2005Q2,Border,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2005Q2,Border,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2005Q2,Dublin,Person usually works at home,3.3
Proportion of total persons aged 15 years and over in employment (ILO),2005Q2,Dublin,Person sometimes works at home,7.5
Proportion of total persons aged 15 years and over in employment (ILO),2005Q2,Dublin,Person never works at home,89.1
Proportion of total persons aged 15 years and over in employment (ILO),2005Q2,Dublin,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2005Q2,Dublin,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2005Q2,Mid-East,Person usually works at home,8.8
Proportion of total persons aged 15 years and over in employment (ILO),2005Q2,Mid-East,Person sometimes works at home,5.8
Proportion of total persons aged 15 years and over in employment (ILO),2005Q2,Mid-East,Person never works at home,85.4
Proportion of total persons aged 15 years and over in employment (ILO),2005Q2,Mid-East,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2005Q2,Mid-East,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2005Q2,Midland,Person usually works at home,13.5
Proportion of total persons aged 15 years and over in employment (ILO),2005Q2,Midland,Person sometimes works at home,2.3
Proportion of total persons aged 15 years and over in employment (ILO),2005Q2,Midland,Person never works at home,84.3
Proportion of total persons aged 15 years and over in employment (ILO),2005Q2,Midland,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2005Q2,Midland,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2005Q2,Mid-West,Person usually works at home,13.2
Proportion of total persons aged 15 years and over in employment (ILO),2005Q2,Mid-West,Person sometimes works at home,3.3
Proportion of total persons aged 15 years and over in employment (ILO),2005Q2,Mid-West,Person never works at home,83.6
Proportion of total persons aged 15 years and over in employment (ILO),2005Q2,Mid-West,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2005Q2,Mid-West,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2005Q2,South-East,Person usually works at home,13.2
Proportion of total persons aged 15 years and over in employment (ILO),2005Q2,South-East,Person sometimes works at home,3.7
Proportion of total persons aged 15 years and over in employment (ILO),2005Q2,South-East,Person never works at home,83.0
Proportion of total persons aged 15 years and over in employment (ILO),2005Q2,South-East,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2005Q2,South-East,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2005Q2,South-West,Person usually works at home,10.1
Proportion of total persons aged 15 years and over in employment (ILO),2005Q2,South-West,Person sometimes works at home,3.9
Proportion of total persons aged 15 years and over in employment (ILO),2005Q2,South-West,Person never works at home,85.9
Proportion of total persons aged 15 years and over in employment (ILO),2005Q2,South-West,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2005Q2,South-West,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2005Q2,West,Person usually works at home,13.2
Proportion of total persons aged 15 years and over in employment (ILO),2005Q2,West,Person sometimes works at home,5.2
Proportion of total persons aged 15 years and over in employment (ILO),2005Q2,West,Person never works at home,81.0
Proportion of total persons aged 15 years and over in employment (ILO),2005Q2,West,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2005Q2,West,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2005Q2,Ireland,Person usually works at home,9.3
Proportion of total persons aged 15 years and over in employment (ILO),2005Q2,Ireland,Person sometimes works at home,5.1
Proportion of total persons aged 15 years and over in employment (ILO),2005Q2,Ireland,Person never works at home,85.5
Proportion of total persons aged 15 years and over in employment (ILO),2005Q2,Ireland,Not stated,0.1
Proportion of total persons aged 15 years and over in employment (ILO),2005Q2,Ireland,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2005Q3,Border,Person usually works at home,11.2
Proportion of total persons aged 15 years and over in employment (ILO),2005Q3,Border,Person sometimes works at home,3.4
Proportion of total persons aged 15 years and over in employment (ILO),2005Q3,Border,Person never works at home,85.3
Proportion of total persons aged 15 years and over in employment (ILO),2005Q3,Border,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2005Q3,Border,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2005Q3,Dublin,Person usually works at home,3.2
Proportion of total persons aged 15 years and over in employment (ILO),2005Q3,Dublin,Person sometimes works at home,7.2
Proportion of total persons aged 15 years and over in employment (ILO),2005Q3,Dublin,Person never works at home,89.5
Proportion of total persons aged 15 years and over in employment (ILO),2005Q3,Dublin,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2005Q3,Dublin,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2005Q3,Mid-East,Person usually works at home,8.4
Proportion of total persons aged 15 years and over in employment (ILO),2005Q3,Mid-East,Person sometimes works at home,6.0
Proportion of total persons aged 15 years and over in employment (ILO),2005Q3,Mid-East,Person never works at home,85.5
Proportion of total persons aged 15 years and over in employment (ILO),2005Q3,Mid-East,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2005Q3,Mid-East,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2005Q3,Midland,Person usually works at home,11.2
Proportion of total persons aged 15 years and over in employment (ILO),2005Q3,Midland,Person sometimes works at home,2.3
Proportion of total persons aged 15 years and over in employment (ILO),2005Q3,Midland,Person never works at home,86.4
Proportion of total persons aged 15 years and over in employment (ILO),2005Q3,Midland,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2005Q3,Midland,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2005Q3,Mid-West,Person usually works at home,11.7
Proportion of total persons aged 15 years and over in employment (ILO),2005Q3,Mid-West,Person sometimes works at home,3.4
Proportion of total persons aged 15 years and over in employment (ILO),2005Q3,Mid-West,Person never works at home,84.9
Proportion of total persons aged 15 years and over in employment (ILO),2005Q3,Mid-West,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2005Q3,Mid-West,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2005Q3,South-East,Person usually works at home,12.2
Proportion of total persons aged 15 years and over in employment (ILO),2005Q3,South-East,Person sometimes works at home,3.3
Proportion of total persons aged 15 years and over in employment (ILO),2005Q3,South-East,Person never works at home,84.5
Proportion of total persons aged 15 years and over in employment (ILO),2005Q3,South-East,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2005Q3,South-East,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2005Q3,South-West,Person usually works at home,9.9
Proportion of total persons aged 15 years and over in employment (ILO),2005Q3,South-West,Person sometimes works at home,3.8
Proportion of total persons aged 15 years and over in employment (ILO),2005Q3,South-West,Person never works at home,86.3
Proportion of total persons aged 15 years and over in employment (ILO),2005Q3,South-West,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2005Q3,South-West,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2005Q3,West,Person usually works at home,12.6
Proportion of total persons aged 15 years and over in employment (ILO),2005Q3,West,Person sometimes works at home,5.4
Proportion of total persons aged 15 years and over in employment (ILO),2005Q3,West,Person never works at home,81.5
Proportion of total persons aged 15 years and over in employment (ILO),2005Q3,West,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2005Q3,West,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2005Q3,Ireland,Person usually works at home,8.6
Proportion of total persons aged 15 years and over in employment (ILO),2005Q3,Ireland,Person sometimes works at home,5.0
Proportion of total persons aged 15 years and over in employment (ILO),2005Q3,Ireland,Person never works at home,86.3
Proportion of total persons aged 15 years and over in employment (ILO),2005Q3,Ireland,Not stated,0.1
Proportion of total persons aged 15 years and over in employment (ILO),2005Q3,Ireland,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2005Q4,Border,Person usually works at home,10.2
Proportion of total persons aged 15 years and over in employment (ILO),2005Q4,Border,Person sometimes works at home,3.1
Proportion of total persons aged 15 years and over in employment (ILO),2005Q4,Border,Person never works at home,86.6
Proportion of total persons aged 15 years and over in employment (ILO),2005Q4,Border,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2005Q4,Border,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2005Q4,Dublin,Person usually works at home,3.4
Proportion of total persons aged 15 years and over in employment (ILO),2005Q4,Dublin,Person sometimes works at home,7.6
Proportion of total persons aged 15 years and over in employment (ILO),2005Q4,Dublin,Person never works at home,88.9
Proportion of total persons aged 15 years and over in employment (ILO),2005Q4,Dublin,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2005Q4,Dublin,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2005Q4,Mid-East,Person usually works at home,8.5
Proportion of total persons aged 15 years and over in employment (ILO),2005Q4,Mid-East,Person sometimes works at home,5.9
Proportion of total persons aged 15 years and over in employment (ILO),2005Q4,Mid-East,Person never works at home,85.5
Proportion of total persons aged 15 years and over in employment (ILO),2005Q4,Mid-East,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2005Q4,Mid-East,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2005Q4,Midland,Person usually works at home,11.2
Proportion of total persons aged 15 years and over in employment (ILO),2005Q4,Midland,Person sometimes works at home,2.0
Proportion of total persons aged 15 years and over in employment (ILO),2005Q4,Midland,Person never works at home,86.6
Proportion of total persons aged 15 years and over in employment (ILO),2005Q4,Midland,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2005Q4,Midland,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2005Q4,Mid-West,Person usually works at home,11.2
Proportion of total persons aged 15 years and over in employment (ILO),2005Q4,Mid-West,Person sometimes works at home,3.2
Proportion of total persons aged 15 years and over in employment (ILO),2005Q4,Mid-West,Person never works at home,85.6
Proportion of total persons aged 15 years and over in employment (ILO),2005Q4,Mid-West,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2005Q4,Mid-West,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2005Q4,South-East,Person usually works at home,12.1
Proportion of total persons aged 15 years and over in employment (ILO),2005Q4,South-East,Person sometimes works at home,3.3
Proportion of total persons aged 15 years and over in employment (ILO),2005Q4,South-East,Person never works at home,84.5
Proportion of total persons aged 15 years and over in employment (ILO),2005Q4,South-East,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2005Q4,South-East,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2005Q4,South-West,Person usually works at home,9.8
Proportion of total persons aged 15 years and over in employment (ILO),2005Q4,South-West,Person sometimes works at home,3.9
Proportion of total persons aged 15 years and over in employment (ILO),2005Q4,South-West,Person never works at home,86.2
Proportion of total persons aged 15 years and over in employment (ILO),2005Q4,South-West,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2005Q4,South-West,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2005Q4,West,Person usually works at home,12.2
Proportion of total persons aged 15 years and over in employment (ILO),2005Q4,West,Person sometimes works at home,5.3
Proportion of total persons aged 15 years and over in employment (ILO),2005Q4,West,Person never works at home,82.0
Proportion of total persons aged 15 years and over in employment (ILO),2005Q4,West,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2005Q4,West,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2005Q4,Ireland,Person usually works at home,8.5
Proportion of total persons aged 15 years and over in employment (ILO),2005Q4,Ireland,Person sometimes works at home,5.0
Proportion of total persons aged 15 years and over in employment (ILO),2005Q4,Ireland,Person never works at home,86.4
Proportion of total persons aged 15 years and over in employment (ILO),2005Q4,Ireland,Not stated,0.1
Proportion of total persons aged 15 years and over in employment (ILO),2005Q4,Ireland,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2006Q1,Border,Person usually works at home,8.9
Proportion of total persons aged 15 years and over in employment (ILO),2006Q1,Border,Person sometimes works at home,3.2
Proportion of total persons aged 15 years and over in employment (ILO),2006Q1,Border,Person never works at home,87.7
Proportion of total persons aged 15 years and over in employment (ILO),2006Q1,Border,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2006Q1,Border,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2006Q1,Dublin,Person usually works at home,3.3
Proportion of total persons aged 15 years and over in employment (ILO),2006Q1,Dublin,Person sometimes works at home,7.2
Proportion of total persons aged 15 years and over in employment (ILO),2006Q1,Dublin,Person never works at home,89.4
Proportion of total persons aged 15 years and over in employment (ILO),2006Q1,Dublin,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2006Q1,Dublin,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2006Q1,Mid-East,Person usually works at home,8.1
Proportion of total persons aged 15 years and over in employment (ILO),2006Q1,Mid-East,Person sometimes works at home,6.1
Proportion of total persons aged 15 years and over in employment (ILO),2006Q1,Mid-East,Person never works at home,85.7
Proportion of total persons aged 15 years and over in employment (ILO),2006Q1,Mid-East,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2006Q1,Mid-East,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2006Q1,Midland,Person usually works at home,10.5
Proportion of total persons aged 15 years and over in employment (ILO),2006Q1,Midland,Person sometimes works at home,2.2
Proportion of total persons aged 15 years and over in employment (ILO),2006Q1,Midland,Person never works at home,86.9
Proportion of total persons aged 15 years and over in employment (ILO),2006Q1,Midland,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2006Q1,Midland,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2006Q1,Mid-West,Person usually works at home,10.0
Proportion of total persons aged 15 years and over in employment (ILO),2006Q1,Mid-West,Person sometimes works at home,3.4
Proportion of total persons aged 15 years and over in employment (ILO),2006Q1,Mid-West,Person never works at home,86.3
Proportion of total persons aged 15 years and over in employment (ILO),2006Q1,Mid-West,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2006Q1,Mid-West,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2006Q1,South-East,Person usually works at home,11.0
Proportion of total persons aged 15 years and over in employment (ILO),2006Q1,South-East,Person sometimes works at home,3.4
Proportion of total persons aged 15 years and over in employment (ILO),2006Q1,South-East,Person never works at home,85.5
Proportion of total persons aged 15 years and over in employment (ILO),2006Q1,South-East,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2006Q1,South-East,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2006Q1,South-West,Person usually works at home,10.1
Proportion of total persons aged 15 years and over in employment (ILO),2006Q1,South-West,Person sometimes works at home,4.1
Proportion of total persons aged 15 years and over in employment (ILO),2006Q1,South-West,Person never works at home,85.7
Proportion of total persons aged 15 years and over in employment (ILO),2006Q1,South-West,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2006Q1,South-West,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2006Q1,West,Person usually works at home,11.2
Proportion of total persons aged 15 years and over in employment (ILO),2006Q1,West,Person sometimes works at home,4.5
Proportion of total persons aged 15 years and over in employment (ILO),2006Q1,West,Person never works at home,83.8
Proportion of total persons aged 15 years and over in employment (ILO),2006Q1,West,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2006Q1,West,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2006Q1,Ireland,Person usually works at home,7.9
Proportion of total persons aged 15 years and over in employment (ILO),2006Q1,Ireland,Person sometimes works at home,4.9
Proportion of total persons aged 15 years and over in employment (ILO),2006Q1,Ireland,Person never works at home,86.9
Proportion of total persons aged 15 years and over in employment (ILO),2006Q1,Ireland,Not stated,0.2
Proportion of total persons aged 15 years and over in employment (ILO),2006Q1,Ireland,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2006Q2,Border,Person usually works at home,8.2
Proportion of total persons aged 15 years and over in employment (ILO),2006Q2,Border,Person sometimes works at home,2.8
Proportion of total persons aged 15 years and over in employment (ILO),2006Q2,Border,Person never works at home,88.8
Proportion of total persons aged 15 years and over in employment (ILO),2006Q2,Border,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2006Q2,Border,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2006Q2,Dublin,Person usually works at home,3.3
Proportion of total persons aged 15 years and over in employment (ILO),2006Q2,Dublin,Person sometimes works at home,6.9
Proportion of total persons aged 15 years and over in employment (ILO),2006Q2,Dublin,Person never works at home,89.7
Proportion of total persons aged 15 years and over in employment (ILO),2006Q2,Dublin,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2006Q2,Dublin,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2006Q2,Mid-East,Person usually works at home,7.9
Proportion of total persons aged 15 years and over in employment (ILO),2006Q2,Mid-East,Person sometimes works at home,6.0
Proportion of total persons aged 15 years and over in employment (ILO),2006Q2,Mid-East,Person never works at home,86.1
Proportion of total persons aged 15 years and over in employment (ILO),2006Q2,Mid-East,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2006Q2,Mid-East,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2006Q2,Midland,Person usually works at home,9.7
Proportion of total persons aged 15 years and over in employment (ILO),2006Q2,Midland,Person sometimes works at home,2.0
Proportion of total persons aged 15 years and over in employment (ILO),2006Q2,Midland,Person never works at home,88.2
Proportion of total persons aged 15 years and over in employment (ILO),2006Q2,Midland,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2006Q2,Midland,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2006Q2,Mid-West,Person usually works at home,9.2
Proportion of total persons aged 15 years and over in employment (ILO),2006Q2,Mid-West,Person sometimes works at home,3.2
Proportion of total persons aged 15 years and over in employment (ILO),2006Q2,Mid-West,Person never works at home,87.3
Proportion of total persons aged 15 years and over in employment (ILO),2006Q2,Mid-West,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2006Q2,Mid-West,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2006Q2,South-East,Person usually works at home,10.0
Proportion of total persons aged 15 years and over in employment (ILO),2006Q2,South-East,Person sometimes works at home,3.5
Proportion of total persons aged 15 years and over in employment (ILO),2006Q2,South-East,Person never works at home,86.4
Proportion of total persons aged 15 years and over in employment (ILO),2006Q2,South-East,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2006Q2,South-East,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2006Q2,South-West,Person usually works at home,10.0
Proportion of total persons aged 15 years and over in employment (ILO),2006Q2,South-West,Person sometimes works at home,3.8
Proportion of total persons aged 15 years and over in employment (ILO),2006Q2,South-West,Person never works at home,86.2
Proportion of total persons aged 15 years and over in employment (ILO),2006Q2,South-West,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2006Q2,South-West,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2006Q2,West,Person usually works at home,9.4
Proportion of total persons aged 15 years and over in employment (ILO),2006Q2,West,Person sometimes works at home,4.1
Proportion of total persons aged 15 years and over in employment (ILO),2006Q2,West,Person never works at home,86.4
Proportion of total persons aged 15 years and over in employment (ILO),2006Q2,West,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2006Q2,West,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2006Q2,Ireland,Person usually works at home,7.5
Proportion of total persons aged 15 years and over in employment (ILO),2006Q2,Ireland,Person sometimes works at home,4.7
Proportion of total persons aged 15 years and over in employment (ILO),2006Q2,Ireland,Person never works at home,87.7
Proportion of total persons aged 15 years and over in employment (ILO),2006Q2,Ireland,Not stated,0.1
Proportion of total persons aged 15 years and over in employment (ILO),2006Q2,Ireland,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2006Q3,Border,Person usually works at home,6.4
Proportion of total persons aged 15 years and over in employment (ILO),2006Q3,Border,Person sometimes works at home,2.7
Proportion of total persons aged 15 years and over in employment (ILO),2006Q3,Border,Person never works at home,90.7
Proportion of total persons aged 15 years and over in employment (ILO),2006Q3,Border,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2006Q3,Border,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2006Q3,Dublin,Person usually works at home,3.4
Proportion of total persons aged 15 years and over in employment (ILO),2006Q3,Dublin,Person sometimes works at home,5.8
Proportion of total persons aged 15 years and over in employment (ILO),2006Q3,Dublin,Person never works at home,90.6
Proportion of total persons aged 15 years and over in employment (ILO),2006Q3,Dublin,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2006Q3,Dublin,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2006Q3,Mid-East,Person usually works at home,6.9
Proportion of total persons aged 15 years and over in employment (ILO),2006Q3,Mid-East,Person sometimes works at home,5.9
Proportion of total persons aged 15 years and over in employment (ILO),2006Q3,Mid-East,Person never works at home,87.2
Proportion of total persons aged 15 years and over in employment (ILO),2006Q3,Mid-East,Not stated,
