Statistic,Quarterly,Full and Part Time Status,NACE Rev 2 Economic Sector,value
Persons aged 15 years and over in Employment (ILO),2013Q2,Full-time,"Professional, scientific and technical activities (M)",98.9
Persons aged 15 years and over in Employment (ILO),2013Q2,Full-time,Administrative and support service activities (N),45.9
Persons aged 15 years and over in Employment (ILO),2013Q2,Full-time,Public administration and defence; compulsory social security (O),77.1
Persons aged 15 years and over in Employment (ILO),2013Q2,Full-time,Education (P),108.4
Persons aged 15 years and over in Employment (ILO),2013Q2,Full-time,Human health and social work activities (Q),175.8
Persons aged 15 years and over in Employment (ILO),2013Q2,Full-time,Industry (B to E),216.7
Persons aged 15 years and over in Employment (ILO),2013Q2,Full-time,"Financial, insurance and real estate activities (K, L)",89.2
Persons aged 15 years and over in Employment (ILO),2013Q2,Full-time,Other NACE activities (R to U),63.9
Persons aged 15 years and over in Employment (ILO),2013Q2,Full-time,Industry and Construction (B to F),285.2
Persons aged 15 years and over in Employment (ILO),2013Q2,Full-time,Services (G to U),1074.2
Persons aged 15 years and over in Employment (ILO),2013Q2,Full-time,Not stated,
Persons aged 15 years and over in Employment (ILO),2013Q2,Part-time,All NACE economic sectors,468.8
Persons aged 15 years and over in Employment (ILO),2013Q2,Part-time,"Agriculture, forestry and fishing (A)",18.9
Persons aged 15 years and over in Employment (ILO),2013Q2,Part-time,Construction (F),17.4
Persons aged 15 years and over in Employment (ILO),2013Q2,Part-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),100.0
Persons aged 15 years and over in Employment (ILO),2013Q2,Part-time,Transportation and storage (H),12.9
Persons aged 15 years and over in Employment (ILO),2013Q2,Part-time,Accommodation and food service activities (I),58.0
Persons aged 15 years and over in Employment (ILO),2013Q2,Part-time,Information and communication (J),7.4
Persons aged 15 years and over in Employment (ILO),2013Q2,Part-time,"Professional, scientific and technical activities (M)",17.5
Persons aged 15 years and over in Employment (ILO),2013Q2,Part-time,Administrative and support service activities (N),24.3
Persons aged 15 years and over in Employment (ILO),2013Q2,Part-time,Public administration and defence; compulsory social security (O),8.3
Persons aged 15 years and over in Employment (ILO),2013Q2,Part-time,Education (P),36.9
Persons aged 15 years and over in Employment (ILO),2013Q2,Part-time,Human health and social work activities (Q),82.2
Persons aged 15 years and over in Employment (ILO),2013Q2,Part-time,Industry (B to E),27.1
Persons aged 15 years and over in Employment (ILO),2013Q2,Part-time,"Financial, insurance and real estate activities (K, L)",12.1
Persons aged 15 years and over in Employment (ILO),2013Q2,Part-time,Other NACE activities (R to U),45.2
Persons aged 15 years and over in Employment (ILO),2013Q2,Part-time,Industry and Construction (B to F),44.4
Persons aged 15 years and over in Employment (ILO),2013Q2,Part-time,Services (G to U),404.8
Persons aged 15 years and over in Employment (ILO),2013Q2,Part-time,Not stated,
Persons aged 15 years and over in Employment (ILO),2013Q3,All employment status,All NACE economic sectors,1962.0
Persons aged 15 years and over in Employment (ILO),2013Q3,All employment status,"Agriculture, forestry and fishing (A)",112.2
Persons aged 15 years and over in Employment (ILO),2013Q3,All employment status,Construction (F),89.2
Persons aged 15 years and over in Employment (ILO),2013Q3,All employment status,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),284.8
Persons aged 15 years and over in Employment (ILO),2013Q3,All employment status,Transportation and storage (H),83.6
Persons aged 15 years and over in Employment (ILO),2013Q3,All employment status,Accommodation and food service activities (I),144.5
Persons aged 15 years and over in Employment (ILO),2013Q3,All employment status,Information and communication (J),97.5
Persons aged 15 years and over in Employment (ILO),2013Q3,All employment status,"Professional, scientific and technical activities (M)",121.5
Persons aged 15 years and over in Employment (ILO),2013Q3,All employment status,Administrative and support service activities (N),78.8
Persons aged 15 years and over in Employment (ILO),2013Q3,All employment status,Public administration and defence; compulsory social security (O),87.3
Persons aged 15 years and over in Employment (ILO),2013Q3,All employment status,Education (P),136.6
Persons aged 15 years and over in Employment (ILO),2013Q3,All employment status,Human health and social work activities (Q),257.9
Persons aged 15 years and over in Employment (ILO),2013Q3,All employment status,Industry (B to E),249.8
Persons aged 15 years and over in Employment (ILO),2013Q3,All employment status,"Financial, insurance and real estate activities (K, L)",104.3
Persons aged 15 years and over in Employment (ILO),2013Q3,All employment status,Other NACE activities (R to U),108.0
Persons aged 15 years and over in Employment (ILO),2013Q3,All employment status,Industry and Construction (B to F),339.1
Persons aged 15 years and over in Employment (ILO),2013Q3,All employment status,Services (G to U),1504.8
Persons aged 15 years and over in Employment (ILO),2013Q3,All employment status,Not stated,5.9
Persons aged 15 years and over in Employment (ILO),2013Q3,Full-time,All NACE economic sectors,1492.2
Persons aged 15 years and over in Employment (ILO),2013Q3,Full-time,"Agriculture, forestry and fishing (A)",92.3
Persons aged 15 years and over in Employment (ILO),2013Q3,Full-time,Construction (F),72.6
Persons aged 15 years and over in Employment (ILO),2013Q3,Full-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),182.8
Persons aged 15 years and over in Employment (ILO),2013Q3,Full-time,Transportation and storage (H),70.7
Persons aged 15 years and over in Employment (ILO),2013Q3,Full-time,Accommodation and food service activities (I),80.2
Persons aged 15 years and over in Employment (ILO),2013Q3,Full-time,Information and communication (J),89.5
Persons aged 15 years and over in Employment (ILO),2013Q3,Full-time,"Professional, scientific and technical activities (M)",103.2
Persons aged 15 years and over in Employment (ILO),2013Q3,Full-time,Administrative and support service activities (N),52.7
Persons aged 15 years and over in Employment (ILO),2013Q3,Full-time,Public administration and defence; compulsory social security (O),78.8
Persons aged 15 years and over in Employment (ILO),2013Q3,Full-time,Education (P),106.1
Persons aged 15 years and over in Employment (ILO),2013Q3,Full-time,Human health and social work activities (Q),176.5
Persons aged 15 years and over in Employment (ILO),2013Q3,Full-time,Industry (B to E),224.2
Persons aged 15 years and over in Employment (ILO),2013Q3,Full-time,"Financial, insurance and real estate activities (K, L)",91.5
Persons aged 15 years and over in Employment (ILO),2013Q3,Full-time,Other NACE activities (R to U),66.3
Persons aged 15 years and over in Employment (ILO),2013Q3,Full-time,Industry and Construction (B to F),296.8
Persons aged 15 years and over in Employment (ILO),2013Q3,Full-time,Services (G to U),1098.3
Persons aged 15 years and over in Employment (ILO),2013Q3,Full-time,Not stated,4.7
Persons aged 15 years and over in Employment (ILO),2013Q3,Part-time,All NACE economic sectors,469.8
Persons aged 15 years and over in Employment (ILO),2013Q3,Part-time,"Agriculture, forestry and fishing (A)",19.9
Persons aged 15 years and over in Employment (ILO),2013Q3,Part-time,Construction (F),16.6
Persons aged 15 years and over in Employment (ILO),2013Q3,Part-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),101.9
Persons aged 15 years and over in Employment (ILO),2013Q3,Part-time,Transportation and storage (H),12.9
Persons aged 15 years and over in Employment (ILO),2013Q3,Part-time,Accommodation and food service activities (I),64.3
Persons aged 15 years and over in Employment (ILO),2013Q3,Part-time,Information and communication (J),7.9
Persons aged 15 years and over in Employment (ILO),2013Q3,Part-time,"Professional, scientific and technical activities (M)",18.4
Persons aged 15 years and over in Employment (ILO),2013Q3,Part-time,Administrative and support service activities (N),26.1
Persons aged 15 years and over in Employment (ILO),2013Q3,Part-time,Public administration and defence; compulsory social security (O),8.6
Persons aged 15 years and over in Employment (ILO),2013Q3,Part-time,Education (P),30.5
Persons aged 15 years and over in Employment (ILO),2013Q3,Part-time,Human health and social work activities (Q),81.4
Persons aged 15 years and over in Employment (ILO),2013Q3,Part-time,Industry (B to E),25.6
Persons aged 15 years and over in Employment (ILO),2013Q3,Part-time,"Financial, insurance and real estate activities (K, L)",12.8
Persons aged 15 years and over in Employment (ILO),2013Q3,Part-time,Other NACE activities (R to U),41.8
Persons aged 15 years and over in Employment (ILO),2013Q3,Part-time,Industry and Construction (B to F),42.2
Persons aged 15 years and over in Employment (ILO),2013Q3,Part-time,Services (G to U),406.5
Persons aged 15 years and over in Employment (ILO),2013Q3,Part-time,Not stated,
Persons aged 15 years and over in Employment (ILO),2013Q4,All employment status,All NACE economic sectors,1969.6
Persons aged 15 years and over in Employment (ILO),2013Q4,All employment status,"Agriculture, forestry and fishing (A)",115.5
Persons aged 15 years and over in Employment (ILO),2013Q4,All employment status,Construction (F),87.7
Persons aged 15 years and over in Employment (ILO),2013Q4,All employment status,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),282.1
Persons aged 15 years and over in Employment (ILO),2013Q4,All employment status,Transportation and storage (H),84.9
Persons aged 15 years and over in Employment (ILO),2013Q4,All employment status,Accommodation and food service activities (I),142.3
Persons aged 15 years and over in Employment (ILO),2013Q4,All employment status,Information and communication (J),98.2
Persons aged 15 years and over in Employment (ILO),2013Q4,All employment status,"Professional, scientific and technical activities (M)",125.7
Persons aged 15 years and over in Employment (ILO),2013Q4,All employment status,Administrative and support service activities (N),79.1
Persons aged 15 years and over in Employment (ILO),2013Q4,All employment status,Public administration and defence; compulsory social security (O),86.9
Persons aged 15 years and over in Employment (ILO),2013Q4,All employment status,Education (P),142.1
Persons aged 15 years and over in Employment (ILO),2013Q4,All employment status,Human health and social work activities (Q),263.3
Persons aged 15 years and over in Employment (ILO),2013Q4,All employment status,Industry (B to E),252.4
Persons aged 15 years and over in Employment (ILO),2013Q4,All employment status,"Financial, insurance and real estate activities (K, L)",100.1
Persons aged 15 years and over in Employment (ILO),2013Q4,All employment status,Other NACE activities (R to U),105.5
Persons aged 15 years and over in Employment (ILO),2013Q4,All employment status,Industry and Construction (B to F),340.1
Persons aged 15 years and over in Employment (ILO),2013Q4,All employment status,Services (G to U),1510.2
Persons aged 15 years and over in Employment (ILO),2013Q4,All employment status,Not stated,3.8
Persons aged 15 years and over in Employment (ILO),2013Q4,Full-time,All NACE economic sectors,1496.7
Persons aged 15 years and over in Employment (ILO),2013Q4,Full-time,"Agriculture, forestry and fishing (A)",93.8
Persons aged 15 years and over in Employment (ILO),2013Q4,Full-time,Construction (F),70.0
Persons aged 15 years and over in Employment (ILO),2013Q4,Full-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),181.2
Persons aged 15 years and over in Employment (ILO),2013Q4,Full-time,Transportation and storage (H),71.2
Persons aged 15 years and over in Employment (ILO),2013Q4,Full-time,Accommodation and food service activities (I),80.7
Persons aged 15 years and over in Employment (ILO),2013Q4,Full-time,Information and communication (J),90.1
Persons aged 15 years and over in Employment (ILO),2013Q4,Full-time,"Professional, scientific and technical activities (M)",106.6
Persons aged 15 years and over in Employment (ILO),2013Q4,Full-time,Administrative and support service activities (N),55.3
Persons aged 15 years and over in Employment (ILO),2013Q4,Full-time,Public administration and defence; compulsory social security (O),77.7
Persons aged 15 years and over in Employment (ILO),2013Q4,Full-time,Education (P),108.9
Persons aged 15 years and over in Employment (ILO),2013Q4,Full-time,Human health and social work activities (Q),177.3
Persons aged 15 years and over in Employment (ILO),2013Q4,Full-time,Industry (B to E),228.7
Persons aged 15 years and over in Employment (ILO),2013Q4,Full-time,"Financial, insurance and real estate activities (K, L)",88.8
Persons aged 15 years and over in Employment (ILO),2013Q4,Full-time,Other NACE activities (R to U),63.0
Persons aged 15 years and over in Employment (ILO),2013Q4,Full-time,Industry and Construction (B to F),298.7
Persons aged 15 years and over in Employment (ILO),2013Q4,Full-time,Services (G to U),1100.9
Persons aged 15 years and over in Employment (ILO),2013Q4,Full-time,Not stated,3.2
Persons aged 15 years and over in Employment (ILO),2013Q4,Part-time,All NACE economic sectors,472.8
Persons aged 15 years and over in Employment (ILO),2013Q4,Part-time,"Agriculture, forestry and fishing (A)",21.6
Persons aged 15 years and over in Employment (ILO),2013Q4,Part-time,Construction (F),17.7
Persons aged 15 years and over in Employment (ILO),2013Q4,Part-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),100.9
Persons aged 15 years and over in Employment (ILO),2013Q4,Part-time,Transportation and storage (H),13.7
Persons aged 15 years and over in Employment (ILO),2013Q4,Part-time,Accommodation and food service activities (I),61.5
Persons aged 15 years and over in Employment (ILO),2013Q4,Part-time,Information and communication (J),8.2
Persons aged 15 years and over in Employment (ILO),2013Q4,Part-time,"Professional, scientific and technical activities (M)",19.2
Persons aged 15 years and over in Employment (ILO),2013Q4,Part-time,Administrative and support service activities (N),23.9
Persons aged 15 years and over in Employment (ILO),2013Q4,Part-time,Public administration and defence; compulsory social security (O),9.1
Persons aged 15 years and over in Employment (ILO),2013Q4,Part-time,Education (P),33.2
Persons aged 15 years and over in Employment (ILO),2013Q4,Part-time,Human health and social work activities (Q),86.0
Persons aged 15 years and over in Employment (ILO),2013Q4,Part-time,Industry (B to E),23.7
Persons aged 15 years and over in Employment (ILO),2013Q4,Part-time,"Financial, insurance and real estate activities (K, L)",11.2
Persons aged 15 years and over in Employment (ILO),2013Q4,Part-time,Other NACE activities (R to U),42.5
Persons aged 15 years and over in Employment (ILO),2013Q4,Part-time,Industry and Construction (B to F),41.3
Persons aged 15 years and over in Employment (ILO),2013Q4,Part-time,Services (G to U),409.3
Persons aged 15 years and over in Employment (ILO),2013Q4,Part-time,Not stated,
Persons aged 15 years and over in Employment (ILO),2014Q1,All employment status,All NACE economic sectors,1950.8
Persons aged 15 years and over in Employment (ILO),2014Q1,All employment status,"Agriculture, forestry and fishing (A)",109.5
Persons aged 15 years and over in Employment (ILO),2014Q1,All employment status,Construction (F),87.1
Persons aged 15 years and over in Employment (ILO),2014Q1,All employment status,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),281.2
Persons aged 15 years and over in Employment (ILO),2014Q1,All employment status,Transportation and storage (H),84.9
Persons aged 15 years and over in Employment (ILO),2014Q1,All employment status,Accommodation and food service activities (I),140.1
Persons aged 15 years and over in Employment (ILO),2014Q1,All employment status,Information and communication (J),96.4
Persons aged 15 years and over in Employment (ILO),2014Q1,All employment status,"Professional, scientific and technical activities (M)",126.0
Persons aged 15 years and over in Employment (ILO),2014Q1,All employment status,Administrative and support service activities (N),76.8
Persons aged 15 years and over in Employment (ILO),2014Q1,All employment status,Public administration and defence; compulsory social security (O),88.2
Persons aged 15 years and over in Employment (ILO),2014Q1,All employment status,Education (P),145.7
Persons aged 15 years and over in Employment (ILO),2014Q1,All employment status,Human health and social work activities (Q),258.2
Persons aged 15 years and over in Employment (ILO),2014Q1,All employment status,Industry (B to E),245.4
Persons aged 15 years and over in Employment (ILO),2014Q1,All employment status,"Financial, insurance and real estate activities (K, L)",100.9
Persons aged 15 years and over in Employment (ILO),2014Q1,All employment status,Other NACE activities (R to U),106.8
Persons aged 15 years and over in Employment (ILO),2014Q1,All employment status,Industry and Construction (B to F),332.4
Persons aged 15 years and over in Employment (ILO),2014Q1,All employment status,Services (G to U),1505.3
Persons aged 15 years and over in Employment (ILO),2014Q1,All employment status,Not stated,3.6
Persons aged 15 years and over in Employment (ILO),2014Q1,Full-time,All NACE economic sectors,1487.8
Persons aged 15 years and over in Employment (ILO),2014Q1,Full-time,"Agriculture, forestry and fishing (A)",89.2
Persons aged 15 years and over in Employment (ILO),2014Q1,Full-time,Construction (F),68.3
Persons aged 15 years and over in Employment (ILO),2014Q1,Full-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),183.8
Persons aged 15 years and over in Employment (ILO),2014Q1,Full-time,Transportation and storage (H),73.1
Persons aged 15 years and over in Employment (ILO),2014Q1,Full-time,Accommodation and food service activities (I),77.9
Persons aged 15 years and over in Employment (ILO),2014Q1,Full-time,Information and communication (J),89.4
Persons aged 15 years and over in Employment (ILO),2014Q1,Full-time,"Professional, scientific and technical activities (M)",108.3
Persons aged 15 years and over in Employment (ILO),2014Q1,Full-time,Administrative and support service activities (N),53.7
Persons aged 15 years and over in Employment (ILO),2014Q1,Full-time,Public administration and defence; compulsory social security (O),79.6
Persons aged 15 years and over in Employment (ILO),2014Q1,Full-time,Education (P),111.8
Persons aged 15 years and over in Employment (ILO),2014Q1,Full-time,Human health and social work activities (Q),173.5
Persons aged 15 years and over in Employment (ILO),2014Q1,Full-time,Industry (B to E),222.6
Persons aged 15 years and over in Employment (ILO),2014Q1,Full-time,"Financial, insurance and real estate activities (K, L)",89.7
Persons aged 15 years and over in Employment (ILO),2014Q1,Full-time,Other NACE activities (R to U),63.7
Persons aged 15 years and over in Employment (ILO),2014Q1,Full-time,Industry and Construction (B to F),290.9
Persons aged 15 years and over in Employment (ILO),2014Q1,Full-time,Services (G to U),1104.5
Persons aged 15 years and over in Employment (ILO),2014Q1,Full-time,Not stated,3.2
Persons aged 15 years and over in Employment (ILO),2014Q1,Part-time,All NACE economic sectors,463.0
Persons aged 15 years and over in Employment (ILO),2014Q1,Part-time,"Agriculture, forestry and fishing (A)",20.3
Persons aged 15 years and over in Employment (ILO),2014Q1,Part-time,Construction (F),18.7
Persons aged 15 years and over in Employment (ILO),2014Q1,Part-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),97.5
Persons aged 15 years and over in Employment (ILO),2014Q1,Part-time,Transportation and storage (H),11.8
Persons aged 15 years and over in Employment (ILO),2014Q1,Part-time,Accommodation and food service activities (I),62.3
Persons aged 15 years and over in Employment (ILO),2014Q1,Part-time,Information and communication (J),6.9
Persons aged 15 years and over in Employment (ILO),2014Q1,Part-time,"Professional, scientific and technical activities (M)",17.8
Persons aged 15 years and over in Employment (ILO),2014Q1,Part-time,Administrative and support service activities (N),23.0
Persons aged 15 years and over in Employment (ILO),2014Q1,Part-time,Public administration and defence; compulsory social security (O),8.6
Persons aged 15 years and over in Employment (ILO),2014Q1,Part-time,Education (P),33.9
Persons aged 15 years and over in Employment (ILO),2014Q1,Part-time,Human health and social work activities (Q),84.7
Persons aged 15 years and over in Employment (ILO),2014Q1,Part-time,Industry (B to E),22.8
Persons aged 15 years and over in Employment (ILO),2014Q1,Part-time,"Financial, insurance and real estate activities (K, L)",11.1
Persons aged 15 years and over in Employment (ILO),2014Q1,Part-time,Other NACE activities (R to U),43.1
Persons aged 15 years and over in Employment (ILO),2014Q1,Part-time,Industry and Construction (B to F),41.6
Persons aged 15 years and over in Employment (ILO),2014Q1,Part-time,Services (G to U),400.8
Persons aged 15 years and over in Employment (ILO),2014Q1,Part-time,Not stated,
Persons aged 15 years and over in Employment (ILO),2014Q2,All employment status,All NACE economic sectors,1968.9
Persons aged 15 years and over in Employment (ILO),2014Q2,All employment status,"Agriculture, forestry and fishing (A)",108.7
Persons aged 15 years and over in Employment (ILO),2014Q2,All employment status,Construction (F),90.6
Persons aged 15 years and over in Employment (ILO),2014Q2,All employment status,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),283.7
Persons aged 15 years and over in Employment (ILO),2014Q2,All employment status,Transportation and storage (H),86.2
Persons aged 15 years and over in Employment (ILO),2014Q2,All employment status,Accommodation and food service activities (I),143.4
Persons aged 15 years and over in Employment (ILO),2014Q2,All employment status,Information and communication (J),98.4
Persons aged 15 years and over in Employment (ILO),2014Q2,All employment status,"Professional, scientific and technical activities (M)",124.6
Persons aged 15 years and over in Employment (ILO),2014Q2,All employment status,Administrative and support service activities (N),79.2
Persons aged 15 years and over in Employment (ILO),2014Q2,All employment status,Public administration and defence; compulsory social security (O),88.2
Persons aged 15 years and over in Employment (ILO),2014Q2,All employment status,Education (P),146.3
Persons aged 15 years and over in Employment (ILO),2014Q2,All employment status,Human health and social work activities (Q),261.8
Persons aged 15 years and over in Employment (ILO),2014Q2,All employment status,Industry (B to E),245.3
Persons aged 15 years and over in Employment (ILO),2014Q2,All employment status,"Financial, insurance and real estate activities (K, L)",101.1
Persons aged 15 years and over in Employment (ILO),2014Q2,All employment status,Other NACE activities (R to U),107.5
Persons aged 15 years and over in Employment (ILO),2014Q2,All employment status,Industry and Construction (B to F),335.9
Persons aged 15 years and over in Employment (ILO),2014Q2,All employment status,Services (G to U),1520.4
Persons aged 15 years and over in Employment (ILO),2014Q2,All employment status,Not stated,3.9
Persons aged 15 years and over in Employment (ILO),2014Q2,Full-time,All NACE economic sectors,1506.2
Persons aged 15 years and over in Employment (ILO),2014Q2,Full-time,"Agriculture, forestry and fishing (A)",90.0
Persons aged 15 years and over in Employment (ILO),2014Q2,Full-time,Construction (F),72.1
Persons aged 15 years and over in Employment (ILO),2014Q2,Full-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),184.7
Persons aged 15 years and over in Employment (ILO),2014Q2,Full-time,Transportation and storage (H),72.4
Persons aged 15 years and over in Employment (ILO),2014Q2,Full-time,Accommodation and food service activities (I),82.4
Persons aged 15 years and over in Employment (ILO),2014Q2,Full-time,Information and communication (J),91.0
Persons aged 15 years and over in Employment (ILO),2014Q2,Full-time,"Professional, scientific and technical activities (M)",106.5
Persons aged 15 years and over in Employment (ILO),2014Q2,Full-time,Administrative and support service activities (N),56.0
Persons aged 15 years and over in Employment (ILO),2014Q2,Full-time,Public administration and defence; compulsory social security (O),78.3
Persons aged 15 years and over in Employment (ILO),2014Q2,Full-time,Education (P),113.2
Persons aged 15 years and over in Employment (ILO),2014Q2,Full-time,Human health and social work activities (Q),178.8
Persons aged 15 years and over in Employment (ILO),2014Q2,Full-time,Industry (B to E),223.1
Persons aged 15 years and over in Employment (ILO),2014Q2,Full-time,"Financial, insurance and real estate activities (K, L)",90.2
Persons aged 15 years and over in Employment (ILO),2014Q2,Full-time,Other NACE activities (R to U),63.9
Persons aged 15 years and over in Employment (ILO),2014Q2,Full-time,Industry and Construction (B to F),295.2
Persons aged 15 years and over in Employment (ILO),2014Q2,Full-time,Services (G to U),1117.4
Persons aged 15 years and over in Employment (ILO),2014Q2,Full-time,Not stated,3.7
Persons aged 15 years and over in Employment (ILO),2014Q2,Part-time,All NACE economic sectors,462.7
Persons aged 15 years and over in Employment (ILO),2014Q2,Part-time,"Agriculture, forestry and fishing (A)",18.8
Persons aged 15 years and over in Employment (ILO),2014Q2,Part-time,Construction (F),18.5
Persons aged 15 years and over in Employment (ILO),2014Q2,Part-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),99.0
Persons aged 15 years and over in Employment (ILO),2014Q2,Part-time,Transportation and storage (H),13.8
Persons aged 15 years and over in Employment (ILO),2014Q2,Part-time,Accommodation and food service activities (I),61.0
Persons aged 15 years and over in Employment (ILO),2014Q2,Part-time,Information and communication (J),7.4
Persons aged 15 years and over in Employment (ILO),2014Q2,Part-time,"Professional, scientific and technical activities (M)",18.1
Persons aged 15 years and over in Employment (ILO),2014Q2,Part-time,Administrative and support service activities (N),23.2
Persons aged 15 years and over in Employment (ILO),2014Q2,Part-time,Public administration and defence; compulsory social security (O),9.9
Persons aged 15 years and over in Employment (ILO),2014Q2,Part-time,Education (P),33.1
Persons aged 15 years and over in Employment (ILO),2014Q2,Part-time,Human health and social work activities (Q),83.0
Persons aged 15 years and over in Employment (ILO),2014Q2,Part-time,Industry (B to E),22.2
Persons aged 15 years and over in Employment (ILO),2014Q2,Part-time,"Financial, insurance and real estate activities (K, L)",10.9
Persons aged 15 years and over in Employment (ILO),2014Q2,Part-time,Other NACE activities (R to U),43.7
Persons aged 15 years and over in Employment (ILO),2014Q2,Part-time,Industry and Construction (B to F),40.7
Persons aged 15 years and over in Employment (ILO),2014Q2,Part-time,Services (G to U),403.0
Persons aged 15 years and over in Employment (ILO),2014Q2,Part-time,Not stated,
Persons aged 15 years and over in Employment (ILO),2014Q3,All employment status,All NACE economic sectors,2009.4
Persons aged 15 years and over in Employment (ILO),2014Q3,All employment status,"Agriculture, forestry and fishing (A)",108.9
Persons aged 15 years and over in Employment (ILO),2014Q3,All employment status,Construction (F),96.8
Persons aged 15 years and over in Employment (ILO),2014Q3,All employment status,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),290.2
Persons aged 15 years and over in Employment (ILO),2014Q3,All employment status,Transportation and storage (H),84.1
Persons aged 15 years and over in Employment (ILO),2014Q3,All employment status,Accommodation and food service activities (I),148.6
Persons aged 15 years and over in Employment (ILO),2014Q3,All employment status,Information and communication (J),95.8
Persons aged 15 years and over in Employment (ILO),2014Q3,All employment status,"Professional, scientific and technical activities (M)",128.6
Persons aged 15 years and over in Employment (ILO),2014Q3,All employment status,Administrative and support service activities (N),79.9
Persons aged 15 years and over in Employment (ILO),2014Q3,All employment status,Public administration and defence; compulsory social security (O),90.3
Persons aged 15 years and over in Employment (ILO),2014Q3,All employment status,Education (P),140.7
Persons aged 15 years and over in Employment (ILO),2014Q3,All employment status,Human health and social work activities (Q),266.7
Persons aged 15 years and over in Employment (ILO),2014Q3,All employment status,Industry (B to E),250.3
Persons aged 15 years and over in Employment (ILO),2014Q3,All employment status,"Financial, insurance and real estate activities (K, L)",108.1
Persons aged 15 years and over in Employment (ILO),2014Q3,All employment status,Other NACE activities (R to U),110.5
Persons aged 15 years and over in Employment (ILO),2014Q3,All employment status,Industry and Construction (B to F),347.0
Persons aged 15 years and over in Employment (ILO),2014Q3,All employment status,Services (G to U),1543.5
Persons aged 15 years and over in Employment (ILO),2014Q3,All employment status,Not stated,9.9
Persons aged 15 years and over in Employment (ILO),2014Q3,Full-time,All NACE economic sectors,1536.0
Persons aged 15 years and over in Employment (ILO),2014Q3,Full-time,"Agriculture, forestry and fishing (A)",89.9
Persons aged 15 years and over in Employment (ILO),2014Q3,Full-time,Construction (F),77.7
Persons aged 15 years and over in Employment (ILO),2014Q3,Full-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),189.4
Persons aged 15 years and over in Employment (ILO),2014Q3,Full-time,Transportation and storage (H),70.9
Persons aged 15 years and over in Employment (ILO),2014Q3,Full-time,Accommodation and food service activities (I),85.0
Persons aged 15 years and over in Employment (ILO),2014Q3,Full-time,Information and communication (J),86.9
Persons aged 15 years and over in Employment (ILO),2014Q3,Full-time,"Professional, scientific and technical activities (M)",110.8
Persons aged 15 years and over in Employment (ILO),2014Q3,Full-time,Administrative and support service activities (N),56.2
Persons aged 15 years and over in Employment (ILO),2014Q3,Full-time,Public administration and defence; compulsory social security (O),79.8
Persons aged 15 years and over in Employment (ILO),2014Q3,Full-time,Education (P),109.0
Persons aged 15 years and over in Employment (ILO),2014Q3,Full-time,Human health and social work activities (Q),183.8
Persons aged 15 years and over in Employment (ILO),2014Q3,Full-time,Industry (B to E),228.3
Persons aged 15 years and over in Employment (ILO),2014Q3,Full-time,"Financial, insurance and real estate activities (K, L)",96.3
Persons aged 15 years and over in Employment (ILO),2014Q3,Full-time,Other NACE activities (R to U),63.1
Persons aged 15 years and over in Employment (ILO),2014Q3,Full-time,Industry and Construction (B to F),306.0
Persons aged 15 years and over in Employment (ILO),2014Q3,Full-time,Services (G to U),1131.1
Persons aged 15 years and over in Employment (ILO),2014Q3,Full-time,Not stated,9.0
Persons aged 15 years and over in Employment (ILO),2014Q3,Part-time,All NACE economic sectors,473.4
Persons aged 15 years and over in Employment (ILO),2014Q3,Part-time,"Agriculture, forestry and fishing (A)",19.0
Persons aged 15 years and over in Employment (ILO),2014Q3,Part-time,Construction (F),19.1
Persons aged 15 years and over in Employment (ILO),2014Q3,Part-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),100.9
Persons aged 15 years and over in Employment (ILO),2014Q3,Part-time,Transportation and storage (H),13.2
Persons aged 15 years and over in Employment (ILO),2014Q3,Part-time,Accommodation and food service activities (I),63.7
Persons aged 15 years and over in Employment (ILO),2014Q3,Part-time,Information and communication (J),8.9
Persons aged 15 years and over in Employment (ILO),2014Q3,Part-time,"Professional, scientific and technical activities (M)",17.8
Persons aged 15 years and over in Employment (ILO),2014Q3,Part-time,Administrative and support service activities (N),23.8
Persons aged 15 years and over in Employment (ILO),2014Q3,Part-time,Public administration and defence; compulsory social security (O),10.5
Persons aged 15 years and over in Employment (ILO),2014Q3,Part-time,Education (P),31.7
Persons aged 15 years and over in Employment (ILO),2014Q3,Part-time,Human health and social work activities (Q),82.9
Persons aged 15 years and over in Employment (ILO),2014Q3,Part-time,Industry (B to E),21.9
Persons aged 15 years and over in Employment (ILO),2014Q3,Part-time,"Financial, insurance and real estate activities (K, L)",11.8
